Embedding,Label
"[ 6.14365801e-03 -1.44333249e-02  1.34322824e-02 -9.06960770e-03
 -5.23361658e-03 -8.81656898e-03  5.71110969e-03 -8.09612498e-03
 -1.46293200e-02 -1.71404861e-03  2.80742705e-02 -1.97073091e-02
 -3.70333710e-03 -9.85946499e-03  1.57977681e-04  1.15637897e-02
  1.05269707e-02 -8.00691921e-03 -8.73596835e-03  2.27810266e-02
  2.98532864e-02  1.34407797e-02  5.97018795e-03 -1.41059494e-02
 -6.15662819e-03  3.28269396e-03 -3.28194818e-02 -7.97526460e-03
  7.83160815e-03  3.90026106e-03 -1.92235680e-03  7.57052816e-03
  1.72654887e-03 -1.00411345e-02 -1.06789690e-02 -3.35126686e-03
 -5.11203902e-03 -6.93843729e-03  1.77095474e-02  5.56981262e-03
  1.17264262e-02 -9.59964820e-03 -9.68364232e-03 -1.35179009e-02
  1.18545549e-04 -1.56253630e-02  5.72450157e-03 -7.51969397e-03
  2.98737046e-03  1.08737748e-02  1.81451521e-03 -2.36094080e-03
  1.04608282e-02  1.35217553e-02  3.23682490e-03  1.22705319e-02
  2.29359062e-03 -8.95503967e-03 -1.41486998e-02  1.80554986e-02
  1.48022020e-02 -2.65082982e-02  3.97053571e-03  1.15196265e-03
  4.50002571e+02  4.10014286e+01  6.23325810e+02  1.92862857e+01
  5.02147143e+02  4.56257143e+00  4.85039429e+02  8.66209524e+00
  1.06735429e+02  1.91552381e+00  3.30849524e+02  2.73152381e+00
  1.23995029e+03  7.41513333e+02  7.56114286e+00  8.88857143e-01
  2.77476190e+00  2.37142857e-02  2.84571429e-01  2.67619048e-02
  4.62476190e-01  1.43809524e-02  9.84819048e+00  7.80952381e-03
  5.34761905e-01  9.33333333e-03  6.00000000e-02  2.58095238e-02
  2.05714286e-02  3.52380952e-03  3.17457143e+00  2.39142857e-01
  0.00000000e+00  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 7.83259893e-03 -8.07137362e-06  2.13869899e-02 -9.42062565e-03
 -1.04854896e-02 -2.45583304e-02  4.55695249e-03 -6.85211094e-04
 -9.90524775e-03 -3.30286565e-03  2.05008810e-02 -1.12985316e-02
 -2.04768635e-03 -8.67931278e-03 -1.91688626e-03 -1.73480624e-03
  1.04622115e-03 -4.51401586e-04 -9.10909468e-03  1.95634402e-02
  1.33726341e-02  1.30593896e-02  8.18427886e-03 -9.15615556e-03
 -4.73195080e-03  4.04137118e-03 -2.86738220e-02  5.51752072e-03
  1.38980729e-02  5.54648452e-03 -1.03270449e-02  1.32896763e-02
 -1.29910888e-02 -1.05269503e-02  1.36683098e-03 -1.20719675e-02
  3.58957168e-03 -5.08694564e-03  1.78315361e-02  7.39914388e-03
  8.35245990e-04  1.90358162e-03 -2.93022238e-03 -9.77607497e-03
 -1.00621635e-02 -7.92360943e-03  1.12366978e-02 -1.00283783e-02
  3.10955097e-03  6.26479536e-03  4.00898473e-03 -2.39891048e-03
 -1.67638773e-04  9.80865904e-03  1.02341041e-02  7.99207946e-03
  2.00663104e-03 -8.52492430e-03 -6.96135557e-03  1.88843248e-02
  5.80216103e-03 -2.92988112e-02  4.65260690e-03 -6.91242521e-03
  4.65110000e+02  2.88346667e+01  6.48906286e+02  6.40057143e+00
  5.11989524e+02  4.23647619e+00  4.99621429e+02  6.46447619e+00
  1.06460095e+02  2.38180952e+00  3.40227619e+02  2.64695238e+00
  1.21154990e+03  7.57637524e+02  7.84657143e+00  7.53619048e-01
  2.77133333e+00  2.60000000e-02  3.04952381e-01  1.37142857e-02
  4.61333333e-01  1.43809524e-02  9.85561905e+00  3.52380952e-03
  5.05238095e-01  1.63809524e-02  5.31428571e-02  2.11428571e-02
  2.07619048e-02  3.71428571e-03  2.26009524e+00  6.52380952e-02
  0.00000000e+00  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 2.10441982e-02  7.73854195e-04  1.55863106e-02  1.73413489e-03
 -1.15287340e-02 -2.17487755e-02 -1.38117703e-03 -5.48227841e-03
 -1.01298236e-02 -2.37571541e-03  2.28490712e-02 -2.38407939e-02
  7.45102290e-03 -1.57499453e-02  4.13219854e-03  1.18541820e-02
  6.94482512e-03  3.94454658e-03 -6.13231448e-03  3.01677407e-02
  1.82734113e-02  1.59090000e-02  1.44248912e-02 -4.04045179e-03
 -4.81619115e-03  1.17019297e-02 -2.15184766e-02 -5.13823574e-03
 -2.91850117e-03  5.47005842e-03  4.04783503e-03  9.25968695e-03
 -1.25889413e-02 -1.45229422e-02 -3.74569953e-03 -2.05179598e-03
 -3.97208597e-03 -9.29542973e-03  1.26447681e-02  4.87467359e-03
 -7.58557389e-03 -3.54842530e-03 -1.11222869e-03 -8.24167135e-03
  2.60562727e-03 -6.93072788e-03  6.10642951e-03 -1.21610114e-02
  3.19025851e-03  1.66315445e-02  5.22820623e-03 -3.79469235e-03
 -2.42688550e-04  1.26778354e-02  9.87975668e-03  9.32500911e-03
  2.42220757e-03 -3.82782770e-03 -4.74417447e-03  1.76599244e-03
  5.86442520e-03 -1.76670282e-02 -2.62286287e-03 -1.00492363e-02
  4.61941635e+02  5.07487500e+01  6.43602596e+02  2.38088462e+01
  5.11857404e+02  7.60769231e+00  4.95976827e+02  1.44039423e+01
  1.08436923e+02  2.36317308e+00  3.37980481e+02  5.63278846e+00
  1.28622288e+03  7.77256058e+02  7.93182692e+00  1.05894231e+00
  2.79076923e+00  4.85576923e-02  2.96730769e-01  2.54807692e-02
  4.70192308e-01  1.96153846e-02  9.94086538e+00  4.32692308e-03
  5.24615385e-01  2.18269231e-02  5.78846154e-02  2.97115385e-02
  2.26923077e-02  7.69230769e-03  2.57038462e+00  4.49423077e-01
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.19718282e-02 -5.85970540e-03  2.04822147e-02 -6.00470162e-04
 -1.08800276e-02 -2.13155390e-02  9.77010685e-03 -8.74770151e-03
 -5.08609043e-03 -3.87111347e-03  2.00647311e-02 -7.24278881e-03
 -1.59717191e-02 -1.25990975e-02  5.80708794e-03  1.33687256e-03
  1.83804539e-03 -6.11127388e-03 -6.33435657e-03  1.91108687e-02
  1.71571530e-02  2.34306468e-02  6.83368592e-03 -2.18269731e-02
 -3.52543954e-03  1.18100455e-02 -2.61182403e-02  1.30902232e-02
  5.50269037e-03  7.40767080e-03 -6.60717100e-03  5.11044583e-03
 -4.28444028e-03 -1.03181930e-02 -4.01113018e-03 -4.80483447e-03
  2.32065096e-03 -1.73150017e-03  2.24587836e-02 -3.77829140e-03
 -4.35301246e-04 -8.59861033e-03 -6.69217020e-03 -6.38743049e-03
  5.54600992e-03 -1.89941791e-02  3.58321740e-03 -1.44128968e-02
  2.78648627e-03  1.69949920e-02  9.10264469e-03 -6.47063548e-03
  3.89198085e-03  1.29570276e-02  8.76303160e-03  1.50964710e-02
  3.82924130e-04 -1.90774345e-02 -1.00444448e-02  1.51598638e-02
  6.50782237e-03 -2.15798254e-02  8.77793205e-03 -8.08045501e-03
  4.47033462e+02  3.48220192e+01  6.25192404e+02  1.27054808e+01
  5.09365385e+02  6.67317308e+00  4.92326731e+02  1.07333654e+01
  1.08007212e+02  2.72076923e+00  3.36479423e+02  4.06817308e+00
  1.25327471e+03  7.48844327e+02  8.68903846e+00  1.00769231e+00
  2.74173077e+00  7.57692308e-02  3.10961538e-01  2.29807692e-02
  4.76538462e-01  1.45192308e-02  9.94538462e+00  8.55769231e-03
  5.29423077e-01  2.22115385e-02  3.75961538e-02  2.55769231e-02
  3.93269231e-02  9.13461538e-03  2.74009615e+00  4.06442308e-01
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.55465428e-02 -7.42801368e-04  1.99866048e-02 -1.41538430e-02
 -9.49338306e-03 -1.59545833e-02 -4.33490657e-03 -8.10137604e-04
 -7.30789079e-03 -2.76460196e-03  1.93905536e-02 -1.04881008e-02
 -5.06905821e-04 -1.27650086e-02 -1.23146718e-02 -1.74227137e-03
 -6.45667077e-03  6.21963405e-03 -1.57093747e-02  2.20719671e-02
  2.45151255e-02  2.71233249e-03  2.35424965e-02 -9.96136954e-03
 -1.31305570e-02  1.24734741e-02 -2.61314010e-02  3.59661409e-03
  4.87646624e-03  2.12373485e-03 -5.13118435e-03  1.67627197e-02
 -1.76488550e-02 -1.09644210e-02  1.16577161e-03 -1.17916942e-02
  1.70437419e-03 -2.49576754e-03  2.45244533e-02  1.06950188e-02
  7.90371297e-03 -1.72892156e-03 -1.19213860e-02 -1.12822837e-02
 -4.88158798e-03 -2.18311960e-02  7.72976792e-03 -1.03197028e-02
 -1.51669021e-03  9.69648258e-03  1.15860492e-02 -1.31846434e-02
 -3.80947406e-03  1.57698666e-02 -2.38922818e-04  1.36545595e-02
 -1.41053420e-03 -1.32479035e-02 -7.93229590e-03  1.24499913e-02
  1.00249842e-02 -1.14820578e-02  9.61928048e-03  1.55410518e-03
  4.47419714e+02  3.07419048e+01  6.36193238e+02  6.09914286e+00
  5.11901048e+02  6.08961905e+00  5.05841619e+02  6.61838095e+00
  1.06277048e+02  2.48180952e+00  3.42321810e+02  2.64828571e+00
  1.21536019e+03  7.57626762e+02  8.78590476e+00  7.48380952e-01
  2.69076190e+00  5.12380952e-02  3.13523810e-01  1.67619048e-02
  4.70857143e-01  1.43809524e-02  9.85561905e+00  3.52380952e-03
  4.99047619e-01  7.90476190e-03  3.40952381e-02  2.11428571e-02
  3.98095238e-02  3.71428571e-03  2.20838095e+00  1.79047619e-02
  0.00000000e+00  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 5.60913271e-03 -1.43450793e-03  1.95149912e-02  5.35475925e-03
 -2.20132326e-02 -2.32409048e-02  1.88345878e-03 -4.61455540e-03
 -4.22859693e-03 -1.35598770e-02  1.85011006e-02 -8.25962894e-03
 -9.00768883e-03 -9.19084332e-03 -1.74953366e-03  1.32296990e-03
 -2.09645212e-03  1.38109774e-04 -5.75045129e-03  1.83620849e-02
  1.53031779e-02  2.06888351e-02  1.12013557e-02 -1.60314241e-02
 -6.99698225e-03  1.15367143e-02 -2.45242213e-02  1.37666224e-03
  8.77680257e-03 -3.69998532e-03 -1.28490864e-02 -1.78953977e-03
 -9.90887153e-03 -9.82732003e-03  5.92088653e-03 -4.35631462e-03
  7.91454525e-03  6.98708945e-03  1.26632615e-02  6.78640239e-03
  9.51134177e-04 -1.52786946e-03  2.21382825e-05 -5.18653141e-03
  1.01768824e-02 -1.63695886e-02 -1.14444887e-03 -1.31152553e-02
  4.36727567e-03  1.34245019e-02  4.78472414e-03 -1.58080584e-03
 -3.18037294e-03  1.55756477e-02  9.93930964e-03  1.91286608e-02
 -4.03268775e-03 -1.49463065e-02 -4.87577442e-03  1.58443846e-02
  6.41294981e-03 -1.64665638e-02  9.70387652e-04 -1.92723198e-03
  4.51876538e+02  2.60425962e+01  6.45599904e+02  2.37980769e+00
  5.19524712e+02  1.45865385e+00  5.12787885e+02  2.49221154e+00
  1.08173750e+02  1.71519231e+00  3.46234423e+02  2.97884615e-01
  1.28964904e+03  7.76617115e+02  8.88576923e+00  7.37980769e-01
  2.70432692e+00  3.79807692e-02  3.16923077e-01  1.35576923e-02
  4.75961538e-01  1.46153846e-02  9.95038462e+00  3.55769231e-03
  5.04615385e-01  4.80769231e-03  3.42307692e-02  2.12500000e-02
  4.00000000e-02  3.55769231e-03  2.21153846e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 3.96710949e-03 -7.15903991e-04  1.70189397e-02  7.50358701e-03
 -1.63797297e-02 -3.11503847e-02  1.11104284e-02 -1.48282998e-03
 -9.02492355e-03 -8.81058572e-03  2.37005664e-02 -9.78272508e-03
 -6.62918077e-03 -1.46491035e-02  3.81144610e-03  2.14842196e-03
  2.48218298e-03 -1.36278179e-04 -4.88097367e-03  1.35629569e-02
  1.38851522e-02  8.33068115e-03  1.35899538e-02 -1.17378488e-02
  4.48046163e-05  1.00156799e-02 -1.94572170e-02  1.00942618e-02
  3.65760401e-03  5.04803530e-03 -2.72056957e-03  3.14910891e-03
 -8.73053218e-03 -5.52312262e-03 -5.38108427e-03 -8.84456106e-03
  1.05733578e-02  5.25068468e-03  1.82009634e-02 -2.89711111e-03
 -4.75509816e-03  6.89811024e-03  1.03545022e-03 -1.05860461e-02
 -3.29318678e-04 -7.52815125e-03  3.04815404e-04 -1.83802495e-03
  1.14882879e-03 -1.32367279e-03  1.32545872e-02 -1.27062544e-02
 -5.84643027e-03  1.90562735e-02  6.28395045e-03  2.35701367e-03
  7.93942438e-03 -8.57279385e-03 -1.68150871e-02  1.57333500e-02
  2.64764573e-03 -1.89417093e-02 -3.75944284e-03 -5.56702290e-03
  4.48255143e+02  2.58910476e+01  6.40770000e+02  2.65295238e+00
  5.14576190e+02  1.73847619e+00  5.09085810e+02  2.69333333e+00
  1.06629905e+02  1.80933333e+00  3.43313048e+02  4.28666667e-01
  1.24408590e+03  7.41239143e+02  8.79438095e+00  7.29047619e-01
  2.68704762e+00  4.81904762e-02  3.14476190e-01  1.37142857e-02
  4.72000000e-01  1.43809524e-02  9.85542857e+00  3.71428571e-03
  5.00190476e-01  4.76190476e-03  3.48571429e-02  2.10476190e-02
  3.96190476e-02  3.52380952e-03  2.18866667e+00  3.71428571e-03
  0.00000000e+00  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.54074132e-02 -4.96723888e-03  1.77125112e-02 -6.98156126e-03
 -4.01666211e-03 -2.35927074e-02 -3.21761302e-03  6.03955287e-03
 -7.81230990e-03 -4.22229027e-03  1.73956632e-02 -1.57232910e-02
  5.65661845e-04 -8.02266403e-03  1.84732302e-03 -9.27666539e-04
  7.85563124e-03  1.08293732e-02 -3.33731992e-03  2.15386841e-02
  1.97320020e-02  9.00526650e-03  1.96204217e-02 -9.13822655e-03
 -7.11477370e-03  1.78488423e-02 -1.60278614e-02  4.21034346e-03
  8.73548555e-04  1.14348655e-04 -6.21183089e-03  5.78268478e-03
 -1.60416475e-02 -1.65874325e-02 -2.66213786e-04  9.52459233e-04
 -2.81989193e-03  1.29897737e-03  1.08470117e-02  4.42247043e-03
  4.21635322e-03 -1.48367563e-03 -7.14253709e-03 -9.02146016e-03
  5.93370820e-04 -8.94886155e-03  2.06545695e-03 -1.86596000e-02
  4.47716144e-03  6.51153638e-03  5.60884973e-03  3.26673963e-03
  7.45151882e-03  2.16943213e-02  9.48698537e-03  1.42210634e-02
  2.36580546e-03 -6.22838730e-03 -4.21478743e-03 -1.70887262e-03
  1.20528083e-02 -1.43592351e-02  6.14838320e-03 -3.77238672e-03
  4.49151048e+02  2.80065714e+01  6.42939238e+02  4.20047619e+00
  5.15426571e+02  3.24161905e+00  5.11719048e+02  4.62971429e+00
  1.06133429e+02  2.17714286e+00  3.44556667e+02  1.38323810e+00
  1.21677133e+03  7.57441143e+02  8.75228571e+00  7.27523810e-01
  2.77000000e+00  2.89523810e-02  3.14476190e-01  1.37142857e-02
  4.70857143e-01  1.43809524e-02  9.85561905e+00  3.52380952e-03
  5.00000000e-01  4.85714286e-03  3.40952381e-02  2.11428571e-02
  3.98095238e-02  3.71428571e-03  2.17695238e+00  6.19047619e-03
  0.00000000e+00  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 8.52502865e-03 -1.70731453e-02  1.27813343e-02  4.04471965e-03
 -1.29103697e-02 -1.00753895e-02 -5.36260131e-03 -8.31119437e-03
 -6.72351759e-03 -8.82547324e-03  1.17031191e-03 -2.05288270e-02
  2.18709196e-04 -1.25073419e-02 -5.69248674e-03  4.63922057e-03
 -3.84941296e-03  6.83921067e-03 -1.23985616e-02  1.32947252e-02
  2.13617546e-02  2.49337765e-02  6.71116864e-03 -1.28287495e-02
 -4.85615293e-03  1.66766361e-02 -2.40328758e-02  1.00868416e-02
  5.53324734e-03  9.39816011e-03 -9.71128329e-03  4.37839150e-03
 -1.34383195e-02 -1.40205558e-02 -1.30009034e-02 -1.30024906e-02
 -2.00195625e-03  2.98848619e-03  2.62731615e-02  1.18875396e-03
 -8.96973413e-03 -1.01121108e-02 -1.29617104e-02 -1.06775615e-02
  7.75045717e-03 -1.26648675e-02 -1.42428375e-03 -9.59719144e-03
  3.80880305e-03  1.88337736e-02  4.66173164e-03 -4.96647959e-03
 -1.62463918e-03  2.27177570e-02  4.41021662e-04  1.06791131e-02
  4.75529900e-03 -1.87260761e-02 -5.29344915e-03  9.97022308e-03
  4.56293895e-03 -2.48784884e-02 -4.57865895e-03 -6.91660744e-03
  4.58927981e+02  2.80050000e+01  6.58444038e+02  5.66432692e+00
  5.25061827e+02  3.67884615e+00  5.26989808e+02  5.49375000e+00
  1.07036538e+02  2.35259615e+00  3.52758269e+02  1.93480769e+00
  1.29177779e+03  7.76933654e+02  8.83221154e+00  7.46153846e-01
  2.73701923e+00  6.14423077e-02  3.16923077e-01  1.35576923e-02
  4.75961538e-01  1.46153846e-02  9.95038462e+00  3.55769231e-03
  5.04615385e-01  4.80769231e-03  3.42307692e-02  2.12500000e-02
  4.00000000e-02  3.55769231e-03  2.16086538e+00  1.29807692e-02
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 6.17017976e-03 -1.14447044e-02  1.55554098e-02 -6.19164768e-03
 -6.03387331e-03 -2.61630913e-02  4.19012117e-03 -3.26997461e-03
 -1.19819471e-02 -9.75085028e-03  1.46628971e-02 -1.60028707e-02
  3.67134428e-03 -1.42167847e-02  1.57084674e-03  1.00609917e-02
  3.12159660e-03  1.25534846e-02  5.83114611e-03  1.96835538e-02
  1.43889801e-02  2.30085282e-02  1.00105406e-02 -1.21493578e-02
  3.05012800e-03  9.02547462e-03 -3.39699961e-02  1.22298182e-03
 -2.71885111e-03  5.85802143e-03 -3.53328006e-03  1.19383402e-02
 -4.17705233e-03 -1.15051961e-03  4.40241697e-04 -4.99238754e-03
 -1.05681113e-04  1.46274729e-03  2.60028682e-02  3.70056437e-03
  2.33197227e-03 -1.48457944e-03  1.73061585e-04 -6.23925861e-03
 -1.63812772e-03 -1.79337696e-02  5.96282739e-03 -1.70065914e-03
  1.67019963e-03  1.43357833e-02  1.42620890e-02 -1.86835593e-03
  4.96053760e-03  1.22504115e-02  4.14090887e-03  8.50098967e-03
  6.85703836e-03 -6.05921340e-03 -9.72055615e-03  4.98849282e-03
  2.76254872e-03 -1.67354487e-02  2.60891880e-03 -3.96924047e-03
  4.61607692e+02  2.70044231e+01  6.65607500e+02  3.60923077e+00
  5.27750962e+02  2.80548077e+00  5.33370769e+02  3.58317308e+00
  1.06646154e+02  2.63471154e+00  3.55745385e+02  9.20000000e-01
  1.25853731e+03  7.48504231e+02  8.85375000e+00  7.54038462e-01
  2.62884615e+00  6.28846154e-02  3.17500000e-01  1.38461538e-02
  4.76538462e-01  1.45192308e-02  9.95019231e+00  3.75000000e-03
  5.05000000e-01  4.80769231e-03  3.51923077e-02  2.12500000e-02
  4.00000000e-02  3.55769231e-03  2.13240385e+00  5.96153846e-03
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
