Embedding,Label
"[ 2.02673092e-02 -1.73460012e-04  2.46413266e-02 -1.56256585e-03
 -9.21121935e-03 -1.38185454e-02 -1.33546650e-03  1.17207118e-03
 -1.01848078e-02  9.81130595e-04  2.44031598e-02 -2.62516972e-02
  1.04532452e-05 -6.02929685e-03 -6.35928638e-03  8.04775989e-03
  3.53424341e-03  4.97802326e-03 -2.03368751e-02  2.48487846e-02
  2.07497421e-02  1.01378510e-02  9.77465292e-03 -4.02491044e-03
 -7.57068217e-04  6.41557066e-03 -2.36412870e-02  7.55112833e-04
 -8.49958370e-03  4.89316205e-03  1.02650252e-03  7.08881240e-03
 -1.82743388e-02 -1.48494446e-02 -2.02349136e-03 -1.14974935e-02
 -3.46005996e-03 -1.98421233e-03  1.58256145e-02  6.31121348e-03
 -2.41383321e-03 -3.95282168e-03 -7.30801973e-03 -1.77599552e-02
  6.46383262e-03 -9.75240015e-03  1.20791942e-02 -7.20178312e-03
  6.85257170e-03  4.24061471e-03 -4.20105464e-03  1.12956644e-03
  1.07301343e-03  1.97875403e-02  9.24971337e-03  1.51852834e-02
  1.63688303e-02 -3.29693355e-03 -7.14724024e-03  9.89244323e-03
  7.59647579e-03 -1.26449394e-02  1.25148185e-02  8.02368954e-04
  4.73188365e+02  4.20338462e+01  6.67927308e+02  2.14128846e+01
  5.21216827e+02  6.82500000e+00  4.90558942e+02  1.21142308e+01
  8.55084615e+01  2.25884615e+00  3.41064519e+02  4.30759615e+00
  1.27468654e+03  7.51542788e+02  8.12365385e+00  1.17903846e+00
  2.55442308e+00  2.82692308e-01  5.85096154e-01  2.43269231e-02
  4.38076923e-01  1.45192308e-02  8.76836538e+00  4.32692308e-02
  6.70961538e-01  9.03846154e-03  4.93269231e-02  3.07692308e-02
  1.72115385e-02  8.94230769e-03  2.67538462e+00  4.38365385e-01
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 9.16515665e-03 -1.04898480e-02  8.04416598e-03  9.30229246e-05
 -2.50547260e-03 -1.98587193e-02  2.81557008e-03 -3.44443037e-03
 -1.70798930e-02 -6.79013973e-03  9.03049824e-03 -1.49632188e-02
 -5.40672569e-03 -1.73843111e-02  2.39365415e-03  3.10380348e-03
  9.21696265e-04  7.09886210e-03  1.01126622e-03  2.45152577e-02
  1.39769177e-02  6.59350673e-03  6.21755882e-04 -1.10963383e-02
 -1.31823101e-02  8.89636079e-03 -2.83684975e-02  6.26276605e-03
  5.05040698e-03  5.85235416e-04 -6.88189571e-03  1.06642820e-02
 -1.43156462e-02 -1.63276404e-02  7.92074833e-03 -6.79815300e-03
  1.10645503e-03  1.09248644e-02  1.18386754e-02 -9.27862995e-04
 -5.48736416e-03 -3.30151553e-03 -8.22706301e-03 -1.16569341e-02
  4.11111831e-03 -1.22078780e-02  5.58512427e-03 -1.61539937e-02
  1.07249607e-02  1.62363480e-02  1.00206026e-02 -5.76605969e-03
  5.23851081e-03  2.29164589e-02  8.45502583e-03  5.42222269e-03
  3.00214865e-03 -9.94157302e-03 -1.15401764e-02  1.28156705e-02
 -1.01687752e-03 -2.00803126e-02  3.97006443e-03  2.87461983e-03
  4.87153429e+02  3.44685714e+01  6.90364762e+02  1.27890476e+01
  5.28427143e+02  7.30676190e+00  5.13875714e+02  9.74790476e+00
  8.33678095e+01  2.44161905e+00  3.52771429e+02  3.71457143e+00
  1.23348676e+03  7.60312095e+02  7.94400000e+00  7.54666667e-01
  2.57838095e+00  6.64761905e-02  5.94666667e-01  2.34285714e-02
  4.32761905e-01  1.43809524e-02  8.59466667e+00  1.62857143e-02
  6.35428571e-01  8.76190476e-03  5.55238095e-02  2.54285714e-02
  2.07619048e-02  3.71428571e-03  2.18876190e+00  2.40952381e-02
  0.00000000e+00  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 3.22970888e-03 -7.42447484e-03  6.62237868e-03 -9.55828915e-03
 -8.29101786e-03 -2.35293564e-02 -2.78056667e-03 -1.20303645e-02
 -6.31193153e-03  6.02598087e-04  1.58369780e-02 -2.02113593e-02
 -2.60182173e-03 -1.20289162e-02 -3.43912496e-04  1.49552233e-02
  8.27250984e-04  5.22747639e-03 -7.59200716e-03  2.45972898e-02
  2.57841796e-02  6.28698599e-03  1.71250873e-02 -6.24531407e-03
 -4.63579355e-03  4.45899138e-03 -3.07147719e-02  1.13558504e-03
 -1.46540383e-03  1.21011612e-02 -4.49268395e-03  9.97762914e-03
 -1.00831797e-02 -1.40002178e-03 -2.03193867e-03  3.94090874e-03
 -2.91912090e-03  9.02308165e-03  2.61366316e-02  6.44115953e-03
 -1.02628854e-02  5.27936256e-03  1.82440352e-03 -1.51019877e-02
 -1.08134856e-02 -1.25804580e-02  3.12531743e-03 -2.69733181e-03
  5.70003010e-03  1.09885653e-02  1.21010020e-02 -8.40766423e-03
  3.42586765e-03  1.09468946e-02 -9.18951204e-03  1.42079010e-02
 -6.03839797e-03 -1.06908525e-02 -1.39172727e-02  1.67356005e-02
  9.24326898e-03 -1.71740620e-02  2.58268244e-03 -7.92681913e-03
  4.77760192e+02  5.15438462e+01  6.68946923e+02  2.38731731e+01
  5.25049038e+02  9.69980769e+00  5.01150577e+02  1.50919231e+01
  8.47236538e+01  2.48548077e+00  3.46729231e+02  6.80326923e+00
  1.30887846e+03  7.80495769e+02  8.30576923e+00  1.15942308e+00
  2.70307692e+00  7.94230769e-02  5.93557692e-01  2.17307692e-02
  4.37500000e-01  1.46153846e-02  8.71211538e+00  2.38461538e-02
  6.54519231e-01  2.31730769e-02  4.90384615e-02  3.51923077e-02
  2.83653846e-02  1.30769231e-02  2.59682692e+00  4.15096154e-01
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 7.55904941e-03 -8.10642895e-03  2.04066709e-02 -1.61949049e-03
 -4.38292581e-03 -2.26964760e-02  5.91109113e-03 -6.14133459e-03
 -1.57958987e-02 -1.18765385e-03  2.00603960e-02 -1.77691038e-02
 -7.53790685e-03 -1.72850147e-02 -2.38440422e-03 -4.92531090e-04
  7.88540064e-03  1.40981259e-03 -8.50102363e-03  1.94127310e-02
  2.26498084e-02  1.87740691e-02  1.31690274e-02 -1.23839310e-02
 -1.99442951e-03  7.27162295e-03 -2.44271910e-02  1.04544710e-02
 -5.34406999e-03 -2.22635298e-03 -6.24839138e-03 -1.89453050e-04
 -3.29884554e-03  4.33578650e-03 -1.35693426e-02 -9.81099900e-03
  1.40920344e-02  3.83241116e-03  1.93061036e-02  3.34104108e-03
 -1.58817310e-04 -8.86779046e-03 -4.34584808e-04 -1.14312353e-02
  2.85545808e-03 -8.39310222e-03  5.62134134e-03 -7.36740070e-03
  2.98862187e-03  1.15384651e-02  7.02537320e-03  3.10912191e-04
 -4.07726597e-03  9.98867665e-03  4.79195081e-03  7.73236578e-03
  9.49136907e-03 -1.59378640e-02 -9.87484464e-03  1.24747239e-02
  9.62207671e-03 -1.85989890e-02  8.77536368e-03 -7.50127918e-03
  4.72795673e+02  4.98228846e+01  6.60680288e+02  2.13137500e+01
  5.21663942e+02  8.73230769e+00  4.93428269e+02  1.24579808e+01
  8.51891346e+01  2.49375000e+00  3.43254808e+02  5.23769231e+00
  1.27567519e+03  7.52004615e+02  8.46778846e+00  1.27346154e+00
  2.72451923e+00  1.12115385e-01  5.97692308e-01  2.56730769e-02
  4.38076923e-01  1.45192308e-02  8.67211538e+00  4.10576923e-02
  6.59519231e-01  2.88461538e-02  4.74038462e-02  2.89423077e-02
  3.27884615e-02  1.29807692e-02  2.83951923e+00  4.44423077e-01
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.65053227e-02 -2.75508059e-03  1.82752227e-02 -3.09559188e-03
 -1.20368528e-02 -1.47499598e-02  8.47997793e-03 -1.17145130e-02
 -3.16172980e-03  2.49238410e-03  1.46313768e-02 -2.08724093e-02
  3.27920442e-03 -1.16542375e-02 -6.51455063e-03  7.12198328e-03
  4.88587964e-03  9.82450911e-03 -2.01779117e-02  2.51038119e-02
  1.83122434e-02  2.77173027e-02  5.25982756e-03 -1.17693366e-02
 -1.22833021e-02  1.15201160e-02 -3.60361925e-02  3.23544492e-03
  5.30453040e-03 -3.03178192e-04 -1.09114207e-03  8.92097660e-03
 -1.37996882e-02 -6.23417196e-03 -5.58577613e-03 -1.31226443e-02
  9.39311681e-03 -7.17589401e-03  2.02711590e-02  6.77413665e-03
 -5.41265025e-04 -8.55752868e-03  2.60743188e-03 -1.20656425e-02
  1.63754097e-03 -2.12899749e-02  7.57397319e-03 -5.57524221e-03
  2.28339121e-03  1.49062563e-02  4.29862210e-03 -1.22499613e-02
  1.94113311e-03  5.93705688e-03 -1.85060256e-03  1.81523646e-02
  9.42574069e-03 -1.11066615e-02 -5.79419841e-03  1.34657320e-02
  4.28947870e-03 -2.15044421e-02  2.64843110e-03 -7.65657245e-03
  4.69040857e+02  4.64325714e+01  6.55862762e+02  2.13459048e+01
  5.17190381e+02  8.05342857e+00  4.89764381e+02  1.24603810e+01
  8.40900000e+01  2.31076190e+00  3.40392476e+02  5.09295238e+00
  1.23480019e+03  7.60676762e+02  8.26533333e+00  1.17933333e+00
  2.66952381e+00  8.60952381e-02  6.00571429e-01  2.32380952e-02
  4.32761905e-01  1.43809524e-02  8.48904762e+00  3.50476190e-02
  6.54666667e-01  2.71428571e-02  5.00000000e-02  3.34285714e-02
  3.02857143e-02  1.38095238e-02  2.77485714e+00  4.46571429e-01
  0.00000000e+00  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.45507156e-02 -8.67789150e-03  1.73924236e-02  2.29974730e-03
  1.36411307e-03 -1.49368384e-02  1.43184537e-02  9.79740776e-04
 -1.38585745e-02 -7.93373276e-03  1.19254455e-02 -2.06620567e-02
  3.10407068e-03 -1.19571601e-02  8.38380168e-03  1.04817535e-02
  4.81753846e-03  3.43679956e-03 -4.43512946e-04  2.10011772e-02
  1.48707140e-02  1.61718360e-02  1.42544163e-02 -2.78635004e-03
 -3.78761806e-03  2.10002123e-02 -1.80887612e-02  5.55526460e-03
 -2.11722617e-04  8.23660961e-04  2.96684064e-03  5.75557965e-03
 -1.61145588e-02 -1.11875139e-02 -6.17591824e-03 -8.42140430e-03
  1.77147701e-04  7.37009152e-03  1.12393174e-02 -3.45517657e-03
 -7.57130083e-03  7.40673439e-03 -4.32638540e-05 -2.36348059e-03
  1.33489151e-03 -1.37739659e-02  9.45318554e-03 -8.43165730e-03
  1.17955506e-03  1.90921685e-02  6.20567504e-03 -1.33530167e-02
  6.66149236e-03  2.01372027e-02 -4.93920291e-03  2.10987887e-02
  4.63050650e-03 -8.11356042e-03 -2.04395550e-02  5.91520635e-03
  9.40375317e-03 -1.59373401e-02 -9.32142103e-04 -1.55519973e-03
  4.75850952e+02             nan  6.85180190e+02             nan
  5.44245714e+02  1.72153333e+01  5.40749048e+02  2.58680000e+01
  8.34278095e+01  2.58723810e+00  3.63813238e+02  1.05164762e+01
  1.30109419e+03  7.73649810e+02  8.56609524e+00  1.26171429e+00
  2.75876190e+00  2.66666667e-02  5.85333333e-01  3.20952381e-02
  4.33333333e-01  1.44761905e-02  8.36266667e+00  3.83809524e-02
  6.10000000e-01  3.01904762e-02  3.39047619e-02  2.10476190e-02
  3.96190476e-02  3.52380952e-03  2.12752381e+00  6.96190476e-02
  0.00000000e+00  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.47692260e-02 -3.26750606e-03  1.31995859e-02 -4.31274080e-03
 -3.78018181e-03 -2.33657437e-02  5.54169543e-03 -3.28312169e-03
 -1.34295189e-02  3.63217953e-05  1.24771157e-02 -9.93283096e-03
 -6.86409695e-03  1.56281158e-04  1.52834693e-02  8.52055339e-03
  7.69085595e-03  9.93987698e-03 -1.60573179e-02  1.71854978e-02
  1.29804595e-02  2.00956263e-02  5.41691127e-03 -1.52901631e-02
 -7.27726323e-03  3.46212207e-03 -2.94048879e-02  7.23436661e-03
  2.43869051e-03  1.00749575e-02  6.56315450e-03  1.00260419e-02
 -4.37016020e-03 -5.08431492e-03 -6.55006601e-03 -1.66572038e-02
  6.26405773e-05 -2.32453136e-04  2.84117298e-02  1.01211066e-02
 -1.03403169e-02 -2.22540092e-03  4.74934649e-03 -1.05937864e-02
 -5.24253226e-04 -9.11500466e-03  6.61690741e-03 -8.07569248e-03
  7.41471610e-03  2.07348965e-02  9.07156623e-03 -1.32308646e-02
  1.14561209e-03  1.01550761e-02  1.67381928e-03  1.60037476e-02
  1.20266541e-03 -8.77726873e-03 -3.49357535e-03  1.03303004e-02
  3.47248459e-03 -1.88736836e-02 -5.75860301e-03 -4.87416420e-03
  5.11707692e+02  3.53009615e+01  7.54502692e+02  2.19750962e+01
  5.94276635e+02  1.72809615e+01  6.24550577e+02  2.69256731e+01
  8.28515385e+01  3.14750000e+00  4.01545865e+02  1.02822115e+01
  1.28436240e+03  7.52629712e+02  6.28403846e+00  1.45480769e+00
  2.78826923e+00  1.84615385e-02  4.92403846e-01  5.70192308e-02
  4.30384615e-01  2.21153846e-02  8.32211538e+00  3.75961538e-02
  5.16538462e-01  4.70192308e-02  3.51923077e-02  2.12500000e-02
  4.00000000e-02  3.55769231e-03  1.97817308e+00  2.70192308e-02
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.31968517e-02 -1.01891210e-02  1.60730017e-02 -2.08480713e-03
 -3.09541227e-03 -3.08327679e-02  6.30620199e-03 -3.57539062e-04
 -3.48548783e-03 -1.47667081e-02  1.90766506e-02 -1.37548270e-02
  7.20468847e-04 -8.02145252e-03  2.20443889e-03  9.86214390e-03
 -7.26563126e-04  3.62218882e-03  1.99034273e-03  2.32190351e-02
  1.96917602e-02  1.84586124e-02  9.84955900e-03 -7.55787625e-03
 -2.11769972e-03  1.96651955e-02 -1.70588343e-02  8.27302440e-04
  1.99843001e-03  7.68501985e-03 -4.38257357e-03  7.45512889e-03
 -6.70981776e-03 -6.40618654e-03 -5.75640712e-03 -3.82849588e-03
  8.00282057e-03  6.87620470e-03  2.46058271e-02 -3.41864167e-03
  3.55741337e-03 -8.96053130e-03 -4.08151939e-04  2.39859622e-05
  7.19689566e-03 -2.04593885e-02 -7.73582217e-03 -8.21707527e-03
  1.48173672e-02  1.74683005e-02 -6.75845676e-04 -3.87786434e-03
 -4.39853869e-03  2.05167777e-02  8.01801911e-03  1.30449328e-02
  8.83143892e-03 -1.59792695e-02 -2.67292258e-03  1.30474309e-02
  8.33912889e-03 -1.29456494e-02  8.33767233e-04 -7.39501991e-03
  5.29680000e+02  3.12325962e+01  7.88785385e+02  1.00061538e+01
  5.95720577e+02  1.27321154e+01  6.43400673e+02  1.57510577e+01
  8.12309615e+01  2.51269231e+00  4.17563269e+02  3.52326923e+00
  1.25801731e+03  7.68031250e+02  5.25192308e+00  8.76153846e-01
  2.78163462e+00  2.81730769e-02  3.93461538e-01  2.23076923e-02
  4.09038462e-01  1.75961538e-02  8.26048077e+00  1.37500000e-02
  4.13461538e-01  1.62500000e-02  3.44230769e-02  2.13461538e-02
  4.01923077e-02  3.75000000e-03  1.95413462e+00  4.03846154e-03
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.09307893e-02 -1.24781726e-02  1.68012325e-02 -3.25772695e-03
 -1.22057907e-02 -1.65406787e-02  3.95597574e-03 -1.18545279e-02
 -3.38958402e-03 -1.79045747e-03  1.85636512e-02 -1.25258941e-02
  9.59861101e-04 -1.65863979e-02  1.81972670e-04  5.50185595e-03
  4.48492839e-03  1.72571367e-03 -9.35690000e-03  3.00898531e-02
  1.18929254e-02  9.72498471e-03  1.52545068e-02 -1.35292592e-02
 -1.72079511e-03 -6.42463454e-04 -2.59090245e-02  5.83866033e-03
 -2.30081436e-03  1.57495449e-02 -2.23984793e-03  5.90910594e-03
 -5.67057033e-03 -1.92543121e-02 -5.23403599e-03 -6.21850961e-03
  8.62919071e-03 -1.63832981e-03  2.98606025e-02 -4.39590975e-03
 -3.55112883e-03 -3.65499907e-03 -6.17198696e-03 -1.59831914e-02
  1.26902417e-02 -2.95115783e-04  5.44023173e-03 -6.31543100e-03
  1.11983844e-02  1.42017707e-02  1.90281602e-03  1.69570010e-03
 -1.18104843e-02  1.29064484e-02  5.35644016e-03  2.19525251e-02
 -6.45451060e-03 -6.60824797e-03 -7.05655416e-04  1.46866078e-02
  9.09964350e-04 -2.48493509e-02  2.05212576e-03 -6.47869225e-03
  5.35691524e+02  3.63800000e+01  7.98827048e+02  9.89371429e+00
  6.01353429e+02  2.04189524e+01  6.59435714e+02  2.51449524e+01
  7.93937143e+01  2.82990476e+00  4.24277143e+02  5.71114286e+00
  1.30848076e+03  7.72837810e+02  4.76295238e+00  8.50571429e-01
  2.72923810e+00  6.73333333e-02  3.26857143e-01  4.17142857e-02
  3.98095238e-01  1.90476190e-02  8.17390476e+00  1.57142857e-02
  3.36000000e-01  2.88571429e-02  3.39047619e-02  2.10476190e-02
  3.96190476e-02  3.52380952e-03  1.95209524e+00  5.52380952e-03
  0.00000000e+00  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.24648697e-02  1.73361898e-03  1.64645545e-02  3.21821865e-03
 -5.41450840e-03 -2.35536108e-02  1.47882556e-02 -1.69992128e-03
 -1.80634259e-02 -2.36706670e-03  1.52393970e-02 -1.82957012e-02
 -7.20207579e-04 -1.38584608e-02  3.53694320e-04  8.54408662e-03
  5.98391017e-03  8.31398754e-03 -3.20620892e-03  3.07533125e-02
  2.01182759e-02  1.33268763e-02  6.12413945e-03 -7.58444796e-03
 -1.09467479e-02  6.42137606e-03 -3.06960333e-02 -1.11508695e-03
  3.61138535e-03  6.35509528e-03 -3.45468912e-03  1.30872677e-02
 -1.54972799e-02 -1.49563254e-02  7.15222403e-03 -1.01520449e-02
  1.94483788e-03  2.00676814e-03  2.47414707e-02 -5.64283405e-04
 -1.64115912e-03  2.59625643e-03 -2.07122107e-03 -6.02577864e-03
  2.96185239e-03 -7.63377393e-03 -2.21388096e-03 -1.71471065e-03
 -1.44240468e-03  1.80018847e-02  1.84673243e-03  7.45445905e-03
  2.25892505e-03  1.73074469e-02  1.08665329e-02  1.18509844e-02
  4.82931404e-03  3.66858028e-03 -8.48041463e-03  9.72156320e-03
 -2.40527122e-03 -2.23155043e-02  4.76305115e-03 -7.69322810e-03
  5.29935192e+02  3.54931731e+01  7.83706154e+02  1.95122115e+01
  5.66516635e+02  1.62263462e+01  6.06353462e+02  2.56833654e+01
  8.07045192e+01  2.68250000e+00  4.12046346e+02  9.14182692e+00
  1.28678019e+03  7.52354904e+02  5.55625000e+00  1.21673077e+00
  2.72336538e+00  6.00961538e-02  3.95288462e-01  6.41346154e-02
  4.06346154e-01  2.24038462e-02  8.32692308e+00  4.25961538e-02
  4.16923077e-01  5.78846154e-02  4.39423077e-02  2.41346154e-02
  4.00000000e-02  3.55769231e-03  1.95903846e+00  8.07692308e-03
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
