Embedding,Label
"[ 7.42438100e-03  2.89838338e-03  6.54975774e-03  4.26963925e-03
 -1.68736932e-02 -1.53051317e-02  7.38808101e-03  6.57201730e-03
 -1.02710220e-02  4.07331489e-03  1.92224061e-02 -2.03348408e-02
 -2.95636026e-03 -5.93489688e-03 -9.95528311e-05  1.53511013e-02
 -8.03850896e-04  7.98894782e-03 -1.23404212e-02  2.64640642e-02
  1.33000641e-02  1.67593153e-02  1.72018240e-02 -1.11692341e-02
 -1.27829733e-03  1.40872241e-02 -1.78755907e-02 -4.37781342e-03
 -2.90516612e-04  5.96280210e-04  5.53467275e-04  4.14571138e-03
 -1.87608802e-02 -1.64044699e-02 -4.85233611e-03 -4.88585950e-03
 -6.51665176e-03 -2.32709457e-03  1.13074805e-02  5.12228059e-04
 -1.62232134e-02 -2.92719687e-03  3.02763666e-03 -1.72112501e-02
 -3.56087697e-03 -6.82960213e-03 -4.38462425e-03 -6.57598560e-03
  4.45233137e-03  2.79704891e-02  1.07603766e-02 -5.10820433e-03
  1.56170129e-02  1.84775139e-02  2.56363315e-03  6.28274303e-03
  8.47467257e-04 -2.98587365e-03 -1.27536554e-02  1.30616912e-02
  1.79040647e-03 -1.60232921e-02  1.77199612e-03 -4.17948203e-03
  4.86976346e+02             nan  1.08064962e+03             nan
  2.03287471e+03             nan  5.07545096e+02             nan
  4.01847115e+01             nan  3.50067308e+02             nan
  1.71401010e+03  1.65976788e+03  8.02913462e+00  8.11250000e-01
  2.76923077e+00  2.73076923e-02  6.86057692e-01  1.88461538e-02
  4.05769231e-01  1.49038462e-02  5.60769231e+00  1.34615385e-02
  6.57692308e-01  5.00000000e-03  5.09615385e-02  2.21153846e-02
  2.11538462e-02  4.03846154e-03  2.25000000e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.63461538e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.25242777e-02 -3.87372268e-03  1.03980896e-02 -2.01852344e-03
 -2.58212999e-04 -2.00276929e-02  9.37426793e-03  3.83897773e-03
 -1.42292112e-02 -2.59203525e-03  2.30568948e-02 -1.78356007e-02
 -3.86174224e-03 -6.82056556e-03 -1.10674470e-04  9.83106843e-03
  4.91499204e-03 -2.23274127e-03 -4.27066875e-03  2.33920080e-02
  1.08145409e-02  9.32645180e-03  1.42578747e-02 -1.48372279e-02
 -1.71608077e-04  8.54087951e-03 -2.97639004e-02 -5.42168508e-03
 -5.74848076e-03 -2.46850910e-03 -3.92611321e-03  4.98586958e-03
 -2.11555136e-02 -1.34727209e-02 -1.02777793e-02 -8.18145691e-03
  2.58702333e-03  6.05825018e-03  1.50203619e-02 -1.64335580e-03
  4.83737268e-03 -2.95139654e-03 -2.54092473e-03 -1.91294178e-02
  4.28918047e-03 -6.07896285e-03  3.94618726e-03 -9.65826951e-03
  7.72247655e-03  1.93103250e-02  1.42061008e-04 -2.62940525e-03
 -1.73013539e-03  2.29437719e-02  9.19847495e-03  1.09270248e-02
  8.98421366e-03 -1.51131905e-02 -6.45510646e-03  1.63000304e-02
  1.47598493e-03 -1.60991054e-02 -3.63412755e-03 -5.61326862e-03
  4.88600577e+02             nan  1.08104058e+03             nan
  2.00254356e+03             nan  5.08174615e+02             nan
  4.07589423e+01             nan  3.50349231e+02             nan
  1.34472192e+03  1.26812529e+03  8.12798077e+00  6.07596154e-01
  2.76894231e+00  2.74038462e-02  6.79807692e-01  1.98076923e-02
  4.08653846e-01  1.51923077e-02  5.64134615e+00  1.48076923e-02
  6.59615385e-01  5.00000000e-03  5.61538462e-02  2.26923077e-02
  2.11538462e-02  4.03846154e-03  2.25000000e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.63461538e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",1
"[ 2.30869625e-03  4.25601721e-03  1.70898101e-02 -4.15477346e-03
 -1.13710944e-02 -6.20006684e-03  2.57361634e-03 -5.97924435e-03
 -4.07230185e-03 -6.05682232e-03  1.23906362e-02 -1.84394920e-02
  2.43254569e-03 -1.25888790e-02 -1.16880263e-02  1.47771674e-02
 -6.11656224e-03  3.90895106e-03 -8.61082411e-03  2.04214322e-02
  1.28973438e-02  1.25263389e-02  1.80517352e-02 -1.11720315e-02
 -4.69468735e-03  1.77252291e-02 -2.43366143e-02 -6.16898944e-03
 -1.08816205e-02  1.38810263e-03 -9.22339727e-03  5.92838975e-03
 -1.85340837e-02 -1.67616933e-02 -7.96913421e-03  8.26994530e-04
  5.27530397e-03  5.85480282e-03  6.78646650e-03  2.63539172e-03
  1.94025353e-03 -6.48164470e-03 -1.43968242e-02 -2.10737720e-02
 -1.36498587e-03 -6.07367780e-03  1.26139610e-03 -1.53633914e-02
  1.03461218e-02  6.07536219e-03  4.16454141e-03 -6.65653556e-03
 -4.59108982e-03  1.83823408e-02  3.62069525e-03  1.29401531e-02
  9.18738343e-03 -1.18973304e-02 -1.24559608e-02  9.22066521e-03
  5.76668852e-03 -1.57867362e-02 -4.68221164e-03  7.89243712e-03
  5.31886827e+02  4.64751923e+01  1.08276548e+03  2.44278846e+00
  1.96205962e+03  1.68725962e+01  6.30760288e+02  5.66485577e+01
  4.00862500e+01  2.33076923e+00  3.49821635e+02  6.63942308e-01
  1.85508154e+03  1.57076529e+03  7.71913462e+00  6.55096154e-01
  2.76875000e+00  2.27884615e-02  6.67307692e-01  2.25000000e-02
  4.11538462e-01  1.49038462e-02  5.67788462e+00  1.57692308e-02
  6.58653846e-01  5.09615385e-03  5.48076923e-02  2.18269231e-02
  2.01923077e-02  3.07692308e-03  2.25288462e+00  4.42307692e-03
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.63461538e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",1
"[ 6.17867336e-03 -7.12378622e-03  1.77203457e-02 -2.93386643e-03
 -6.34501098e-03 -1.95883573e-02  4.94629170e-03  3.11571407e-03
 -4.47237556e-03  2.40140210e-03  1.84632666e-02 -1.41122957e-02
 -7.43334182e-04 -3.39644920e-03  2.58074681e-03  1.33916490e-02
  5.82572359e-03  8.01306777e-03 -6.73777439e-03  1.80381676e-02
  2.90434149e-02  1.43525408e-02  1.26052696e-02 -7.42523370e-03
 -8.34869909e-03  1.45622332e-02 -2.52231680e-02  3.43990568e-03
  7.86287730e-03  3.59937144e-03 -1.02183717e-02  1.30671210e-02
 -9.29953144e-03 -9.37685289e-03 -6.99450305e-03  3.18854947e-03
  8.01924021e-03  1.01924039e-02  1.23000321e-02 -2.45643599e-03
 -1.47622211e-03  2.19103873e-03 -6.10873246e-04 -1.72228923e-02
 -2.90332955e-03 -1.24480830e-02  1.85019393e-03 -7.80557396e-03
  3.54659346e-03  1.53139431e-02  2.42898810e-03 -9.23126248e-03
  2.51280155e-03  2.20907179e-02  9.05759492e-03  2.31527535e-02
  3.21529147e-03 -1.11791666e-02 -1.43233113e-02  9.38902770e-04
  1.25550991e-02 -9.09719269e-03 -5.54452500e-03  1.45496546e-03
  5.36722212e+02             nan  1.08172356e+03             nan
  1.93384808e+03             nan  6.52467596e+02             nan
  4.13217308e+01             nan  3.48312981e+02             nan
  1.71456048e+03  1.65983000e+03  7.81105769e+00  8.30673077e-01
  2.77019231e+00  2.65384615e-02  6.46634615e-01  1.86538462e-02
  4.05769231e-01  1.49038462e-02  5.72115385e+00  1.62500000e-02
  6.57692308e-01  5.00000000e-03  5.09615385e-02  2.21153846e-02
  2.11538462e-02  4.03846154e-03  2.26519231e+00  4.80769231e-03
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.63461538e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",1
"[ 1.24212533e-02 -4.37116460e-03  1.60988607e-02  9.20261429e-03
 -1.48668340e-02 -2.06493539e-02  8.72915224e-03 -7.06579706e-03
 -2.46363219e-03 -3.20287429e-03  1.81674969e-02 -1.89092140e-02
 -4.67579638e-03 -9.98646785e-03 -3.58701719e-03  9.40467795e-03
  9.75666856e-03 -4.61449061e-03 -5.40174578e-03  2.61996089e-02
  1.85246161e-02  2.65366871e-02  1.61647927e-02 -8.93910797e-03
 -3.89709972e-03  1.07841930e-02 -1.99489683e-02  8.98266085e-03
 -8.77959869e-04  8.86055624e-03 -3.32578217e-03  4.76160101e-03
 -5.13983529e-03 -9.18220738e-03 -9.84741733e-03 -8.92915355e-03
  9.27282660e-03 -3.27199797e-03  1.69117748e-02  7.29610033e-04
 -1.17650965e-02 -6.48370999e-03  6.48642290e-03 -2.03975660e-02
 -6.85395329e-03 -8.64757922e-03  3.76545824e-03 -2.05031983e-03
  9.11550426e-03  1.27774272e-02  9.54059705e-03 -5.26522443e-03
  2.23314877e-03  5.43183833e-03 -1.26919388e-02  1.29999578e-02
  4.96967436e-03 -5.51145865e-03 -1.07531935e-02  8.39878611e-03
  5.83845402e-03 -1.85491889e-02 -2.13279290e-03 -2.86590414e-03
  5.33594423e+02             nan  1.08031029e+03             nan
  1.90977923e+03             nan  6.51852500e+02             nan
  4.04240385e+01             nan  3.46858846e+02             nan
  1.34517692e+03  1.26840635e+03  8.03788462e+00  8.48076923e-01
  2.76663462e+00  1.69230769e-02  6.46153846e-01  1.49038462e-02
  4.08653846e-01  1.51923077e-02  5.76538462e+00  1.78846154e-02
  6.59615385e-01  5.00000000e-03  5.57692308e-02  2.22115385e-02
  2.11538462e-02  4.03846154e-03  2.28086538e+00  5.38461538e-03
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.63461538e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",1
"[ 7.24465449e-03 -5.05628512e-03  2.11448989e-02 -8.82589043e-04
 -1.14361950e-02 -1.28381720e-02  1.20030304e-02  8.52079199e-03
 -7.15369681e-03  4.98998706e-03  2.65669579e-02 -9.74029786e-03
 -5.29322136e-03 -1.22304044e-02 -7.73707799e-04  9.65036266e-03
  5.99388599e-03  2.75114739e-03 -1.66579334e-02  1.47926947e-02
  1.35532302e-02  1.40117557e-02  1.04915963e-02 -1.83179720e-02
 -1.83555127e-03  2.54370644e-03 -2.00752332e-02 -1.15100058e-03
  8.49562744e-04  5.45136502e-03 -7.88954850e-03  1.13070541e-02
 -4.41446929e-03 -1.61397264e-02 -2.77908107e-03 -9.21810204e-03
  6.21946608e-03 -2.76086391e-03  2.12295722e-02 -7.36601056e-03
 -9.62116970e-04 -3.13410392e-04 -1.58695533e-03 -2.01677272e-02
 -7.52111367e-03 -1.51637068e-02  4.00074018e-03 -1.40121965e-02
  6.03825610e-03  8.72073679e-03  7.46053330e-03 -1.62373621e-02
  9.25467063e-04  1.63343426e-02 -4.95928964e-03  9.68776958e-03
  8.92245845e-03 -1.88137003e-02 -1.95148150e-02  1.73178483e-02
  4.08657200e-03 -1.83819359e-02 -8.88146716e-03  6.52574236e-03
  5.35389904e+02  2.69716346e+01  1.07874019e+03  1.40403846e+00
  1.89082558e+03  8.21663462e+00  6.49176923e+02  3.36317308e+00
  4.12369231e+01  2.37019231e+00  3.45372212e+02  5.84807692e-01
  1.85520981e+03  1.57071038e+03  8.14144231e+00  7.04807692e-01
  2.76903846e+00  2.25961538e-02  6.43269231e-01  1.39423077e-02
  4.11538462e-01  1.49038462e-02  5.80961538e+00  1.77884615e-02
  6.58653846e-01  5.09615385e-03  5.48076923e-02  2.18269231e-02
  2.01923077e-02  3.07692308e-03  2.32576923e+00  3.86538462e-02
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.63461538e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",1
"[ 1.51197433e-02 -9.07843510e-03  1.97897529e-02  4.34180686e-03
 -5.12120262e-03 -1.46849739e-02  3.69490533e-03  9.41317600e-04
 -1.13097266e-02  6.51555781e-04  1.16389917e-02 -2.76198978e-02
 -3.60021919e-03 -1.63803981e-02  9.86772078e-03  1.35806166e-02
  1.90287520e-03  8.44902574e-04 -8.51802141e-03  2.03375976e-02
  1.66636902e-02  2.22138381e-02  1.55142393e-02 -1.35659663e-02
  4.62602018e-03  5.10505214e-03 -1.71158394e-02  1.98107706e-03
 -1.09665955e-04  9.05852460e-04 -4.85467778e-03  1.26709035e-02
 -1.20689995e-02 -1.93835298e-03 -7.60010542e-03 -4.91520698e-03
  1.91507252e-03  8.08361488e-05  2.13182324e-02  6.77380080e-03
 -8.65156959e-03 -4.75724958e-03  5.88768090e-03 -1.41603043e-02
 -9.64298930e-03 -7.59449818e-03  1.14266478e-02 -1.35997812e-03
  2.28520540e-03  2.33837686e-02  4.35940309e-03 -9.11001342e-03
  3.09317479e-03  1.89843490e-02  5.71356325e-06  9.71952318e-03
 -7.06815793e-03 -1.01058236e-02 -1.32895264e-02  1.58690660e-02
  1.27394609e-02 -2.42817626e-02  1.62187851e-02  2.87448671e-03
  5.37233942e+02             nan  1.07715452e+03             nan
  1.87618548e+03             nan  6.47001442e+02             nan
  4.08848077e+01             nan  3.44089904e+02             nan
  1.71495471e+03  1.65970154e+03  7.84432692e+00  6.06538462e-01
  2.76855769e+00  2.75961538e-02  6.60576923e-01  2.84615385e-02
  4.05769231e-01  1.49038462e-02  5.85528846e+00  1.64423077e-02
  6.57692308e-01  5.00000000e-03  5.09615385e-02  2.21153846e-02
  2.11538462e-02  4.03846154e-03  2.50625000e+00  5.85576923e-02
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.63461538e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",1
"[ 1.26511450e-02  4.68626597e-03  1.21528263e-02  8.94458889e-03
 -3.74684383e-03 -2.45895551e-02  1.49206182e-02  8.66072682e-03
 -1.44209999e-02 -1.75639928e-03  1.81052393e-02 -7.52420466e-03
 -1.22342478e-02 -1.30334786e-02  7.39468548e-04  4.03913773e-03
 -5.16444251e-03  1.89213119e-03 -1.29317776e-02  2.24088360e-02
  1.68493585e-02  1.30384571e-02  1.29459330e-02 -1.99998544e-02
 -8.43509543e-03  8.82377630e-03 -1.43653551e-02  1.04034961e-02
  6.26700930e-05 -1.93187883e-03 -5.21532806e-03  1.04660339e-02
 -1.35541834e-02 -1.18419214e-02  2.78510500e-03 -4.66828195e-03
  2.85697254e-03  8.76972826e-03  1.98628643e-02  2.01187240e-03
  9.02324743e-03  1.36632956e-03 -1.38584758e-02 -6.54472489e-03
 -1.58135436e-03 -9.00878759e-03 -3.85549806e-03 -6.65440726e-03
  2.43237960e-03  1.45397117e-02  5.67434957e-03  1.05192124e-02
  9.20535137e-03  1.39438448e-02  1.07558998e-02  6.75569994e-03
  7.74930296e-03 -9.81361827e-03 -1.04595274e-02  8.92661412e-03
  4.98857044e-03 -2.24857895e-02  6.54133789e-03  5.39984072e-03
  5.38784712e+02             nan  1.07536721e+03             nan
  1.86418279e+03             nan  6.46488942e+02             nan
  4.10942308e+01             nan  3.42644904e+02             nan
  1.34603260e+03  1.26837115e+03  7.60019231e+00  8.53269231e-01
  2.76875000e+00  2.75000000e-02  6.75000000e-01  1.49038462e-02
  4.08653846e-01  1.51923077e-02  5.89807692e+00  1.77884615e-02
  6.59615385e-01  5.00000000e-03  5.57692308e-02  2.22115385e-02
  2.11538462e-02  4.03846154e-03  2.74471154e+00  8.13461538e-02
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.63461538e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",1
"[ 1.69650213e-02  2.80365119e-03  1.80395125e-02  1.59555679e-03
 -1.04983144e-02 -2.46836106e-02  6.69341688e-03 -1.11651010e-02
 -1.41278707e-02 -5.84655423e-03  1.51411644e-02 -1.90262412e-02
 -5.71892801e-03 -1.33167832e-02 -4.23645887e-03  9.72603838e-03
  3.89128601e-03  2.08721666e-03  1.70549373e-04  1.71539023e-02
  1.50569536e-02  1.69144163e-02  1.46423296e-02 -1.90071941e-03
 -3.63426487e-03  1.12531760e-02 -1.57274915e-02  6.30903369e-03
  9.53547037e-03  4.14654039e-04 -2.65543707e-04  8.36414878e-03
 -1.55550358e-02 -1.08062374e-02 -2.88853841e-03 -1.11353701e-02
 -4.46646346e-03 -3.13507080e-03  1.70535722e-02  6.18159814e-03
  6.60447543e-04 -5.20927753e-03 -1.28559928e-02 -6.65810441e-03
  2.08313190e-03 -1.59706215e-02  5.96810815e-03 -9.73888424e-03
  1.00002263e-02  1.80988158e-02  7.36812388e-03 -1.85930811e-03
  1.69634362e-03  2.05641429e-02  3.02804192e-03 -5.38443609e-04
 -3.17566158e-03 -7.16968125e-03 -1.40064114e-02  8.08531589e-03
  1.56260029e-02 -2.05436319e-02  2.04639119e-02  5.95607143e-03
  5.30267115e+02             nan  1.07515942e+03             nan
  1.86066673e+03             nan  6.47155481e+02             nan
  4.22907692e+01             nan  3.42062115e+02             nan
  2.18074798e+03             nan  8.36173077e+00             nan
  2.76826923e+00             nan  6.70673077e-01             nan
  4.15865385e-01             nan  5.92932692e+00             nan
  6.58653846e-01             nan  5.52884615e-02             nan
  1.92307692e-02             nan  2.94509615e+00             nan
  1.92307692e-02             nan  9.61538462e-03  0.00000000e+00
  1.63461538e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",1
"[ 0.01865117 -0.00193558  0.00932606  0.006166   -0.00456523 -0.0064973
  0.00627394 -0.00231562 -0.00890396 -0.00985623  0.0175871  -0.01078192
  0.00404717 -0.0107859  -0.00368682  0.01426322 -0.0034064  -0.0056738
 -0.01258245  0.01918055  0.01137989  0.01555572  0.01220994 -0.02727018
 -0.00915738  0.0136512  -0.02687672 -0.00624724  0.00762628 -0.00155766
 -0.00539158  0.00290502 -0.01531149 -0.01975148 -0.0032339   0.00115068
  0.00823175  0.0016613   0.02498682  0.00830557  0.0057733  -0.00795895
 -0.00132722 -0.0057294   0.00190143 -0.00475715 -0.00270568 -0.02137045
 -0.00240069  0.00826804  0.01277892 -0.00115983 -0.00397983  0.0098229
  0.00275556 -0.00250963  0.00185386 -0.00625209 -0.00771016  0.01610997
  0.00251121 -0.02282715  0.00719636 -0.00070454         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan]",1
