Embedding,Label
"[ 1.16791914e-02 -1.17696874e-02  1.51652505e-02  1.53109553e-03
 -6.53436021e-03 -1.73815946e-02  7.13498260e-03  8.10773889e-03
 -2.85223241e-03  8.28716736e-03  1.85974895e-02 -1.94037251e-02
 -3.82654870e-04 -1.36821281e-02  1.99734742e-03  1.06653298e-02
  7.58584055e-03  6.60413325e-03 -9.70667121e-03  1.50950317e-02
  9.07054682e-03  1.40341834e-02  9.47417124e-03 -1.55755027e-02
 -3.69770019e-03  8.85544837e-04 -1.66440930e-02 -6.86258490e-04
  1.08411378e-02  6.59296672e-03 -9.19268640e-03  1.57810480e-02
 -1.52473486e-02 -1.17221056e-02 -6.74847012e-03 -9.30256715e-03
 -1.15110020e-02  1.69554981e-03  2.26593945e-02 -8.73400303e-03
 -8.98941552e-03  2.69650184e-03 -1.29055616e-03 -4.59313357e-03
 -3.64785795e-03 -8.53943495e-03 -7.43585585e-04 -9.20860727e-03
  1.24555009e-02  2.31278971e-02  6.37006041e-03 -1.44393374e-02
  5.77795802e-03  1.90206667e-02  7.30006737e-03  8.38664210e-03
 -1.44668842e-02 -3.36344404e-03 -1.69149197e-02  1.45563214e-02
  1.08378898e-02 -1.83024866e-02  1.53185565e-02  3.32269638e-04
  4.76644135e+02  3.78176923e+01  1.04168750e+03  1.21280769e+01
  5.25628462e+02  2.79528846e+00  4.96361154e+02  2.93701923e+00
  3.96889423e+01  2.21413462e+00  3.34797404e+02  9.26923077e-01
  1.55179538e+03  1.44185721e+03  8.93586538e+00  8.40576923e-01
  2.80663462e+00  2.14423077e-02  6.78846154e-01  2.59615385e-02
  4.08653846e-01  1.48076923e-02  5.98413462e+00  1.64423077e-02
  6.59134615e-01  4.90384615e-03  3.36538462e-02  2.14423077e-02
  3.99038462e-02  3.55769231e-03  2.49759615e+00  7.75961538e-02
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.63461538e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.17312658e-02 -1.37150524e-03  2.50191170e-02 -1.56997438e-02
 -1.55592434e-02 -2.24432818e-02  5.07608493e-03  1.12792241e-02
 -7.06125862e-03  6.21481120e-03  2.57590514e-02 -1.60022687e-02
  6.50974581e-03 -8.01630478e-03 -2.43019975e-03  1.12016601e-03
  3.90548576e-03  7.52841124e-03 -1.27961594e-02  1.30239931e-02
  1.98182965e-02  1.07528077e-02  9.14612198e-03 -3.08710467e-03
 -9.31014644e-03  1.15932382e-02 -2.95765900e-02 -6.31362723e-03
  9.48340428e-03 -6.07108267e-03 -1.04786726e-02  5.63181585e-03
 -7.81179111e-03 -1.08893351e-02  7.13194577e-03  4.70019408e-03
  2.37960789e-03  4.27229542e-03  1.54329960e-02 -2.22740406e-03
  9.80320474e-03 -3.10259173e-03 -8.10170029e-03 -1.23811008e-03
 -1.84290604e-03 -1.06939659e-02  3.54203454e-03 -1.51998596e-02
  1.81247427e-03  1.33004313e-02  9.68810766e-03 -2.08822722e-03
  1.91879462e-03  1.86159366e-02  1.52252139e-02  1.23924832e-02
 -1.17593624e-03 -1.54797842e-02 -6.39294821e-03  9.95738877e-03
  1.40687069e-02 -1.52774910e-02 -3.53742197e-03 -1.53075248e-03
  4.69826827e+02  2.68600962e+01  1.03645721e+03  2.57500000e+00
  5.26840096e+02  3.19903846e+00  5.01137981e+02  3.45201923e+00
  3.96375962e+01  2.30086538e+00  3.37141538e+02  9.86346154e-01
  1.75222394e+03  1.58850673e+03  8.84105769e+00  6.67884615e-01
  2.80153846e+00  2.48076923e-02  6.76923077e-01  2.49038462e-02
  4.07211538e-01  1.47115385e-02  6.03105769e+00  1.80769231e-02
  6.58173077e-01  4.90384615e-03  3.41346154e-02  2.17307692e-02
  4.03846154e-02  3.94230769e-03  2.29875000e+00  2.77884615e-02
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.63461538e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.78287839e-02 -3.07326671e-04  1.65283025e-02  9.23369594e-03
 -1.29950131e-02 -1.42817378e-02  4.77046656e-03  1.56605683e-02
 -1.31648353e-02 -2.65355683e-03  7.30722168e-03 -1.94558906e-02
 -3.74607813e-03 -1.16173323e-02 -9.87223099e-04  3.54764292e-03
  1.09868737e-02  2.32170904e-03 -1.06936367e-02  1.13179791e-02
  1.78752008e-02  2.15045080e-02  6.68104853e-03 -2.06855660e-02
 -1.52231333e-02  1.31155229e-02 -2.71864608e-02  2.95439696e-03
 -1.09264212e-02  1.26837538e-03 -5.23952542e-03  1.04747796e-02
 -1.91157113e-02 -1.66313360e-02  1.71738455e-03 -6.96552713e-03
  6.22314559e-03  3.25610848e-03  1.48433786e-02 -1.71786128e-03
  4.56571792e-03 -1.53904062e-03 -2.64927431e-03  4.66755108e-04
  2.78343728e-03 -1.75248705e-02 -3.74156391e-04 -1.19678756e-02
 -1.47461508e-03  1.66294262e-02  6.56813340e-03 -8.69765537e-03
  3.52618929e-03  2.33038378e-02  4.60691532e-03  1.75776673e-02
  1.20709488e-02 -1.67124574e-02 -8.88447367e-03 -6.70517164e-03
  9.00178184e-03 -1.78788734e-02  8.34340147e-03  3.98636505e-03
  5.02704135e+02  5.44834615e+01  1.04190058e+03  3.87692308e+00
  5.21206346e+02  7.08490385e+00  6.08188269e+02  7.13400000e+01
  4.00053846e+01  2.48701923e+00  3.38088654e+02  1.03759615e+00
  1.61134356e+03  1.41208038e+03  8.84759615e+00  8.39903846e-01
  2.80182692e+00  2.43269231e-02  6.66826923e-01  3.41346154e-02
  4.10096154e-01  1.47115385e-02  6.08317308e+00  2.25961538e-02
  6.58653846e-01  4.90384615e-03  3.60576923e-02  2.14423077e-02
  3.99038462e-02  3.55769231e-03  2.27442308e+00  6.34615385e-03
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.63461538e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 8.98300547e-03  4.21996759e-03  2.42233268e-02  1.03568978e-02
 -6.27608594e-03 -2.10460079e-02  8.83896857e-03  3.89144682e-03
 -3.29946633e-03 -2.90880775e-03  1.72583311e-02 -1.75534012e-02
 -9.08617887e-03 -1.00917242e-02 -4.09669117e-03  7.09298164e-03
  9.25448644e-03  8.00321765e-03 -1.17184013e-02  1.26332042e-02
  2.71756170e-02  2.21457999e-02  1.85617115e-02 -1.62626043e-02
 -7.90870211e-04  1.00379389e-02 -2.11377199e-02  1.31721676e-03
 -3.70746749e-03  6.11081527e-04  3.36571529e-03  1.35237961e-02
 -8.65570083e-03 -1.08869639e-02  2.14620970e-03 -4.02726914e-03
  1.28218666e-02 -8.18155419e-05  1.43719747e-02 -2.21194621e-03
  1.00085806e-03 -3.07414448e-03 -1.54494168e-03 -2.30283987e-03
 -3.50611958e-03 -4.30761174e-03 -1.72396140e-03 -7.92202601e-03
  3.76322982e-03  2.10331855e-02  1.55199328e-04  3.19684010e-03
  5.02650301e-03  1.15689336e-02  1.09085748e-02  1.98038878e-02
 -1.69395135e-03 -3.66226218e-03 -1.32412671e-02  7.79009736e-03
  1.31019578e-02 -2.60523989e-02  1.15495094e-02  4.74507986e-03
  5.19617308e+02  2.64559615e+01  1.04014500e+03  2.89798077e+00
  5.19312885e+02  3.26028846e+00  6.50297404e+02  4.49817308e+00
  4.00876923e+01  2.23038462e+00  3.35423558e+02  1.93201923e+00
  1.55096192e+03  1.44203202e+03  8.89653846e+00  6.75576923e-01
  2.79730769e+00  1.77884615e-02  6.62980769e-01  2.93269231e-02
  4.08653846e-01  1.48076923e-02  6.16076923e+00  2.86538462e-02
  6.59134615e-01  4.90384615e-03  3.36538462e-02  2.14423077e-02
  3.99038462e-02  3.55769231e-03  2.42028846e+00  1.22307692e-01
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.63461538e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",1
"[ 8.48731151e-03 -1.03644551e-02  2.27176104e-02  3.35715514e-04
 -6.10010444e-03 -1.27037244e-02  6.16366219e-03  7.06713271e-04
 -4.50747947e-03 -2.35928129e-03  9.56057757e-03 -1.77346196e-02
 -1.56186750e-03 -1.03646378e-02 -4.33231632e-03  9.15419962e-03
 -2.62869810e-03 -3.96551185e-03 -6.23776515e-03  2.44914187e-02
  1.41701196e-02  1.39821287e-02  1.52964237e-02 -1.52555383e-02
 -6.51431515e-03  1.41989286e-02 -2.30666049e-02  1.74250713e-03
 -1.24240612e-03  9.78266415e-04 -5.40188108e-03  3.76761368e-03
 -1.55632132e-02 -1.57502986e-02  3.95415039e-03 -5.91009877e-03
 -2.56519972e-03  1.95995065e-03  1.34292867e-02  2.58914483e-03
 -7.98171675e-03  4.31260246e-03 -7.97727217e-05 -7.31663067e-03
  9.10102855e-04 -4.19062322e-03  4.39905361e-03 -1.40081861e-02
 -5.58035498e-03  9.13516246e-03 -1.85923854e-03 -7.67987573e-03
  6.25140277e-03  2.18695489e-02 -4.66963759e-03  1.17754880e-02
 -2.75072441e-03 -1.88747058e-02 -8.99070605e-03  1.14745992e-02
  3.21220932e-03 -2.60970296e-02 -4.18943439e-03  6.09270559e-03
  5.19531635e+02  3.26895192e+01  1.03567346e+03  2.54846154e+00
  5.26930673e+02  1.82287500e+01  6.50713558e+02  4.69086538e+00
  3.95587500e+01  2.94394231e+00  3.34483654e+02  3.93298077e+00
  1.75460817e+03  1.60000885e+03  8.39653846e+00  9.16634615e-01
  2.80019231e+00  2.14423077e-02  6.52403846e-01  2.85576923e-02
  4.07307692e-01  2.41346154e-02  6.24259615e+00  2.41346154e-02
  6.71442308e-01  3.24038462e-02  3.41346154e-02  2.17307692e-02
  4.03846154e-02  3.94230769e-03  2.96798077e+00  1.26346154e-01
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.63461538e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",1
"[ 1.77703206e-02  2.97151073e-03  2.15630223e-02  1.01342669e-02
 -5.19833141e-03 -1.98367031e-02  3.80937744e-03  1.54601242e-03
 -9.61005206e-03 -2.97493319e-04  1.76785229e-02 -2.71862208e-02
 -4.39419228e-03 -7.64955081e-03 -6.29320180e-03  9.68034635e-03
 -7.04444685e-04 -3.66912023e-03 -1.32766539e-02  1.91921627e-02
  1.93323303e-02  1.91211998e-02  1.73450872e-02 -9.64241355e-03
 -2.36454130e-03  4.13572143e-03 -1.79043800e-02 -7.42911487e-03
 -6.62302201e-03 -5.21958638e-03  2.09049906e-03  5.45579628e-03
 -1.25153786e-02 -8.50462061e-03 -7.03526736e-03 -1.09405641e-02
  8.15439109e-03 -1.71467501e-04  4.18124484e-03  3.82344671e-03
 -1.47090618e-02 -8.34606061e-03 -2.15732539e-03 -8.54901712e-03
 -2.96446359e-03 -1.33550886e-02  7.80575271e-03 -9.49451112e-03
  5.16987491e-03  1.89045913e-02  3.64353855e-03  2.72479299e-03
 -1.81056170e-03  1.78088588e-02  3.41941020e-04  1.51488958e-02
  4.44884906e-03 -4.77938705e-03 -1.17801079e-02  1.17972259e-02
  9.53992351e-03 -1.79717961e-02  6.79532091e-03 -6.81739399e-03
  5.42348462e+02  3.09694231e+01  1.03539048e+03  6.00278846e+00
  9.39795385e+02  2.43475865e+02  6.43618173e+02  5.07625000e+00
  4.29350962e+01  1.63365385e+00  3.29223365e+02  2.25096154e+00
  1.60625067e+03  1.41172481e+03  8.68326923e+00  7.28557692e-01
  2.80153846e+00  2.35576923e-02  6.53653846e-01  1.61538462e-02
  3.90865385e-01  1.47115385e-02  6.19028846e+00  4.35576923e-02
  6.58653846e-01  4.90384615e-03  3.60576923e-02  2.14423077e-02
  3.99038462e-02  3.55769231e-03  3.29153846e+00  6.45192308e-02
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.63461538e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",1
"[ 1.14716521e-02  2.05114664e-03  2.03332396e-02  3.02435135e-03
 -5.57293651e-03 -1.72907281e-02  1.47737639e-02 -3.36955360e-03
 -1.28679568e-02  1.65834406e-03  1.43622656e-02 -2.17705286e-02
  1.53455301e-03 -7.87305985e-03  2.34616175e-03  1.68833068e-02
  3.44005745e-03  1.64119250e-03 -1.34504877e-03  2.33852158e-02
  1.81537570e-02  2.06196404e-02  1.04964973e-02 -1.04632577e-02
 -1.05501676e-02  3.64352926e-03 -1.84365529e-02  1.86303560e-03
  1.01691975e-02  5.28004356e-03  6.89814140e-03  1.03177194e-02
 -1.48167409e-02 -1.64606884e-02 -6.52869826e-03 -6.84804539e-03
  6.20645434e-03 -7.96977395e-04  1.86158614e-02  7.04653160e-03
  5.04747540e-03 -7.83714070e-03 -2.56909697e-03  7.80583138e-04
 -1.07356927e-03 -9.45070849e-03 -2.45273113e-05 -1.60589657e-02
  1.83688512e-03  2.34491013e-02 -1.60419859e-03 -8.15861395e-03
  1.65221381e-03  1.32102723e-02 -3.53427544e-03  1.29045200e-02
 -4.11724455e-03 -3.08221383e-03 -1.64209489e-02  6.90425705e-03
  1.25000224e-02 -2.24323470e-02  7.94755859e-03  3.14468298e-03
             0             0             0             0
  1.83375076e+03  3.47300000e+02  6.38221714e+02  3.73209524e+00
  4.29653333e+01  9.98476190e-01  3.26348381e+02  1.86200000e+00
  1.53232638e+03  1.42783819e+03  8.20180952e+00  7.14666667e-01
  2.77114286e+00  1.97142857e-02  6.49523810e-01  1.43809524e-02
  3.85714286e-01  1.46666667e-02  6.08047619e+00  1.03809524e-02
  6.52857143e-01  4.85714286e-03  3.33333333e-02  2.12380952e-02
  3.95238095e-02  3.52380952e-03  3.32380952e+00  0.00000000e+00
  1.90476190e-02  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.61904762e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",1
"[ 4.39135613e-03 -3.25948207e-03  1.20852692e-02  4.99740921e-03
 -1.72199178e-02 -1.85148238e-02  4.39001575e-03 -9.83429132e-04
 -1.06415688e-02  6.95350685e-03  2.03380198e-02 -1.71560143e-02
  1.43713213e-03 -1.87116842e-02  3.98876883e-03  1.54230987e-02
  1.36957088e-02  9.38386485e-03 -5.77145538e-03  2.76881433e-02
  1.38511148e-02  2.34889682e-02  1.83970532e-02 -1.28343444e-02
 -1.60160205e-03  8.23654324e-03 -2.03428213e-02  2.29571547e-03
 -2.73733622e-05  8.37349679e-03 -3.60903924e-03  1.28398457e-02
 -1.30958614e-02 -5.97477795e-03 -1.49866697e-02 -1.11710925e-02
  5.43140427e-03 -9.53334185e-03  1.42640655e-02 -1.87936603e-03
 -1.79019752e-04 -1.41800333e-02  8.48167468e-03 -7.93490132e-03
 -5.69673211e-03 -6.56820002e-03  6.51239850e-03 -7.01815662e-03
  1.82927532e-02  2.03411904e-02  9.97001124e-03 -7.63557408e-03
  7.56790837e-03  2.56186858e-02 -6.64301742e-03  1.72335208e-02
  3.22874309e-03 -2.80327549e-03 -1.88448759e-03  1.91182577e-02
  1.27511648e-02 -1.78901159e-02  4.59204557e-03  3.48685004e-03
             0             0             0             0
  2.86165457e+03  3.07725143e+02  5.59765143e+02  7.96574286e+01
  4.32234286e+01  1.60352381e+00  3.25298286e+02  1.01676190e+00
  1.73093343e+03  1.57335505e+03  8.40971429e+00  8.07238095e-01
  2.77361905e+00  2.22857143e-02  6.46666667e-01  1.34285714e-02
  3.89238095e-01  1.93333333e-02  6.06095238e+00  1.23809524e-02
  6.51904762e-01  4.85714286e-03  3.38095238e-02  2.15238095e-02
  4.00000000e-02  3.90476190e-03  3.26819048e+00  7.83809524e-02
  1.90476190e-02  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.61904762e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",1
"[ 1.15218838e-02 -3.78682618e-03  1.51347107e-02 -2.40123279e-03
 -1.13492075e-02 -2.24436568e-02  1.40229699e-02  1.13876166e-03
 -1.20996889e-02 -3.96341687e-03  2.12550394e-02 -1.31125250e-02
  3.88524681e-03 -8.63523068e-03 -2.70939018e-03  7.27375742e-03
 -9.09126113e-04  8.75153280e-03 -1.29879320e-02  2.43881128e-02
  2.23736064e-02  1.47199102e-02  1.24429093e-02 -1.34351529e-02
 -4.93349719e-03  8.81727434e-03 -3.23738906e-02  1.39909305e-03
  1.09657996e-03  5.54900534e-03 -8.01766685e-04  1.26213257e-02
 -8.40203708e-03 -1.22533540e-02  1.12288793e-04 -1.79958307e-03
  4.76417305e-03  3.13958518e-03  2.05731320e-02  6.66792906e-03
 -7.81243280e-03 -2.14228304e-03  2.32565163e-03 -1.65724124e-02
 -7.08192078e-03 -4.81424345e-03  1.14214163e-02 -1.49148084e-02
  7.83826278e-03  1.61213289e-02  5.15503923e-03  4.40542506e-03
 -4.96542435e-03  1.91956978e-02  6.82604235e-03  1.35593398e-02
  2.69460503e-03 -5.85455175e-03 -8.41134359e-03  8.55129248e-04
  1.21094185e-02 -2.96821163e-02  6.34658946e-03 -8.72850661e-03
  4.78395769e+02             0  1.03012663e+03             0
  3.44359692e+03             0  4.87709135e+02             0
  4.21685577e+01             0  3.30913269e+02             0
  1.63448683e+03             0  8.05134615e+00             0
  2.80605769e+00             0  6.53846154e-01             0
  3.92403846e-01             0  6.07355769e+00             0
  6.58653846e-01             0  3.45192308e-02             0
  4.00961538e-02             0  3.00278846e+00             0
  1.92307692e-02             0  9.61538462e-03  0.00000000e+00
  1.63461538e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",1
"[ 0.00755642 -0.00264956  0.00894094 -0.00258808 -0.00022241 -0.01977282
  0.0165781  -0.00137195 -0.0164532   0.00452234  0.02341988 -0.01935361
  0.00181796 -0.01359039 -0.00181681  0.01003081  0.00329754  0.00463777
 -0.0008201   0.01358665  0.01270551  0.01655737  0.00850508 -0.00861013
  0.00301022  0.00138959 -0.01590911 -0.00095908  0.00046507  0.00975465
 -0.00480524  0.01241879 -0.01476711 -0.01588409 -0.01349565 -0.00797303
  0.00321212  0.00730697  0.02570265 -0.00474009 -0.00229305  0.0027995
 -0.00681365 -0.01216456 -0.00330793  0.00035059 -0.00121961 -0.01485311
  0.01672119  0.01378137  0.00943984  0.00346835  0.00899355  0.01720718
  0.00173715  0.00333342 -0.00772426 -0.0052324  -0.00947948  0.00977298
  0.00402762 -0.01982915  0.00476355  0.00315143         0         0
         0         0         0         0         0         0
         0         0         0         0         0         0
         0         0         0         0         0         0
         0         0         0         0         0         0
         0         0         0         0         0         0
         0         0         0         0         0         0
         0         0         0         0         0         0]",1
