Embedding,Label
"[ 2.58914030e-02 -2.21251430e-03  2.03342701e-02 -1.84961018e-05
 -1.02101289e-02 -1.89141195e-02 -1.72392838e-03  3.44055501e-03
 -4.01078927e-04  5.03201900e-03  2.83934381e-02 -1.18178622e-02
  1.69039464e-03 -1.00733353e-02 -6.19327171e-04  2.07903392e-03
  2.05712115e-03  1.23076187e-02 -1.37717318e-02  1.33110637e-02
  1.45150164e-02  1.26187590e-02 -1.14718080e-03 -1.31762036e-02
 -9.93353613e-03  2.79092051e-03 -1.69776612e-02 -3.56794574e-03
  5.62326255e-03 -5.06941132e-04 -8.53894837e-03 -1.29904643e-03
 -1.14621743e-02 -1.60311889e-02 -7.03977783e-03 -1.61801293e-03
  4.87423387e-04  7.53319086e-04  2.45654258e-02  4.51764079e-03
 -1.25758204e-03 -6.04896962e-03 -7.95920789e-03 -2.43784276e-02
  4.45380388e-03 -6.31332646e-03  1.50692402e-03 -2.10282863e-02
  1.35927369e-02  4.50819986e-03  1.31812328e-02  8.38235327e-04
  4.99971097e-03  1.73816986e-02  1.13930122e-03  1.48932057e-02
  8.44003336e-03 -6.63659048e-03 -1.16979972e-02  2.00803801e-02
 -1.24871245e-03 -2.01101228e-02 -4.00440600e-03  4.37790367e-03
  4.86249524e+02  4.46240952e+01 -2.92172814e+06  5.76691659e+06
  5.50676381e+02  1.41294286e+01  4.78643524e+02  7.69333333e+00
  4.27260000e+01  3.29885714e+00  3.27289048e+02  3.34666667e-01
  1.32993352e+03  7.43998000e+02  7.59971429e+00  2.59000000e+00
  2.71076190e+00  3.36285714e-01  6.63428571e-01  3.03809524e-02
  3.37809524e-01  1.44761905e-02  5.40742857e+00  2.56190476e-01
  6.73333333e-01  9.71428571e-03  4.65714286e-02  2.86666667e-02
  1.97142857e-02  1.70476190e-02  2.27619048e+00  0.00000000e+00
  1.90476190e-02  0.00000000e+00  7.04761905e-03  4.28571429e-03
  1.35428571e-01  5.52380952e-02 -1.04761905e-03  1.40952381e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.00048226e-02 -1.84217402e-03  1.08386366e-02  5.73739108e-03
 -4.40700969e-03 -1.68674604e-02  8.07448817e-03  7.63239747e-03
 -9.43946838e-03 -5.42649999e-03  1.05401239e-02  2.87577035e-03
 -2.73365849e-03 -3.36970838e-03 -1.89405371e-03  5.48687397e-03
  2.30078618e-03  1.61509357e-03 -8.62516591e-03  1.50108504e-02
  6.38750838e-03  1.01686503e-02  1.60213344e-02 -6.00522699e-03
 -3.03051520e-03  1.03144358e-02 -1.70166043e-02  4.27121682e-04
  3.51326990e-04 -4.51724369e-03 -3.49211975e-03  9.61256637e-03
 -1.40008908e-02 -1.53033207e-02  6.61142639e-03 -5.86968066e-03
  3.81850849e-03 -1.81961782e-03  1.89912338e-02  1.26185474e-02
  3.79228733e-03 -3.16594156e-03  1.93349649e-03 -6.46646167e-06
 -6.32781696e-04 -6.52885150e-03 -5.08458681e-03 -1.63495419e-03
  4.41495367e-03  8.51449974e-03 -3.15430300e-03 -1.09066371e-03
  2.58772409e-03  1.29630173e-02  6.97402025e-03  1.40854574e-02
  3.04356345e-03 -7.08899467e-03  1.34305736e-04 -2.70486453e-03
  1.04441864e-02 -1.65242905e-02  5.73841148e-05  1.17291642e-02
  2.41101724e+02  4.63125862e+01  8.69622069e+02  1.15482759e+00
  8.56591724e+02  1.05448276e+00  2.28284483e+01  1.60172414e-01
  2.36496552e+01  1.95344828e-01  2.30520690e+01  1.73275862e-01
  1.96641845e+03  1.14287086e+03  2.10517241e-01  9.36206897e-02
  5.80689655e-01  7.39655172e-02  4.81034483e-02  4.18965517e-02
  5.43103448e-01  2.62068966e-02  1.46551724e-02  6.20689655e-03
  7.55172414e-02  2.43103448e-02  4.72413793e-02  4.72413793e-02
  2.67241379e-02  3.29310345e-02  0.00000000e+00  0.00000000e+00
  3.44827586e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  9.55172414e-02  1.05172414e-01 -3.44827586e-02  0.00000000e+00
  1.37931034e-03  4.65517241e-03  3.98275862e-02  2.22413793e-02]",0
"[-4.19004634e-03  2.07546819e-03  7.15718877e-03  9.02210119e-03
 -7.55372672e-03 -1.30710550e-02  8.91488103e-03  4.34029246e-03
 -8.30749365e-03 -8.03559531e-03  1.03312493e-02  4.72970164e-03
 -3.68300467e-03  5.17351954e-03  3.71360005e-03 -4.39622314e-04
 -4.33423370e-03  6.65881277e-04 -4.33306589e-03  4.61061542e-03
 -2.89686640e-03  3.04808088e-03  8.47989034e-03 -3.73517163e-03
  1.43258098e-03  9.62005928e-03 -1.07036213e-02  3.95691911e-03
 -1.16778308e-02 -6.16303774e-03 -5.63000859e-03 -4.87809442e-03
 -5.31621363e-03 -1.13968047e-02  7.24309368e-03 -3.09374040e-03
 -5.71774605e-04  5.11663339e-04  4.82029007e-03  6.37654645e-04
 -1.44813303e-03  4.88549399e-03 -7.78278594e-03  3.93717729e-03
  4.64595442e-03  9.38779925e-04 -2.41007670e-03  7.79255694e-03
  4.15771326e-03  4.73272944e-03 -3.98917721e-03  3.77220689e-03
 -8.13309594e-04  6.55660699e-03  8.42371956e-03  7.02645572e-03
  6.98297815e-03 -5.98517089e-03 -2.92901308e-03  7.54460105e-03
  1.18567585e-03 -1.17917703e-02 -4.13708862e-03 -1.38302592e-03
  2.65274615e+02  5.09709615e+01  9.69763077e+02  1.16692308e+00
  6.66740962e+02  1.37903846e+00  2.53511538e+01  2.12884615e-01
  2.45711538e+00  2.22115385e-01  2.56123077e+01  1.87884615e-01
  2.14398712e+03  1.27422538e+03  1.96923077e-01  8.69230769e-02
  6.30961538e-01  6.34615385e-02  5.92307692e-02  2.78846154e-02
  6.09230769e-01  3.67307692e-02  1.57692308e-02  7.50000000e-03
  7.90384615e-02  1.94230769e-02  5.34615385e-02  5.48076923e-02
  2.44230769e-02  3.55769231e-02  0.00000000e+00  0.00000000e+00
  3.84615385e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  8.53846154e-02  1.13653846e-01 -3.84615385e-02  0.00000000e+00
  2.11538462e-03  6.15384615e-03  5.76923077e-02  0.00000000e+00]",0
"[ 5.03151928e-04  1.54642755e-03  7.96719583e-03  6.38288345e-03
 -1.85896852e-03 -1.13831343e-02  3.46463747e-03  4.85412544e-03
 -4.36805905e-04 -2.25014591e-03  1.31882997e-02  5.90662445e-04
  7.20749953e-03 -4.64149278e-03 -2.13133340e-03  1.76201034e-03
 -2.21971992e-03  2.72525252e-03 -1.30925861e-03  3.65776712e-03
  2.37916514e-03  8.86103883e-03  9.79672458e-03 -1.00106588e-02
  6.28617377e-04  1.08599866e-02 -1.08209207e-02  1.14089738e-03
 -4.19771757e-03  7.91524501e-04 -4.70117795e-03  3.62483416e-03
 -1.21191998e-02 -4.03268349e-03  1.73091629e-03  1.10504332e-03
  1.68833760e-03  7.73391042e-03  1.32005977e-02 -2.10984508e-03
  8.27791792e-04  1.37281475e-03  2.11736578e-03 -3.24941384e-03
 -2.42986666e-03  1.78648768e-03  1.34436270e-04 -2.14283476e-03
 -3.86639842e-03  1.11133290e-03  4.70322542e-03  3.28368292e-04
 -5.30793976e-04  1.22185647e-02  6.79471430e-03 -3.22207393e-03
  4.24420504e-03 -3.63876255e-03 -8.46775994e-03 -2.49144215e-03
  3.18264736e-03 -1.37865291e-02 -1.38219442e-03 -5.24710635e-03
  2.65088077e+02  5.12576923e+01  9.70200000e+02  4.94423077e-01
  6.67458846e+02  1.43596154e+00  2.53144231e+01  1.37307692e-01
  2.66288462e+00  2.18653846e-01  2.55878846e+01  2.03269231e-01
  2.20927827e+03  1.29440827e+03  2.12692308e-01  4.69230769e-02
  6.24230769e-01  4.98076923e-02  6.75000000e-02  3.71153846e-02
  6.04615385e-01  2.90384615e-02  1.61538462e-02  7.11538462e-03
  8.61538462e-02  9.61538462e-03  4.96153846e-02  4.26923077e-02
  3.46153846e-03  7.50000000e-03  0.00000000e+00  0.00000000e+00
  3.84615385e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -3.84615385e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.76923077e-02  0.00000000e+00]",0
"[-2.69624058e-03 -3.76762683e-03  9.95509473e-03  6.25683718e-03
 -3.92075730e-03 -1.03381115e-02  2.83893154e-03  4.50825815e-03
 -4.08321122e-03 -4.62508377e-04  1.43419241e-02  3.83071205e-03
  3.03374702e-03 -5.29603017e-03 -4.57803102e-03 -1.92734424e-03
 -3.30065863e-03  1.70647514e-03 -7.22621630e-03  7.86059353e-04
  2.57161902e-03  6.38412626e-03  7.53422198e-03 -1.68398059e-03
 -1.57364516e-03  9.08191268e-03 -5.80685659e-03 -5.51207247e-04
 -3.02195929e-03 -4.10564540e-03 -6.37549834e-03 -3.40667119e-03
 -1.10719613e-02 -5.87363833e-03  1.01032937e-03  1.83083080e-03
  2.61486395e-03 -2.21777587e-03  1.68906754e-02  2.13954101e-03
  5.05808478e-03  1.50971703e-03  1.01261527e-03 -8.48300317e-04
  8.75546652e-04 -2.62511339e-03 -4.30428670e-03 -5.16661695e-03
  5.21750778e-03 -4.13738717e-03  7.06060508e-03 -2.45431473e-03
  3.51096785e-03  8.17334696e-03  8.38300644e-03 -8.66705077e-04
  3.06598481e-03 -7.49306147e-03 -3.09020896e-03  2.88326790e-03
  7.41341418e-03 -1.25316487e-02 -4.05265538e-03  3.28651728e-03
  2.70416275e+02  5.24486275e+01  9.89090000e+02  5.42549020e-01
  6.80998627e+02  9.54705882e-01  2.58096078e+01  1.38431373e-01
  1.74529412e+00  2.16666667e-01  2.60831373e+01  1.87647059e-01
  2.17593098e+03  1.26651647e+03  2.19607843e-01  4.49019608e-02
  6.15294118e-01  6.39215686e-02  7.07843137e-02  3.80392157e-02
  6.18235294e-01  2.98039216e-02  1.62745098e-02  7.45098039e-03
  8.03921569e-02  1.98039216e-02  5.13725490e-02  4.21568627e-02
  3.33333333e-03  7.45098039e-03  0.00000000e+00  0.00000000e+00
  3.92156863e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -3.92156863e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.88235294e-02  0.00000000e+00]",0
"[ 3.68473206e-03 -1.09704125e-02  2.40676306e-03  3.33884108e-03
 -3.68049291e-03 -1.62414679e-02 -2.64667548e-06  6.86511569e-03
 -5.64975492e-03  2.02041234e-03  1.23824821e-02 -1.95692594e-03
  2.67853559e-03  2.15051982e-04  3.83895793e-03 -4.70339818e-05
  5.87322391e-04  6.97551782e-03 -6.77484761e-03  1.85287815e-03
  2.39503405e-03  8.51944891e-03  9.65803145e-03 -2.33626136e-04
  4.05270363e-03  4.27436538e-03 -7.71653022e-03 -3.97770872e-03
 -5.71271952e-03 -8.34358727e-03 -7.97590986e-03 -1.90566455e-03
 -3.95679854e-03 -3.23957789e-03  2.02546297e-03  3.81833372e-03
  3.23413212e-03 -1.84161123e-03  1.40903265e-02  3.50786115e-03
  5.54225622e-04  2.30447031e-04 -3.82092996e-03  7.59235941e-04
 -5.79438710e-04 -3.86791855e-03  1.23173901e-03 -5.05958827e-04
  6.12981746e-03  1.22792002e-02 -3.96890136e-03 -5.18576170e-05
  4.13134494e-03  1.06196676e-02  8.91024677e-03  8.35444176e-03
 -2.36587553e-03 -1.13965625e-02 -4.71122341e-03  1.14917698e-02
  1.15891483e-02 -8.79427619e-03  1.47123592e-03  3.04302759e-03
  2.65193654e+02  5.20525000e+01  9.69793654e+02  1.54115385e+00
  6.67361538e+02  1.65000000e+00  2.53301923e+01  1.64615385e-01
  1.91596154e+00  2.49038462e-01  2.55880769e+01  1.96730769e-01
  2.23616192e+03  1.28866288e+03  1.97692308e-01  7.19230769e-02
  6.23846154e-01  7.34615385e-02  7.26923077e-02  3.46153846e-02
  6.05769231e-01  2.92307692e-02  1.61538462e-02  7.11538462e-03
  7.53846154e-02  2.69230769e-02  4.88461538e-02  4.19230769e-02
  2.05769231e-02  3.42307692e-02  0.00000000e+00  0.00000000e+00
  3.84615385e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  7.01923077e-02  1.08653846e-01 -3.84615385e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.76923077e-02  0.00000000e+00]",0
"[ 1.63569832e-04 -3.01164980e-03  1.50250248e-02  3.09635627e-03
 -3.03243380e-03 -1.56115540e-02 -9.88036824e-04 -3.47267779e-03
 -4.72796794e-03 -1.00580715e-02  9.30474326e-03  2.72462997e-03
 -9.02756434e-04 -4.77012276e-03  2.48631624e-03  5.93745651e-04
 -8.43278834e-03 -1.47782001e-03 -7.29581771e-03  2.59877627e-03
  1.34292394e-03  1.30060763e-03  6.84168820e-03 -1.97767079e-03
 -1.83192148e-03  8.42897451e-03 -7.32952084e-03 -1.62149585e-03
 -4.87187849e-03 -4.78550247e-03 -1.25384061e-02 -3.80428608e-03
 -8.56459026e-03 -5.23863188e-03  8.00005662e-03  3.24908787e-04
 -1.18804916e-03  1.91207569e-03  7.36147581e-03  1.70493489e-03
  2.65941719e-03  5.02966717e-03 -6.76916740e-03 -3.21464262e-03
  4.96982568e-03 -5.25508534e-03  3.04243237e-03 -3.60811201e-04
  5.36422317e-03  2.32393674e-03  2.33028428e-03 -4.13173666e-03
 -9.00292607e-04  1.11918272e-02  1.08326215e-02  7.68605677e-03
  2.98682582e-04 -9.65651268e-03 -9.82448201e-03  9.02596546e-03
  7.55501768e-04 -1.27206112e-02 -1.39739379e-03 -4.21808603e-03
  2.64954808e+02  5.16163462e+01  9.68898269e+02  6.50192308e-01
  6.66666923e+02  1.18596154e+00  2.53898077e+01  1.97884615e-01
  2.08884615e+00  2.23269231e-01  2.56069231e+01  1.92500000e-01
  2.18456000e+03  1.24724077e+03  1.63461538e-01  5.73076923e-02
  6.32115385e-01  6.19230769e-02  7.63461538e-02  4.32692308e-02
  6.06923077e-01  2.90384615e-02  1.57692308e-02  7.50000000e-03
  6.19230769e-02  2.32692308e-02  5.57692308e-02  5.51923077e-02
  5.82692308e-02  1.92307692e-02  0.00000000e+00  0.00000000e+00
  3.84615385e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  2.20769231e-01  4.80769231e-02 -3.84615385e-02  0.00000000e+00
  2.50000000e-03  6.53846154e-03  5.76923077e-02  0.00000000e+00]",0
"[ 7.49187318e-03 -7.24925671e-03  1.23434826e-02  5.68246681e-03
 -8.49618193e-05 -1.63448815e-02 -7.75422244e-04  3.82102646e-03
  2.63375248e-04 -8.71422828e-03  1.05039827e-02  1.79929038e-04
  2.36737589e-03 -4.69602192e-03 -1.02662339e-03 -2.92620119e-03
 -4.23647493e-03 -2.38047379e-03 -4.60808147e-03  4.94991725e-03
  3.52234583e-03  8.30046321e-03  1.07078488e-02 -2.11633488e-03
 -3.67611559e-03  1.19634236e-02 -9.59360979e-03  5.93530109e-03
 -7.54058069e-04 -7.09093844e-03 -5.02342745e-03  1.31328112e-03
 -7.87553571e-03 -3.45631433e-03  2.73069195e-03 -7.36971404e-04
 -6.56443484e-04 -3.25782410e-03  1.86692874e-02  1.26957315e-02
  3.07054204e-04 -2.42254204e-03 -2.12761657e-03 -2.81868524e-03
  1.87319678e-03 -3.15479496e-03  3.14173858e-03  1.55701503e-04
  2.22691864e-03  6.33972508e-03 -5.59415907e-03  8.65657394e-04
  1.00174571e-03  1.01844917e-02  1.47766781e-03  8.90985014e-03
  4.66426656e-03 -1.15063071e-02 -2.75607780e-03  3.97294239e-03
  1.02301345e-02 -9.85041144e-03  2.56514381e-03  1.01205562e-02
  2.70560392e+02  5.25629412e+01  9.87390392e+02  7.06666667e-01
  6.80888235e+02  9.45882353e-01  2.58690196e+01  1.39411765e-01
  2.35058824e+00  2.12352941e-01  2.60831373e+01  1.99607843e-01
  2.16988647e+03  1.30532333e+03  1.89215686e-01  6.37254902e-02
  6.48627451e-01  6.07843137e-02  7.80392157e-02  4.01960784e-02
  6.16470588e-01  2.96078431e-02  1.64705882e-02  7.25490196e-03
  6.01960784e-02  3.11764706e-02  5.03921569e-02  4.33333333e-02
  5.47058824e-02  2.78431373e-02  0.00000000e+00  0.00000000e+00
  3.92156863e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  2.04509804e-01  8.09803922e-02 -3.92156863e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.88235294e-02  0.00000000e+00]",0
"[ 1.27597521e-02 -3.39091518e-03  1.39174222e-02  5.95666541e-03
 -4.84420432e-03 -1.20102646e-02  6.04446115e-03  2.52102184e-03
 -5.03171641e-03 -2.18563563e-03  6.87142067e-03 -6.37374263e-03
  3.79939713e-03  6.77098538e-05  2.82355179e-03  3.00940732e-03
 -4.95652080e-03  3.41797898e-03 -6.60345250e-03  1.07206444e-02
  3.23332612e-03  1.42686756e-02  1.02619315e-02 -4.70147433e-03
 -3.23177027e-03  8.45745995e-03 -1.02344810e-02  4.27781984e-03
 -3.51539524e-03  5.84905492e-04 -3.47207370e-03  3.71050250e-03
 -1.02557744e-02 -9.76631484e-03  2.26570200e-03 -7.94209554e-03
 -7.45397251e-03  4.24380980e-04  1.26491253e-02  5.79252518e-03
 -5.64908558e-03  1.47678404e-03  1.06116614e-03  4.03587345e-03
 -6.25377846e-03 -9.55176120e-05 -8.65612106e-05 -5.97491919e-03
 -1.34942114e-03  8.95418285e-03  3.05492592e-03 -6.38923370e-04
 -3.95735792e-03  8.59984405e-03 -6.89492871e-04  9.40029761e-03
 -9.85658928e-04 -1.35298763e-02 -3.79685302e-03 -2.07729229e-03
  9.86324455e-03 -1.30101305e-02  6.58487171e-04  5.96150164e-03
  2.70910980e+02  5.24850980e+01  9.88353725e+02  1.04176471e+00
  6.80903529e+02  9.61176471e-01  2.58274510e+01  1.66470588e-01
  2.53098039e+00  2.14313725e-01  2.60878431e+01  1.90588235e-01
  2.28058784e+03  1.31392255e+03  2.45882353e-01  8.56862745e-02
  6.34117647e-01  7.80392157e-02  7.39215686e-02  3.52941176e-02
  6.21764706e-01  3.82352941e-02  1.64705882e-02  7.25490196e-03
  7.70588235e-02  2.72549020e-02  5.41176471e-02  5.54901961e-02
  2.19607843e-02  3.52941176e-02  0.00000000e+00  0.00000000e+00
  3.92156863e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  7.56862745e-02  1.11960784e-01 -3.92156863e-02  0.00000000e+00
  2.15686275e-03  6.07843137e-03  5.88235294e-02  0.00000000e+00]",0
"[ 6.78079704e-03 -2.40791997e-03  1.20696936e-02  3.85705811e-03
  1.11915795e-03 -1.37763820e-02 -2.48263915e-03  6.49023772e-03
 -2.03792092e-03 -4.85992804e-03  8.67010825e-03 -2.03908101e-04
  3.17903753e-03 -5.70321585e-03 -5.68544578e-03  3.06410887e-03
 -2.54471553e-03 -2.06759710e-04 -5.75956967e-03  9.34359059e-03
  5.52966933e-03  3.09855297e-03  7.90309763e-03 -7.03747205e-03
 -5.04687414e-03  7.64999052e-03 -1.27946190e-02 -2.54478915e-03
 -9.79947786e-03 -1.00581888e-03 -3.76674361e-03  4.05676305e-03
 -7.39919452e-03 -5.50547027e-03  1.65933034e-03 -2.19675798e-03
 -2.23540758e-03 -1.83064688e-03  9.85900972e-03  6.77046896e-03
 -2.67366485e-03 -1.96603879e-04 -2.82633301e-03 -2.10998929e-03
  4.04468881e-04 -1.58826104e-03 -5.80690679e-03  2.50402799e-03
  4.61263568e-03  1.88503071e-03 -6.12967254e-03  1.84780556e-03
 -1.01558664e-03  1.19111784e-02  6.13733754e-03  6.83026245e-03
  2.04529574e-03 -8.07416231e-04 -8.87833536e-03  5.61323902e-03
  2.07868157e-03 -3.87520486e-03 -1.92244455e-03  6.22223633e-03
  2.65077308e+02  5.09488462e+01  9.69610577e+02  1.32903846e+00
  6.67813654e+02  9.74807692e-01  2.53138462e+01  1.62692308e-01
  2.68269231e+00  2.15000000e-01  2.55900000e+01  1.87884615e-01
  2.18487538e+03  1.24748077e+03  2.57115385e-01  9.65384615e-02
  6.18846154e-01  7.73076923e-02  5.86538462e-02  5.51923077e-02
  6.06923077e-01  2.90384615e-02  1.57692308e-02  7.50000000e-03
  7.78846154e-02  2.63461538e-02  5.86538462e-02  5.76923077e-02
  1.09615385e-02  2.78846154e-02  0.00000000e+00  0.00000000e+00
  3.84615385e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  9.61538462e-03  4.71153846e-02 -3.84615385e-02  0.00000000e+00
  4.03846154e-03  7.88461538e-03  5.76923077e-02  0.00000000e+00]",0
