Embedding,Label
"[ 9.78040374e-03  3.82871765e-03  1.42856194e-02  6.87816184e-03
 -4.53039259e-03 -1.90978161e-02  4.28746787e-03  3.58109099e-03
  2.52054150e-03 -5.96341987e-03  1.04850969e-02 -5.54877198e-03
  8.95198800e-03 -5.34325502e-03 -1.61417796e-03  1.80393487e-03
  1.56357081e-03  2.32959400e-03 -4.79360298e-03  1.13171108e-02
  2.81869430e-03  9.17359047e-03  1.11467099e-02 -6.98486029e-03
 -2.96888048e-03  3.16164656e-03 -8.86697249e-03 -1.01822600e-03
  1.09285584e-03 -2.31985047e-03 -4.61286175e-03  6.74739568e-03
 -1.56794471e-02 -5.50104607e-03  5.81650604e-03 -4.48985091e-03
 -2.96445715e-03  5.68254586e-04  1.41731179e-02  4.81585216e-03
 -1.11278504e-03 -5.90321772e-04  1.82313425e-05 -3.65692866e-04
  2.17294372e-03  3.18721046e-05 -6.99329676e-03 -3.47912275e-03
  3.71707897e-03  9.13180849e-03 -5.57308352e-03  3.45988040e-03
 -2.87582791e-03  1.01176272e-02  5.83213151e-03  5.00150522e-03
 -2.42391068e-03 -1.69902660e-03 -3.24755191e-03 -2.48313155e-03
  5.02515876e-03 -1.24936676e-02  8.95034653e-03  2.16727901e-03
  2.76779412e+02  4.62305882e+01  6.56906471e+02  1.63686275e+00
  1.45768490e+03  2.31098039e+00  2.58076471e+01  3.63529412e-01
  1.38509804e+00  4.31568627e-01  2.46429412e+01  1.92352941e-01
  2.36384824e+03  1.52775784e+03  1.96274510e-01  8.98039216e-02
  3.41960784e-01  5.21568627e-02  8.86274510e-02  4.37254902e-02
  6.58039216e-01  2.96078431e-02  1.60784314e-02  7.64705882e-03
  7.76470588e-02  1.98039216e-02  5.70588235e-02  5.66666667e-02
  2.25490196e-02  3.68627451e-02  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  2.94117647e-02  7.94117647e-02 -3.92156863e-02  0.00000000e+00
  2.35294118e-03  6.66666667e-03  5.88235294e-02  0.00000000e+00]",0
"[ 2.72077637e-03 -3.57099608e-03  1.22678890e-02 -1.14734192e-03
 -4.45673500e-03 -1.25133493e-02 -5.50971581e-04  3.13627168e-03
 -5.03539294e-03 -3.28948965e-03  1.25412568e-02  1.59218750e-03
 -2.30465371e-03  2.33572284e-03 -2.64478511e-03 -1.93743838e-03
 -3.36464382e-03  9.35695331e-04 -4.09399668e-03 -2.13717039e-06
  5.89671530e-03  2.99763096e-03  6.45871776e-03 -1.45238896e-03
 -1.27308402e-03  8.39935845e-03 -1.25315247e-02 -1.46264590e-03
 -6.43940227e-03 -3.32540883e-03 -1.02889395e-02 -9.04252968e-04
 -5.12522889e-03 -4.92066360e-03  3.63558187e-03 -3.35362095e-04
  2.15031393e-03  3.43195779e-03  7.06672124e-03  3.71065621e-03
 -2.80736923e-04  5.11376592e-03 -5.28978700e-03 -5.42451921e-03
 -4.41777233e-04 -4.31012935e-03 -3.60170723e-03 -1.66891758e-03
  3.30660449e-03  2.66915728e-03  1.70751160e-03  1.09224724e-03
 -1.59669890e-03  6.69996469e-03  9.84261615e-03  6.96216581e-03
  5.83252511e-03 -6.61761400e-03 -7.19208256e-03  9.41342903e-03
  3.29034260e-03 -7.72272967e-03 -3.91625755e-03 -1.12977178e-03
  2.66257692e+02  5.05375000e+01  6.43546346e+02  5.56730769e-01
  1.42981308e+03  2.05961538e+00  2.52969231e+01  3.49230769e-01
  1.30269231e+00  6.74423077e-01  2.41834615e+01  1.90769231e-01
  2.26218538e+03  1.53064058e+03  1.56923077e-01  4.48076923e-02
  3.35192308e-01  4.48076923e-02  7.73076923e-02  2.76923077e-02
  6.53653846e-01  3.90384615e-02  1.61538462e-02  7.11538462e-03
  6.73076923e-02  9.80769231e-03  4.96153846e-02  4.26923077e-02
  8.03846154e-02  7.50000000e-03  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  2.30769231e-01  0.00000000e+00 -3.84615385e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.76923077e-02  0.00000000e+00]",0
"[ 3.83661739e-03 -6.10328100e-03  5.98240666e-03  7.52193744e-03
 -4.60910355e-04 -1.01482231e-02  6.50741598e-04  9.45172707e-03
 -1.73708212e-03 -2.30853099e-03  1.28229307e-02 -2.53850715e-03
  7.92214873e-03 -4.97987267e-03 -9.23144485e-04 -2.67242569e-03
 -4.97714445e-03  2.31984605e-03 -9.43128297e-03  9.79908979e-03
  6.52525267e-03  6.58781739e-03  1.11478561e-02 -6.82895002e-03
 -2.42479518e-03  1.04528847e-02 -7.58291723e-03 -5.28853898e-05
 -5.07430732e-03  1.72605185e-03 -7.27454909e-03  5.63950223e-04
 -9.82128084e-03 -3.31128292e-03 -3.04728746e-05 -4.59142029e-07
 -2.41530146e-04  8.82757645e-04  1.96571981e-02  2.62262774e-03
 -1.03225106e-03 -4.84464142e-04 -1.25037068e-04  4.01867754e-04
 -3.42136534e-03  1.82762545e-03  3.41464457e-03 -2.71539682e-03
 -1.54083923e-04 -2.02792240e-03  3.12059738e-03  1.59182312e-04
  2.10691280e-03  1.36404335e-02  6.62966336e-03  8.56855446e-04
  3.36165284e-03 -7.14424954e-03 -1.38959961e-03 -1.42024856e-03
  6.76318769e-03 -1.01952749e-02  1.30248033e-03  4.51905492e-03
  2.67362353e+02  5.18637255e+01  6.55797451e+02  5.08431373e-01
  1.45748882e+03  9.40588235e-01  2.54768627e+01  1.40196078e-01
  6.30784314e-01  1.58039216e-01  2.46505882e+01  2.08039216e-01
  2.43356235e+03  1.58563431e+03  1.59215686e-01  4.72549020e-02
  3.35294118e-01  3.88235294e-02  7.76470588e-02  2.76470588e-02
  6.76470588e-01  2.98039216e-02  1.64705882e-02  7.25490196e-03
  6.82352941e-02  9.80392157e-03  5.01960784e-02  4.33333333e-02
  8.15686275e-02  7.25490196e-03  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  2.35294118e-01  0.00000000e+00 -3.92156863e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.88235294e-02  0.00000000e+00]",0
"[ 5.45692893e-03 -4.81453436e-03  1.22996034e-02  4.37523483e-03
 -3.10767926e-03 -1.15011802e-02  8.73173423e-04  5.97813316e-03
 -2.04086373e-03 -5.17126995e-03  1.07036294e-02 -6.31959941e-03
  3.26363983e-03 -6.99795819e-04 -2.14898988e-03 -4.62747612e-03
 -4.55362678e-03  9.43292133e-04 -5.79444829e-03  1.31322497e-03
  3.82060894e-03  9.28410625e-03  1.24271606e-02  3.16878540e-03
  1.12076071e-04  1.40667195e-02 -6.87925070e-03  6.22898603e-03
 -2.23866105e-03 -4.10739373e-03 -5.84420308e-03  1.45862541e-03
 -3.61073163e-03 -8.36800389e-03 -1.97959143e-03 -3.19949848e-03
  3.40177732e-03  8.72841872e-04  1.24034724e-02  6.49272811e-05
 -1.74054540e-03 -1.22486362e-03 -2.10394845e-03  1.72609228e-03
 -5.87720205e-04  1.65947384e-03 -4.89069843e-04 -2.63970787e-03
  4.84096566e-03  3.67427942e-03 -3.41120012e-04  3.20619345e-03
 -3.58198258e-03  9.37504511e-03  1.64255295e-03  4.76762112e-03
  6.12452436e-03 -9.97896609e-03 -4.52865003e-03  1.14300321e-03
  6.94518259e-03 -3.59939937e-03 -1.89168664e-03  5.53244060e-03
  2.75897059e+02  4.66554902e+01  6.55993922e+02  6.86862745e-01
  1.45807843e+03  2.05784314e+00  2.58856863e+01  3.00196078e-01
  1.42352941e+00  4.18823529e-01  2.46700000e+01  2.07450980e-01
  2.36405098e+03  1.52781196e+03  1.61960784e-01  4.54901961e-02
  3.33137255e-01  3.56862745e-02  7.88235294e-02  2.82352941e-02
  6.77647059e-01  2.96078431e-02  1.60784314e-02  7.64705882e-03
  6.88235294e-02  1.17647059e-02  5.50980392e-02  5.07843137e-02
  6.35294118e-02  1.27450980e-02  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  2.35294118e-01  0.00000000e+00 -3.92156863e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.88235294e-02  0.00000000e+00]",0
"[ 2.02816581e-03 -6.51981682e-03  1.22148395e-02  5.86547674e-03
 -1.10562725e-02 -1.43350879e-02 -1.05992302e-03  2.68582849e-03
 -5.40181865e-03 -4.58829950e-03  7.19152792e-03 -2.60497988e-03
  5.29822048e-03 -4.44496444e-03 -2.66418019e-03 -3.10134466e-03
 -3.79449337e-03  3.10002482e-03 -6.71862653e-03  4.13411018e-03
  1.12975783e-03  1.17958202e-02  9.92760750e-03  3.81391811e-03
  4.72610387e-05  1.32868427e-02 -8.18727137e-03  3.03457763e-03
 -6.54784855e-03 -3.25884971e-03 -5.74711510e-03 -7.63419070e-03
 -1.15368283e-02 -5.92909567e-03  7.36648876e-03  1.07739121e-04
 -5.34220341e-03 -5.05465670e-03  1.66127710e-02  1.93358077e-03
 -5.16163558e-03  1.50563869e-03 -2.58218855e-04  4.66284815e-03
 -1.85512780e-03 -3.22010160e-03  1.20104638e-03 -6.78408060e-03
  1.70841879e-03 -4.86597992e-04  9.52933385e-03  6.65511542e-04
 -5.05144980e-03  1.17565548e-02  5.06902529e-03  1.69744185e-03
 -7.45986058e-03 -9.98423850e-03 -2.48780266e-03  4.71283187e-03
  1.19603719e-03 -7.51881932e-03  7.84841259e-04  3.29049290e-03
  2.66040962e+02  4.99226923e+01  6.44595385e+02  6.36346154e-01
  1.43032769e+03  1.42057692e+00  2.53107692e+01  3.31153846e-01
  1.37269231e+00  6.16923077e-01  2.42257692e+01  2.05576923e-01
  2.26237981e+03  1.53071712e+03  2.14615385e-01  4.48076923e-02
  3.25961538e-01  3.50000000e-02  7.73076923e-02  2.76923077e-02
  6.43076923e-01  2.90384615e-02  1.61538462e-02  7.11538462e-03
  8.50000000e-02  1.53846154e-02  4.96153846e-02  4.26923077e-02
  6.15384615e-03  1.98076923e-02  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  1.05769231e-02  4.92307692e-02 -3.84615385e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.76923077e-02  0.00000000e+00]",0
"[-8.20316374e-04 -6.19213205e-04  1.07427565e-02  1.90098809e-03
 -1.29753672e-03 -1.06307726e-02 -7.60520198e-03 -3.77998414e-03
 -2.03542948e-03 -4.86116562e-03  4.44579506e-03  3.92216167e-03
  2.12279690e-03 -6.96163191e-03  1.00459236e-03 -2.91589110e-03
 -3.93481241e-03  1.05294351e-03 -4.21880246e-04  2.82184104e-03
  5.36447833e-03  3.08505671e-03  3.12606124e-03 -2.51525485e-03
 -1.02270135e-03  7.22983202e-03 -1.01520038e-02 -4.68521574e-04
 -3.00549560e-03 -2.62372248e-03 -8.03359373e-03 -1.38658788e-03
 -7.91009983e-03 -1.20478626e-03  7.01790632e-03  2.09046866e-03
  5.35402144e-04  3.51919234e-03  7.78282382e-03  6.01064396e-03
  1.93617735e-03  1.12022633e-03  1.95270829e-03 -6.76230705e-03
 -1.79219211e-03 -4.18532856e-04 -1.79161270e-03 -4.37484612e-03
  3.27807734e-03 -8.47548801e-03  4.94305270e-03  8.19071521e-04
  2.85288917e-03  8.02767485e-03  6.66019390e-03  3.94432559e-03
 -9.86162920e-04  1.84851209e-03 -6.13717700e-03  4.10871485e-03
 -7.25077552e-04 -1.23206114e-02  2.05295152e-03  6.78536157e-04
  3.12226279e+02  6.48306977e+01  3.10369767e+02  3.63255814e-01
  1.72033721e+03  1.09209302e+00  3.01523256e+01  1.65116279e-01
  6.43488372e-01  1.66279070e-01  1.51851163e+01  2.28837209e-01
  2.88651953e+03  1.88067884e+03  2.59534884e-01  5.65116279e-02
  1.63255814e-01  4.32558140e-02  9.20930233e-02  3.27906977e-02
  7.79069767e-01  3.53488372e-02  1.95348837e-02  8.60465116e-03
  1.04186047e-01  1.16279070e-02  5.95348837e-02  5.13953488e-02
  3.72093023e-03  8.60465116e-03  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -4.65116279e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.97674419e-02  0.00000000e+00]",0
"[-1.46341211e-03  3.95754535e-04  1.26557233e-02  8.05591982e-03
 -4.22703036e-03 -1.30963080e-02  8.38539910e-03  2.20026412e-03
  1.02806150e-03 -2.66305153e-03  1.35262755e-02  1.19533638e-02
  4.52138783e-03  2.71353067e-05  5.95754779e-04  1.54627012e-04
 -1.00273017e-02  3.56611785e-03 -7.19410970e-03  4.42662821e-03
  2.64758485e-03  7.10290261e-03  1.32437173e-02 -1.28279851e-02
 -2.90524817e-03  8.00531241e-03 -1.21077328e-02  8.93498373e-03
 -5.63094429e-03 -2.74964919e-03 -6.95505095e-03 -3.44087808e-03
 -9.64233484e-03 -8.41625678e-03  9.39500273e-03 -4.44439258e-03
 -6.67064629e-03  5.05880189e-04  1.58829298e-02 -1.98508887e-04
  2.93838258e-03  9.59789169e-03 -1.24150707e-02 -4.01200624e-03
  3.77157856e-03 -1.91406044e-03  1.33416852e-03 -1.99673266e-03
 -2.22607833e-03  4.89920524e-03  6.56143678e-03 -4.47561022e-03
 -3.35122759e-03  3.04899372e-03  7.27983097e-03  7.94866579e-03
 -7.56663216e-04 -1.02356848e-02 -2.78701385e-05  1.90747719e-04
  6.52255965e-04 -1.22862610e-02 -1.21751369e-03  5.64582025e-03
  2.76673529e+02  4.65345098e+01  6.57468235e+02  6.33529412e-01
  1.45801902e+03  2.11901961e+00  2.58209804e+01  3.31372549e-01
  1.34313725e+00  5.08823529e-01  2.46994118e+01  1.93725490e-01
  2.36426020e+03  1.52786843e+03  2.20784314e-01  4.54901961e-02
  3.33137255e-01  3.56862745e-02  7.88235294e-02  2.82352941e-02
  6.58039216e-01  2.96078431e-02  1.60784314e-02  7.64705882e-03
  8.84313725e-02  1.17647059e-02  5.56862745e-02  5.11764706e-02
  3.13725490e-03  7.25490196e-03  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -3.92156863e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.88235294e-02  0.00000000e+00]",0
"[ 1.04484115e-02 -5.89100891e-04  1.44149003e-02 -9.90255185e-04
 -9.75313282e-03 -3.55097881e-02 -1.65564960e-03 -1.06437528e-02
 -7.48855607e-03  2.98122262e-03  1.43578135e-02 -1.78331410e-02
 -1.60566009e-02 -1.91031357e-02 -2.17162810e-03 -3.23894411e-03
 -1.67652075e-03  5.40520658e-03 -1.87038742e-03  1.94198128e-02
  1.52453626e-02  1.94963356e-02  1.72567348e-02 -4.85981959e-03
 -8.88646973e-03  1.92513783e-02 -2.71399389e-02  8.77704220e-03
  5.47147356e-03  3.47544686e-03 -4.24349893e-03  7.89905587e-03
 -2.17204944e-02 -6.06896858e-03  4.70207223e-03 -4.79968491e-03
 -2.98986168e-03  2.38512015e-03  1.69367772e-02  2.83167720e-03
 -9.72886341e-03 -3.94105940e-03 -1.31599021e-03 -1.19546397e-02
 -2.86499991e-03 -9.18839724e-03  6.78416668e-03 -7.25987554e-03
  3.13961679e-03  1.08715701e-02  9.24381716e-03 -8.68474232e-03
  1.08917291e-02  1.46230520e-02 -6.14463912e-03  1.35119275e-02
  5.07026629e-03 -1.69388511e-02 -8.87581717e-03  1.39931936e-02
  2.18955825e-03 -2.28607474e-02  1.30588532e-02  2.47067044e-03
  5.10767857e+02  5.07413265e+01 -4.33172269e+06  4.67717024e+05
  9.44920612e+02  4.66520408e+00  5.12508878e+02  1.64803061e+01
  9.47028571e+01  4.45479592e+00  3.59320102e+02  1.59693878e-01
  1.25068949e+03  8.24129796e+02  1.65051020e+00  2.03979592e-01
  1.46000000e+00  2.87755102e-02  4.19693878e-01  1.58673469e-01
  4.53469388e-01  5.59183673e-02  9.17346939e+00  9.65510204e-01
  5.90714286e-01  8.52040816e-02  3.83673469e-02  2.67346939e-02
  1.20408163e-02  3.97959184e-03  2.43081633e+00  4.48979592e-03
  0.00000000e+00  0.00000000e+00  9.28571429e-03  2.95918367e-03
  0.00000000e+00  0.00000000e+00  2.24489796e-03  1.37755102e-02
  0.00000000e+00  0.00000000e+00  3.06122449e-02  0.00000000e+00]",0
"[ 1.15641467e-02 -3.69315226e-03  2.06370679e-02 -3.95112969e-04
 -9.38041716e-03 -2.38344999e-02  1.53778246e-02  4.11203125e-03
 -1.22859188e-02 -1.21372864e-02  2.35652531e-02 -7.25338740e-04
 -9.30650183e-03 -1.81808083e-02  3.41618241e-03 -3.33154478e-04
  5.99197390e-05 -4.97624664e-03 -1.03735136e-02  2.01391786e-02
  3.83641383e-03  5.59042098e-03  1.73613669e-02 -1.27659954e-02
 -1.97666460e-03  1.94975289e-02 -2.28085673e-02  6.11469760e-03
  5.46058767e-03 -4.35653781e-03 -4.52820914e-03  1.10343680e-02
 -1.81788295e-02 -1.38599946e-02  4.04282924e-03 -9.13443075e-03
 -4.03156032e-03  4.82375285e-03  2.23602689e-02 -6.99074344e-05
 -3.44783260e-04  1.94986798e-03 -1.04940355e-03 -5.20872064e-03
  9.12356845e-03 -1.27950845e-02  7.35402786e-03 -9.98823195e-03
  1.77591427e-03  1.64292459e-02  6.14719433e-03 -2.59546091e-03
  4.69063464e-03  2.53505918e-02  5.48680288e-03  1.20072404e-02
  1.12296928e-02 -1.47753258e-02  6.71804796e-04  7.40877410e-04
  1.03302070e-03 -1.66962946e-02  5.15030217e-05 -3.26674163e-04
  5.16870412e+02  2.78447423e+01 -4.42727579e+06  1.36257732e+00
  9.55130206e+02  6.15567010e-01  5.18514433e+02  1.33402062e-01
  9.55898969e+01  1.50824742e-01  3.63044330e+02  1.26907216e-01
  1.33453732e+03  8.33765979e+02  1.69783505e+00  3.34020619e-02
  1.47525773e+00  2.04123711e-02  3.50103093e-01  1.45360825e-02
  4.79381443e-01  1.56701031e-02  9.36948454e+00  3.81443299e-03
  5.61649485e-01  5.15463918e-03  3.67010309e-02  2.27835052e-02
  1.19587629e-02  3.81443299e-03  2.45360825e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.03092784e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.03092784e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  3.09278351e-02  0.00000000e+00]",0
"[ 1.70675271e-02  4.41094465e-03  2.65535576e-02 -2.47860041e-03
 -1.04305585e-02 -2.58186669e-02  8.87326309e-03 -1.98286806e-03
 -9.29121469e-03 -4.02558496e-03  2.20698845e-02 -2.09284323e-02
 -3.34854563e-03 -7.42673892e-03  1.33235276e-03  3.28581583e-03
  7.18127261e-03  6.00277120e-03 -7.29466778e-03  1.87614852e-02
  1.69243724e-02  1.04868527e-02  1.23175465e-02 -7.43136053e-03
 -7.89195120e-04  1.25054485e-02 -1.83758593e-02  7.24987712e-03
  2.73696886e-03 -7.87295726e-04  8.14836236e-03  8.45687503e-03
 -1.97703105e-02 -1.45853739e-02 -4.36003006e-04 -5.93329579e-03
  6.16023650e-03  3.03325441e-03  1.78293660e-02  3.53553995e-04
  1.95523859e-03  7.33368367e-03 -8.73284916e-03 -1.48017673e-02
 -1.91874580e-03 -9.97010386e-03  1.08446078e-02 -4.47897239e-03
  4.62054390e-03  1.49331985e-02  7.02382258e-03 -1.38824999e-03
 -6.53787803e-03  1.06290058e-02  1.71267980e-02  8.54382893e-03
 -5.30623344e-03 -1.18612576e-02  2.65013505e-03  1.34449216e-02
  1.15460233e-02 -1.48049475e-02  2.75379053e-03 -4.43516340e-03
  4.84109808e+02  3.09813462e+01 -3.34459714e+06  1.62180373e+06
  8.61145577e+02  1.29187308e+02  4.86511442e+02  1.56682692e+00
  9.30227885e+01  4.17855769e+00  3.37871250e+02  6.48721154e+00
  1.21883000e+03  7.69983942e+02  3.29961538e+00  2.78115385e+00
  1.48048077e+00  3.37788462e-01  3.31057692e-01  2.64423077e-02
  4.47692308e-01  1.45192308e-02  8.61298077e+00  2.73365385e-01
  5.26730769e-01  1.10576923e-02  3.60576923e-02  2.41346154e-02
  1.11538462e-02  3.55769231e-03  2.28846154e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  3.00961538e-02  6.71153846e-02  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  2.25961538e-02  1.22115385e-02]",0
