Embedding,Label
"[ 9.75188563e-03  6.48684097e-03  1.86134246e-02  5.19714089e-03
 -5.92573033e-03 -2.63977188e-02  8.28083064e-03 -4.23090264e-03
 -5.21638994e-03 -1.55583894e-02  3.06946057e-02 -9.04743800e-03
 -2.00988148e-03 -1.37497139e-02  6.84833979e-03  1.48178846e-02
 -5.41002837e-03  6.15829750e-04 -1.18380132e-02  2.95294447e-02
  4.60187455e-03  1.60834840e-02  1.81977713e-02 -1.61522947e-02
 -9.72903541e-03  8.31222732e-03 -3.34756008e-02  5.62671545e-03
 -7.78832232e-03  5.18493434e-03 -1.02853113e-02  2.48033158e-03
 -1.39855768e-02 -3.52048644e-02  1.20597826e-02 -9.30622018e-03
 -7.74759536e-03 -3.59358436e-04  2.31925488e-02  9.52399747e-03
 -6.10444870e-03  1.21896788e-02 -5.55954109e-03 -2.34899591e-02
  8.58825438e-03  9.80254444e-04 -6.68031189e-03 -6.31997114e-03
  1.65037192e-02  2.51105410e-02 -1.12215992e-03 -4.63166869e-03
  5.14049102e-03  1.59323951e-02  1.06358285e-02  2.30875961e-02
  1.93794900e-04 -1.10878147e-02 -1.79583972e-03  7.56127703e-03
 -1.11439835e-02 -2.24685847e-02 -5.27728721e-03 -4.46541653e-03
  6.05549146e+02             nan  6.68243837e+06             nan
  8.13895610e+02             nan  2.14455244e+02             nan
  6.00240244e+01             nan  4.27889878e+02             nan
  1.46341732e+03             nan  1.99853659e+00             nan
  1.86695122e+00             nan  6.97804878e-01             nan
  4.81707317e-01             nan  1.01441463e+01             nan
  6.92804878e-01             nan  4.67073171e-02             nan
  2.37804878e-02             nan  1.21951220e-02             nan
  0.00000000e+00             nan  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -2.43902439e-02  0.00000000e+00
  1.70731707e-03  4.26829268e-03  3.65853659e-02  0.00000000e+00]",0
"[ 2.71876507e-03 -4.67168561e-04  1.21237524e-02  6.35226859e-03
 -6.75474136e-03 -1.32147538e-02 -2.08480821e-04  5.69824702e-04
 -4.81204262e-03 -3.60089813e-03  1.11055489e-02  1.54606002e-03
 -3.89267218e-03 -6.49667417e-03 -1.71608965e-03  4.76475225e-03
 -3.57888698e-03 -1.36257336e-03 -3.97891523e-03  7.79727875e-03
  9.46605377e-03  9.62375391e-03  1.07810855e-02 -2.34085983e-03
  4.50098192e-03  7.25938810e-03 -8.74603081e-03  1.88465424e-03
 -4.97599011e-03 -3.17151336e-05 -9.20640878e-03  1.53117036e-03
 -4.70913961e-03 -2.07910300e-03  6.06651346e-03 -7.38057380e-05
 -2.57812104e-03  1.77659166e-03  1.21926866e-02  6.67697879e-03
 -3.23260310e-03  1.20547973e-03  3.72644994e-03 -7.23075437e-03
 -5.56199697e-03 -3.13913199e-03 -1.48402448e-03  2.14048575e-03
 -2.05862972e-03  7.93837020e-04  3.77039146e-03 -1.48091071e-03
  4.00904523e-03  1.05890067e-02  6.94420905e-03  1.37955287e-03
  1.69373698e-03 -8.65751362e-03 -5.53880288e-03 -5.28406638e-04
  2.88405341e-03 -1.30760827e-02  7.33242736e-03 -4.46737669e-03
  2.62785577e+02  5.12444231e+01  6.71327692e+02  6.78269231e-01
  9.40223462e+02  1.60038462e+00  2.74690385e+01  1.39038462e-01
  2.66384615e+00  2.24615385e-01  2.38934615e+01  1.99615385e-01
  2.35761731e+03  1.56529000e+03  1.56538462e-01  4.50000000e-02
  3.54230769e-01  6.15384615e-02  7.13461538e-02  3.55769231e-02
  6.47884615e-01  3.76923077e-02  1.61538462e-02  7.11538462e-03
  6.21153846e-02  1.80769231e-02  4.96153846e-02  4.26923077e-02
  7.53846154e-02  2.40384615e-02  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  2.10769231e-01  6.65384615e-02 -3.84615385e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.76923077e-02  0.00000000e+00]",0
"[ 2.39947252e-02  2.75062078e-04  1.52523277e-02 -1.01946628e-03
 -8.84280386e-03 -2.41205208e-02  3.52952150e-03 -1.46023195e-02
 -1.18272884e-02 -8.42877932e-03  2.05654787e-02 -1.07995914e-02
 -3.87499614e-04 -8.04956263e-03 -2.10653636e-05  4.93767340e-03
 -4.96825868e-03 -6.12663903e-04 -1.44298124e-02  2.04695450e-02
  1.38951060e-02  1.30238750e-02  2.07305741e-02 -3.06085076e-03
 -6.21188425e-03  1.48890991e-02 -1.21579017e-02  7.87454653e-03
  4.34962937e-03  4.95847072e-03 -1.01505333e-03  7.22019708e-03
 -1.34343612e-02 -8.76981307e-03 -3.72754800e-03 -1.33086590e-02
 -5.29180559e-03 -9.43394772e-03  1.70784446e-02  8.18849509e-03
 -1.92356926e-04 -3.46423239e-03 -6.52462341e-03 -1.32491286e-02
  9.64005753e-04 -1.19531286e-02  9.10343541e-03 -9.59200029e-03
  8.36929503e-03  1.48540488e-02  4.69422312e-03 -1.71963062e-03
 -1.14507548e-03  1.57262878e-02 -6.34087478e-03  1.49065299e-02
  4.14972440e-03 -1.00364936e-02 -1.60981015e-03  4.59608813e-03
  7.76063344e-03 -2.11717235e-02  1.05527762e-02 -3.99838101e-03
  4.75601905e+02  6.10686667e+01  2.31939137e+06  3.99334133e+06
  6.49370571e+02  2.10290476e+01  4.86209619e+02  2.21041905e+01
  6.65531429e+01  5.62609524e+00  3.34541333e+02  6.24190476e-01
  1.24544571e+03  7.82821143e+02  6.89057143e+00  3.51990476e+00
  2.19590476e+00  5.92571429e-01  5.83619048e-01  7.03809524e-02
  4.06380952e-01  4.30476190e-02  7.75619048e+00  7.95428571e-01
  6.11047619e-01  6.09523810e-02  4.29523810e-02  2.46666667e-02
  2.35238095e-02  2.18095238e-02  2.27619048e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  9.14285714e-03  1.80952381e-03
  1.26952381e-01  6.00000000e-02  1.04761905e-03  1.33333333e-02
  0.00000000e+00  0.00000000e+00  1.16190476e-02  1.42857143e-02]",0
"[ 5.24582267e-03 -1.00183749e-03  1.13042410e-02  3.83234585e-03
 -2.22993369e-03 -2.06650931e-02  6.18501997e-03  1.82282740e-03
 -2.47090363e-04 -9.16676051e-03  1.75514639e-02 -9.18846631e-03
  2.84856607e-03 -2.20417396e-02  2.33952630e-04  1.00549564e-02
 -2.42998224e-03  1.73432829e-03 -5.62146703e-03  2.28724539e-02
  9.17493843e-03  1.85514889e-02  1.37766532e-02 -2.79804543e-03
 -1.00922916e-02  9.38178627e-03 -1.41766976e-02  5.11671314e-03
  4.03115026e-03  6.04154763e-03 -1.17289476e-02  9.74077355e-03
 -1.42063923e-02 -1.50845052e-02  2.75190515e-03 -1.77987275e-06
 -1.03262293e-03 -5.09986636e-04  2.43607654e-02  2.99176548e-03
 -1.55512137e-03 -8.26401609e-03 -7.66194704e-03 -5.21429917e-03
  8.20861267e-03  9.29644775e-05  8.89735296e-04 -8.50230852e-03
 -3.14210479e-04  1.74466970e-02 -2.32346549e-03  8.24426331e-03
  4.38971747e-03  1.88650297e-02  1.24621714e-02  1.60609460e-02
  5.11222070e-03 -9.55812151e-03 -3.21704811e-03  6.23808759e-03
  7.17176719e-03 -1.25354583e-02  1.13180175e-02  8.31669505e-03
  4.70666000e+02  2.57382857e+01  6.64652857e+02  2.10838095e+00
  6.45153905e+02  7.86761905e-01  4.87747238e+02  1.17666667e+00
  6.84556190e+01  1.19342857e+00  3.34593810e+02  2.30380952e-01
  1.24330124e+03  7.57075810e+02  8.68552381e+00  7.83047619e-01
  2.47047619e+00  1.98190476e-01  5.80761905e-01  1.66666667e-02
  4.14285714e-01  1.44761905e-02  7.67838095e+00  1.00952381e-02
  6.04000000e-01  7.61904762e-03  4.34285714e-02  2.10476190e-02
  1.10476190e-02  3.52380952e-03  2.27619048e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 6.76160345e-03 -1.19441723e-03  1.98208969e-02  5.36546713e-03
 -6.28079901e-03 -1.54768466e-02 -1.67675303e-03  3.47639663e-03
 -1.27248120e-02 -2.62642249e-03  1.30360784e-02 -1.22433323e-02
 -8.27186988e-03 -4.76298701e-03  1.17733417e-03  4.43979641e-03
 -1.09810445e-03 -4.92743879e-03 -1.19420647e-02  2.71975435e-02
  1.76520449e-02  1.97016941e-03  2.44205957e-02 -1.03453529e-02
 -6.82252366e-03  1.05256618e-02 -2.60139599e-02  4.72232914e-03
 -1.18686209e-03 -2.47448083e-03 -3.63715110e-03  7.09084486e-03
 -1.42675305e-02 -1.47137925e-02 -4.06800228e-03 -1.21157366e-05
  8.26393826e-03  2.52427110e-03  1.20001547e-02  8.37632764e-03
  6.99397463e-03  6.40323386e-04 -1.32121579e-03 -1.89905686e-02
  4.07689471e-03 -7.12459337e-03  1.31575836e-02 -8.98148229e-03
  3.82510759e-03  1.20185273e-02  3.17235024e-03  5.84127064e-03
  5.88727775e-03  2.04975129e-02  9.83240713e-03  1.73348669e-02
  6.74361094e-03  2.66797328e-03 -2.52085799e-03  5.30451801e-03
  4.42611799e-03 -2.36008546e-02  7.01637437e-04  1.43072326e-03
  4.81241442e+02  3.24218269e+01  6.70885769e+02  1.93740385e+00
  5.70967115e+02  7.15861538e+01  4.92414135e+02  2.03038462e+00
  6.90831731e+01  1.10240385e+00  3.35899038e+02  7.66326923e+00
  1.29128904e+03  7.87604808e+02  8.67903846e+00  9.15480769e-01
  2.57403846e+00  2.72692308e-01  5.90000000e-01  2.57692308e-02
  4.19615385e-01  1.85576923e-02  7.73278846e+00  8.26923077e-03
  5.94807692e-01  3.79807692e-02  4.40384615e-02  2.13461538e-02
  1.13461538e-02  3.75000000e-03  2.29807692e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.37196643e-02  1.01886594e-03  1.53874561e-02  6.73577945e-03
 -1.30549899e-02 -2.31500805e-02  2.21047222e-03  2.81849482e-03
 -3.82816938e-03 -5.58079533e-03  1.15910565e-02 -1.14540380e-02
 -6.24757967e-03 -1.62577171e-02  3.97471176e-04  1.02880339e-02
  6.19733928e-03 -4.13092139e-03 -1.00407244e-02  2.16240638e-02
  6.26491467e-03  2.09618452e-02  2.15321074e-02 -9.85548872e-03
 -3.53085473e-03  1.54308766e-02 -1.75576929e-02  7.50002355e-03
 -2.79772240e-03  7.84631030e-04 -3.81925756e-03  6.52295444e-03
 -1.80481788e-02 -8.96974291e-03 -1.15761934e-02 -1.32890638e-02
 -9.62309127e-04 -5.49758378e-03  1.50152016e-02  6.51666635e-03
 -8.15084688e-04 -4.53363997e-04  1.05418652e-03 -1.34266400e-02
 -4.84260341e-03 -1.05800348e-02  7.32451861e-03  1.01429329e-03
  5.24012336e-03  1.25061973e-02  9.00938036e-03 -1.30696304e-02
 -1.97595133e-03  1.97775958e-02 -2.65213553e-04  1.23182335e-02
  4.64602263e-03 -5.98035233e-04 -1.08878696e-02  8.58602261e-03
 -3.68293227e-03 -1.25891526e-02  5.15957969e-03 -2.56441673e-03
  4.84657212e+02  2.99255769e+01  6.69894615e+02  5.19230769e+00
  5.19916538e+02  1.89000000e+00  4.92402981e+02  4.92134615e+00
  6.92750962e+01  1.14923077e+00  3.32309904e+02  8.80288462e-01
  1.27139827e+03  7.51633077e+02  8.41807692e+00  1.23144231e+00
  2.92173077e+00  2.80480769e-01  5.86538462e-01  2.13461538e-02
  4.26538462e-01  1.85576923e-02  7.72923077e+00  3.55769231e-03
  5.85769231e-01  4.88461538e-02  5.02884615e-02  2.94230769e-02
  1.78846154e-02  1.44230769e-02  2.67375000e+00  4.95865385e-01
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.19585500e-02  1.78690116e-03  1.52925556e-02  1.89111913e-03
 -7.62065071e-03 -2.16946527e-02  8.70835398e-03  4.41997981e-03
 -9.96373459e-03 -5.20518937e-03  1.44870806e-02 -1.72619569e-02
 -3.70124256e-03 -1.07391989e-02  6.51530748e-03  7.69359695e-04
  1.85555172e-03  3.24213643e-03 -2.17868860e-02  1.68605755e-02
  1.40026462e-02  1.25453846e-02  1.76819524e-02 -8.13869853e-03
 -6.90532334e-03  4.26287694e-03 -1.60841947e-02  1.66089999e-04
  4.31277828e-03  8.90513619e-03 -1.34258899e-03  1.66309416e-03
 -2.26853910e-02 -8.38628904e-03 -1.83927231e-02 -3.51291700e-04
 -5.22934656e-03 -1.90094709e-03  2.89287768e-02  3.40838975e-03
  2.76067289e-03 -1.37014669e-03  2.59600590e-03 -8.75706382e-03
 -4.79873917e-03 -6.45153033e-03  6.98577904e-03 -1.11795840e-02
  5.02414278e-03  3.18134604e-03  5.25954907e-04 -1.65744841e-03
  8.04036740e-03  1.55512598e-02  3.20290387e-03  8.10262297e-03
  3.91167149e-03 -5.54519108e-03 -6.53601189e-03  1.00190605e-02
  4.94832782e-03 -1.80627497e-02 -6.98369057e-03 -3.11685981e-03
  4.75559238e+02  3.06320952e+01  6.58855905e+02  7.61123810e+00
  5.14584095e+02  5.64323810e+00  4.86741143e+02  7.78533333e+00
  6.85443810e+01  2.28409524e+00  3.31035524e+02  2.54028571e+00
  1.23625362e+03  7.57633905e+02  7.84647619e+00  9.45238095e-01
  3.41095238e+00  2.13619048e-01  5.85904762e-01  3.08571429e-02
  4.20952381e-01  1.90476190e-02  7.63809524e+00  1.33333333e-02
  6.00190476e-01  1.20000000e-02  5.90476190e-02  2.58095238e-02
  2.05714286e-02  3.52380952e-03  3.05276190e+00  2.72190476e-01
  0.00000000e+00  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.07994263e-02 -1.07002644e-03  1.62352377e-02  6.20800525e-03
  4.30254785e-04 -1.16004851e-02  1.10242426e-03 -7.22902716e-03
 -1.91889052e-02  3.24518866e-03  1.92735032e-02 -2.30540332e-02
 -2.88379071e-03 -1.67173580e-02 -2.38854510e-05  5.49691697e-03
  6.01895692e-03  5.06711325e-03 -1.15886374e-02  3.36267362e-02
  2.74550295e-02  1.68003623e-02  1.37595838e-02 -9.89904470e-03
 -5.91238869e-03  2.23425810e-03 -2.51048116e-02 -1.81557779e-03
 -4.77666322e-04  3.57012680e-03  1.75702271e-03  1.13238187e-02
 -7.05151987e-03 -9.73216385e-03 -5.06235322e-04 -8.30712359e-03
 -7.12694958e-04 -6.79752032e-03  1.60546321e-02  4.36528027e-03
 -3.15868430e-03 -3.99726996e-03 -8.30129505e-04 -1.55620408e-02
 -8.62027451e-03 -2.18701349e-02  1.40257614e-02 -1.03092387e-02
  1.44336530e-03  1.39645885e-02  8.38121646e-03  4.86670716e-03
  1.11881951e-02  1.63351744e-02 -3.37425590e-03  1.73733867e-02
 -6.13043192e-04 -5.98221523e-03 -3.41101280e-03  1.23458452e-02
  9.36112749e-03 -1.27051732e-02  7.88820336e-03  3.67228107e-03
  4.77508269e+02  3.69347115e+01  6.64843077e+02  1.53591346e+01
  5.19998558e+02  7.79500000e+00  4.92696731e+02  1.17309615e+01
  6.98075000e+01  2.16000000e+00  3.34735865e+02  4.86192308e+00
  1.28955087e+03  7.84457596e+02  8.35576923e+00  1.35538462e+00
  2.77076923e+00  4.60576923e-02  5.88846154e-01  3.23076923e-02
  4.22500000e-01  1.96153846e-02  7.69961538e+00  1.40384615e-02
  6.03365385e-01  1.73076923e-02  4.88461538e-02  3.52884615e-02
  3.16346154e-02  1.34615385e-02  3.06692308e+00  4.03750000e-01
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 8.72675874e-03  2.53902823e-03  2.18714972e-02  1.41867673e-03
 -1.28933124e-02 -2.13466501e-02  1.31667592e-04  7.37793375e-03
 -5.75237170e-03 -7.12852749e-03  1.88282915e-02 -1.62674265e-02
 -9.94875705e-04 -1.21348316e-02 -1.37830834e-02  1.44115524e-03
 -8.49235752e-03  4.45641047e-03 -2.16936010e-02  2.12688425e-02
  1.62721616e-02  1.13353173e-02  2.82260566e-02 -1.50160989e-02
 -7.18002875e-03  1.52801511e-02 -1.96764069e-02  2.77459371e-03
 -1.28031589e-03 -9.28183807e-04 -5.74733202e-03 -4.31598358e-03
 -1.28214824e-02 -9.05221504e-03  2.51642194e-03 -1.23316566e-03
  3.48542045e-03  5.60682983e-04  6.54444772e-03  1.95035679e-03
 -3.02483600e-03  5.40958868e-03 -5.15254368e-03 -9.43319224e-03
  3.20296067e-03 -6.97251553e-03  5.98715072e-03 -8.90677032e-03
  6.06579248e-03 -3.29679389e-04 -4.23755092e-03  4.95422705e-03
  1.63135613e-03  2.54356633e-02  6.30336152e-03  1.38052794e-02
  9.86397438e-03 -1.32914583e-02 -5.45630411e-04  2.56440448e-03
  1.15582396e-02 -2.17391088e-02 -5.18339901e-03 -4.48890159e-03
  4.62513750e+02  4.44960577e+01  6.55805000e+02  1.71847115e+01
  5.21898558e+02  8.55490385e+00  4.97618462e+02  1.25076923e+01
  6.88668269e+01  2.24528846e+00  3.37026250e+02  5.52336538e+00
  1.27414365e+03  7.52550192e+02  8.87125000e+00  9.61153846e-01
  2.75548077e+00  3.92307692e-02  6.13846154e-01  2.57692308e-02
  4.23653846e-01  1.96153846e-02  7.68894231e+00  1.61538462e-02
  5.88846154e-01  2.37500000e-02  5.06730769e-02  3.71153846e-02
  4.00000000e-02  3.55769231e-03  2.67711538e+00  4.64711538e-01
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.74615564e-02 -6.31958766e-03  1.05191569e-02  3.76277882e-03
 -4.43213014e-03 -2.17207493e-02  9.48093477e-06  7.31332492e-03
 -2.65692437e-03 -5.43277601e-03  1.43194515e-02 -9.02820534e-03
 -7.22898568e-03 -2.23457776e-03 -8.02966864e-04  1.29130404e-02
  4.93545775e-03 -6.69988973e-03 -1.12423135e-02  1.61904556e-02
  1.59585786e-02  1.31124548e-02  2.39046154e-02 -1.37085917e-02
 -1.79733595e-03  2.39133386e-02 -2.32199847e-02 -1.81304486e-03
 -1.06459586e-03 -9.02261943e-03 -3.62022576e-03  5.27855761e-03
 -8.05057252e-03 -1.37506225e-02  5.71588055e-03  1.03167050e-03
  7.22121866e-03 -8.92044442e-03  1.17107870e-02  2.85673443e-03
 -5.07243370e-03 -8.75934577e-03 -7.24159682e-03 -9.24726930e-03
  2.74395939e-03 -1.49447832e-02 -1.30705952e-03 -1.10685619e-02
 -1.29195548e-03  1.53209063e-02  1.09109715e-03 -4.69596521e-03
 -5.23296318e-04  1.94037354e-02  1.36951665e-02  1.36154682e-02
  2.50614254e-03 -4.24812071e-03 -1.06133275e-02  6.19774560e-04
  7.25778813e-03 -1.69806265e-02  6.63409805e-03  1.13274947e-02
  4.60230476e+02  3.94036190e+01  6.53132857e+02  1.90712381e+01
  5.20345048e+02  1.10124762e+01  4.99865714e+02  1.50386667e+01
  6.79574286e+01  2.61180952e+00  3.36654571e+02  6.99447619e+00
  1.23917514e+03  7.58521619e+02  8.86142857e+00  9.38095238e-01
  2.72580952e+00  2.36190476e-02  6.07619048e-01  2.82857143e-02
  4.23714286e-01  2.40952381e-02  7.60095238e+00  1.48571429e-02
  5.81333333e-01  2.29523810e-02  3.53333333e-02  2.46666667e-02
  3.96190476e-02  3.52380952e-03  2.55923810e+00  4.47047619e-01
  0.00000000e+00  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  3.52380952e-03  4.66666667e-03  0.00000000e+00  0.00000000e+00]",0
