Embedding,Label
"[ 8.43834480e-03  1.66467462e-03  2.09082249e-02  4.15913011e-03
 -9.74781181e-03 -2.60409658e-02  1.14916506e-02 -5.20865755e-04
 -2.11881921e-02 -2.04092381e-03  1.13243158e-02 -1.01044296e-02
  7.61573896e-03 -1.42225839e-02  1.52463491e-02  5.69197638e-03
 -2.86793100e-03 -1.37032721e-03 -3.44486445e-03  1.31068532e-02
  1.00034305e-02  1.83390346e-02  5.48863737e-03 -1.19210919e-02
 -7.67075761e-04  4.19107979e-03 -2.23968811e-02  1.48110780e-02
  6.99879702e-03  7.20626887e-03  4.04619185e-03  1.29143143e-02
 -1.25841235e-02 -1.57703565e-02 -2.26484039e-04 -5.73345411e-03
 -2.98102894e-03  9.31090023e-03  2.25463233e-02  4.72365187e-03
  5.59843869e-03 -1.43216339e-03  2.83510241e-03 -6.78006284e-03
  3.79856479e-04  3.83761743e-03  8.23445470e-03 -7.26557982e-04
  7.49485030e-03  1.61816251e-02  7.78381283e-03 -1.83141113e-03
 -9.36758124e-03  1.05499301e-02 -2.46752645e-04  8.95063241e-03
  4.25568394e-03 -5.19708077e-03 -1.59235794e-02  4.17865055e-03
  4.29375977e-03 -2.97168680e-02  2.65351726e-03 -7.01139806e-04
  4.78160577e+02  2.87300962e+01  8.01097404e+02  3.15826923e+00
  5.13635096e+02  8.64038462e-01  4.83993942e+02  3.32596154e+00
  4.21575962e+01  9.27980769e-01  3.30049808e+02  2.21730769e-01
  1.14801471e+03  6.36817981e+02  8.40798077e+00  7.75865385e-01
  2.75480769e+00  2.09134615e-01  6.62403846e-01  2.68269231e-02
  3.41346154e-01  1.46153846e-02  4.54432692e+00  1.05769231e-02
  6.96923077e-01  6.73076923e-03  4.38461538e-02  2.12500000e-02
  1.11538462e-02  3.55769231e-03  2.29807692e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.74294134e-02 -8.95480333e-03  1.09652123e-02 -1.67994691e-03
 -9.65952589e-04 -2.45930679e-02  2.21413464e-03  8.31382864e-03
 -9.58655154e-03  1.77873130e-03  1.20239990e-02 -1.52164339e-02
 -2.14665560e-03 -8.64446504e-03  7.19356228e-03  7.70730180e-03
 -2.27410155e-03  7.82715677e-03 -9.34720963e-03  1.66835087e-02
  1.25692924e-02  1.85790442e-02  1.07257199e-02 -1.11910289e-02
  2.35419780e-03  1.20247638e-02 -1.80409299e-02 -1.04892571e-03
  3.07628837e-03 -6.06618910e-03 -5.98632140e-03 -9.34459118e-04
 -5.26801593e-03 -1.47412141e-02 -1.27941055e-02  1.49475328e-03
  4.15635583e-03 -2.97125626e-04  2.88111445e-02 -3.28335853e-03
 -1.09342588e-02 -2.77207457e-03 -4.37331601e-03 -1.55159512e-02
 -1.63023462e-03 -1.98540986e-03 -3.08190680e-03 -7.34883419e-03
 -8.36213696e-05  1.80201453e-02  5.92443560e-06 -2.11247101e-03
  8.74783439e-03  1.70322973e-02  1.16942283e-02  1.37423367e-02
  6.56271632e-03 -1.08232305e-02 -1.29474914e-02  1.52917086e-02
  3.13072287e-03 -1.82346465e-02 -2.94184328e-03 -8.17812882e-03
  4.72919333e+02  2.66665714e+01  7.92747333e+02  1.29190476e+00
  5.08618857e+02  6.69523810e-01  4.78452286e+02  1.33295238e+00
  4.18396190e+01  9.10571429e-01  3.26828476e+02  1.61428571e-01
  1.16912990e+03  6.40580762e+02  8.26733333e+00  7.26000000e-01
  2.45304762e+00  5.11428571e-02  6.74380952e-01  1.68571429e-02
  3.37523810e-01  1.43809524e-02  4.48000000e+00  9.90476190e-03
  6.90285714e-01  4.76190476e-03  4.36190476e-02  2.11428571e-02
  1.12380952e-02  3.71428571e-03  2.27619048e+00  0.00000000e+00
  1.90476190e-02  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.39613431e-02 -4.35052071e-03  1.53985487e-02  4.49257978e-03
 -6.84273537e-03 -1.83037052e-02  8.39881244e-04 -1.19764246e-03
 -1.06499844e-02  8.23080106e-04  8.59487549e-03 -1.16502305e-02
  6.67407839e-03 -1.80803892e-02  2.23908126e-03  1.70608768e-02
  4.61135184e-03  2.62048472e-03 -9.00529793e-03  3.50492072e-02
  1.71323047e-02  1.76080359e-02  1.02340171e-02 -2.34922447e-02
 -6.89082446e-03  1.20384309e-02 -2.82377057e-02  6.05860599e-03
 -6.28091899e-03 -7.03439196e-04  4.45759201e-03  1.11055698e-02
 -1.64346086e-02 -1.33199401e-02 -1.13594220e-02 -2.68717479e-03
 -4.86077354e-03 -4.70620912e-03  1.80692169e-02 -5.51285994e-03
  9.25860571e-03 -6.33802735e-03 -2.93256408e-03 -1.16587768e-02
  3.17052452e-03 -1.19467780e-02  2.24941909e-02 -1.04082246e-02
  3.92834748e-03  1.61169761e-02  4.50633225e-03 -3.77896109e-03
 -4.24589529e-03  9.04317080e-03  3.22032401e-04  1.52862623e-02
  8.28950150e-03 -5.61602192e-03 -7.01702718e-03 -1.21050016e-03
 -2.46555986e-03 -1.79553931e-02  2.98011111e-03  6.61424512e-03
  4.72609048e+02  2.57521905e+01  7.92389714e+02  4.17904762e-01
  5.08613905e+02  6.62285714e-01  4.77772667e+02  8.55238095e-01
  4.15604762e+01  1.16019048e+00  3.26834476e+02  1.62190476e-01
  1.16083819e+03  6.17946762e+02  8.22523810e+00  7.28857143e-01
  2.43276190e+00  4.70476190e-02  6.65714286e-01  1.66666667e-02
  3.38666667e-01  1.43809524e-02  4.45847619e+00  9.90476190e-03
  6.90476190e-01  4.85714286e-03  4.43809524e-02  2.10476190e-02
  1.10476190e-02  3.52380952e-03  2.27619048e+00  0.00000000e+00
  1.90476190e-02  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 3.91783201e-03 -2.07928353e-03  1.00997084e-02  2.65989469e-03
  4.66157145e-04 -1.27619241e-02  6.85513664e-03  6.54338253e-03
 -1.02075533e-02  7.51032176e-03  1.50076897e-02 -1.52752917e-02
  6.77996847e-03 -6.83012487e-03 -1.72050202e-03  1.69623540e-02
 -3.27889978e-03  6.96902800e-03 -1.03107148e-02  2.30004672e-02
  1.16710014e-02  1.56422427e-02  1.44854949e-02 -1.08905330e-02
 -1.17908676e-02  6.30358166e-03 -2.41249037e-02 -1.81535044e-04
 -6.71574950e-03 -2.79316643e-03 -1.06365687e-02  4.11986055e-03
 -1.33625919e-02 -1.27928382e-02 -5.24061848e-04 -5.29204607e-03
  3.54932166e-03  1.89695865e-04  9.18488287e-03 -1.04230498e-02
  3.59749133e-03  5.44854891e-03 -3.69441516e-03 -1.99083937e-02
 -6.68832251e-03 -9.92537781e-05  1.53540102e-02 -3.80819096e-03
  6.16340706e-03  1.58877985e-02  1.78052436e-02  8.27197677e-03
 -2.82752157e-04  2.07514123e-02  3.34924861e-03  1.01861133e-02
  1.22993575e-02 -1.10542849e-03 -1.34730806e-02  8.02102848e-03
 -4.25960922e-04 -2.19272561e-02  7.55083171e-03 -6.29538606e-03
  4.77344038e+02  2.58592308e+01  8.00139231e+02  3.46153846e-01
  5.13506827e+02  6.68076923e-01  4.82338269e+02  8.58750000e-01
  4.17887500e+01  9.29038462e-01  3.29978654e+02  1.69807692e-01
  1.14827750e+03  6.36773750e+02  8.32067308e+00  7.46923077e-01
  2.48125000e+00  5.48076923e-02  6.54615385e-01  1.39423077e-02
  3.41346154e-01  1.46153846e-02  4.48009615e+00  1.08653846e-02
  6.97307692e-01  4.80769231e-03  4.38461538e-02  2.12500000e-02
  1.11538462e-02  3.55769231e-03  2.29807692e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 2.22204559e-02 -5.73309394e-03  2.27681523e-02 -7.66697282e-03
 -2.63399797e-03 -1.04761069e-02  2.31199679e-03  5.85107560e-03
  2.92745052e-04 -1.86010151e-03  7.04957292e-03 -1.74343896e-02
 -2.86620780e-03 -1.43033904e-03  3.86991921e-03  1.12123490e-02
 -3.64203756e-03 -2.38879420e-03 -1.45506828e-02  2.62112495e-02
  1.62633728e-02  9.60324751e-03  1.52681362e-02 -1.17283658e-02
 -1.22765388e-02  4.97900432e-03 -2.06403920e-02 -7.81273264e-03
 -6.29776050e-04  2.63746232e-03  8.47291112e-04  1.40027153e-02
 -1.77269866e-02 -9.67751103e-03  4.48151291e-03 -2.99843558e-03
  5.50448092e-03 -1.03920018e-03  1.28515565e-02  4.41804783e-03
 -9.55893783e-04 -7.39282319e-03 -1.46877102e-03 -8.34710885e-03
 -1.80160290e-03 -1.55543832e-02 -1.33634475e-03 -8.50419994e-03
  4.05006122e-03  2.09165076e-02 -7.62792763e-03 -9.77862762e-03
 -2.30267114e-03  1.42582511e-02  2.02703154e-03  2.78037778e-02
 -8.13873880e-03 -2.83585165e-03 -1.52727854e-02  6.06692833e-03
  9.11985913e-03 -1.60436964e-02  7.00850187e-03  6.25522891e-03
  4.76929904e+02  2.57911538e+01  8.00254327e+02  3.49423077e-01
  5.13597308e+02  6.72500000e-01  4.82284808e+02  8.62980769e-01
  4.18974038e+01  9.40865385e-01  3.30069808e+02  1.72788462e-01
  1.18069596e+03  6.46827115e+02  8.35884615e+00  7.58846154e-01
  2.79740385e+00  1.49326923e-01  6.79711538e-01  2.18269231e-02
  3.40769231e-01  1.45192308e-02  4.45923077e+00  1.05769231e-02
  6.88076923e-01  7.40384615e-03  3.44230769e-02  2.13461538e-02
  1.13461538e-02  3.75000000e-03  2.29807692e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 6.46942141e-03 -7.22087955e-03  1.45773732e-02 -5.29288004e-05
 -2.79654476e-03 -1.75053248e-02 -8.70972351e-04 -1.71940699e-03
 -7.06121313e-03  4.00791888e-03  2.16888011e-02 -1.04412649e-02
 -2.43934615e-03 -1.77870698e-03 -1.02937703e-02  6.64215203e-03
  3.77444149e-03  4.27621334e-03 -1.02392812e-02  1.21823207e-02
  1.75769985e-02  2.08886983e-02 -2.84500454e-03 -1.58414640e-02
 -9.14177008e-03  5.80220421e-03 -3.35872876e-02  2.94382283e-03
  1.23568922e-03 -2.97877504e-03 -3.21623928e-03  2.99903254e-04
 -6.13494899e-03 -8.47945996e-03 -4.08212667e-03 -1.14648969e-02
 -9.54903488e-03 -5.43733033e-03  2.25626755e-02  2.51563720e-03
 -1.17164380e-02 -8.45127437e-03 -2.92238178e-03 -1.15775648e-02
  6.25554682e-03 -1.06776117e-02  1.13207919e-02 -1.38073168e-02
  1.10358088e-04  1.74123859e-02  1.02761255e-03 -2.45018582e-03
 -4.81631273e-03  1.81334114e-02  4.14512447e-03  1.04902544e-02
 -8.99204328e-04 -4.30544288e-03 -8.57283464e-03  1.52077654e-02
  1.58032927e-02 -2.25050130e-02  4.26866203e-03 -2.16987607e-03
  4.72380190e+02  2.53829524e+01  7.92748476e+02  3.02095238e-01
  5.08724095e+02  6.42285714e-01  4.77692095e+02  8.33047619e-01
  4.16053333e+01  9.37428571e-01  3.26941429e+02  1.52476190e-01
  1.16099314e+03  6.17994952e+02  8.29333333e+00  7.44571429e-01
  2.82857143e+00  4.53333333e-02  6.69047619e-01  2.20952381e-02
  3.38666667e-01  1.43809524e-02  4.39600000e+00  1.00952381e-02
  6.78952381e-01  8.76190476e-03  3.48571429e-02  2.10476190e-02
  1.10476190e-02  3.52380952e-03  2.27619048e+00  0.00000000e+00
  1.90476190e-02  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 6.51220522e-03 -7.15701927e-03  1.92158180e-02 -1.73016600e-02
 -1.66181853e-02 -8.79436801e-03  6.94263490e-03  3.62090204e-03
 -6.24838368e-03  4.82190099e-03  4.33655198e-03 -2.00052750e-02
 -4.73606046e-03 -4.09184711e-03 -1.17533768e-02 -3.12165626e-05
  2.13214972e-03  8.71343896e-03 -1.80307770e-02  2.67239318e-02
  2.11251700e-02  7.25129754e-03  2.54420923e-02 -1.03793925e-02
  5.89887683e-03  7.81397484e-03 -2.51276540e-02 -4.28927009e-03
  2.89316941e-03  3.29511874e-03 -8.70612348e-03  1.25035417e-02
 -1.50987636e-02 -1.73409866e-02  1.10089105e-03 -2.20783956e-02
 -4.55492176e-04 -1.17929348e-03  2.40952211e-02  6.19382257e-03
  8.70935640e-03 -6.47403520e-03 -5.13104352e-03 -1.08737481e-02
 -2.36954082e-03 -6.02220791e-03 -4.65280140e-03 -7.81133019e-03
  5.32879547e-03  1.67857861e-02 -1.23166252e-02  8.41274884e-03
  7.87175175e-03  1.87527024e-02 -3.24423640e-03  1.61877199e-02
 -1.64073610e-02 -1.33367147e-03 -3.19335229e-03  2.02771103e-02
  1.19856232e-02 -2.53064872e-02  1.46641196e-02  9.95799186e-03
  4.76566731e+02  2.56787500e+01  8.00511442e+02  3.11538462e-01
  5.13622981e+02  6.56153846e-01  4.82338077e+02  8.43173077e-01
  4.20995192e+01  9.41153846e-01  3.30087115e+02  1.62500000e-01
  1.14847346e+03  6.36812788e+02  8.38076923e+00  7.54519231e-01
  2.85163462e+00  5.21153846e-02  6.70769231e-01  2.08653846e-02
  3.41346154e-01  1.46153846e-02  4.41673077e+00  1.00961538e-02
  6.85673077e-01  8.75000000e-03  3.42307692e-02  2.12500000e-02
  1.11538462e-02  3.55769231e-03  2.29807692e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.02248252e-02 -9.14426006e-03  1.14327607e-02 -5.96947059e-03
 -3.51144373e-03 -2.66516392e-02 -1.55777005e-04 -3.74369281e-03
 -1.51532610e-02  5.55302850e-03  6.98319471e-03 -2.21813429e-02
 -5.53498167e-03 -1.23626097e-02  5.67508058e-03  2.06434432e-02
  7.16747195e-03  9.07888281e-04 -1.08801868e-02  1.98602576e-02
  2.72894491e-02  1.56912888e-02  1.41003224e-02 -1.27883339e-02
  3.85773281e-03  1.11265592e-02 -3.04788610e-02  4.07123775e-03
  8.87418503e-04  6.76296499e-03 -1.21001174e-02  8.28132023e-03
 -1.07958086e-02 -1.41682833e-02 -9.86024004e-03  2.91663254e-03
  2.12480302e-03 -9.40004745e-03  1.63503959e-02  1.01851108e-03
  8.15850305e-03 -1.17715714e-02  2.52504938e-03 -7.18878690e-03
 -5.57724765e-03 -1.96178474e-03  7.16598699e-03 -5.78462351e-03
  1.08338417e-03  7.02981319e-03  5.39674149e-03  2.61780659e-03
  1.49511099e-02  1.44807633e-02  2.32575309e-03  1.25220955e-02
  4.57606269e-03  2.96018203e-03 -1.45335619e-02  9.22784741e-03
  2.41958634e-03 -2.35708266e-02  1.09015704e-02 -2.31167142e-03
  4.72194476e+02  2.55582857e+01  7.93127524e+02  2.55047619e-01
  5.08728857e+02  6.40857143e-01  4.77736190e+02  8.42952381e-01
  4.17918095e+01  9.32476190e-01  3.26941048e+02  1.60952381e-01
  1.16972181e+03  6.40655619e+02  8.28076190e+00  7.43333333e-01
  2.82314286e+00  4.82857143e-02  6.55714286e-01  1.63809524e-02
  3.37523810e-01  1.43809524e-02  4.35361905e+00  1.00952381e-02
  6.79714286e-01  7.71428571e-03  3.40952381e-02  2.11428571e-02
  1.12380952e-02  3.71428571e-03  2.27619048e+00  0.00000000e+00
  1.90476190e-02  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 8.19774742e-03 -6.02904523e-03  2.61024553e-02 -4.14594614e-04
 -1.55892896e-02 -1.95382841e-02  8.10471979e-03  1.83830586e-03
 -9.26041854e-03 -3.71240384e-03  1.62549672e-02 -1.03130580e-02
 -3.17231165e-03 -1.69542563e-02 -2.74226447e-03  6.18340805e-03
  9.00015677e-03  5.67975153e-03 -1.61783381e-02  1.87239372e-02
  1.91533038e-02  1.63857077e-02  2.36974409e-02 -1.30550358e-02
 -2.58981222e-03  8.98973737e-03 -2.08217148e-02  3.68760123e-03
  1.34133920e-03 -5.10732844e-03 -9.28853180e-03  1.11290689e-02
 -1.46709691e-02 -1.31691997e-02  2.36470080e-03  2.01804631e-03
  1.10811231e-03  2.17772872e-03  1.63009653e-02  8.58808262e-03
  6.06525014e-03 -1.05188401e-02  6.62906857e-04 -1.96859866e-02
  7.93468252e-06 -1.13011311e-02  1.19613284e-02 -1.03805241e-02
 -6.01324987e-03  2.10577217e-02 -2.10402297e-03 -4.20443098e-03
  2.62368009e-03  1.35959423e-02  5.04230149e-04  2.39463580e-03
  5.76799793e-03 -1.33037388e-02 -4.73922770e-03  7.95580663e-03
  1.56232755e-02 -2.07577247e-02  1.18186931e-02 -2.84527077e-03
  4.76904135e+02  2.58427885e+01  8.00882885e+02  2.77019231e-01
  5.13640385e+02  6.56826923e-01  4.82325769e+02  8.71346154e-01
  4.19347115e+01  1.18288462e+00  3.30086923e+02  1.66442308e-01
  1.17251971e+03  6.23967692e+02  8.39625000e+00  7.50288462e-01
  2.85605769e+00  4.74038462e-02  6.54807692e-01  2.05769231e-02
  3.41923077e-01  1.45192308e-02  4.37461538e+00  1.05769231e-02
  6.86538462e-01  7.78846154e-03  3.51923077e-02  2.12500000e-02
  1.11538462e-02  3.55769231e-03  2.29807692e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 5.71468276e-03 -1.13498966e-02  1.82125148e-02  5.41685110e-03
 -6.04525663e-03 -1.97477342e-02  2.61486478e-03  2.81697561e-03
 -1.03892548e-02  5.23627014e-03  1.04092142e-02 -2.24931649e-02
 -1.07382187e-02 -4.22794322e-03  7.50128109e-04  3.01394732e-03
 -2.00592321e-03  1.24594128e-02 -5.70766514e-03  1.80142337e-02
  2.62505866e-02  2.21718321e-02  5.61796228e-03 -6.04519160e-03
 -7.03608942e-03  1.25947573e-02 -2.70606332e-02  9.15384046e-03
  1.42934960e-02  7.65070674e-04 -1.52591782e-02  5.54579087e-03
  4.32297311e-03 -8.04111223e-03  3.08906152e-03 -3.07900742e-03
 -5.86978719e-03 -1.75161284e-03  2.95560183e-03  7.23387220e-03
 -1.02851165e-02 -1.05857747e-02 -1.21893717e-02 -7.98064861e-03
 -1.73292360e-03 -1.13356352e-02  3.66563447e-03 -6.94349522e-03
 -8.78454133e-04  1.43737753e-02 -1.80487977e-03 -9.19487677e-03
  1.27906106e-02  1.49342760e-02 -7.07441568e-04  1.27566827e-02
  4.86166952e-03 -2.21432732e-02 -1.41168473e-02  1.15131362e-02
  2.02198333e-02 -2.18108704e-02  5.61801528e-03  2.83098923e-03
  4.72524190e+02  2.56554286e+01  7.93289905e+02  3.06952381e-01
  5.08736381e+02  6.57809524e-01  4.77716667e+02  8.60666667e-01
  4.14069524e+01  9.25238095e-01  3.26957143e+02  1.72285714e-01
  1.13780695e+03  6.30845238e+02  8.32133333e+00  7.43238095e-01
  2.80561905e+00  6.48571429e-02  6.59428571e-01  3.08571429e-02
  3.38095238e-01  1.44761905e-02  4.31200000e+00  1.07619048e-02
  6.80190476e-01  7.61904762e-03  3.39047619e-02  2.10476190e-02
  1.10476190e-02  3.52380952e-03  2.27619048e+00  0.00000000e+00
  1.90476190e-02  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
