Embedding,Label
"[ 1.21778581e-03 -1.83629141e-03  1.40220401e-02  5.03851378e-03
 -5.50450495e-03 -1.11512382e-02  9.76995772e-04  6.80465638e-03
 -5.72153408e-03 -2.99082186e-03  8.69735951e-03  1.36179570e-03
 -2.23102938e-03  1.28827230e-03 -6.16423855e-04  1.44195895e-03
 -2.57651149e-04  2.08344716e-03 -9.04330860e-03  2.81396267e-03
  5.78218367e-03  6.50681410e-03  1.17793972e-02  1.92661153e-03
 -7.56000764e-04  1.12692973e-02 -6.26015870e-03  9.46615443e-04
 -8.40321459e-03 -1.00486919e-02 -6.65724802e-03 -5.28724243e-03
 -7.36896997e-03 -1.04965634e-02  5.10226563e-03 -4.12472127e-04
 -5.74745721e-04 -7.14472323e-04  9.93565884e-03  1.42020594e-03
 -4.18970920e-03  5.60004133e-03 -5.15356101e-03 -1.51848986e-03
  6.64334330e-04 -3.12851618e-03 -4.71309931e-04  1.32290650e-03
  6.27418463e-04  6.07135947e-03  4.52729011e-03  9.35703344e-04
  2.56738429e-03  8.26317596e-03  5.40449953e-03  8.21882928e-03
  1.79002200e-03 -8.18390744e-03 -1.13359625e-03  4.68378514e-03
  5.01162131e-03 -5.16849346e-03 -1.38257547e-03  1.13165061e-03
  2.64146296e+02             nan  8.63251667e+02             nan
  6.49474444e+02             nan  2.38957407e+01             nan
  3.27555556e+00             nan  2.20851852e+01             nan
  2.17445370e+03             nan  1.12907407e+00             nan
  6.60740741e-01  5.18518519e-02  2.21851852e-01  3.03703704e-02
  5.84444444e-01  2.79629630e-02  1.51851852e-02  7.22222222e-03
  6.31481481e-02  2.42592593e-02  4.92592593e-02  4.09259259e-02
  5.38888889e-02  2.25925926e-02  0.00000000e+00  0.00000000e+00
  1.85185185e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  2.03703704e-01  6.27777778e-02 -3.70370370e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.55555556e-02  0.00000000e+00]",0
"[ 7.04116838e-03 -1.80853965e-03  3.99811777e-03  1.32525653e-02
 -6.91786577e-03 -2.09488931e-02  9.48051377e-03  1.19515435e-02
 -5.78674407e-03 -2.40285756e-03  1.02899603e-02  9.53386091e-03
  8.14594188e-04 -1.47623210e-03 -1.60466871e-03  5.02660417e-03
 -8.38094669e-03  4.12964793e-03 -2.96212037e-03  6.14822431e-03
 -8.22087082e-04  8.58869671e-03  1.20760872e-02 -1.70215748e-02
  9.90569451e-05  1.04008446e-03 -7.65627580e-03  1.21165328e-02
 -4.83556106e-03 -1.02848897e-03  2.91776091e-03 -7.65804075e-03
 -9.74543871e-03 -9.35712766e-03  1.13776306e-02 -2.09893910e-03
 -6.26194885e-03 -1.15044893e-02  2.27741779e-02  4.46670235e-03
 -3.51184888e-03 -3.37352055e-03 -4.57161264e-03 -1.50005844e-03
 -1.28467971e-04  3.26328598e-03  3.86503102e-03  2.33403020e-03
 -2.19687391e-03  1.16340060e-02  2.52980711e-03  3.33336391e-03
 -1.04805633e-02  9.99720338e-03  1.30716346e-02 -2.29942293e-03
 -3.51155324e-03 -1.58885358e-02  7.74601439e-04  3.46280213e-03
  7.40488562e-03 -1.69876769e-02  3.07707865e-03  7.86574860e-03
  2.27027547e+02             nan  8.78693962e+02             nan
  6.60394906e+02             nan  2.43649057e+01             nan
  3.47716981e+00             nan  2.24152830e+01             nan
  2.14468340e+03             nan  1.15056604e+00             nan
  6.40000000e-01             nan  2.07547170e-01  3.77358491e-02
  5.97735849e-01  3.69811321e-02  1.54716981e-02  7.35849057e-03
  4.81132075e-02  1.33962264e-02  4.71698113e-02  3.81132075e-02
  6.00000000e-02  7.35849057e-03  0.00000000e+00  0.00000000e+00
  1.88679245e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  2.26415094e-01  0.00000000e+00 -3.77358491e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.66037736e-02  0.00000000e+00]",0
"[-5.22592320e-04 -4.97396949e-03  1.14462754e-02  5.37755713e-03
 -2.17459064e-03 -1.99355260e-02  1.29540759e-03 -4.17120468e-04
 -6.03187600e-03 -6.30386947e-03  1.06185766e-02  5.12160452e-03
  1.78924396e-03 -6.73259522e-03 -3.09265348e-03 -2.75226707e-03
 -5.16410573e-03  7.83383560e-03 -2.47528678e-03  6.38374629e-04
  2.77903762e-03  9.01790651e-03  1.14326881e-02 -2.33171737e-03
  3.57073037e-03  8.92077214e-03 -8.05431404e-03  5.68023152e-03
 -2.41348778e-03 -4.79263508e-03 -8.64686409e-04 -2.22002314e-03
 -6.88080174e-03 -6.78904383e-03  4.74612587e-03 -1.38132260e-03
  2.72020213e-03 -2.35111352e-03  1.99317147e-02  4.50660116e-04
 -1.84844950e-03 -8.17823009e-04 -3.50274174e-03 -1.65132634e-03
  2.79785779e-03 -5.35283811e-04 -4.91107886e-04 -2.64084841e-03
  5.62442065e-03  3.38256259e-03  7.16909193e-05  3.11366146e-03
 -4.84830449e-03  1.23251224e-02  6.78066565e-03  1.52152404e-03
 -3.94215043e-03 -1.15239569e-02 -4.05982101e-03  4.74569173e-03
  7.81816305e-03 -1.56005025e-02 -2.07223614e-03  7.23912452e-04
  2.76803269e+02  4.55273077e+01  8.99465962e+02  1.50384615e+00
  6.69722500e+02  1.55865385e+00  2.50896154e+01  1.54423077e-01
  1.90365385e+00  6.29230769e-01  2.29342308e+01  1.97307692e-01
  2.30574808e+03  1.27951615e+03  2.58076923e-01  7.94230769e-02
  6.60000000e-01  4.42307692e-02  2.23269231e-01  3.65384615e-02
  6.06730769e-01  3.34615385e-02  1.61538462e-02  7.11538462e-03
  8.13461538e-02  1.80769231e-02  5.80769231e-02  5.90384615e-02
  1.23076923e-02  3.13461538e-02  0.00000000e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  1.76923077e-02  6.26923077e-02 -3.84615385e-02  0.00000000e+00
  4.42307692e-03  8.26923077e-03  5.76923077e-02  0.00000000e+00]",0
"[ 4.51687732e-03 -3.72215152e-03  1.31361800e-02  3.67370263e-03
 -3.21887739e-03 -1.51933283e-02  2.02472784e-03  5.91141135e-03
 -3.59548390e-03 -1.25197098e-03  1.35127407e-02 -7.32228756e-04
  3.78588721e-03 -3.38703312e-03 -6.26939535e-04  3.79685283e-03
 -6.64053500e-03  1.20530687e-03 -6.77079063e-03  7.10398793e-03
  3.51805918e-03  8.90024036e-03  1.39525804e-02  3.36313806e-04
  1.27789389e-03  1.05643934e-02 -5.48233157e-03  1.83149531e-03
 -1.92227615e-03 -1.89371839e-03 -2.34065257e-03  2.85409302e-03
 -1.29549563e-02 -6.47917256e-03  3.84463385e-03 -9.62356031e-04
 -3.19303922e-03 -2.33980462e-03  1.67119431e-02  7.85063088e-03
  1.30259112e-03  8.47581029e-05  3.36363133e-03  9.76550579e-05
  2.67097503e-04  2.07175501e-03  3.73136416e-03  1.12832785e-04
  5.13786525e-03  4.73789543e-03  2.08166659e-03 -1.45239435e-03
 -1.13408893e-03  1.00859496e-02  3.16581026e-03  5.79983816e-03
 -5.09822071e-04 -9.31683391e-03  1.03629306e-03 -1.37130439e-03
  1.23065716e-02 -1.14476055e-02  5.84673285e-03  5.92909157e-03
  2.74999800e+02             nan  9.35742400e+02             nan
  6.96759000e+02             nan  2.60820000e+01             nan
  1.76380000e+00             nan  2.38586000e+01             nan
  2.34509520e+03             nan  2.61200000e-01             nan
  6.49400000e-01             nan  2.23400000e-01  3.62000000e-02
  6.30600000e-01  3.04000000e-02  1.68000000e-02  7.40000000e-03
  7.40000000e-02  1.80000000e-02  5.14000000e-02  4.08000000e-02
  3.20000000e-03  7.40000000e-03  0.00000000e+00  0.00000000e+00
  2.00000000e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -4.00000000e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.00000000e-02  0.00000000e+00]",0
"[ 1.07408367e-02 -4.90552021e-03  1.12469439e-02 -6.35736518e-04
 -2.80027092e-03 -1.98799085e-02  3.08645853e-03  5.69555177e-03
  2.00185594e-03 -3.34707689e-03  7.53857715e-03 -3.21830402e-03
  1.11850324e-03 -1.17917204e-02 -5.76928065e-03  4.40443773e-03
 -2.87172971e-04  2.62712494e-03 -7.22768903e-03  2.81648421e-03
  9.34904952e-03  9.97390074e-03  1.25619771e-02 -2.01621552e-03
 -1.68429839e-03  1.01619313e-02 -2.92448737e-03  2.03648665e-03
  9.72665101e-03  8.07100838e-04 -8.20528854e-03  8.91528417e-03
 -1.26828397e-02 -4.31414183e-03 -4.47988552e-03 -3.73100075e-03
  1.18972803e-04 -2.02994801e-03  1.01792939e-02  7.01712403e-03
  2.22314529e-03 -4.97368889e-03 -4.59032409e-03 -1.67480829e-03
  3.25133831e-03 -1.52059479e-03 -3.72811331e-03 -4.26462134e-03
  8.72586474e-03  2.39748466e-03 -3.79151271e-03 -1.09612045e-03
  2.12548087e-03  1.81324841e-02  2.85361666e-03  5.76638065e-03
  4.66124444e-03 -2.86801573e-03 -9.29951861e-03 -1.17344989e-03
  1.16341694e-02 -8.75830761e-03  9.35266250e-03  8.84784620e-03
  2.63002037e+02             nan  8.64770741e+02             nan
  6.49106667e+02             nan  2.38768519e+01             nan
  2.94018519e+00             nan  2.21172222e+01             nan
  2.16164722e+03             nan  1.22555556e+00             nan
  6.31296296e-01  4.68518519e-02  2.40555556e-01  3.03703704e-02
  5.82592593e-01  2.81481481e-02  1.53703704e-02  7.03703704e-03
  8.27777778e-02  1.31481481e-02  4.79629630e-02  4.16666667e-02
  3.14814815e-03  7.03703704e-03  0.00000000e+00  0.00000000e+00
  1.85185185e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -3.70370370e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.55555556e-02  0.00000000e+00]",0
"[ 7.53269560e-03  7.81054736e-04  1.04053114e-02  4.47179976e-03
 -4.48068553e-03 -1.49581719e-02  4.60328994e-03 -7.31148666e-04
  2.43097252e-04 -3.91701908e-03  4.59364480e-03  2.09230769e-03
 -5.32009511e-03  6.19489773e-04 -2.71422022e-04  6.20424163e-03
 -5.06747908e-03 -2.19948068e-03 -8.12684146e-03  9.19401353e-03
  2.11362842e-03  7.29818262e-03  1.58954759e-02 -7.24239625e-03
  7.55670024e-04  7.96332765e-03 -1.01203642e-02  5.92479460e-03
 -1.87395455e-03 -6.13037015e-03 -3.23927392e-03  1.71974827e-03
 -1.22402868e-02 -4.71286373e-03  2.39854781e-03  4.59954252e-04
 -4.86824676e-03 -2.20663272e-03  1.37306949e-02  7.30751484e-03
 -3.65254166e-03  2.69854953e-03 -3.85203103e-03 -7.65273384e-03
 -6.45146921e-03 -4.12132445e-03  1.06993434e-03 -8.84822825e-04
 -1.70613285e-03  5.90122637e-03 -3.63036888e-03 -1.35781004e-03
 -2.06843369e-03  1.05056044e-02  3.26598049e-03  1.07096641e-02
  1.27068111e-03 -1.17466765e-02 -8.13421709e-03  3.19286056e-03
  2.64043098e-03 -1.23457792e-02  2.77909805e-03  1.01616167e-02
  2.80951765e+02             nan  9.17483137e+02             nan
  6.83119804e+02             nan  2.55721569e+01             nan
  2.14745098e+00             nan  2.34021569e+01             nan
  2.30739078e+03             nan  2.57843137e-01             nan
  6.43137255e-01  5.94117647e-02  2.40588235e-01  3.66666667e-02
  6.18823529e-01  2.96078431e-02  1.64705882e-02  7.25490196e-03
  7.47058824e-02  1.90196078e-02  5.07843137e-02  4.07843137e-02
  3.13725490e-03  7.25490196e-03  0.00000000e+00  0.00000000e+00
  1.96078431e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -3.92156863e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.88235294e-02  0.00000000e+00]",0
"[ 0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  8.50000e+00
          nan  8.70300e+02          nan  7.50000e+00          nan
  7.00000e-01          nan  9.00000e-01          nan  1.64000e+01
          nan  1.16057e+04          nan  4.00000e-01          nan
  2.00000e-01          nan  4.00000e-01          nan  3.00000e-01
          nan -1.00000e-01          nan  1.00000e-01          nan
  3.00000e-01          nan  0.00000e+00          nan  0.00000e+00
  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
  0.00000e+00  0.00000e+00  0.00000e+00]",0
"[ 4.36127398e-03  3.19915909e-03  2.24044309e-02  2.23167275e-03
 -5.36176268e-04 -8.51157238e-03  7.90251393e-03  1.23452565e-02
 -7.01878566e-04  6.43520037e-03  1.34674591e-02  6.03782368e-03
  9.23106022e-03  6.24355362e-03  3.78669785e-03 -2.36445444e-03
 -8.36452426e-03  3.34354273e-03 -8.34922596e-03  3.60858012e-03
  2.45372622e-03  9.12878091e-03  8.29333552e-03 -1.71988516e-02
 -9.86311845e-03  1.18935510e-02 -1.50826851e-02  1.52351343e-02
 -2.17623108e-03 -2.53834116e-03 -2.83898965e-03  3.98962979e-03
 -2.35995415e-02 -1.04362181e-02  7.12951221e-03 -6.38445051e-03
 -1.06890274e-02  3.53981953e-03  1.64909723e-02  2.58005047e-03
 -1.63293764e-03  7.35540064e-03  4.12850376e-03 -4.10434517e-03
 -8.41820968e-03  1.62713126e-03  8.27546348e-03  3.51064778e-03
 -1.29383495e-03  4.71316850e-03  8.55457679e-03 -9.38150044e-03
 -1.30574949e-02  3.79627956e-03  5.14742152e-03  1.19754183e-02
  4.26852707e-04 -1.01060136e-02 -3.82854651e-03 -3.27651272e-03
  1.21532658e-02 -1.20159769e-02 -1.11501851e-02  4.73498206e-03
  1.11472093e+01             nan  9.87255814e+02             nan
  1.91781395e+01             nan  6.01930233e+00             nan
  3.62000000e+00             nan  2.74455814e+01             nan
  1.60084488e+03             nan  1.43790698e+00             nan
  7.98604651e-01             nan  3.41162791e-01  1.34883721e-02
  7.32558140e-01  4.93023256e-02  1.16279070e-02  1.65116279e-02
  8.53488372e-02  1.34883721e-02  4.25581395e-02  6.27906977e-02
  4.65116279e-02  4.02325581e-02  0.00000000e+00  0.00000000e+00
  2.32558140e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  1.86046512e-01  1.61162791e-01 -4.65116279e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.97674419e-02  0.00000000e+00]",0
"[-1.25538343e-03 -1.27576292e-03  7.08015750e-03  7.88764269e-03
 -4.00326028e-03 -1.51712006e-02  3.30318485e-03 -1.61744640e-03
 -6.72057214e-03 -9.42414197e-03  1.06119130e-02  4.91171244e-03
  7.58450579e-03 -6.47769610e-03 -4.87449042e-04 -5.93687184e-04
 -1.10288698e-02  1.44753532e-03 -6.51615858e-03  1.15467186e-04
 -4.57595461e-04  8.16136283e-03  1.07305984e-02 -1.35131488e-03
 -2.74216416e-04  1.07418087e-02 -9.31900768e-03  2.31074008e-03
 -6.28431170e-03 -7.25666204e-04 -1.18337944e-02 -7.23220695e-05
 -7.08222690e-03 -7.84273188e-03  2.90913652e-03 -1.34148771e-03
  5.88690747e-03 -1.83291963e-03  1.69951434e-02  2.01627125e-03
  4.14974730e-03  1.08710078e-03 -2.34806602e-03 -5.10958185e-04
  1.09737796e-03  3.40376336e-03 -1.17696048e-03 -3.20136619e-03
  7.17276134e-03 -2.53775275e-03  3.72611280e-03  3.08398050e-04
 -1.76858769e-03  7.76567683e-03  6.95050794e-03  6.60395565e-03
  5.00469411e-03 -1.02423349e-02 -6.81418539e-03  3.69457714e-03
  2.88678566e-03 -1.34173374e-02 -3.57128966e-03  4.16660252e-03
  2.74470962e+02  4.56419231e+01  8.98513846e+02  6.90192308e-01
  6.69404615e+02  1.67096154e+00  2.51286538e+01  1.65961538e-01
  1.87288462e+00  6.23461538e-01  2.29296154e+01  2.16346154e-01
  2.27973173e+03  1.28537846e+03  1.84230769e-01  6.30769231e-02
  6.65769231e-01  5.50000000e-02  2.49230769e-01  2.71153846e-02
  6.17500000e-01  3.84615385e-02  1.61538462e-02  7.11538462e-03
  6.69230769e-02  9.61538462e-03  4.96153846e-02  4.26923077e-02
  6.11538462e-02  7.50000000e-03  0.00000000e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  2.30769231e-01  0.00000000e+00 -3.84615385e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.76923077e-02  0.00000000e+00]",0
"[ 8.72352807e-03  1.94478123e-03  1.28189197e-02  7.51485018e-03
 -5.49866292e-03 -1.40125804e-02  4.51535396e-03  3.26890279e-03
  7.88929167e-03 -3.06832264e-03  9.82156126e-03  7.55624736e-05
  8.10698522e-03  1.53723008e-04 -4.66542129e-03  5.60041933e-03
 -1.57551789e-02  2.98302577e-03 -1.10098468e-02  1.20025254e-02
  2.07484733e-03  1.03843165e-02  1.67952642e-02 -1.09581863e-02
 -6.22523503e-03  1.12753841e-02 -1.39119353e-02  5.40763184e-03
 -1.82102504e-03  2.82531458e-03 -4.40333769e-03  1.11025747e-03
 -1.29654238e-02 -9.14771212e-03  6.55475230e-03 -4.66683770e-03
 -8.82280691e-03  2.60640009e-04  1.91641421e-02  5.79878440e-03
 -7.60583609e-04 -1.90462709e-03 -7.23826301e-03 -3.63680067e-03
 -9.43338462e-05  6.73107474e-04  2.48560214e-03 -1.76563859e-04
 -3.05872695e-03  1.94060452e-03  6.51420624e-04 -4.69409605e-04
 -1.02055165e-02  1.08658654e-02  2.05474267e-03  7.32859750e-03
  6.69708709e-03 -1.04940247e-02 -2.91545967e-03 -5.44432887e-03
  2.06198046e-03 -1.68526850e-02  2.52644352e-03  4.47179048e-03
  2.72080980e+02  5.21537255e+01  9.15900784e+02  8.45686275e-01
  6.83197059e+02  9.36274510e-01  2.56280392e+01  1.57058824e-01
  1.85960784e+00  2.19607843e-01  2.34058824e+01  1.95490196e-01
  2.30743098e+03  1.26447000e+03  2.13725490e-01  7.90196078e-02
  6.70000000e-01  5.68627451e-02  2.58823529e-01  4.21568627e-02
  6.38431373e-01  2.96078431e-02  1.64705882e-02  7.25490196e-03
  5.74509804e-02  3.11764706e-02  5.92156863e-02  5.86274510e-02
  4.50980392e-02  3.43137255e-02  0.00000000e+00  0.00000000e+00
  1.96078431e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  1.68039216e-01  1.08235294e-01 -3.92156863e-02  0.00000000e+00
  3.52941176e-03  7.64705882e-03  5.88235294e-02  0.00000000e+00]",0
