Embedding,Label
"[ 1.29350320e-02 -8.10246660e-03  1.68593604e-02  7.63769685e-03
 -3.42630396e-03 -2.12042704e-02  4.29924542e-03  9.36340705e-03
 -6.78249261e-03 -6.01812516e-04  1.32549909e-02 -3.95401013e-03
 -5.05876277e-03 -4.90237386e-03 -3.93727830e-03  1.37426974e-02
  7.30568564e-03 -1.96789753e-03 -7.46913676e-03  2.61002824e-02
  2.97016141e-02  1.60065885e-02  1.24112023e-02 -1.32743369e-02
  2.32361670e-04  6.17304231e-03 -2.75409192e-02  5.10971614e-03
 -8.18330954e-04 -1.06120351e-03  1.47501957e-03  4.52162378e-03
 -6.55189263e-04 -8.64840788e-03  2.56844111e-03 -8.77144660e-03
  5.81158921e-03 -5.70070731e-03  1.78123089e-02 -1.44897655e-03
  1.29807930e-02 -5.34612413e-03 -5.67891635e-04 -1.53558890e-02
 -2.25680190e-03 -2.06662867e-02  4.52026005e-03 -4.95409288e-03
  2.06929844e-03  8.83720226e-03  5.20434142e-03 -3.84650454e-03
  5.64467609e-03  2.11408014e-02  4.81909283e-03  8.60235715e-03
  8.49545060e-03 -7.38089627e-03 -5.69592604e-03 -4.43633493e-03
  2.53367012e-03 -1.70840363e-02  8.29449523e-03  3.41409978e-03
  4.81647238e+02             nan  9.85984342e+05             nan
  6.52724667e+02  3.07668857e+02  4.81448190e+02  5.79990476e+00
  4.04967619e+01  4.19638095e+00  3.27906857e+02  3.28066667e+00
  1.14309143e+03  6.47267905e+02  7.09838095e+00  3.17009524e+00
  2.51571429e+00  6.19428571e-01  6.64190476e-01  3.72380952e-02
  3.38095238e-01  1.44761905e-02  4.89457143e+00  2.06771429e+00
  6.82857143e-01  2.13333333e-02  3.62857143e-02  2.51428571e-02
  1.11428571e-02  3.61904762e-03  2.27619048e+00  0.00000000e+00
  1.90476190e-02  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.04095238e-01  8.52380952e-02 -6.66666667e-04  1.39047619e-02
  0.00000000e+00  0.00000000e+00  8.19047619e-03  1.31428571e-02]",0
"[ 1.43534216e-02 -7.95685892e-03  2.17244260e-02 -1.02264181e-02
 -6.37832492e-04 -2.11275984e-02 -1.26269134e-03  8.67633470e-03
 -4.17647040e-03  5.79606548e-03  1.36108456e-02 -1.84065396e-02
 -1.77337647e-03 -9.98319574e-03 -1.62700142e-03  2.32750799e-03
 -2.28632575e-03  7.54100591e-03 -1.66276546e-02  1.91650795e-02
  1.89457223e-02  1.67458910e-02  1.62271294e-02 -5.24258864e-03
 -6.93818382e-03  1.38173047e-02 -2.40724360e-02  1.05362960e-03
 -3.37576673e-04  1.31298662e-03 -1.03627365e-02 -4.60836042e-03
 -7.93015520e-03 -2.11707958e-03 -1.98098265e-03 -4.87066040e-03
  7.75505273e-03 -1.03690112e-02  2.27234319e-02 -4.07234794e-03
 -1.12795231e-02 -3.45674881e-04 -6.78641027e-03 -1.09423478e-02
 -4.03448357e-03 -1.02581620e-02  1.12654696e-02 -3.14724972e-03
 -7.45074089e-05  3.04995176e-04  3.92915529e-03 -3.64036794e-03
  1.32384268e-02  1.80426264e-02  1.20274267e-02  1.81445433e-02
  7.37868307e-03 -1.08726035e-02 -7.68424434e-03  4.83253801e-03
  2.41428789e-03 -2.48994834e-02 -3.31050448e-03  1.50715035e-03
  4.76917981e+02  2.58300962e+01  7.91870192e+02  3.57019231e-01
  5.13575481e+02  6.78942308e-01  4.82526731e+02  8.94711538e-01
  4.26658654e+01  9.37980769e-01  3.29656442e+02  1.91346154e-01
  1.14150260e+03  6.36204135e+02  8.47538462e+00  7.55769231e-01
  2.69576923e+00  7.79807692e-02  6.82211538e-01  1.72115385e-02
  3.41346154e-01  1.46153846e-02  5.85711538e+00  9.71153846e-03
  6.86442308e-01  8.07692308e-03  3.42307692e-02  2.12500000e-02
  1.11538462e-02  3.55769231e-03  2.29807692e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 8.67399636e-03 -1.04120732e-02  1.39286857e-02 -1.24226690e-03
 -6.97206600e-03 -1.87031473e-02 -4.72049238e-04  3.75035054e-03
 -1.19444688e-02 -2.60193234e-03  1.37915872e-02 -1.34770438e-02
 -1.20133745e-02 -1.30037507e-02 -1.16787792e-03  1.34107421e-02
  4.34499779e-03  1.47452378e-02 -1.24196121e-02  2.66182456e-02
  1.67493406e-02  1.71096308e-02  1.04869972e-02 -1.17987804e-02
 -6.39883514e-03  6.66683060e-03 -2.69786352e-02 -5.38284532e-04
  4.76551849e-03 -4.41232230e-03 -1.15929952e-02  4.96475005e-03
 -1.10375273e-02 -1.04196922e-02 -2.64935161e-03 -8.67706290e-03
  4.26609298e-03  4.35292506e-04  1.66834323e-02  5.55576642e-03
 -1.06954983e-02  8.15326950e-03  6.94755479e-03 -7.48017591e-03
  1.00264851e-02  3.33521422e-03 -3.69172328e-03 -8.81259151e-03
  7.80137005e-03  3.42426698e-03  1.13093424e-02 -4.76480859e-03
  1.34229873e-02  1.98501430e-02  1.61937727e-03  1.45390044e-02
 -1.49814408e-03 -4.79130329e-03 -1.39790680e-02  9.98952857e-03
  1.06946057e-02 -1.99903607e-02  2.35852734e-03  2.35072772e-02
  4.77059808e+02  2.57722115e+01  7.91870962e+02  3.41153846e-01
  5.13540769e+02  6.57115385e-01  4.82518462e+02  8.63557692e-01
  4.27385577e+01  9.17980769e-01  3.29701442e+02  1.72596154e-01
  1.17412423e+03  6.46135865e+02  8.44855769e+00  7.37403846e-01
  2.66615385e+00  6.13461538e-02  6.75769231e-01  2.14423077e-02
  3.40769231e-01  1.45192308e-02  5.83884615e+00  9.03846154e-03
  6.86250000e-01  7.78846154e-03  3.44230769e-02  2.13461538e-02
  1.13461538e-02  3.75000000e-03  2.29807692e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.40439239e-02 -2.67906019e-03  1.13105564e-02  6.19609697e-03
 -8.61398940e-03 -2.49484030e-02 -2.54333872e-03  1.42026081e-02
 -1.85283414e-02  4.12664235e-03  1.57370702e-02 -1.88923517e-02
 -8.40582126e-03 -1.83129107e-03 -4.87878925e-03  7.97850266e-03
  3.88333233e-03  1.75009354e-03 -1.31759144e-02  1.42283191e-02
  2.36131538e-02  1.68249072e-02  1.01818380e-02 -9.20571681e-03
 -9.31874240e-03  6.97494162e-03 -2.48126170e-02 -3.58293472e-03
 -5.60545703e-03 -4.47109936e-04 -8.96416832e-03  1.63032860e-03
 -6.36410183e-03 -7.71975081e-03 -6.55630642e-03 -9.87552010e-03
  8.60124584e-03 -8.52739446e-03  1.71155232e-02  7.99670572e-03
  5.72855050e-03 -1.77360248e-03 -2.43878393e-03 -5.90935385e-03
 -4.30623610e-03 -1.56728527e-02 -5.90431474e-03 -3.27971063e-03
  1.05477185e-02  1.27175072e-02  9.36823672e-03  9.42019249e-04
  1.31485464e-02  1.48920595e-02  1.18930311e-02  2.10963742e-02
  1.44145360e-03 -1.59858223e-02 -5.43637670e-03  1.38819972e-02
  6.72512658e-03 -9.45314050e-03  3.58827093e-03  7.84578082e-03
  4.72709714e+02  2.54254286e+01  7.84375714e+02  3.35047619e-01
  5.08732762e+02  6.66666667e-01  4.77917143e+02  8.59619048e-01
  4.23891429e+01  9.11428571e-01  3.26629143e+02  1.70571429e-01
  1.15472886e+03  6.17396857e+02  8.38419048e+00  7.29238095e-01
  2.82419048e+00  1.24571429e-01  6.65333333e-01  1.62857143e-02
  3.38666667e-01  1.43809524e-02  5.76495238e+00  8.28571429e-03
  6.80000000e-01  7.71428571e-03  3.48571429e-02  2.10476190e-02
  1.10476190e-02  3.52380952e-03  2.27619048e+00  0.00000000e+00
  1.90476190e-02  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.50197612e-02 -2.45743402e-03  1.00930254e-02  1.33697140e-03
 -1.17709553e-02 -2.35152914e-02  5.58511367e-03  2.23415499e-05
 -1.15002486e-02 -2.42288108e-04  2.22837558e-02 -5.13247241e-04
  8.99655916e-03 -1.57839619e-02  4.62978365e-03  4.30472442e-03
  3.20397578e-03  4.85395441e-03 -8.06746200e-03  1.87850014e-02
  1.70539362e-02  1.59651305e-02  1.41678540e-02 -1.15455727e-02
 -2.19617465e-03  8.17417905e-03 -2.04282277e-02  2.89912619e-03
 -1.80531643e-03 -2.04862310e-06 -4.35726140e-03  6.68299634e-03
 -1.00222262e-02 -9.15322120e-03 -6.39173885e-03 -1.28427783e-02
  1.06642267e-02 -4.47992995e-03  3.23703172e-02  3.56545668e-03
 -7.07181711e-03  1.41405850e-03 -1.47431158e-03 -7.60238976e-03
 -6.16888748e-04  6.16084082e-03  5.51022027e-03 -6.13093177e-03
  1.71579166e-03  1.19726727e-02  2.49778143e-03  1.91866110e-03
  8.08862172e-03  1.20653808e-02  1.75327549e-02  1.55112184e-02
 -2.23940515e-03 -1.06503477e-02 -1.34660060e-03  1.21972318e-02
  9.81036654e-03 -1.62672386e-02 -4.04138915e-03  1.11813551e-02
  4.76906923e+02  2.56044231e+01  7.91938173e+02  3.23557692e-01
  5.13676346e+02  6.73173077e-01  4.82467019e+02  8.66250000e-01
  4.25742308e+01  1.17182692e+00  3.29793654e+02  1.74230769e-01
  1.14169471e+03  6.36373558e+02  8.45336538e+00  7.50576923e-01
  2.92586538e+00  5.29807692e-02  6.72884615e-01  1.80769231e-02
  3.41346154e-01  1.46153846e-02  5.80134615e+00  8.55769231e-03
  6.87019231e-01  7.30769231e-03  3.42307692e-02  2.12500000e-02
  1.11538462e-02  3.55769231e-03  2.29807692e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.08730471e-02 -4.56238452e-03  1.72033226e-02  1.27493390e-04
  2.67352601e-03 -1.72300692e-02  1.00682852e-03 -5.73099175e-03
 -1.70787074e-02 -1.09523990e-03  1.17910679e-02 -2.05335257e-02
 -9.47371318e-04 -1.31049060e-03  1.60091335e-03  1.35175383e-02
 -9.92101807e-03 -3.64900365e-03 -5.43589480e-03  2.36031615e-02
  2.09996522e-02  1.41150207e-02  1.04689670e-02 -2.18213557e-03
 -6.70741441e-03  1.31357454e-02 -1.82704907e-02  7.07970212e-03
 -6.75402979e-03  2.86624932e-03 -4.21403064e-03  3.28398059e-03
 -1.04824542e-02 -1.98270876e-02  1.80530613e-03 -1.02491763e-02
 -1.38132165e-02 -6.19733367e-03  1.99716567e-02  6.87601867e-03
  2.28708259e-03 -5.69366682e-03 -1.22941230e-02 -1.35774011e-02
  2.31253399e-03 -8.36688385e-03  7.92057332e-03 -1.43812193e-02
  3.60851584e-03  2.12300657e-02 -1.82875399e-03  5.48469277e-03
  1.21521260e-03  1.10892800e-02  3.07058508e-03  1.73556499e-02
  6.26576491e-04 -1.00709417e-02 -4.70869064e-03 -3.42911686e-03
  6.70719852e-03 -2.56325396e-02  8.60734605e-03  1.37687949e-03
  4.76897404e+02  2.57135577e+01  7.92008558e+02  3.15000000e-01
  5.13529519e+02  6.85192308e-01  4.82438077e+02  8.67788462e-01
  4.23618269e+01  9.26057692e-01  3.29708750e+02  1.82788462e-01
  1.17421442e+03  6.46168750e+02  8.42548077e+00  7.56346154e-01
  2.62230769e+00  1.22115385e-01  6.63076923e-01  1.35576923e-02
  3.40769231e-01  1.45192308e-02  5.78307692e+00  9.03846154e-03
  6.87307692e-01  4.80769231e-03  3.44230769e-02  2.13461538e-02
  1.13461538e-02  3.75000000e-03  2.29807692e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 4.48058191e-03 -1.13500692e-02  9.00412338e-03  3.95639697e-03
 -7.27766159e-03 -2.00433406e-02  6.28159706e-03  3.80020149e-03
 -9.67423475e-03  5.22797651e-03  2.03877924e-02 -1.19573531e-02
 -3.36622397e-03 -1.57892101e-02 -3.99338891e-03  1.37360000e-02
  2.18209440e-03  4.06425620e-03 -6.48282610e-03  1.42563686e-02
  1.94134036e-02  2.21984723e-02  1.07429011e-02 -1.88555832e-02
 -3.32628595e-03  7.55474589e-03 -2.44793889e-02  3.28817430e-03
  1.00951477e-03  3.87771144e-05 -2.66515805e-03  2.94669512e-03
 -1.02784293e-02 -8.43755026e-03 -6.51080664e-03  1.08287776e-03
  7.75373181e-03 -9.00513572e-04  3.38925853e-02 -2.99289340e-03
  2.72917620e-03 -4.58081166e-03 -3.88861394e-04 -1.27436777e-02
  2.28561017e-03 -9.03702517e-03  5.10405372e-03  1.89058562e-03
  3.94893179e-03  1.64517710e-02  6.87662539e-03 -7.95070928e-03
  4.20454730e-03  2.18950434e-02  1.21078792e-02  2.95634175e-03
  3.36026594e-04 -1.16426291e-02 -1.07093825e-02  1.20308789e-02
  1.15007100e-02 -2.02303828e-02  1.26899087e-04  1.26398781e-03
  4.72055429e+02  2.57757143e+01  7.84503333e+02  3.05142857e-01
  5.08616095e+02  6.60285714e-01  4.77840667e+02  8.42285714e-01
  4.20772381e+01  9.42380952e-01  3.26563714e+02  1.69333333e-01
  1.15471467e+03  6.17502381e+02  8.32780952e+00  7.58476190e-01
  2.50666667e+00  5.62857143e-02  6.56761905e-01  1.34285714e-02
  3.38666667e-01  1.43809524e-02  5.70971429e+00  9.42857143e-03
  6.80952381e-01  4.85714286e-03  3.48571429e-02  2.10476190e-02
  1.10476190e-02  3.52380952e-03  2.27619048e+00  0.00000000e+00
  1.90476190e-02  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.45672182e-02 -4.14046810e-03  1.45654452e-02 -6.21372160e-03
 -1.34038207e-02 -2.27320805e-02  5.94360108e-03  7.61389904e-03
 -1.45846608e-02 -6.51437691e-03  1.42186153e-02 -1.76931809e-02
 -3.87427987e-03 -2.48096210e-03 -2.75033830e-03  9.48759836e-03
  8.74785521e-03 -3.25052721e-04 -2.28606093e-02  1.63540610e-02
  1.31273915e-02  1.11772768e-02  1.86081523e-02 -1.21528235e-02
 -8.77504212e-03  1.65006970e-02 -2.61508304e-02  1.14040378e-04
 -3.39400389e-03  1.14210655e-03 -8.51546801e-03  6.63565006e-03
 -1.33122462e-02 -2.12032679e-02 -2.24649598e-03 -8.95527091e-03
  2.01166235e-03 -1.88633557e-02  1.67436635e-02  4.61838556e-03
 -7.90291265e-04 -5.89813512e-03 -1.43121203e-02 -6.45186480e-03
 -4.62335221e-04 -5.79562844e-03  3.01108649e-03 -5.89773996e-03
 -3.61478157e-03  2.25292409e-02 -9.50651458e-05 -2.85097717e-03
 -8.74866585e-03  7.23703177e-03  9.81006642e-03  1.25972800e-02
  2.08253191e-03 -1.43712616e-02 -5.41866488e-03  2.47712204e-02
  4.14690039e-03 -1.50909054e-02  4.54455662e-03  5.55441414e-03
  4.76672596e+02  2.58442308e+01  7.92193462e+02  3.23269231e-01
  5.13514423e+02  6.62692308e-01  4.82466827e+02  8.45096154e-01
  4.25796154e+01  9.46346154e-01  3.29703750e+02  1.72211538e-01
  1.14202519e+03  6.36254615e+02  8.45548077e+00  7.68557692e-01
  2.50605769e+00  6.04807692e-02  6.60673077e-01  1.86538462e-02
  3.41346154e-01  1.46153846e-02  5.74605769e+00  1.00000000e-02
  6.87692308e-01  4.80769231e-03  3.42307692e-02  2.12500000e-02
  1.11538462e-02  3.55769231e-03  2.29807692e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.22474116e-02 -1.84649044e-02  9.95886974e-03 -1.60677870e-03
 -3.73593147e-03 -2.09053863e-02  8.78514825e-03  5.10515947e-04
 -1.05524155e-02  1.83338431e-03  9.54087134e-03 -1.82574014e-02
 -1.51519070e-02 -9.26631957e-03 -1.17749943e-02  6.22506351e-03
  2.74397362e-03  9.65059978e-03 -1.18656583e-02  2.50347837e-02
  2.14094685e-02  1.88544164e-02  1.44858332e-02 -7.65687718e-03
  7.61428901e-04  6.48330101e-03 -2.59325318e-02 -1.25495025e-03
  5.18890453e-04  5.38109952e-03 -7.92742379e-03  2.96247908e-03
 -1.18339343e-02 -1.03753361e-02 -8.30740198e-04 -1.17101228e-02
  4.99901614e-03 -1.02687197e-02  1.71279670e-02 -3.44454677e-03
 -5.84117637e-03 -2.62438558e-03 -3.16880578e-03 -9.22605791e-03
  2.06155160e-03 -1.07019780e-02  1.15957033e-03 -2.08947332e-03
  1.32716521e-02  1.30893011e-02 -4.71843016e-03 -3.50370925e-03
  5.54536464e-03  1.63343361e-02  8.00942209e-03  1.60269753e-02
 -6.61664061e-03 -6.88593415e-03  4.48065333e-03  1.00499524e-02
  4.00939772e-03 -3.01962915e-02  3.48434377e-03  4.83095272e-03
  4.72299333e+02  2.56469524e+01  7.84759333e+02  3.32095238e-01
  5.08606095e+02  6.50666667e-01  4.77882381e+02  8.42476190e-01
  4.22649524e+01  9.33428571e-01  3.26566190e+02  1.67047619e-01
  1.16325238e+03  6.40052000e+02  8.37752381e+00  7.49142857e-01
  2.48942857e+00  5.82857143e-02  6.47238095e-01  1.34285714e-02
  3.37523810e-01  1.43809524e-02  5.67342857e+00  1.00000000e-02
  6.80761905e-01  4.76190476e-03  3.40952381e-02  2.11428571e-02
  1.12380952e-02  3.71428571e-03  2.27619048e+00  0.00000000e+00
  1.90476190e-02  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.44380339e-03 -4.16545456e-03  1.97952229e-02  3.31454221e-03
 -8.20734871e-03 -1.52163839e-02  3.92913464e-04 -1.73936615e-03
 -7.93333617e-03 -5.67127282e-03  8.14561525e-03 -1.98718207e-02
 -8.53445722e-03 -7.91510510e-03  3.39664023e-03  1.16754030e-02
 -3.47842445e-03  1.63611557e-03 -1.44916025e-02  3.02802390e-02
  2.24260029e-02  1.20984363e-02  1.33335221e-02 -7.81538139e-03
 -1.96717179e-03  1.28101341e-02 -2.41996509e-02  8.47131156e-03
  4.92689138e-03  6.66961446e-04 -1.14695932e-02  9.06426357e-03
 -9.39194709e-03 -2.94716724e-03 -1.55471152e-03 -2.62994653e-03
 -7.78018110e-03  2.82718397e-03  2.17780924e-02  4.52953171e-03
 -6.80416774e-03  2.41289844e-03 -3.27662393e-03 -8.51379583e-03
 -1.96749128e-03 -8.85098023e-03  9.78117216e-03 -3.23338372e-03
  3.60045511e-04  8.84927393e-03 -4.11817687e-03  9.54172462e-03
  1.09544191e-02  1.46847574e-02  4.24229066e-03  1.23511146e-02
  2.79334631e-04 -6.77851667e-04 -6.34375424e-03  3.68680415e-04
  8.35002703e-03 -1.78378022e-02  1.83075672e-02  3.05349200e-03
  4.72473048e+02  2.56400952e+01  7.84865524e+02  3.29714286e-01
  5.08593333e+02  6.51523810e-01  4.77861429e+02  8.44476190e-01
  4.23497143e+01  9.31523810e-01  3.26561238e+02  1.65523810e-01
  1.15505152e+03  6.17464952e+02  8.40752381e+00  7.50571429e-01
  2.45447619e+00  5.75238095e-02  6.47238095e-01  1.34285714e-02
  3.38666667e-01  1.43809524e-02  5.65523810e+00  1.01904762e-02
  6.80952381e-01  4.85714286e-03  3.48571429e-02  2.10476190e-02
  1.10476190e-02  3.52380952e-03  2.27619048e+00  0.00000000e+00
  1.90476190e-02  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
