Embedding,Label
"[ 2.55638151e-03 -4.31926316e-03  1.04792910e-02  6.78317947e-03
  1.19585823e-03 -5.32778120e-03  3.83051374e-05  5.36919571e-03
 -2.40566512e-03 -3.21290718e-04  8.14374443e-03 -3.91895836e-03
  5.00750262e-03  3.17414454e-03 -2.48225685e-03  3.86432582e-03
 -5.58139291e-03  1.26218144e-03 -4.59739473e-03  1.45245728e-03
  7.38631003e-03  9.15804505e-03  7.53340730e-03 -2.40052608e-03
 -4.51509637e-04  9.98923928e-03 -3.98326712e-03  1.51644088e-03
 -8.00875109e-03 -2.66237580e-03 -1.94433378e-03 -6.87039364e-03
 -6.05881121e-03 -6.58756075e-03  2.02554092e-03  1.97567679e-05
  1.83978514e-03 -1.69747160e-03  8.50470830e-03  4.78293747e-04
 -5.55142120e-04  2.01830338e-03 -1.85840193e-03 -4.10953211e-03
 -3.48224770e-03 -2.70934805e-04  7.12530746e-04 -2.19069747e-03
  5.45547402e-04 -2.93593225e-03  5.09712705e-03 -3.09309270e-03
 -2.74035195e-03  6.28480688e-03  6.36966247e-03  8.02275667e-04
  3.60772340e-03 -1.00108534e-02 -5.56710456e-03  1.31503795e-03
  4.11712239e-03 -7.51137268e-03 -4.52858442e-03 -4.12804744e-04
  9.75468750e+00  1.53437500e-01  2.86502187e+02  1.17187500e-01
  1.24153750e+03  1.11781250e+00  8.21093750e+00  6.93750000e-02
  3.67187500e-01  6.31250000e-02  2.01156250e+01  1.35000000e-01
  3.25150250e+03  2.28153656e+03  3.56250000e-01  4.87500000e-02
  2.15625000e-01  5.18750000e-02  1.62500000e-01  4.84375000e-02
  1.04687500e+00  4.93750000e-02  2.50000000e-02  1.31250000e-02
  1.75000000e-01  1.62500000e-02  8.75000000e-02  7.21875000e-02
  6.25000000e-03  1.31250000e-02  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -6.25000000e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  9.37500000e-02  0.00000000e+00]",0
"[ 9.01399261e-03 -3.04811725e-04  4.23422806e-03  3.82087058e-03
  4.39536674e-03 -1.58533460e-02 -8.75630690e-04 -8.43091192e-04
 -4.73569421e-04  2.27260706e-03  1.48080716e-02 -2.75712077e-03
  7.70397484e-03 -5.08955395e-03  1.72135570e-03  6.82143772e-03
  1.30037861e-03 -2.40749486e-03 -1.44433899e-02  1.11124272e-02
  2.46225604e-03  1.20979098e-02  1.21343221e-02  1.02053875e-03
 -5.68192102e-03  3.91037921e-03 -1.13891100e-02 -2.36406356e-03
 -7.97270114e-03 -2.55577294e-03 -1.49881407e-02 -1.68643293e-03
 -6.85770927e-03 -3.75043875e-03  1.74790274e-03 -9.37826259e-03
 -4.87190193e-03 -1.23582453e-02  2.01417617e-02  8.66620462e-03
 -1.32176926e-02 -5.51252162e-03 -6.83081676e-03 -5.95395106e-03
 -6.87222855e-03  2.14423060e-03 -5.70526442e-03  4.61268863e-03
  1.16985386e-03  1.06921728e-02 -8.90995443e-03 -1.86576928e-03
 -1.88355155e-03  6.65667712e-03  3.52417625e-03  1.47374933e-02
  2.18866389e-03 -1.75931506e-02  2.04971871e-03  5.36029070e-03
  4.57344745e-03 -6.86959075e-03  3.51534346e-03  1.26871021e-03
  2.69922941e+02  4.69576471e+01  6.57825490e+02  7.86666667e-01
  1.45611235e+03  1.69176471e+00  2.56437255e+01  4.03137255e-01
  1.17372549e+00  4.65294118e-01  2.46262745e+01  2.13529412e-01
  2.67515490e+03  1.57908176e+03  2.21568627e-01  5.15686275e-02
  3.38235294e-01  4.09803922e-02  1.09215686e-01  3.98039216e-02
  6.62745098e-01  3.03921569e-02  1.56862745e-02  8.23529412e-03
  8.82352941e-02  1.03921569e-02  5.29411765e-02  4.45098039e-02
  1.96078431e-03  6.27450980e-03  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -3.92156863e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.88235294e-02  0.00000000e+00]",0
"[ 4.87418794e-03 -6.46924797e-03  4.45136691e-03  5.55929637e-03
  4.30611273e-04 -1.66530814e-02  4.91210731e-03  2.49648218e-03
 -2.53818002e-03 -5.16451245e-03  1.30361871e-02 -4.73034396e-03
  7.09842591e-03  2.53681028e-03  9.30156778e-04  7.68164794e-04
 -8.17407288e-03  3.23319742e-03 -3.92411773e-03  1.10726570e-02
  6.40113067e-03  1.03026718e-02  1.12308898e-02 -3.62929746e-03
 -1.22976577e-03  6.04760749e-03 -1.24355999e-02  6.67766087e-03
 -5.92155988e-03  2.82074314e-03 -9.84958252e-03  5.29643842e-03
 -3.81642737e-03 -7.88389833e-03  5.12354558e-03 -6.06512914e-03
 -6.81216825e-03 -5.24418246e-03  1.24634002e-02  3.88669723e-03
 -6.94509888e-03  2.19688815e-03 -4.21798324e-03 -5.75244719e-05
 -1.51746092e-03  6.62803796e-04  2.08604979e-03  3.16088574e-03
  6.35246304e-03  1.60707270e-02 -9.36628352e-03  9.33415238e-04
 -2.22657095e-03  1.61197164e-03 -1.71207827e-03  1.45979874e-02
  4.20561462e-03 -1.10075950e-02 -1.08031987e-03 -2.37980310e-05
  7.72840968e-03 -1.01891663e-02 -6.46137432e-04  3.36912092e-03
  2.77772745e+02  4.58570588e+01  6.56647059e+02  1.76137255e+00
  1.45830686e+03  1.51176471e+00  2.59003922e+01  1.85098039e-01
  1.49098039e+00  1.95098039e-01  2.46529412e+01  2.09411765e-01
  2.38828961e+03  1.78104529e+03  2.09803922e-01  1.14901961e-01
  3.44117647e-01  5.15686275e-02  8.29411765e-02  4.45098039e-02
  6.50980392e-01  3.03921569e-02  1.76470588e-02  6.27450980e-03
  7.64705882e-02  2.09803922e-02  6.86274510e-02  6.66666667e-02
  1.70588235e-02  1.84313725e-02  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -3.92156863e-02  0.00000000e+00
  1.17647059e-02  1.07843137e-02  5.88235294e-02  0.00000000e+00]",0
"[ 2.99590614e-03 -3.24567933e-03  1.25181243e-02  6.85713382e-03
 -4.75065060e-03 -1.25463132e-02 -3.98065457e-04  4.33510980e-03
 -5.88067847e-03 -8.42500047e-03  8.39638944e-03 -5.62766676e-03
  2.75382721e-03 -5.42241569e-05 -1.31335292e-03 -2.85955460e-03
 -3.19335025e-03  2.97011632e-03 -5.72636044e-03  4.35855240e-03
  5.94144797e-03  7.28002139e-03  1.10185929e-02 -3.87146528e-03
  1.07197054e-03  1.04950146e-02 -7.62609378e-03  2.83269818e-03
 -6.37260916e-03 -1.60361980e-03 -6.66218339e-03  1.53321408e-03
 -8.12877072e-03 -8.16331570e-03  1.42594431e-03 -8.83989474e-04
  9.84864741e-04  5.83416180e-04  9.33666206e-03 -9.55532908e-04
 -4.22895152e-03  4.07562332e-03 -1.93479109e-03 -1.82691246e-03
 -3.81236512e-03 -3.23397025e-04 -8.24539173e-04 -3.76560554e-03
  1.96542927e-03  1.25535242e-03  3.04533556e-03  8.79716621e-04
 -3.66042540e-03  1.11927086e-02  5.39973247e-03  2.17104448e-03
 -5.41379000e-04 -1.03346390e-02 -6.82262492e-03  3.16040656e-03
  2.41703002e-03 -6.23779583e-03 -4.22824276e-03 -3.94097365e-04
  2.78662157e+02  4.59413725e+01  6.55991373e+02  9.85882353e-01
  1.45866471e+03  9.77647059e-01  2.59225490e+01  1.34705882e-01
  1.52843137e+00  1.54705882e-01  2.46470588e+01  1.68627451e-01
  2.04029412e+03  1.43146314e+03  1.64705882e-01  3.05882353e-02
  3.33333333e-01  2.80392157e-02  8.23529412e-02  3.03921569e-02
  6.56862745e-01  3.09803922e-02  1.56862745e-02  8.23529412e-03
  7.05882353e-02  1.01960784e-02  5.49019608e-02  4.52941176e-02
  2.35294118e-02  8.23529412e-03  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -3.92156863e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.88235294e-02  0.00000000e+00]",0
"[ 9.64598095e-03 -3.68834444e-03  4.75359394e-03 -3.72710561e-03
 -1.36094599e-03 -1.51734358e-02 -2.34959328e-03  5.05388470e-03
  1.44727470e-03 -2.81427253e-03  1.01422811e-02 -1.17500711e-03
  7.21631418e-03  8.34459220e-03 -4.22420740e-03  8.95617701e-03
 -1.61206509e-02  1.31259479e-03 -9.29594624e-03 -2.46030972e-04
  5.47324691e-03  7.09925621e-03  1.25337451e-02 -4.55537329e-03
 -4.28852921e-03  9.06008365e-03 -1.11761023e-02 -2.08733242e-03
 -7.76999444e-03  2.18847434e-03 -6.07935325e-03 -2.12313994e-03
 -1.01436762e-02 -8.12602657e-03  7.59453012e-03  1.54688381e-03
 -4.76127921e-03 -5.13541012e-03  1.68029198e-02  4.04711064e-03
 -8.16279323e-03  1.09638478e-03 -2.06165231e-03 -1.37464311e-03
 -2.69695822e-03  2.51618061e-03  7.77592846e-04 -2.70753105e-03
  7.66698256e-03  4.80648846e-03 -3.82602390e-03 -2.00404840e-04
 -7.13062403e-03  4.93464594e-03  7.30021970e-03  1.24625108e-02
  2.23942948e-03 -7.82388083e-03 -4.94621606e-03  1.69891353e-04
  4.79910106e-03 -1.43771546e-02 -1.35736357e-03  2.58867771e-03
  2.79208039e+02  4.61092157e+01  6.56552157e+02  5.99215686e-01
  1.45781569e+03  1.86843137e+00  2.59298039e+01  1.47254902e-01
  1.57078431e+00  1.76862745e-01  2.46411765e+01  2.00000000e-01
  2.67531510e+03  1.57907137e+03  1.60784314e-01  5.00000000e-02
  3.51372549e-01  5.11764706e-02  7.64705882e-02  2.84313725e-02
  6.62745098e-01  3.03921569e-02  1.56862745e-02  8.23529412e-03
  6.86274510e-02  1.03921569e-02  5.29411765e-02  4.45098039e-02
  5.09803922e-02  3.84313725e-02  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  1.17647059e-01  1.28823529e-01 -3.92156863e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.88235294e-02  0.00000000e+00]",0
"[ 4.96743064e-03  7.86664293e-04  1.38616077e-02  3.09520200e-03
 -3.97943464e-03 -1.40878564e-02  1.66905102e-03  7.25772568e-03
  2.85251994e-03 -7.79055293e-03  1.12409901e-02  4.25308724e-03
  1.32830938e-03 -3.89293815e-03 -1.92715593e-03 -7.11647816e-03
 -3.63789791e-03  2.71421929e-03 -1.15183446e-02  2.15683059e-03
  4.59432752e-03  4.93441756e-03  1.29578943e-02 -7.32688971e-03
 -5.87845375e-03  6.38904685e-03 -1.24267012e-02  8.56267690e-03
  5.00333981e-03 -2.17076113e-03 -1.38425266e-02  4.04506907e-03
 -7.66048303e-03 -5.92754372e-03  3.32896075e-03 -5.07317294e-03
 -3.10070466e-03 -1.10934412e-03  2.25402187e-02  4.09145856e-03
 -2.43600969e-04 -1.37395098e-03 -2.76898089e-03 -5.96265944e-03
 -3.36527057e-03 -1.40437392e-03 -1.25732715e-03 -2.33066405e-03
  1.06291575e-03 -6.41575923e-04 -9.13604071e-04 -2.68489181e-03
 -1.61892599e-03  1.18359041e-02  1.06424266e-02  7.39088830e-03
  6.09063905e-03 -1.13009168e-02 -2.41579130e-03 -3.48029183e-03
  4.99084015e-03 -1.28997073e-02 -2.61696866e-03  4.33274432e-03
  2.79808039e+02  4.65707843e+01  6.56600784e+02  3.69019608e-01
  1.45704157e+03  1.13294118e+00  2.59298039e+01  1.40392157e-01
  1.58823529e+00  1.80000000e-01  2.46843137e+01  2.19019608e-01
  2.38834647e+03  1.78115196e+03  1.54901961e-01  5.15686275e-02
  3.53921569e-01  4.07843137e-02  7.64705882e-02  2.84313725e-02
  6.50980392e-01  3.03921569e-02  1.76470588e-02  6.27450980e-03
  6.66666667e-02  1.01960784e-02  4.50980392e-02  4.50980392e-02
  8.23529412e-02  8.23529412e-03  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  2.35294118e-01  0.00000000e+00 -3.92156863e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.88235294e-02  0.00000000e+00]",0
"[ 1.31055128e-02 -2.34183980e-03  1.47708894e-02 -2.82454038e-03
 -4.14686898e-03 -1.49035255e-02 -1.20364480e-03  5.23410840e-03
 -9.23557317e-04  1.57053648e-03  7.10176662e-03 -1.94216045e-03
  1.18823671e-03  3.63166484e-03 -1.92279832e-03  4.25739469e-03
 -8.10771304e-03  6.56561196e-04 -9.85045030e-03  6.49187232e-03
  3.27426330e-03  8.86135884e-03  1.08284974e-02 -5.63925910e-03
 -2.02966674e-03  1.01990443e-02 -1.34154167e-02  1.15841225e-03
 -5.83311799e-04 -8.00041920e-04 -5.59782923e-03  1.00312130e-03
 -1.07707852e-02 -5.44216002e-03  5.32149520e-03 -6.35173274e-03
 -3.77874705e-03  3.23594968e-03  1.63699389e-02  6.06851937e-03
 -1.68521761e-03 -2.11252316e-03 -1.04813619e-03 -3.31067845e-03
 -1.02699950e-03  3.64932359e-05  2.28833334e-04 -2.55232640e-04
 -2.80879584e-04  4.43768209e-03 -5.26129294e-03 -1.65895146e-03
 -6.81850007e-03  1.13810891e-02  4.95031827e-03  9.31071768e-03
 -1.70646878e-03 -1.13373091e-02 -3.28661984e-03  5.63387777e-04
  4.49029532e-03 -1.42823727e-02 -3.29060590e-03  4.11023981e-03
  2.74659020e+02  4.89594118e+01  6.56275294e+02  4.91960784e-01
  1.45799961e+03  1.53294118e+00  2.59288235e+01  1.36470588e-01
  1.62137255e+00  1.76078431e-01  2.46313725e+01  1.77450980e-01
  2.04025882e+03  1.43147333e+03  1.62745098e-01  3.19607843e-02
  3.50980392e-01  3.25490196e-02  8.23529412e-02  3.03921569e-02
  6.56862745e-01  3.09803922e-02  1.56862745e-02  8.23529412e-03
  7.05882353e-02  1.01960784e-02  5.49019608e-02  4.52941176e-02
  8.23529412e-02  8.23529412e-03  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  2.35294118e-01  0.00000000e+00 -3.92156863e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.88235294e-02  0.00000000e+00]",0
"[-2.43453188e-03 -2.17874118e-03  8.62765488e-03  4.69783039e-03
  6.93508077e-05 -1.18685505e-02  5.82967655e-03  8.98753223e-03
 -4.35563769e-03 -2.39243081e-03  1.02804890e-02  8.03651086e-03
  1.23802587e-03  2.47181718e-03 -1.85063248e-03  2.57604043e-04
 -1.99222126e-03  3.76644850e-03 -3.24978818e-03  6.32639324e-03
 -1.04159139e-03  6.63304972e-03  2.37789814e-03 -1.19986420e-02
 -6.92073782e-03  8.88618642e-03 -1.02186120e-02 -1.96601217e-03
 -4.80310619e-03 -5.34071364e-03  1.17619665e-03 -9.04719181e-03
 -1.21142853e-02 -6.96989310e-03  7.07760000e-03  6.24474375e-04
 -2.34657059e-03 -1.16786755e-04  1.39364971e-02 -1.77786777e-03
  5.66055290e-03 -8.10689494e-03  7.62451951e-04 -1.76868091e-04
  1.14826873e-03 -3.51872738e-03 -1.53970185e-03 -6.04591241e-03
  2.61402459e-03  4.80425241e-03  4.59745687e-03  2.52867928e-03
 -4.28723913e-03  1.27735658e-02  1.15268178e-02  3.38854597e-05
 -1.43141811e-03 -9.26163530e-03  3.53021043e-03 -1.59764524e-03
  6.94849269e-03 -1.47164937e-02 -1.22963050e-02  7.41719615e-04
  2.64488824e+02  5.24913725e+01  6.56007647e+02  3.49019608e-01
  1.45867882e+03  9.92745098e-01  2.59274510e+01  1.43725490e-01
  1.69411765e+00  1.65490196e-01  2.46254902e+01  1.96862745e-01
  2.67528176e+03  1.57908255e+03  1.66666667e-01  4.86274510e-02
  3.46078431e-01  5.17647059e-02  7.64705882e-02  2.84313725e-02
  6.75882353e-01  4.17647059e-02  1.56862745e-02  8.23529412e-03
  6.86274510e-02  1.03921569e-02  5.29411765e-02  4.45098039e-02
  8.03921569e-02  6.27450980e-03  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  2.35294118e-01  0.00000000e+00 -3.92156863e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.88235294e-02  0.00000000e+00]",0
"[-2.21855787e-03 -2.84271161e-03  9.25869363e-03  5.85168074e-03
 -3.06056338e-03 -1.64319382e-02  8.63364280e-03  6.15467146e-03
 -2.34452642e-03 -2.45033738e-03  1.30660788e-02  4.94358893e-03
  5.26517575e-03 -3.22996818e-03 -4.00679924e-03 -1.15837624e-03
 -1.31179498e-03  2.85401991e-03 -3.36503661e-03  4.77069485e-03
  3.14346204e-03  6.24130316e-03  7.68699132e-03 -8.04547732e-03
 -1.19540362e-03  7.66244560e-03 -9.97697606e-03  5.98419969e-03
 -2.87757792e-03 -1.40464306e-03 -3.87099867e-03 -2.39944779e-04
 -1.51448419e-02 -1.54471668e-03  2.21227778e-03  5.27544422e-04
  6.61491909e-04 -1.77816384e-03  1.42892932e-02  5.55770488e-03
  1.69467258e-03  4.97078428e-03  4.45764277e-04 -6.06025843e-04
  5.28517891e-04  2.53566778e-04  1.58781230e-03 -3.36213848e-03
  7.21988140e-04 -8.75228030e-04  3.41085239e-03  6.21918152e-04
 -4.29317238e-03  7.78124379e-03  8.57280312e-03  8.00930329e-04
  3.77505075e-03 -4.63578806e-03 -4.38649171e-03  2.34456437e-03
  7.20164764e-03 -1.17405869e-02 -1.89346922e-03  4.01164148e-03
  2.67597843e+02  5.44227451e+01  6.55949608e+02  2.88039216e-01
  1.45802549e+03  1.73333333e+00  2.57011765e+01  4.58627451e-01
  1.15019608e+00  9.71372549e-01  2.46843137e+01  2.03725490e-01
  2.38840686e+03  1.78106667e+03  1.52941176e-01  4.94117647e-02
  3.34313725e-01  4.07843137e-02  7.64705882e-02  2.84313725e-02
  6.70588235e-01  3.03921569e-02  1.76470588e-02  6.27450980e-03
  6.66666667e-02  1.01960784e-02  4.50980392e-02  4.50980392e-02
  8.23529412e-02  8.23529412e-03  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  2.35294118e-01  0.00000000e+00 -3.92156863e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.88235294e-02  0.00000000e+00]",0
"[-1.98669565e-03 -6.37383702e-04  6.93992812e-03  6.62226087e-03
 -8.91582295e-03 -1.39452391e-02  4.27729509e-03  3.81703388e-03
 -5.58660838e-03  1.47365521e-03  1.09735080e-02  4.09948557e-03
  2.40312653e-03 -1.71649377e-03 -2.12837784e-03 -4.49453839e-04
 -3.00262059e-03  3.21284667e-03 -6.56555392e-03  4.93864271e-03
  4.61274145e-03  1.08985127e-02  1.03216028e-02 -4.82418768e-03
  7.82838235e-05  1.24706202e-02 -1.23396745e-02  6.84630670e-03
 -5.45481091e-03 -4.91080591e-03 -5.73917378e-03 -8.08415791e-03
 -1.05342154e-02 -1.77216407e-03  4.30136418e-03 -1.00740088e-05
  1.50878267e-03 -2.94544133e-03  1.64488520e-02  2.76511506e-03
  2.16495070e-03  2.19948088e-03  1.79993505e-03 -2.93248118e-04
 -5.48510554e-03  1.71226192e-03  2.03260693e-03 -2.98745228e-03
 -1.42132090e-03 -5.15032603e-03  1.17075753e-02  1.57858392e-03
 -2.20105480e-03  9.33336352e-03  7.25853816e-03 -4.78082981e-04
  1.70947400e-03 -9.13664985e-03 -3.57032445e-03  2.31040584e-03
  4.96336667e-03 -1.53015376e-02 -2.24133427e-03  3.30422002e-03
             nan             nan             nan             nan
  1.42946962e+03  9.79615385e-01  2.49878846e+01  1.30769231e-01
  5.75961538e-01  1.55769231e-01  2.41884615e+01  1.83461538e-01
  2.00117731e+03  1.40396231e+03  1.59615385e-01  3.13461538e-02
  3.17307692e-01  1.63461538e-02  8.07692308e-02  2.98076923e-02
  6.63461538e-01  3.03846154e-02  1.53846154e-02  8.07692308e-03
  6.92307692e-02  1.00000000e-02  5.38461538e-02  4.44230769e-02
  8.07692308e-02  8.07692308e-03  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  2.30769231e-01  0.00000000e+00 -3.84615385e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.76923077e-02  0.00000000e+00]",0
