Embedding,Label
"[ 1.39610582e-02 -2.55324441e-03  2.02803016e-02 -1.41392659e-03
 -1.22447053e-02 -2.07427648e-02  9.59923903e-03  4.93639516e-03
 -5.33493652e-03 -2.26163137e-03  2.03621400e-02 -1.42235584e-02
 -8.27928547e-03 -3.05230577e-03  3.29072543e-03  1.82424906e-02
  7.61044613e-03  1.92815240e-03 -1.47181100e-02  1.53313185e-02
  1.87800829e-02  1.68697128e-02  1.36634629e-02 -1.75244783e-02
  1.20435708e-04  1.11663332e-02 -2.05985331e-02  1.19257568e-02
  4.91396972e-04  2.42376048e-03 -2.52696101e-03  1.25851292e-02
 -1.28423149e-02 -1.34462207e-02  2.84753664e-03 -9.75193332e-03
 -2.02473540e-04 -2.72695724e-03  2.15602619e-02  6.73299818e-03
 -7.38168868e-03  3.82959762e-03 -5.43654158e-03 -1.17956441e-02
 -4.75374692e-03 -8.49714142e-03  8.67568764e-03 -3.00108782e-03
  5.68036948e-03  1.48689639e-02  1.42643741e-02 -9.64598435e-03
  1.45112460e-03  1.39341772e-02  1.36162468e-02  1.39916064e-02
  6.59227105e-03 -1.32206425e-02 -1.73075448e-02  4.00254678e-03
  6.53635759e-03 -2.00947296e-02  8.51931170e-03  2.90916344e-03
  4.59343077e+02             nan  6.51921731e+02             nan
  5.18495962e+02             nan  4.82934519e+02             nan
  8.58117308e+01             nan  3.38161635e+02             nan
  1.11596981e+03  7.03482308e+02  8.39548077e+00  7.70769231e-01
  2.21538462e+00  3.17307692e-02  5.78846154e-01  1.49038462e-02
  4.37500000e-01  1.51923077e-02  8.79615385e+00  4.03846154e-03
  6.69230769e-01  5.00000000e-03  3.65384615e-02  2.22115385e-02
  1.15384615e-02  4.03846154e-03  2.29807692e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.37085565e-02 -5.26529676e-03  9.39869057e-03 -5.43740614e-03
 -1.26674053e-02 -2.02202026e-02  8.18688617e-03  2.37056244e-03
 -5.78513369e-03 -8.69641080e-03  1.52991421e-02 -7.84891357e-03
 -7.27721665e-03 -1.14023963e-02  4.76537162e-03  1.15583391e-02
  5.96105100e-03 -2.70120571e-03 -1.30982771e-02  2.23546505e-02
  1.56742465e-02  1.06586055e-02  1.73282867e-02 -4.74805702e-03
  2.79819829e-03  1.25302138e-02 -2.16987004e-02  8.56694156e-03
 -4.95391322e-03  2.14270008e-03 -1.19040208e-02  2.59458052e-03
 -1.47155420e-03 -1.97101281e-02  2.67573604e-03 -1.37532207e-03
  1.14323789e-02 -1.25965555e-03  2.77590488e-02  3.71223584e-04
 -6.83953285e-03 -6.39437289e-03  5.19552300e-03 -6.55047076e-03
 -2.00060626e-06 -1.02948180e-02  5.03721454e-03 -7.53958405e-03
  8.69200001e-03  1.36669261e-02  9.59542506e-03  4.41970941e-03
  3.05283800e-03  1.82952467e-02  6.67528297e-03  2.39263600e-02
  1.35536992e-02 -7.87231527e-03 -8.83138594e-03  1.01378147e-02
 -3.08174191e-03 -1.95814918e-02  1.99730526e-03 -4.32889164e-03
  4.64773942e+02             nan  6.55692404e+02             nan
  5.18467500e+02             nan  4.87002981e+02             nan
  8.59675000e+01             nan  3.38190577e+02             nan
  1.42758423e+03  7.76272212e+02  8.47115385e+00  1.06288462e+00
  2.30288462e+00  7.92307692e-02  5.75480769e-01  1.60576923e-02
  4.40384615e-01  1.49038462e-02  8.78653846e+00  4.03846154e-03
  6.74903846e-01  9.51923077e-03  4.32692308e-02  2.61538462e-02
  1.22115385e-02  1.01923077e-02  2.34038462e+00  2.08269231e-01
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.12192214e-02  4.86834136e-04  2.15625450e-02  8.21721077e-04
 -5.65074753e-03 -2.09837484e-02  1.19709368e-02  9.28506404e-03
 -1.37530586e-02  7.25194654e-03  2.62069790e-02 -2.32508483e-02
 -2.29632804e-03 -5.53347265e-03  7.21742077e-03 -5.31911965e-03
  6.37192410e-03  1.03256682e-02 -1.93303443e-02  2.43566030e-02
  2.14579369e-02  1.21290009e-02  9.69671773e-03 -1.23166479e-03
 -1.64339152e-03  8.32823884e-03 -2.51872067e-02  3.45159551e-03
 -7.92121030e-03  7.06500657e-03  5.89487624e-03  2.11410679e-02
 -1.43856332e-02 -5.60829300e-03 -1.40671694e-02 -1.53796060e-02
  8.85244591e-03  2.37273903e-03  2.56318099e-02  1.91446476e-03
 -5.13254698e-03 -3.92935375e-03 -2.08537847e-03 -8.49633356e-03
 -4.57388517e-03 -1.33292821e-02  1.79932528e-03  1.17311743e-02
  1.15070607e-02  1.73627590e-02  6.74362178e-04  7.60314940e-03
  5.11037408e-03  1.59924952e-02 -2.83390579e-03  1.72524633e-02
  7.18113948e-03 -7.58513708e-03 -7.64297035e-03  1.89727823e-02
  1.14273995e-02 -2.12877687e-02  3.16745383e-03  4.26203815e-03
  4.78070385e+02  3.53781731e+01  6.72390769e+02  1.22390385e+01
  5.17778654e+02  9.35192308e-01  4.88621635e+02  4.50076923e+00
  8.61529808e+01  9.59807692e-01  3.38629615e+02  5.64230769e-01
  1.28670413e+03  8.75317885e+02  7.89250000e+00  8.11057692e-01
  2.67980769e+00  1.32692308e-01  5.77884615e-01  1.99038462e-02
  4.34615385e-01  1.49038462e-02  8.78750000e+00  3.07692308e-03
  6.72980769e-01  9.71153846e-03  5.57692308e-02  2.76923077e-02
  2.11538462e-02  4.03846154e-03  3.33365385e+00  2.71153846e-02
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 8.31856428e-03 -8.41513004e-03  1.81510462e-02 -1.05998246e-04
 -1.03842466e-02 -2.00843043e-02  4.94651293e-03 -1.13376389e-03
  4.55101958e-03 -8.70241305e-03  2.76099633e-02 -1.60556068e-02
  9.77170861e-03 -9.32963809e-03 -1.02484260e-03  9.87134824e-03
  2.05741350e-03 -2.33652658e-03 -7.86673821e-03  2.36826198e-02
  9.78352012e-03  1.04382744e-02  1.28541359e-02 -1.69713511e-02
 -3.39358278e-03  6.06140695e-03 -2.74357071e-02 -6.00591035e-03
  2.01923945e-03  1.44569167e-03 -4.75754797e-03  7.45361005e-03
 -1.15244391e-02 -1.28810500e-02  1.00493285e-02 -1.22245323e-02
  5.77766190e-03 -2.01268196e-03  3.02299962e-02  1.04265580e-02
 -4.25928165e-03  6.00761752e-04  4.69309629e-03 -1.46723961e-02
  1.12276614e-02 -1.14596613e-03 -6.62139280e-03 -5.49416855e-03
  1.00710581e-02  1.72795371e-02 -2.94868383e-03  1.09078063e-02
  3.93483141e-03  1.70519095e-02  5.92307549e-03  9.01354248e-03
  4.49072841e-03 -7.20512448e-03 -6.48539137e-03  1.84092509e-02
  6.56223326e-03 -3.08095286e-02  8.38678572e-03 -7.34504337e-03
  4.78816442e+02             nan  6.74576058e+02             nan
  5.22106058e+02             nan  4.90794231e+02             nan
  8.53974038e+01             nan  3.42183750e+02             nan
  1.11565808e+03  7.03579231e+02  8.03538462e+00  7.55673077e-01
  2.78384615e+00  9.71153846e-03  5.98076923e-01  1.49038462e-02
  4.37500000e-01  1.51923077e-02  8.75557692e+00  2.49038462e-02
  6.69230769e-01  5.00000000e-03  5.57692308e-02  2.22115385e-02
  2.11538462e-02  4.03846154e-03  3.00115385e+00  1.70000000e-01
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.37517234e-02  2.07156796e-03  2.14016850e-02  7.56166893e-04
 -1.33635327e-02 -2.46791656e-02  7.71416460e-03  8.34371286e-03
 -4.83663228e-03 -4.10050446e-03  1.70831262e-02 -2.70651105e-02
 -2.90627821e-03 -3.81535564e-03 -2.43854643e-03  1.00228127e-02
  1.10503367e-04 -4.21815498e-04 -7.66992422e-03  2.33080977e-02
  1.28504951e-02  2.24083592e-02  1.62824746e-02 -1.15296927e-02
 -1.62241174e-03  1.43300433e-02 -2.58070359e-02  4.57621928e-03
 -6.44372497e-03  2.93321628e-03 -8.61178940e-03  8.42085909e-03
 -1.44251722e-02 -1.65697721e-02  5.93819892e-03  4.28684792e-03
 -8.09721602e-03  7.50137115e-03  1.98478980e-02  7.05731259e-03
 -1.62272976e-02 -6.66207371e-03  2.96006739e-03 -2.84137133e-03
 -3.88641004e-03 -1.20086453e-02 -1.35592776e-04  1.06933687e-02
 -2.84895753e-04  2.52429737e-02  9.66235082e-04  2.59269101e-03
  8.57746248e-04  1.21464543e-02 -1.95477325e-03  1.26927483e-02
  1.77152816e-03 -5.00812179e-03 -8.46910935e-03  1.60009627e-02
  2.06795460e-03 -1.08704130e-02  1.55092785e-02 -7.72896051e-03
  4.84944808e+02             nan  6.85065962e+02             nan
  5.29236250e+02             nan  5.03440673e+02             nan
  8.42122115e+01             nan  3.48156635e+02             nan
  1.42751606e+03  7.76441058e+02  7.82000000e+00  6.82884615e-01
  2.78990385e+00  3.43269231e-02  5.95192308e-01  1.39423077e-02
  4.40384615e-01  1.49038462e-02  8.71586538e+00  1.40384615e-02
  6.68269231e-01  5.09615385e-03  5.48076923e-02  2.18269231e-02
  2.01923077e-02  3.07692308e-03  2.40365385e+00  1.37692308e-01
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.51003693e-02  6.09857084e-03  2.15242777e-02 -6.37279549e-03
 -4.71092675e-03 -2.83129194e-02  1.04263353e-02  6.75817925e-04
 -1.37538300e-02  2.10929139e-03  2.69659531e-02 -1.82402837e-02
 -3.77412570e-03 -4.40588830e-03  7.77014252e-03  9.60161401e-03
  7.27575168e-03  3.87260972e-03 -1.55641253e-02  2.12572526e-02
  1.59390065e-02  1.13889395e-02  5.90422262e-04 -1.05475731e-02
 -8.38268584e-03  2.19085029e-03 -2.37356474e-02  9.27313482e-04
  6.85783134e-03  8.36168360e-03 -5.86610422e-04  1.47096039e-02
 -1.15620327e-02 -1.53681507e-02  3.35695706e-03 -9.22739662e-03
  6.55825112e-03 -4.62341409e-04  2.33850220e-02  7.11802357e-04
 -4.51392143e-03  7.20902077e-03  2.28348873e-03 -1.13890004e-02
  4.05648784e-03  2.81868517e-03  7.20428631e-03 -1.60536560e-02
 -9.22265463e-05  1.24044945e-02  6.64004705e-03 -2.26970705e-03
  5.68690831e-03  1.45323125e-02  8.58467817e-03  1.10905345e-03
 -1.55104256e-03 -3.85334823e-04 -1.13087456e-02  8.23317746e-03
  1.67278691e-03 -2.70308028e-02  6.64324177e-03 -6.87116189e-03
  4.90418750e+02  2.76307692e+01  6.94188654e+02  4.99759615e+00
  5.32310673e+02  3.99067308e+00  5.12910577e+02  3.90019231e+00
  8.42633654e+01  2.34846154e+00  3.52587500e+02  1.42038462e+00
  1.28612212e+03  8.75482308e+02  7.99980769e+00  8.47307692e-01
  2.58557692e+00  6.63461538e-02  5.95192308e-01  1.39423077e-02
  4.34615385e-01  1.49038462e-02  8.69375000e+00  8.36538462e-03
  6.38461538e-01  5.00000000e-03  5.09615385e-02  2.21153846e-02
  2.11538462e-02  4.03846154e-03  2.25086538e+00  1.19230769e-02
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 7.38976588e-03 -7.86691155e-03  2.19146275e-02 -2.48738500e-03
 -8.96749561e-04 -2.75183210e-02  6.48884661e-03 -2.47432828e-03
 -2.05564182e-02  2.98283029e-03  3.17764711e-02 -1.06490749e-02
 -5.20416614e-03 -8.22176496e-03 -1.52030374e-03  1.61142687e-03
  4.38365484e-03  9.40720644e-03 -9.52959944e-03  2.88241142e-02
  1.51740839e-02  1.86380522e-02  6.75438703e-03 -1.24983738e-02
 -4.46156253e-03  5.55695103e-03 -2.53367604e-02  6.90544213e-03
 -3.04974862e-04  4.12030353e-03 -2.22981012e-03  4.19572118e-03
  1.57156099e-03 -6.15424672e-03 -1.86217612e-03 -7.21378914e-03
  2.26651163e-03 -2.64799114e-03  2.40760648e-02  8.43237609e-03
  3.04159119e-03 -1.80574721e-03 -1.89355131e-03 -7.11214868e-03
 -2.12496541e-03 -9.95553672e-03  8.84380772e-03 -9.58501101e-03
  8.76218986e-03  1.97285985e-02  6.17752009e-03 -5.42382040e-03
  3.04148703e-03  1.82839444e-02  2.73890045e-03  1.10078644e-02
 -6.55327698e-03 -1.89964020e-02  4.89058976e-06  2.40726975e-02
  1.32233909e-02 -1.67898291e-02 -1.74598761e-03 -3.39204030e-03
  4.93295385e+02             nan  6.99834904e+02             nan
  5.33292692e+02             nan  5.19177596e+02             nan
  8.43814423e+01             nan  3.55580577e+02             nan
  1.11476048e+03  7.03736635e+02  8.10288462e+00  8.40384615e-01
  2.57067308e+00  3.65384615e-02  5.98076923e-01  1.49038462e-02
  4.37500000e-01  1.51923077e-02  8.68076923e+00  4.03846154e-03
  6.40384615e-01  5.00000000e-03  5.57692308e-02  2.22115385e-02
  2.11538462e-02  4.03846154e-03  2.21855769e+00  7.21153846e-03
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.51904407e-04  2.97725036e-03  1.44103917e-02  1.46536998e-02
 -6.00107354e-03 -2.51837502e-02  8.66670639e-03 -5.30295153e-04
 -9.64230689e-03 -2.27608159e-03  1.95268224e-02 -1.75547499e-02
  3.96169135e-03 -1.33472746e-02  5.21647136e-03 -1.21549424e-03
  6.11097116e-03  2.88332626e-04 -1.08195700e-02  2.77592078e-02
  1.25631972e-02  1.46154624e-02  7.10478690e-03 -6.20182068e-03
 -3.94502007e-03  1.03016206e-02 -2.35369180e-02  1.01735063e-02
  7.37283847e-03  3.13627118e-03 -1.16505017e-02  1.38285239e-02
 -5.40058573e-03 -1.41193816e-02  7.69320729e-03 -6.28656643e-03
 -1.68384407e-03 -2.56757848e-03  2.12529032e-02  6.22701126e-03
 -1.67837841e-02 -6.48079189e-04  9.45876610e-03 -1.38822083e-03
 -2.89216330e-03 -1.31264320e-03 -2.38358528e-03 -6.96612801e-03
  3.78465278e-03  9.70123892e-03  3.57012325e-03 -2.40229399e-03
  5.89051945e-03  1.62255034e-02  3.89075208e-03  1.21143371e-02
 -3.68593378e-03 -7.97400242e-03 -1.21786438e-02  1.31345684e-02
  1.08770399e-02 -2.70013632e-02  1.25125472e-02 -2.17269390e-03
  4.89836827e+02             nan  6.98105769e+02             nan
  5.34632692e+02             nan  5.21319615e+02             nan
  8.46267308e+01             nan  3.57542788e+02             nan
  1.42596510e+03  7.76179135e+02  8.19769231e+00  7.13846154e-01
  2.59471154e+00  6.06730769e-02  6.04807692e-01  1.39423077e-02
  4.40384615e-01  1.49038462e-02  8.67163462e+00  6.15384615e-03
  6.39423077e-01  5.09615385e-03  5.48076923e-02  2.18269231e-02
  2.01923077e-02  3.07692308e-03  2.19903846e+00  5.00000000e-03
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 4.36573905e-03 -8.73545908e-03  2.38295072e-02  3.15366055e-03
 -1.32148403e-02 -1.78953046e-02  3.44827083e-03 -7.96017188e-03
 -6.68244152e-03 -1.01266859e-02  9.99868329e-03 -1.87976005e-02
 -6.39352314e-03 -9.77095768e-03 -2.24162371e-03  6.88312167e-03
  4.42976347e-04  8.88423122e-03 -1.00212893e-02  1.85075338e-02
  1.76266660e-02  2.27338628e-02  1.62832915e-02 -1.66891547e-03
 -1.31953528e-03  1.26118585e-02 -2.94470636e-02  5.10941725e-04
  7.86475415e-03  3.38025672e-03 -1.53350281e-02  1.18871861e-02
 -1.29166923e-02 -1.80620324e-04  7.91818405e-03 -4.71793770e-03
  1.72816296e-03 -7.24341268e-04  1.64476075e-02  1.35441669e-03
 -1.03442646e-02  5.10371827e-04  7.47161788e-03 -7.65397500e-03
 -1.60791308e-03 -1.05669864e-02  2.12063150e-03 -1.04162175e-02
  4.32510395e-03  1.53691308e-02 -6.83597182e-04 -7.63577368e-03
 -4.12568636e-03  2.06630465e-02  9.86785864e-03  8.88284401e-03
 -1.09921432e-02 -7.56880154e-03 -1.17064565e-02  1.12775097e-02
  2.77779223e-03 -2.52775898e-02  1.06056524e-02  3.19778579e-04
  4.92268269e+02  2.84674038e+01  6.97162404e+02  3.25192308e+00
  5.35165865e+02  3.83403846e+00  5.22840577e+02  4.01653846e+00
  8.36015385e+01  2.14067308e+00  3.58602596e+02  1.26173077e+00
  1.28539769e+03  8.75310577e+02  7.90769231e+00  6.05288462e-01
  2.59615385e+00  5.22115385e-02  6.04807692e-01  1.39423077e-02
  4.34615385e-01  1.49038462e-02  8.66817308e+00  7.78846154e-03
  6.39423077e-01  7.88461538e-03  5.41346154e-02  2.76923077e-02
  2.11538462e-02  4.03846154e-03  2.18634615e+00  4.71153846e-03
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.18490427e-02 -1.23038072e-02  2.13466326e-02 -5.12824793e-05
 -8.34359175e-03 -2.27878924e-02  1.06527719e-02 -2.90842826e-03
 -1.45903887e-02 -1.26948310e-02  2.06806760e-02 -1.77359362e-02
 -5.95732314e-03 -1.55366177e-02 -2.54514632e-03  8.22680468e-03
  4.04963529e-03 -4.29635327e-03 -5.13233398e-03  2.74377044e-02
  2.39018514e-02  1.41929675e-02  1.22773820e-02 -9.64409524e-03
 -6.76573192e-03  9.74036104e-03 -2.05905105e-02  2.56218857e-03
  2.64419019e-03  1.57546633e-02 -1.03887833e-02  1.56171418e-02
 -3.96780111e-03 -6.07061835e-03 -8.36479135e-03 -5.66936283e-03
  7.64074945e-03 -5.08530873e-03  1.92889335e-02  8.14869490e-04
  4.22485783e-03 -3.63400238e-03  6.35825559e-04 -8.40122132e-03
  8.55978915e-04 -1.24830938e-02  5.94285709e-03 -1.51924081e-02
  1.04287373e-04  1.20913798e-02  7.19803323e-04 -2.08427128e-03
 -2.03748505e-03  1.46729519e-02  1.49572286e-03  6.32056993e-03
  2.99344176e-03 -7.98912871e-03 -5.76401216e-03  7.77286871e-03
  6.66674686e-03 -1.82821015e-02  1.16160117e-02 -5.30621935e-03
  4.88698571e+02             nan  6.89083619e+02             nan
  5.27071905e+02             nan  5.12903048e+02             nan
  8.31702857e+01             nan  3.53111524e+02             nan
  1.10386724e+03  6.96832667e+02  7.81885714e+00  7.67619048e-01
  2.64314286e+00  3.09523810e-02  5.93333333e-01  2.22857143e-02
  4.33333333e-01  1.50476190e-02  8.58952381e+00  8.28571429e-03
  6.43809524e-01  4.95238095e-03  6.47619048e-02  2.20000000e-02
  2.09523810e-02  4.00000000e-03  2.17333333e+00  6.19047619e-03
  0.00000000e+00  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
