Embedding,Label
"[ 8.84720635e-03 -5.28858901e-03  1.43718546e-02 -3.35699032e-04
  1.06536821e-03 -2.35041590e-02  5.57609683e-04  8.53200111e-03
 -4.19887290e-03 -6.99735468e-04  2.05499173e-02 -9.74059013e-03
 -2.38024692e-03 -9.03019742e-03 -4.91279942e-03  7.08566897e-03
 -2.46823861e-03  5.43795753e-03 -1.13683185e-02  1.29902417e-02
  3.33541647e-02  1.40806653e-02  2.73259626e-02 -1.95117844e-02
  2.62696970e-03  7.07988033e-03 -2.71479222e-02 -1.73575690e-03
 -1.71847996e-04  1.38632597e-02 -9.59019888e-03  2.17595956e-02
 -4.59308248e-03 -7.19446057e-03  6.49699430e-03 -1.55594588e-03
  4.33165518e-03  3.06450845e-03  1.95974000e-02  9.81117679e-04
 -1.34950230e-02 -2.13954811e-03 -2.50148534e-03 -1.09574381e-02
 -7.80845011e-03 -6.66613976e-03 -5.45844177e-03 -6.92249700e-03
 -6.48590536e-03  2.18308290e-02 -4.78342699e-03 -7.52314684e-03
  4.08629835e-03  1.66957392e-02  4.24175380e-03  1.06279299e-02
  6.59041187e-03 -1.69518723e-02 -1.16721612e-02  4.22753832e-03
  8.01205557e-03 -2.55626033e-02  1.92853441e-03 -7.22425937e-03
  4.85756952e+02             nan  8.13839429e+02             nan
  5.52102381e+02             nan  4.76137524e+02             nan
  4.32850476e+01             nan  3.27301238e+02             nan
  1.37379838e+03             nan  8.40314286e+00             nan
  2.91876190e+00             nan  6.63523810e-01  1.25714286e-02
  3.39714286e-01  1.50476190e-02  5.28466667e+00  3.14285714e-03
  6.70857143e-01  5.04761905e-03  4.85714286e-02  2.07619048e-02
  1.16190476e-02  4.19047619e-03  2.27619048e+00  0.00000000e+00
  1.90476190e-02  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.82730792e-02 -5.14038624e-03  1.53436409e-02  1.92677067e-03
 -1.63390881e-02 -2.60139419e-02  1.05017012e-02 -4.39853902e-03
 -6.40727175e-03 -9.22737679e-04  2.58663272e-02 -2.65821610e-02
  5.49363826e-03 -1.73757797e-02  8.48084570e-03  2.24139330e-03
  6.70118299e-03 -1.37828470e-03 -2.50163188e-02  1.69400124e-02
  1.86247239e-02  1.89527190e-02  1.06563219e-03 -7.29441600e-03
  7.69992056e-03 -1.74951095e-04 -2.43446930e-02 -3.45352865e-03
  3.67560220e-03  1.11548994e-02 -1.23865821e-03  1.19017917e-02
 -1.18729813e-02 -1.02558944e-02 -6.16911906e-03 -3.61754432e-03
  7.95773732e-04  5.34754229e-05  2.33453999e-02 -5.28635321e-03
 -5.12251208e-03 -6.56161497e-03 -4.65956946e-04 -5.94836774e-03
 -1.75785118e-02 -1.60574022e-02 -3.86133926e-03 -7.89194225e-03
  7.19671567e-04  2.84834588e-02  7.27992152e-03  1.79829069e-03
  8.73372459e-03  1.19719827e-02 -2.00044077e-03  1.70153225e-02
 -6.03075619e-03 -1.34062758e-02 -1.45280787e-02  2.55436113e-02
  1.04524084e-02 -9.63328378e-03  4.61584213e-05  2.36868192e-03
  4.86803462e+02  2.46829808e+01  8.21852019e+02  3.61250000e-01
  5.57410577e+02  1.09692308e+00  4.80309038e+02  1.05711538e+00
  4.39658654e+01  8.06634615e-01  3.30533365e+02  1.96250000e-01
  1.38333462e+03  7.24183846e+02  8.53067308e+00  6.10384615e-01
  2.84423077e+00  9.82692308e-02  6.75000000e-01  1.49038462e-02
  3.38461538e-01  1.49038462e-02  5.33461538e+00  4.03846154e-03
  6.77884615e-01  5.09615385e-03  4.13461538e-02  2.21153846e-02
  1.15384615e-02  4.03846154e-03  2.29807692e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 3.42912479e-03  6.69398997e-03  1.50004170e-02  2.79132902e-03
 -8.55306851e-03 -1.70496670e-02  1.07817445e-02 -7.36423270e-03
 -9.93406040e-03 -5.88474591e-03  2.74989668e-02 -5.37807179e-03
 -2.90930388e-03 -2.61581058e-02 -1.65558301e-03 -1.34874069e-03
  2.47478096e-03  7.93020026e-04  1.06932249e-03  1.81196916e-02
  2.52304006e-02  8.13776939e-03  1.35503527e-02 -1.30615174e-02
 -5.43658969e-03  1.40437621e-02 -2.64692552e-02  2.43740010e-03
  1.26882980e-03  5.72133885e-03 -3.20646603e-03  8.22117907e-03
 -1.56344083e-02 -1.19249441e-02  3.31184433e-04 -6.69701159e-03
 -2.81466972e-03  8.58090585e-03  2.97163852e-02 -4.74572678e-03
  2.96194615e-03  5.29598760e-03 -1.57480630e-03 -1.22836353e-02
  2.70077421e-04 -9.95870554e-03  2.33889108e-03 -3.57288298e-03
 -1.41397097e-03  1.01645866e-02  9.95635177e-03 -3.52143335e-03
  1.26758149e-02  1.48008606e-02  1.46964523e-02  1.43582266e-02
  2.72795445e-03 -6.80241943e-03 -6.41792543e-03  1.74397173e-03
  1.12340546e-02 -2.45161349e-02  5.48766331e-03  5.55024171e-03
  4.86652885e+02             nan  8.22154038e+02             nan
  5.57417596e+02             nan  4.80086923e+02             nan
  4.35875962e+01             nan  3.30574615e+02             nan
  1.34056058e+03  6.00031346e+02  8.11721154e+00  6.54615385e-01
  2.78798077e+00  3.08653846e-02  6.75000000e-01  1.49038462e-02
  3.44230769e-01  1.49038462e-02  5.32692308e+00  7.98076923e-03
  6.78846154e-01  5.00000000e-03  4.51923077e-02  2.18269231e-02
  1.05769231e-02  3.07692308e-03  2.29807692e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.51554011e-02 -1.67335860e-02  1.95148262e-02 -4.70709629e-03
 -2.05743488e-02 -1.80152810e-02  5.27983470e-03 -1.06021888e-02
 -1.57611401e-02  3.11241750e-03  1.46562617e-02 -1.40948484e-02
 -1.69632175e-03 -8.98581175e-03  1.94213006e-03  1.31841751e-02
  8.15481427e-03  1.00802708e-02 -5.13305295e-03  2.40727332e-02
  2.29855122e-02  1.31840810e-02  1.02630229e-02 -8.96669548e-03
 -2.46145064e-03  1.12392430e-02 -2.28278876e-02 -4.87027833e-03
  5.33100089e-03  2.64488886e-03  7.18171632e-03  8.30967998e-03
 -1.48516178e-02 -8.66595068e-03 -1.31472537e-03 -1.91168206e-02
  2.38226768e-03 -3.78779128e-03  1.83012853e-02  3.13308796e-03
  7.36942708e-03 -1.59268862e-03  4.76380316e-03 -7.51682228e-03
  5.77307032e-03 -1.83916593e-02  1.60119347e-02 -8.77343516e-03
  1.30017023e-02  1.37908391e-02  1.51249491e-02 -1.79987389e-02
  2.83493066e-03  1.63692063e-02  2.78228005e-03  1.44764714e-02
 -1.09350773e-03 -7.77816042e-04 -1.28549430e-02  6.85494973e-03
  1.03956517e-02 -2.55308366e-02  6.90203318e-03 -6.17819018e-03
  4.94062885e+02             nan -2.88219790e+06             nan
  5.56710962e+02             nan  4.86172308e+02             nan
  4.37070192e+01             nan  3.30390769e+02             nan
  1.44589327e+03  7.68428654e+02  8.21442308e+00  9.28365385e-01
  2.80490385e+00  1.38653846e-01  6.68365385e-01  2.27884615e-02
  3.41346154e-01  1.51923077e-02  5.45288462e+00  2.63557692e-01
  6.83846154e-01  9.32692308e-03  5.44230769e-02  2.55769231e-02
  2.01923077e-02  1.79807692e-02  2.29807692e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  7.69230769e-03  4.03846154e-03
  1.03846154e-01  7.59615385e-02 -4.80769231e-03  1.51923077e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 4.26957165e-03 -7.49579853e-03  1.21365668e-02  2.07247055e-03
 -7.34469349e-03 -1.47574829e-02  9.57590867e-03 -7.47533223e-03
 -7.79501841e-03 -1.01369620e-02  2.29958533e-02 -1.96784863e-02
  2.78269755e-03 -1.57108227e-02  2.31247869e-03  7.17005857e-03
  4.28526551e-03 -2.54184826e-03 -1.25917338e-02  3.28292273e-02
  9.30014253e-03  1.78280244e-02  1.28813288e-02 -7.57075076e-03
 -1.02236114e-02  1.66258245e-02 -2.97766815e-02  2.11505720e-03
  9.65189342e-03 -2.90772451e-03 -3.72233160e-03  1.39143064e-02
 -9.08419813e-03 -1.06977986e-02 -3.14409253e-03 -2.49923334e-03
  1.39837297e-03 -2.21743161e-03  1.62222158e-02  5.24620951e-03
  3.87841120e-03 -8.87487363e-03  1.81258108e-03 -4.44202468e-03
 -1.58266979e-03 -1.94456654e-02 -2.89591154e-03 -9.47134241e-03
  6.83291289e-03  5.82410245e-03  5.86073680e-03 -8.53707941e-03
  7.38180274e-03  2.71594460e-02 -2.77355295e-03  9.58020981e-03
 -6.30183673e-03 -1.36942979e-02 -1.39214641e-02  1.13505369e-02
  5.32706682e-03 -1.36076825e-02  6.97533146e-03  4.14085152e-03
  5.01165980e+02             nan -1.46969402e+07             nan
  5.34923235e+02             nan  4.98783137e+02             nan
  4.07463725e+01             nan  3.36631863e+02             nan
  1.11715931e+03             nan  4.53696078e+00             nan
  2.23892157e+00             nan  6.70490196e-01             nan
  3.45098039e-01             nan  6.07647059e+00             nan
  6.98333333e-01             nan  3.23529412e-02             nan
  4.11764706e-02             nan  2.34313725e+00             nan
  1.96078431e-02             nan  0.00000000e+00  0.00000000e+00
  1.17647059e-01  0.00000000e+00 -1.96078431e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 2.73960350e-03 -3.07916863e-03  8.39013414e-03  5.35068290e-03
 -3.17589393e-03 -2.05610790e-02  6.96853060e-03  9.76757456e-03
 -6.62070724e-03 -7.40874533e-03  1.17741849e-02  2.53746196e-03
  3.36355840e-03  1.77535774e-05 -2.68158641e-03  2.77331124e-03
 -7.65808273e-03  3.84127985e-03 -1.01556235e-02  2.11123958e-02
  8.94950947e-03  1.24492991e-02  1.95840809e-02 -5.63145297e-03
 -2.75990942e-03  1.53850007e-02 -1.89678144e-02  6.22734847e-03
 -3.91121883e-03 -3.76984667e-03 -5.96738687e-03  4.91563051e-03
 -1.49344131e-02 -6.53089891e-03  8.56874896e-03  1.46170706e-03
 -1.33212078e-03 -8.46273940e-03  1.79314486e-02  1.15644850e-02
 -5.69252362e-04  1.98866581e-03  8.11414087e-04  8.92127029e-04
 -6.05403202e-03 -4.33304302e-03  1.66923251e-03  6.54558683e-04
  4.63308959e-03  4.92386224e-03 -6.69490829e-03 -1.39777426e-03
  1.51811579e-03  1.22374247e-02  7.81420490e-04  1.88605766e-02
  6.27016205e-03 -1.18680815e-02 -1.91198790e-03 -6.71584801e-03
  8.18189413e-03 -1.57128989e-02 -2.04239053e-03  1.21587058e-02
  2.49026897e+02             nan  8.68848276e+02             nan
  8.56552414e+02             nan  2.28472414e+01             nan
  2.35872414e+01  1.35000000e-01  2.30813793e+01  1.55344828e-01
  1.79661690e+03  1.21484828e+03  1.58275862e-01  2.58620690e-02
  6.05517241e-01  4.25862069e-02  5.37931034e-02  2.67241379e-02
  5.43103448e-01  2.75862069e-02  1.51724138e-02  6.03448276e-03
  7.75862069e-02  9.13793103e-03  3.98275862e-02  3.84482759e-02
  5.37931034e-02  6.03448276e-03  0.00000000e+00  0.00000000e+00
  3.44827586e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  2.06896552e-01  0.00000000e+00 -3.44827586e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 8.26547224e-03 -2.65415668e-03  1.58503293e-02  2.73724388e-03
 -4.82307209e-03 -2.45996333e-02 -7.03807856e-04  5.50528770e-03
  4.15619448e-03 -9.78224211e-03  7.21120847e-03 -1.69443313e-03
  9.24277563e-03 -6.60566668e-03 -6.77623921e-03  3.93853105e-07
 -1.36374387e-02  3.67445216e-03 -6.54683224e-03  6.70337956e-03
  4.48671523e-03  9.06828611e-03  1.88050201e-02 -5.92465561e-03
  3.46886123e-04  1.63593369e-02 -7.83904738e-03  2.95136946e-03
  6.25007148e-03 -5.25866988e-03 -8.95527763e-03  7.94105823e-03
 -1.69901719e-02 -5.67088019e-03  6.09001582e-03  3.20110412e-03
  3.47826774e-04 -5.48761858e-03  1.10971365e-02  4.21196810e-03
 -1.94519614e-03  1.88942819e-03 -8.81461048e-03 -4.80444652e-03
  7.05344180e-03  3.82448707e-03 -3.67406480e-03 -4.75526408e-03
  8.71159406e-03  4.99400638e-03 -1.11673914e-02 -1.83600483e-03
 -1.12927119e-02  1.88777308e-02  3.79493043e-03  1.15748474e-02
 -5.56424363e-03 -1.31495023e-02 -7.20432221e-03 -3.48746969e-03
  5.57849293e-03 -1.11906716e-02  6.57158332e-03  1.09513486e-02
  2.35210172e+02             nan  8.68907931e+02             nan
  8.56490690e+02             nan  2.28551724e+01             nan
  2.36234483e+01  1.42241379e-01  2.30391379e+01  1.75172414e-01
  2.12636569e+03  1.16803345e+03  1.58620690e-01  4.39655172e-02
  6.14655172e-01  4.70689655e-02  4.48275862e-02  2.17241379e-02
  5.43103448e-01  2.72413793e-02  1.55172414e-02  5.51724138e-03
  6.37931034e-02  1.70689655e-02  4.82758621e-02  3.98275862e-02
  5.51724138e-02  7.24137931e-03  0.00000000e+00  0.00000000e+00
  3.44827586e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  2.06896552e-01  0.00000000e+00 -3.44827586e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  2.06896552e-02  2.82758621e-02]",0
"[ 1.46356617e-02 -6.79405459e-03  1.33942811e-02  7.01368633e-03
 -4.99373175e-03 -1.59291335e-02 -4.13380696e-04  1.58351732e-02
 -1.20793206e-02 -1.53951959e-03  1.03185715e-02 -7.57927168e-03
  3.15372267e-03 -7.34898594e-03 -2.61891603e-03 -2.97496268e-03
 -9.82957267e-03  5.26369882e-04 -6.00097628e-03  2.12517369e-03
  1.14308146e-02  1.02086237e-02  1.20479316e-02 -2.56128390e-03
 -1.45028452e-03  1.26963834e-02 -1.18377669e-02  6.03472415e-05
  3.59292135e-03 -3.87652887e-03 -8.06541501e-03  6.98257464e-03
 -6.74696080e-03 -1.46668886e-02  2.66650572e-03  3.53051409e-03
  6.81168546e-03  3.11702117e-03  7.74631543e-03  5.33914985e-03
  8.00514374e-03 -6.77493660e-03 -8.82039898e-03 -4.43960859e-03
  4.04539718e-03  4.80478257e-03 -7.51926956e-03  2.02719841e-03
  6.85406902e-03  8.42412249e-03  1.82941355e-03  2.12042138e-03
 -4.94384440e-03  1.62293363e-02  5.99280519e-03  3.26057050e-03
  2.66618468e-03 -1.67053565e-02 -5.80995470e-03  5.02291069e-03
  1.13387744e-02 -2.63310277e-03  5.41017790e-04  1.08705110e-02
  2.46421964e+02  4.95623214e+01  9.00417857e+02  8.56428571e-01
  8.87114643e+02  9.64285714e-01  2.35692857e+01  1.41607143e-01
  2.44723214e+01  1.56428571e-01  2.38178571e+01  2.05000000e-01
  1.98133161e+03  1.34369000e+03  2.23928571e-01  8.23214286e-02
  5.98928571e-01  7.76785714e-02  5.08928571e-02  4.50000000e-02
  5.57142857e-01  2.76785714e-02  1.42857143e-02  7.50000000e-03
  7.78571429e-02  1.62500000e-02  4.89285714e-02  5.67857143e-02
  2.73214286e-02  3.57142857e-02  0.00000000e+00  0.00000000e+00
  3.57142857e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  9.51785714e-02  1.12857143e-01 -3.57142857e-02  0.00000000e+00
  3.92857143e-03  7.85714286e-03  5.35714286e-02  0.00000000e+00]",0
"[ 6.66212919e-03 -1.74159264e-03  8.37134380e-03  4.39299811e-03
 -6.28374320e-03 -1.43267238e-02  2.32161961e-03 -3.09172799e-05
  2.05877096e-03 -7.67755187e-03  1.22956271e-02  1.59272462e-03
 -4.06520127e-03 -1.11310359e-04  2.32098222e-03  1.95815334e-03
 -7.92536198e-03 -2.50868324e-03 -5.87679913e-03  4.01560093e-03
  4.35189886e-03  1.16418062e-02  9.54356906e-03 -3.80503569e-03
 -3.22800773e-03  9.59591856e-03 -6.99396548e-03  3.33445870e-03
  5.52745032e-03  1.82685168e-03 -1.07867911e-02  1.41340509e-04
 -5.50027352e-03 -3.08308772e-03  6.43198324e-04  2.56780316e-04
  1.87688785e-03  7.12253372e-04  2.10205281e-02  3.32774043e-03
 -3.46981806e-03 -2.60855436e-03 -9.59769293e-04 -8.37068089e-03
 -1.03430158e-03 -4.66301789e-03 -4.84979638e-03 -4.16408231e-03
  6.37396878e-04  1.11193823e-03  1.04436687e-04 -5.75526322e-03
 -5.57558501e-04  1.26214460e-02  6.26949042e-03  3.48050257e-03
  5.34305590e-03 -1.61068679e-02 -4.63874244e-03 -2.68914872e-03
  3.51548765e-03 -1.68250852e-02  3.13458636e-04  1.01777677e-03
  2.72343137e+02  5.43898039e+01  9.89349216e+02  7.67450980e-01
  6.79880392e+02  9.84313725e-01  2.58064706e+01  1.33333333e-01
  2.33000000e+00  1.50000000e-01  2.61117647e+01  1.72549020e-01
  2.08415176e+03  1.22230843e+03  2.25490196e-01  3.07843137e-02
  6.21568627e-01  2.27450980e-02  6.27450980e-02  3.03921569e-02
  6.23529412e-01  3.03921569e-02  1.56862745e-02  8.23529412e-03
  9.01960784e-02  1.01960784e-02  5.29411765e-02  4.45098039e-02
  1.96078431e-03  6.27450980e-03  0.00000000e+00  0.00000000e+00
  3.92156863e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -3.92156863e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.88235294e-02  0.00000000e+00]",0
"[ 3.90218987e-03 -1.97638133e-03  9.43306673e-03  9.40871882e-03
 -3.25264992e-03 -1.68379095e-02  1.30343276e-03  4.19933418e-03
  7.92297005e-04 -6.28809251e-03  4.02148433e-03  2.89982806e-03
 -3.86736980e-03  1.54187574e-03 -5.68970892e-04  2.52556742e-03
 -9.46105783e-03  3.30293688e-03 -1.26594860e-02  5.44333390e-03
  6.73511288e-03  6.76691766e-03  1.22636796e-02 -1.01387615e-02
 -4.97650823e-03  1.09616328e-02 -1.08594649e-02  4.05805076e-03
 -3.54748767e-03 -5.21968057e-03 -6.67588033e-03 -2.10808992e-04
 -6.72498119e-03 -2.03718530e-03  6.09299424e-03  1.41353953e-03
  3.04881520e-03  1.21022775e-04  1.87120560e-02  4.27780198e-04
 -7.75495566e-03  8.56691058e-04 -1.04794878e-03 -2.90698719e-04
  9.64176713e-05 -8.06633894e-04 -5.26481107e-04  3.29307774e-04
  1.63491704e-03  8.27752784e-04 -1.72300724e-03 -5.29555903e-03
 -6.83912430e-03  1.59866705e-02  8.15022109e-03  2.48721958e-03
 -3.17070268e-03 -1.22266196e-02 -6.92196892e-03 -3.75086317e-03
  4.09848185e-03 -1.45586045e-02  1.33947845e-03  3.51278586e-03
  2.75595686e+02  5.18154902e+01  9.89486667e+02  5.17058824e-01
  6.80081373e+02  1.41823529e+00  2.58125490e+01  1.40980392e-01
  2.39490196e+00  1.79215686e-01  2.60745098e+01  1.82941176e-01
  2.41519706e+03  1.32828451e+03  2.17647059e-01  5.01960784e-02
  6.40196078e-01  5.35294118e-02  5.09803922e-02  2.47058824e-02
  6.17647059e-01  3.09803922e-02  1.76470588e-02  6.27450980e-03
  8.62745098e-02  1.01960784e-02  5.49019608e-02  4.52941176e-02
  3.92156863e-03  8.23529412e-03  0.00000000e+00  0.00000000e+00
  3.92156863e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -3.92156863e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.88235294e-02  0.00000000e+00]",0
