Embedding,Label
"[ 1.59119372e-02  6.31179267e-03  1.41111912e-03  6.49296360e-03
 -5.26152308e-03 -2.34686605e-02  1.87892010e-03 -8.11561896e-03
 -1.29219811e-02  7.33278158e-03  1.91566731e-02 -2.06777610e-02
  4.78025173e-03 -1.69918090e-02 -8.12288998e-03  1.82058392e-02
  1.56111471e-03  9.77406150e-03 -1.35520161e-02  1.96222552e-02
  2.17065635e-02  7.07810947e-03  2.50380751e-02 -1.58534796e-02
 -5.82398644e-03 -2.67428657e-03 -2.02834336e-02 -7.29611788e-04
  5.01286221e-04  1.01501219e-02  8.23295066e-03  1.48295628e-02
 -1.85816933e-02 -1.32562805e-02 -4.50353124e-03 -9.08055564e-03
  5.63527860e-04 -3.45940705e-03  2.66783890e-02  1.08851909e-02
 -3.67046448e-03 -7.80763867e-03 -3.45694400e-03 -8.43996789e-03
 -4.62046380e-03  6.93332547e-03  7.66897600e-03 -4.87159424e-03
  6.80041345e-03  1.88338132e-02 -1.67119718e-03 -6.29431143e-03
  5.75209316e-03  1.50029806e-02 -2.36512181e-03  1.65386054e-02
 -3.95412650e-03 -4.60970027e-03 -1.74949057e-02  8.93937524e-03
  1.81323044e-02 -1.88745701e-02  2.71146804e-03  1.32395064e-02
  4.81152885e+02  3.09647115e+01  8.04222596e+02  4.45913462e+00
  5.13528365e+02  8.73461538e-01  4.87255769e+02  4.83009615e+00
  4.23055769e+01  7.56923077e-01  3.30006635e+02  2.21730769e-01
  1.14120663e+03  7.22908942e+02  8.60201923e+00  6.33942308e-01
  2.66519231e+00  1.31730769e-01  6.55769231e-01  1.49038462e-02
  3.38461538e-01  1.49038462e-02  4.55432692e+00  7.59615385e-03
  6.95096154e-01  9.03846154e-03  4.13461538e-02  2.21153846e-02
  1.15384615e-02  4.03846154e-03  2.29807692e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 3.67214352e-03 -3.12908013e-03  2.28255456e-02  1.08624418e-02
 -1.07487261e-02 -2.07534887e-02  4.14876676e-03 -2.21238837e-03
 -1.18814452e-02 -6.01407418e-03  2.84390957e-02 -1.15908408e-02
 -7.73674008e-03 -1.10843665e-02 -5.35795186e-03  1.21880714e-02
 -1.12547647e-03 -1.72042231e-03 -1.50912472e-02  2.41627028e-02
  6.82150106e-03  1.57932934e-02  2.76083429e-02 -9.00724761e-03
 -2.44023959e-03  1.50436323e-02 -1.53071787e-02  4.78205283e-03
  2.10462342e-03 -7.08142725e-04 -1.53138754e-03  6.94085962e-03
 -1.66861323e-02 -1.48980554e-02 -3.89551790e-03 -5.04433428e-04
  6.63479606e-03 -1.19251921e-02  1.93152689e-02 -1.33115454e-03
 -1.27058742e-02 -1.10860676e-02  2.30719744e-03 -7.09920313e-03
  1.78765413e-02 -1.06557066e-02  6.55662326e-03 -1.30457766e-02
  1.06460077e-02  2.02118401e-02  7.95786232e-03  1.27108211e-03
 -1.75403511e-03  2.16352892e-02 -6.83106697e-04  1.15498682e-02
  1.04954390e-02 -8.03489253e-03 -5.62377527e-03  5.13138178e-03
  7.51469467e-03 -2.21938929e-02  9.10756354e-03  2.23242749e-03
  4.78692692e+02             nan  8.00163077e+02             nan
  5.13672212e+02             nan  4.83297500e+02             nan
  4.18689423e+01             nan  3.30142885e+02             nan
  1.09871106e+03  5.99186442e+02  8.12163462e+00  5.96250000e-01
  2.91317308e+00  6.33653846e-02  6.55769231e-01  1.49038462e-02
  3.44230769e-01  1.49038462e-02  4.54615385e+00  4.03846154e-03
  6.98076923e-01  5.00000000e-03  4.51923077e-02  2.18269231e-02
  1.05769231e-02  3.07692308e-03  2.29807692e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 7.72888782e-03 -9.94603098e-03  1.43673097e-02 -6.37224134e-03
 -1.04114406e-02 -1.38017294e-02  8.38086245e-03 -6.76044121e-03
 -1.23013307e-02  1.30688889e-03  1.59835911e-02 -2.04610160e-02
 -1.11538655e-02 -7.26514041e-03 -8.17584232e-04  5.07067291e-03
 -3.74791427e-04 -1.78173520e-03 -1.16163758e-02  3.00332677e-02
  2.29559319e-02  1.47653941e-02  3.74222740e-03 -1.37453021e-02
 -1.55672134e-03  1.01141607e-02 -2.03428165e-02  7.39137424e-03
  1.16678543e-02  7.73592589e-03 -5.67411806e-03  7.11069113e-03
 -8.22000256e-03 -1.68677950e-02 -5.18827241e-03 -1.08642376e-02
  7.89725003e-03 -7.55253379e-03  2.71109350e-02  1.44209952e-02
 -5.89866406e-04 -7.42350042e-03 -6.44634908e-03 -1.57349620e-02
  5.83789773e-03 -7.87431147e-03  3.90471291e-03 -1.18121278e-02
  1.30836590e-02  9.84728045e-03 -6.60660231e-03  9.72715547e-04
 -1.39697869e-03  2.26934158e-02  7.79931961e-03  6.07457651e-03
 -1.28134460e-02 -6.22633463e-03 -1.32112064e-02  1.57231573e-02
  2.65476754e-03 -3.32476034e-02  4.37213183e-03  5.64845601e-04
  4.78936923e+02             nan  7.99766538e+02             nan
  5.13739135e+02             nan  4.82805577e+02             nan
  4.20246154e+01             nan  3.30110962e+02             nan
  1.26056365e+03  6.50852212e+02  8.33730769e+00  8.36057692e-01
  2.93288462e+00  3.00961538e-02  6.50000000e-01  1.21153846e-02
  3.41346154e-01  1.51923077e-02  4.54711538e+00  3.07692308e-03
  6.96153846e-01  5.00000000e-03  4.61538462e-02  2.22115385e-02
  1.15384615e-02  4.03846154e-03  2.29807692e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.25967365e-02 -1.50614616e-03  9.62170726e-03 -3.21469717e-04
 -4.43931014e-03 -2.57345706e-02  1.02375204e-02  6.22084154e-03
 -5.48388350e-03 -4.20715663e-03  1.92359513e-02 -1.42765146e-02
 -4.51503078e-03 -6.02600724e-03 -1.13686726e-03  1.01217483e-02
  5.27044048e-03 -3.43743640e-05 -5.81390345e-03  1.70240398e-02
  2.19109124e-02  1.85352588e-02  1.60602349e-02 -9.87922103e-03
 -4.26572930e-03  8.21873329e-03 -2.73723392e-02  4.95432871e-03
 -1.99422284e-03 -3.55612322e-03  3.00906534e-03 -8.59166574e-03
 -1.54609111e-02 -1.13729488e-02 -9.20505141e-03 -3.83691074e-03
  8.18509096e-03 -6.55915568e-03  1.37041133e-02  9.61605363e-03
  1.05431010e-02 -9.50725484e-03  4.02580302e-04 -2.04310483e-02
 -2.77305769e-03 -1.46402856e-03  1.20156920e-02 -1.21728145e-02
  8.09168564e-03  1.79090959e-02  4.93945267e-03  1.24735810e-03
  7.08732471e-03  1.30837637e-02  1.60232718e-02  1.74779378e-02
  6.13370864e-03 -1.58002941e-02 -6.45457939e-03  1.38212512e-02
  1.49297340e-02 -2.12025719e-02 -1.80543234e-03  8.75386140e-03
  4.74385577e+02  2.50903846e+01  7.99799808e+02  2.80096154e-01
  5.13650288e+02  7.74326923e-01  4.83089423e+02  8.09038462e-01
  4.22057692e+01  9.95480769e-01  3.30005577e+02  2.23173077e-01
  1.14132865e+03  7.23134615e+02  8.38240385e+00  8.80384615e-01
  2.74394231e+00  2.12884615e-01  6.65865385e-01  2.90384615e-02
  3.38461538e-01  1.49038462e-02  4.53750000e+00  7.01923077e-03
  6.97115385e-01  5.09615385e-03  4.13461538e-02  2.21153846e-02
  1.15384615e-02  4.03846154e-03  2.29807692e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.41578498e-02  1.27749538e-03  1.75904113e-02  3.08166819e-03
 -7.33296838e-03 -1.63435489e-02  6.15949388e-03  7.20503042e-03
 -8.95565904e-03  1.21549710e-03  2.72525361e-02 -2.17255063e-02
  5.97556442e-03 -1.42640498e-02  1.81424384e-03 -1.57525838e-03
  1.37552342e-02 -1.89732703e-03 -1.47161451e-02  2.44615054e-02
  1.68239646e-02  1.38028921e-02  1.51620368e-02 -1.17746488e-02
  8.79491321e-04  2.03836709e-02 -1.52931369e-02 -3.34195126e-03
  6.68841804e-03  7.77042249e-03  8.39895359e-03  5.61270112e-03
 -1.38084231e-02 -1.39309718e-02 -3.45984166e-03 -9.42071864e-04
  5.37406560e-03 -6.84555491e-03  1.87168613e-02  7.96968225e-03
  2.57481859e-03  5.64028903e-04 -1.91388344e-03 -1.07672984e-02
  6.84461628e-04 -2.11773429e-02  2.71165769e-03 -3.81271149e-04
  7.03410057e-03  1.62374054e-02  3.86682017e-03  4.29546346e-03
  4.49999110e-03  2.30819020e-02  5.21829684e-03  9.83840851e-03
  3.10412859e-04 -3.59318205e-03 -3.48243606e-03  1.16664573e-02
  4.15182619e-03 -2.18047506e-02  9.10742065e-03  4.80967205e-03
  4.77638077e+02             nan  8.01535865e+02             nan
  5.13586154e+02             nan  4.83520673e+02             nan
  4.23826923e+01             nan  3.29982596e+02             nan
  1.09826433e+03  5.99342981e+02  8.59625000e+00  7.05769231e-01
  2.51365385e+00  4.47115385e-02  6.84615385e-01  1.49038462e-02
  3.44230769e-01  1.49038462e-02  4.53653846e+00  4.03846154e-03
  6.98076923e-01  5.00000000e-03  4.51923077e-02  2.18269231e-02
  1.05769231e-02  3.07692308e-03  2.29807692e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 8.74971077e-03  7.30719367e-03  2.72572641e-02  1.59659557e-02
 -1.09536577e-02 -1.97367481e-02  1.42166535e-02  8.00031549e-03
 -1.60667698e-02 -1.08876581e-03  2.68425291e-02 -1.76981008e-02
  8.78525606e-03 -1.33173480e-02 -3.87822600e-03  7.55036807e-03
  9.02225579e-03 -1.27953127e-03 -2.04876092e-02  3.35181530e-02
  2.35370984e-02  1.08035774e-02  1.62123095e-02 -1.61719446e-02
 -1.63032326e-03  1.34822148e-02 -1.42809724e-02  5.76839784e-03
 -2.58693128e-03  6.64914374e-03 -2.06844899e-03  1.27335932e-02
 -1.55081826e-02 -2.39773610e-02 -3.02263546e-03 -8.96165824e-03
  7.88511970e-03 -1.38242468e-03  2.44914574e-02  5.02404786e-03
 -4.17179581e-03 -1.96694981e-03 -4.01543138e-03 -1.25371903e-02
 -5.43831425e-03  4.60228652e-03 -3.66452374e-03 -3.40167583e-03
  1.60042129e-03  1.74668777e-02 -1.19638679e-03  4.36120967e-03
 -2.22623371e-03  1.60189901e-02  1.04729040e-02 -3.86170769e-03
 -3.02441028e-03 -1.53888410e-02 -1.71489720e-03  1.51115454e-02
  3.74140972e-03 -1.43420164e-02 -8.73979425e-03 -9.85533708e-03
  4.78769808e+02             nan  8.01082308e+02             nan
  5.13523654e+02             nan  4.83584135e+02             nan
  4.21399038e+01             nan  3.29965577e+02             nan
  1.26031346e+03  6.50710096e+02  8.30538462e+00  6.02211538e-01
  2.48125000e+00  4.49038462e-02  6.78846154e-01  1.21153846e-02
  3.41346154e-01  1.51923077e-02  4.53125000e+00  7.78846154e-03
  6.96153846e-01  5.00000000e-03  4.61538462e-02  2.22115385e-02
  1.15384615e-02  4.03846154e-03  2.29807692e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.41234281e-02 -5.52867528e-03  1.46962268e-02 -2.44319659e-03
 -1.51550040e-02 -1.75637466e-02  1.51126139e-02  1.16661146e-02
 -1.04595943e-02 -3.88392781e-03  1.83315062e-02 -9.82375975e-03
 -4.51776745e-03 -3.66809677e-04 -2.96245632e-03  1.11934355e-02
 -5.06881190e-03  3.37541068e-04 -1.83129196e-02  1.49348164e-02
  1.88374973e-02  2.32118300e-02  1.93777222e-02 -1.69073928e-02
  5.72075956e-03  1.61886221e-02 -2.11047744e-02  9.20481951e-03
 -4.34389476e-03  1.13590978e-02 -9.98083580e-03  5.42328641e-03
  1.21786673e-03 -1.00614711e-02 -8.80210676e-03 -6.10287495e-03
  1.50396357e-02  2.23566226e-03  2.00833079e-02  2.96543801e-03
 -3.15079836e-03 -1.14681717e-03 -2.05481797e-03 -1.23857233e-02
 -4.05200007e-03 -3.87885049e-03 -6.93941107e-04 -7.37990247e-03
  1.12188512e-02  1.36500544e-02  9.22295629e-03  6.30923701e-03
 -2.57170477e-03  1.55751897e-02  1.13011460e-02  1.04494506e-02
  2.88497627e-03 -1.50415259e-02 -9.33138702e-03  1.25590020e-02
  4.50736430e-03 -2.86732271e-02  3.18667360e-03  5.45374560e-03
  4.75693905e+02  2.65968571e+01  7.93418952e+02  1.48304762e+00
  5.08629333e+02  6.89142857e-01  4.78729905e+02  1.05161905e+00
  4.16138095e+01  8.91238095e-01  3.26831714e+02  1.68952381e-01
  1.13061181e+03  7.16087619e+02  8.06076190e+00  7.44380952e-01
  2.44095238e+00  5.00952381e-02  6.78095238e-01  1.47619048e-02
  3.35238095e-01  1.47619048e-02  4.48380952e+00  4.00000000e-03
  6.90476190e-01  5.04761905e-03  4.09523810e-02  2.19047619e-02
  1.14285714e-02  4.00000000e-03  2.27619048e+00  0.00000000e+00
  1.90476190e-02  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.99643722e-02 -1.36896688e-02  2.28770950e-02  4.70034033e-04
 -5.79623049e-03 -1.89296107e-02 -3.02522533e-03  5.54534476e-03
 -1.53235502e-02 -1.86640572e-03  1.87509735e-02 -1.72743897e-02
  6.46525543e-03 -1.29975568e-02  1.03530631e-03  7.46082239e-03
 -4.34235694e-03  7.97720639e-03 -1.78069713e-02  5.55486418e-03
  1.03149864e-02  2.13687572e-02  8.08792791e-03 -3.38550612e-03
 -1.82523095e-03  1.02738490e-02 -1.49319072e-02  6.51724440e-03
 -7.68865387e-04  4.15911375e-03 -1.12179963e-02  6.64116985e-03
 -8.93358077e-03 -2.00325735e-02 -6.14639658e-04 -1.24794841e-02
  7.85341922e-03  2.90721826e-03  2.13071123e-02 -4.44992001e-03
  6.57235623e-03 -7.05753768e-03 -1.48968298e-03 -4.48103005e-03
  3.09234501e-03 -1.08592626e-02  1.02790449e-03 -6.39628373e-03
  1.83783705e-02  7.53182563e-03  1.68715055e-02  2.28052085e-03
  7.13325851e-03  1.48367241e-02 -1.57045951e-03  6.00860769e-03
  1.43383944e-02 -5.59089705e-03 -6.33165237e-03  1.49192069e-02
  2.90384677e-04 -2.25549374e-02  3.47781925e-03 -3.24547679e-03
  4.76319423e+02             nan  7.99900096e+02             nan
  5.13523077e+02             nan  4.82968077e+02             nan
  4.21953846e+01             nan  3.29990288e+02             nan
  1.09851394e+03  5.99435385e+02  8.24788462e+00  8.46250000e-01
  2.48288462e+00  4.97115385e-02  6.84615385e-01  1.49038462e-02
  3.44230769e-01  1.49038462e-02  4.52307692e+00  8.84615385e-03
  6.98076923e-01  5.00000000e-03  4.51923077e-02  2.18269231e-02
  1.05769231e-02  3.07692308e-03  2.29807692e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.21335397e-02  9.71535686e-04  7.66438328e-03  1.11724651e-03
  3.32264482e-03 -1.68582976e-02 -6.60125227e-03 -1.29964296e-03
 -4.32778269e-03  1.09629064e-03  1.63464227e-02 -2.42722464e-02
  2.14953799e-03 -7.28242954e-03 -6.80843533e-03  1.71078181e-02
 -4.83326241e-03 -1.03279431e-03 -5.14670041e-03  2.56478720e-02
  1.99791450e-02  9.60742732e-03  1.78669239e-02 -1.17278033e-02
 -7.95021051e-03  1.90347200e-02 -1.73844909e-02 -7.66484144e-03
 -5.90173726e-03  1.23332834e-02  7.34618697e-03  5.12253439e-03
 -2.03964731e-02 -6.59353465e-03 -1.27680188e-03 -9.74012062e-04
  8.61279416e-04 -8.09248304e-03  2.07366951e-02  8.92463993e-03
 -2.48981475e-03 -4.93329852e-03 -1.13401528e-02 -1.23538893e-02
 -1.65731994e-03 -9.18219053e-03  5.59012301e-03  4.51323619e-03
  8.45229020e-03  1.84777838e-02 -9.62283094e-03 -1.54188567e-02
  9.50071130e-03  1.96523322e-02 -3.27391881e-03  1.06372029e-02
  2.10789797e-03 -3.95520626e-03 -1.72984585e-02  1.41999259e-02
  2.89609090e-03 -2.53732279e-02  4.30730847e-03 -5.37005951e-03
  4.75215192e+02             nan  7.99879519e+02             nan
  5.13486635e+02             nan  4.82825385e+02             nan
  4.23547115e+01             nan  3.29961538e+02             nan
  1.26035894e+03  6.50891538e+02  8.47365385e+00  8.09134615e-01
  2.48211538e+00  5.43269231e-02  6.78846154e-01  1.21153846e-02
  3.41346154e-01  1.51923077e-02  4.51826923e+00  3.07692308e-03
  6.96153846e-01  5.00000000e-03  4.61538462e-02  2.22115385e-02
  1.15384615e-02  4.03846154e-03  2.29807692e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.89432553e-02  5.96025626e-03  2.38447170e-02 -1.28720865e-02
 -1.74104550e-02 -2.94663972e-02  1.94867937e-03  9.78033359e-03
 -7.05367439e-03  4.48115943e-03  2.05295644e-02 -9.21863590e-03
  8.46886101e-03 -2.76554612e-03 -6.01979277e-04  8.60893144e-03
 -3.82058211e-03  1.22384276e-02 -2.67137252e-02  1.91934583e-02
  2.30659072e-02  1.83365752e-02  1.12610881e-02 -2.26204383e-02
 -2.16780904e-03  4.60738022e-03 -1.91497477e-02  2.32154679e-03
 -5.54027247e-03  3.41439104e-03 -1.11413779e-03  6.72990718e-03
 -1.60645508e-02 -1.51559001e-02 -1.03301355e-03  6.19719482e-03
 -1.89105457e-03  8.34546410e-04  2.02480609e-02 -1.82738373e-03
 -5.70160874e-04  9.36261377e-03 -6.44590720e-03 -1.47581779e-02
 -9.12157812e-03 -1.25941648e-03  1.15966526e-02 -6.64277302e-03
  6.92087539e-04  1.74139012e-02 -1.52983643e-03  4.65947658e-03
  7.31973416e-04  6.02479394e-03  5.86075572e-03  1.51222216e-02
  1.39408933e-02 -1.39943503e-02 -7.27883363e-03  8.85197187e-03
  2.82462480e-03 -1.84600255e-02  1.57513928e-03 -8.44574487e-03
  4.76791058e+02  2.67908654e+01  7.99928462e+02  2.49230769e-01
  5.13492788e+02  6.87019231e-01  4.82552692e+02  1.02317308e+00
  4.25035577e+01  7.63557692e-01  3.29963846e+02  1.70769231e-01
  1.14118827e+03  7.22823654e+02  8.56894231e+00  6.04711538e-01
  2.47192308e+00  5.82692308e-02  6.77403846e-01  1.91346154e-02
  3.38461538e-01  1.49038462e-02  4.51586538e+00  7.59615385e-03
  6.97115385e-01  5.09615385e-03  4.13461538e-02  2.21153846e-02
  1.15384615e-02  4.03846154e-03  2.29807692e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
