Embedding,Label
"[ 7.88788042e-03 -5.92108956e-03  2.08908332e-02 -1.97874311e-03
 -1.02097905e-02 -2.11097308e-02 -2.18469896e-04 -1.30244305e-03
 -8.92294291e-03 -4.23424576e-03  1.09927108e-02 -2.05723270e-02
  3.00556608e-03 -1.18535005e-02 -1.05887965e-02  6.36237136e-03
  5.08500298e-03  1.00070925e-02 -4.55125436e-03  2.41421101e-02
  1.93147036e-02  6.10790903e-03  1.64197181e-02 -7.55684345e-03
 -8.71867172e-03  1.62776079e-02 -3.00460687e-02 -1.09199247e-02
  2.30440682e-03 -7.53752921e-03  9.66893814e-04  1.04668580e-02
 -1.85655311e-02 -1.24074419e-02  1.02158919e-02 -4.85054840e-04
  2.32095708e-03  6.25761463e-04  1.98288740e-02  2.68899947e-03
 -4.92272425e-03 -1.08285212e-03 -9.69223940e-03 -4.96941210e-03
 -4.79978158e-03 -1.17485144e-02  5.91663730e-03 -5.04953060e-03
  2.77268202e-03  1.98980874e-02  1.77524056e-03 -6.32247380e-03
  5.41111333e-03  1.09093861e-02 -1.22976024e-04  1.14158146e-02
 -3.14202880e-03 -2.02462285e-02 -1.06112625e-02  7.39920856e-03
  1.44383027e-02 -2.47175722e-02  4.92905940e-03  6.74179719e-03
  4.84706538e+02  2.68350000e+01  6.02978654e+02  2.68653846e-01
  5.17683269e+02  6.55000000e-01  4.88346442e+02  9.50192308e-01
  4.42099038e+01  7.52307692e-01  3.30395000e+02  1.58173077e-01
  9.62506731e+02  3.89822596e+02  8.42230769e+00  5.99519231e-01
  2.80451923e+00  2.96153846e-02  6.74038462e-01  1.78846154e-02
  3.00000000e-01  1.49038462e-02  3.34615385e-01  4.03846154e-03
  6.96153846e-01  8.07692308e-03  4.13461538e-02  2.21153846e-02
  4.03846154e-02  4.03846154e-03  3.35576923e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.33613123e-02 -1.25406813e-02  1.62960868e-02 -3.41209791e-03
 -1.35261231e-02 -1.42040694e-02 -7.05824753e-06 -9.18197572e-03
 -6.41288087e-03 -1.10894853e-02  4.38445878e-03 -1.21853045e-02
 -3.99159088e-03 -2.92189878e-03  8.86618646e-03  1.63773118e-02
  1.69599208e-03 -3.46076911e-03 -7.24513655e-03  2.03941974e-02
  5.68320882e-03  1.10895764e-02  1.06573838e-02 -1.61074865e-02
  1.21904935e-03  1.31123891e-02 -2.53358810e-02  4.62048679e-03
 -4.67088215e-03  8.46562839e-03 -8.42102030e-03  3.21828991e-03
 -1.74161866e-02 -1.03688175e-02 -1.31347140e-02 -5.29560809e-03
 -1.49263792e-02 -3.29486288e-03  8.49507878e-03  9.25447700e-03
  1.59140757e-03  4.50965965e-03 -2.11690617e-03 -1.82171478e-02
  5.78827780e-04 -2.08726229e-02  1.00924166e-03 -6.36172227e-03
  1.54941803e-02  5.97026602e-03  5.58661870e-03 -1.15283916e-02
  6.48754660e-03  1.01291759e-02  8.08862932e-03  1.46988327e-02
 -4.83480005e-03  4.31675165e-03 -1.14847585e-02  1.84422856e-02
 -1.35197455e-03 -2.39013504e-02 -4.29249271e-03 -1.43448973e-03
  4.85974231e+02             nan  6.02733269e+02             nan
  5.17674615e+02             nan  4.88040385e+02             nan
  4.38375962e+01             nan  3.30426827e+02             nan
  1.06457740e+03  4.28062212e+02  8.13913462e+00  6.99326923e-01
  2.79903846e+00  2.20192308e-02  6.74038462e-01  1.78846154e-02
  3.05769231e-01  1.49038462e-02  3.34615385e-01  4.03846154e-03
  6.97115385e-01  7.98076923e-03  4.51923077e-02  2.18269231e-02
  3.94230769e-02  3.07692308e-03  3.35576923e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 9.23313483e-03 -2.22270136e-03  2.03620526e-02 -1.29146390e-03
 -9.51563080e-04 -1.72731564e-02  1.13699354e-02 -7.48436038e-04
 -1.74839052e-02 -2.99098629e-03  1.74525769e-02 -1.82308974e-02
 -9.02897840e-03 -8.22583862e-03  5.58150307e-03  3.61103255e-03
  5.75261029e-03  4.75184748e-03 -3.96363926e-03  1.94078151e-02
  1.17791562e-02  1.09865337e-02  1.56978274e-02 -1.07115410e-02
 -1.24293391e-02  6.37449446e-03 -1.83727949e-02  5.24553782e-03
 -3.51017930e-03  7.22431951e-03  4.72005621e-03  1.36700575e-02
 -2.30278629e-02 -9.01008290e-03 -1.26769971e-02 -3.60927131e-03
  3.10248727e-03 -2.92689126e-03  1.73346925e-02  7.14240477e-03
  6.33999655e-03 -3.00786599e-03 -4.34565229e-03 -1.51759153e-02
  1.82932601e-03 -8.13941232e-03  1.20859930e-02 -1.09798117e-02
  3.76481917e-03  1.55623154e-02  6.94605450e-05  4.42376453e-03
  2.60882925e-03  1.97586263e-02 -1.08892129e-03  6.49203199e-03
  8.63325389e-03  3.19739195e-03 -1.22470510e-02  6.85495102e-03
  1.00774584e-02 -2.24119336e-02  1.22841555e-02  6.68174688e-03
  4.79500000e+02             nan  6.00658750e+02             nan
  5.19694327e+02             nan  4.87766250e+02             nan
  4.35014423e+01             nan  3.32600096e+02             nan
  1.08200779e+03  3.60025769e+02  8.19048077e+00  8.48173077e-01
  2.68163462e+00  1.12692308e-01  6.82692308e-01  2.36538462e-02
  3.02884615e-01  1.51923077e-02  3.42307692e-01  7.50000000e-03
  6.85673077e-01  8.94230769e-03  3.65384615e-02  2.22115385e-02
  4.03846154e-02  4.03846154e-03  3.18038462e+00  1.36923077e-01
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 2.31184352e-05 -1.10072884e-02  1.73211545e-02 -1.29235402e-03
 -1.75479498e-02 -2.19783983e-02 -1.03229886e-02  9.75802258e-03
 -1.19166228e-02  1.27451736e-03  2.82114711e-02 -1.19247400e-02
  5.11739060e-03 -8.14119032e-03  9.15792713e-03  1.73904149e-02
  1.61630402e-03  1.10949121e-02 -4.59140085e-03  2.12999844e-02
  2.11928925e-02  5.44966257e-03  5.85460100e-03 -7.44634371e-03
  8.71225944e-03  1.35186000e-02 -2.67679421e-02 -1.50453244e-03
  9.15209158e-03  1.14954994e-02 -1.10318383e-02  1.19317446e-02
 -7.06094141e-03 -1.52699401e-02  3.26253474e-04  1.16744044e-02
  5.01538627e-03  1.20521590e-02  2.82941234e-02 -8.91546196e-03
  5.10813140e-03  5.42921170e-03 -9.80371398e-03 -1.56195397e-02
  8.21676060e-03 -1.55174132e-02  5.49415968e-03 -1.52789362e-02
  4.97830759e-03  1.79634831e-02  1.48554011e-02 -1.95260173e-03
  3.34646528e-03  1.12755514e-02  1.58350760e-02 -6.22507629e-03
 -6.25788449e-04 -4.75524076e-03 -7.26994672e-03  1.15869695e-02
  1.14881213e-02 -2.38360859e-02  1.34441858e-04 -9.46564027e-03
  4.82789135e+02  2.80119231e+01  6.09317692e+02  3.93500000e+00
  5.25203462e+02  4.94057692e+00  4.98690000e+02  5.32586538e+00
  4.34026923e+01  2.44721154e+00  3.37924327e+02  1.95317308e+00
  9.65227019e+02  3.91784038e+02  8.57855769e+00  9.44134615e-01
  2.57759615e+00  4.75000000e-02  7.06730769e-01  3.00961538e-02
  3.00000000e-01  1.49038462e-02  3.44230769e-01  4.03846154e-03
  6.86538462e-01  8.07692308e-03  3.17307692e-02  2.21153846e-02
  4.03846154e-02  4.03846154e-03  2.60413462e+00  1.77019231e-01
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.06918416e-02 -3.14293454e-03  1.18994669e-02  1.40335665e-03
 -1.27767231e-02 -2.69417098e-02  8.03894891e-03 -3.64946733e-03
  2.48747025e-03 -2.20978997e-02  2.25172953e-02 -2.06760723e-02
  1.34619769e-03 -8.10924112e-03 -7.92301274e-03  1.23382820e-02
  1.17214325e-02 -1.76185171e-03 -1.71032444e-03  1.92806858e-02
  1.20706163e-02  1.06504469e-02  8.60258278e-03 -5.87505099e-03
 -7.24494801e-03  9.52924573e-03 -2.49806222e-02 -1.00091944e-02
  7.83299232e-03  9.36276781e-04 -1.26707502e-02  1.00678967e-02
 -1.68486252e-02 -1.10448204e-02  3.83078490e-03  4.90485429e-03
 -1.18041653e-04 -6.81103106e-03  1.00361718e-02  4.00223044e-03
  6.55172206e-03 -4.55969551e-04 -2.35627978e-04 -4.86853737e-03
  1.33470804e-02 -2.69815460e-02 -5.80388528e-03 -7.90452104e-03
  2.22013710e-02  1.41297352e-02 -3.64790993e-03 -6.42331625e-03
  2.57205032e-03  1.72793025e-02  9.53061929e-03  1.36432731e-02
  4.67263904e-03 -1.29171559e-02 -5.20274260e-03  1.11451006e-02
  2.95442450e-03 -1.33740152e-02  6.15705363e-03 -5.62172486e-03
  4.70804519e+02             nan  6.01273173e+02             nan
  5.25924038e+02             nan  5.06087115e+02             nan
  4.35597115e+01             nan  3.41575000e+02             nan
  1.07090250e+03  4.28403269e+02  8.88105769e+00  7.13461538e-01
  2.75913462e+00  7.25000000e-02  7.06250000e-01  2.78846154e-02
  3.05769231e-01  1.49038462e-02  3.44230769e-01  4.03846154e-03
  6.68269231e-01  2.46153846e-02  3.55769231e-02  2.18269231e-02
  3.94230769e-02  3.07692308e-03  2.27596154e+00  8.36538462e-03
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.12219828e-02 -1.20354746e-02  2.29746221e-02  3.58880333e-03
 -1.21420136e-02 -1.70699821e-02  4.86990172e-03  4.30894051e-03
 -8.65673919e-03 -5.19088946e-03  1.23269938e-02 -1.37470792e-02
  4.76040182e-03 -1.26529182e-03  2.35429291e-03  1.12222467e-02
 -3.56686466e-03  1.84092463e-03 -9.98767670e-03  1.49168405e-02
  1.78501346e-02  1.44429864e-02  1.57894721e-02 -1.50262995e-02
  4.81722845e-03  1.93738813e-02 -1.56758408e-02  3.18863752e-04
  7.42711904e-03 -8.47296247e-03 -5.42508225e-03  9.02974244e-03
 -1.16000396e-02 -1.29808218e-02 -4.14023921e-03 -6.83704878e-03
  9.66547200e-04  7.72313781e-03  1.77569079e-02  6.85902456e-04
  7.22526598e-03 -9.16892186e-03 -2.61883542e-03 -1.34464260e-02
  3.45760294e-04 -7.37295268e-03  4.96816843e-03 -1.19123706e-02
  1.16864057e-02  1.84319376e-02  1.09642773e-03 -1.22293794e-04
 -6.10508562e-04  2.21032633e-02  4.07575365e-03  1.63570761e-02
 -1.30534432e-03 -1.28517771e-02 -1.07238709e-02  7.87336723e-03
  8.78267544e-03 -1.56167319e-02  6.16578457e-03  1.49112088e-03
  4.67906635e+02             nan  6.00452212e+02             nan
  5.25662115e+02             nan  5.08373173e+02             nan
  4.27363462e+01             nan  3.42854519e+02             nan
  1.08884240e+03  3.59781923e+02  8.61682692e+00  5.88461538e-01
  2.80403846e+00  2.52884615e-02  7.03846154e-01  2.50000000e-02
  3.02884615e-01  1.51923077e-02  3.45192308e-01  3.07692308e-03
  6.56730769e-01  7.98076923e-03  3.65384615e-02  2.22115385e-02
  4.03846154e-02  4.03846154e-03  2.25730769e+00  4.13461538e-03
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.03112734e-02 -7.42685942e-03  1.33686788e-02  4.16309652e-03
 -1.37120374e-02 -1.00788720e-02  3.75966754e-03 -4.77820058e-03
 -8.72828253e-03 -1.12052799e-02  1.96991718e-02 -2.21693391e-02
 -7.23476765e-03 -1.98701624e-02 -1.11565429e-03  6.23010346e-03
  8.91423555e-03  9.68706651e-04 -2.07536677e-02  2.35795793e-02
  5.83301678e-03  2.35781685e-02 -6.99080384e-04 -8.95945516e-03
 -5.09713236e-03  2.84900339e-03 -2.49198874e-02 -2.83362362e-03
  1.58227756e-03  9.83122636e-03 -7.23428673e-03  1.06045022e-02
 -1.62015312e-02 -2.78761577e-02 -5.76253167e-03 -1.02654772e-02
 -5.21249410e-03 -1.07297436e-02  2.52054922e-02  1.01574883e-02
  2.47159690e-03 -1.60066176e-02  1.49678475e-04 -1.45791872e-02
  6.76234969e-04 -9.82426501e-03 -2.83948128e-03 -8.96965881e-03
  1.34324222e-02  9.12841621e-03  1.16052194e-02  2.49092231e-03
 -4.00059462e-03  1.08972455e-02  2.86215060e-03  3.90502862e-03
  1.28782947e-03 -1.15495723e-02 -5.05569488e-03  2.23317148e-02
  1.95249666e-03 -2.23002621e-02  8.37909720e-03  1.24274207e-03
  4.67895577e+02  2.53988462e+01  6.02059231e+02  1.42240385e+00
  5.25940673e+02  2.70942308e+00  5.09424808e+02  1.88375000e+00
  4.28748077e+01  2.58538462e+00  3.43504904e+02  4.43750000e-01
  9.70441538e+02  3.89985192e+02  8.44875000e+00  7.50576923e-01
  2.80432692e+00  2.99038462e-02  7.04807692e-01  3.01923077e-02
  3.00000000e-01  1.49038462e-02  3.44230769e-01  4.03846154e-03
  6.57692308e-01  8.07692308e-03  3.17307692e-02  2.21153846e-02
  4.03846154e-02  4.03846154e-03  2.25000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.37285548e-02 -1.10725194e-02  1.23493524e-02  6.73833124e-03
 -1.17717934e-02 -1.61856645e-02  1.41552865e-02  2.29253867e-03
 -1.06832976e-02 -8.39680885e-03  1.57216485e-02 -2.03232371e-02
 -3.16366200e-03 -8.52150316e-03  3.82150873e-03  1.49720668e-02
  4.97924479e-03 -2.39259347e-03 -6.13122261e-03  1.83371070e-02
  2.23091587e-02  2.28522241e-02  1.22101029e-02 -1.12027423e-02
 -1.32245680e-03  1.16503031e-02 -1.73144748e-02 -3.93661680e-03
  5.80107510e-03 -3.93730266e-04 -5.73800442e-03  3.29530132e-03
 -1.68890570e-02 -1.36539827e-02 -2.18315068e-03 -4.55444243e-03
  2.30008407e-03 -5.47243644e-03  1.85775476e-02  4.91909031e-03
  2.17307187e-03 -1.94478392e-03 -4.21835330e-03 -1.78040741e-02
 -7.96441314e-03 -5.96937251e-03 -5.41961815e-03 -5.18522365e-03
  7.14234231e-03  2.23018994e-02  8.31119369e-03  3.13154115e-03
  3.65017939e-03  1.09359540e-02  5.50991134e-03  9.27057415e-03
 -2.25728256e-03 -2.59354856e-03 -5.53464829e-03  1.05817995e-02
  6.77184803e-03 -2.39773830e-02  9.07875160e-03 -7.03120353e-03
  4.62945577e+02             nan  6.02925865e+02             nan
  5.26804327e+02             nan  5.10689712e+02             nan
  4.39203846e+01             nan  3.44182981e+02             nan
  1.07197173e+03  4.28285385e+02  8.67375000e+00  8.55000000e-01
  2.80125000e+00  2.13461538e-02  7.12019231e-01  2.00000000e-02
  3.05769231e-01  1.49038462e-02  3.44230769e-01  4.03846154e-03
  6.59134615e-01  7.11538462e-03  3.55769231e-02  2.18269231e-02
  3.94230769e-02  3.07692308e-03  2.24721154e+00  4.42307692e-03
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 4.61200130e-03 -8.43894707e-03  1.95473540e-02  3.87235741e-03
 -2.98040172e-03 -1.14505532e-02 -1.86950198e-03  5.80462886e-03
 -1.43475490e-02  5.38801975e-03  2.42916069e-02 -1.72850186e-02
  2.20653014e-03 -1.18771891e-02 -7.04272528e-03  3.95980682e-03
 -4.92777611e-03  4.48626849e-03 -1.05813041e-03  2.01924372e-02
  1.66811604e-02  1.70343297e-02  9.37119062e-03 -7.19199721e-03
 -9.23719089e-03  9.82084756e-03 -2.32803375e-02 -6.07347976e-03
 -1.05508554e-02  3.30448207e-03 -6.29984303e-03  1.09870519e-02
 -1.81090902e-02 -9.33025278e-03  1.38375351e-03 -1.65868460e-03
  8.82016660e-03  3.70814761e-03  9.24661150e-03 -1.90059558e-03
  8.99179871e-03  1.44241411e-03 -8.96886919e-03 -1.58628585e-02
 -3.67005925e-03 -6.56484728e-03  4.48228641e-03 -5.74843299e-03
  1.13676263e-02  1.10862688e-02  7.76115611e-03  6.15466146e-03
  3.43302845e-03  2.07901395e-02  5.65526030e-03  7.90009526e-03
  5.24899715e-03 -7.55274341e-03 -6.81859051e-03  2.04231915e-02
  8.26090524e-03 -2.04483741e-02  1.40189586e-02  4.08297761e-03
  4.64575962e+02             nan  6.03686827e+02             nan
  5.26959519e+02             nan  5.11746154e+02             nan
  4.38109615e+01             nan  3.44512019e+02             nan
  1.08917067e+03  3.59819327e+02  8.77134615e+00  8.00769231e-01
  2.80461538e+00  2.39423077e-02  7.07692308e-01  1.63461538e-02
  3.02884615e-01  1.51923077e-02  3.45192308e-01  3.07692308e-03
  6.57211538e-01  7.11538462e-03  3.65384615e-02  2.22115385e-02
  4.03846154e-02  4.03846154e-03  2.24038462e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.01838547e-02 -8.15952992e-03  1.15967372e-02 -2.42918214e-03
 -5.18301679e-03 -2.10204753e-02 -5.52307098e-04  9.74322562e-03
 -1.55328298e-02  7.11716113e-03  2.18247405e-02 -2.56333025e-02
  4.09868440e-03 -5.34377824e-03 -1.08778455e-03  8.99904292e-03
  6.61841433e-03  8.68290388e-03 -1.67042145e-02  2.60704105e-02
  1.30146913e-02  1.24127464e-02 -3.68862144e-04 -1.77559050e-02
 -1.64019170e-02  3.92986010e-03 -2.43157184e-02  1.21072304e-03
 -1.49329995e-02  5.49031572e-03  1.84450838e-03  5.33263686e-03
 -1.03918462e-02 -1.24594836e-02 -4.55276414e-03  6.41958684e-03
 -4.17779515e-03 -1.06118364e-02  2.55014222e-02 -1.35741475e-02
 -1.05599082e-02  1.20705826e-03 -1.05126622e-02 -3.34071225e-03
 -6.88566274e-03 -8.69001738e-03 -1.98138723e-03 -1.32516133e-02
  9.56377636e-03  1.90266357e-02  4.91331987e-03  2.25600032e-03
  2.88105899e-03  1.74227674e-02  5.88434490e-03  3.37884016e-03
 -4.93438134e-03 -6.03444054e-03 -1.21803606e-02  2.10259045e-02
  1.50635771e-02 -2.38971454e-02 -2.71580233e-03  1.32954840e-02
  4.66376827e+02  2.70032692e+01  6.04312115e+02  1.18673077e+00
  5.27230385e+02  2.66480769e+00  5.12571923e+02  2.00875000e+00
  4.36169231e+01  1.55701923e+00  3.44776731e+02  3.00288462e-01
  9.70160192e+02  3.89803462e+02  8.86480769e+00  6.22115385e-01
  2.79067308e+00  4.61538462e-02  7.23076923e-01  1.49038462e-02
  3.00000000e-01  1.49038462e-02  3.44230769e-01  4.03846154e-03
  6.58653846e-01  5.09615385e-03  3.17307692e-02  2.21153846e-02
  4.03846154e-02  4.03846154e-03  2.24038462e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
