Embedding,Label
"[ 1.60874150e-03 -1.20350009e-02  6.47059576e-03  8.81421027e-03
 -6.15719138e-03 -1.00318257e-02  5.17019530e-03  5.01409132e-03
 -1.51394904e-02  1.02784828e-02  2.00390377e-02 -1.59811107e-02
  8.07565252e-03 -6.36023773e-03 -8.36544314e-03  2.46526507e-03
 -1.60697462e-03  6.19665619e-03 -1.40178365e-02  1.48138436e-02
  2.07578087e-02  1.47659491e-02  1.56398180e-02 -1.50509239e-02
 -5.38998202e-03  1.70097842e-02 -2.55908634e-02  8.70735924e-03
 -9.62012439e-03 -4.54956279e-03 -3.30821536e-03  5.49283968e-03
 -6.99808691e-03 -1.49373599e-02 -1.06155341e-02 -9.57195135e-03
  3.82665201e-03 -6.21823700e-03  2.65057260e-02 -4.26184067e-03
  3.29742616e-04 -3.24315160e-03 -8.57601847e-03 -1.17170596e-02
  1.60851917e-03  1.02761015e-03  6.95626855e-03 -5.97155687e-03
  8.95766130e-03  2.67219285e-02  8.36483190e-03  1.42661425e-03
  4.54299017e-03  1.22057656e-02 -2.00960033e-03  1.22745943e-02
  3.13265224e-03 -1.23718956e-02 -7.52917779e-04  1.38711135e-02
  8.54972956e-03 -2.45516885e-02 -4.53963842e-03  1.43567451e-03
  4.44183905e+02  2.75629524e+01  6.16496286e+02  2.61076190e+00
  5.00578381e+02  7.47428571e-01  4.84759238e+02  1.24428571e+00
  1.06863619e+02  9.87238095e-01  3.29279048e+02  2.38095238e-01
  1.23711419e+03  7.29022095e+02  7.50409524e+00  8.37047619e-01
  2.77352381e+00  2.12380952e-02  2.76666667e-01  1.40000000e-02
  4.63333333e-01  1.45714286e-02  9.84571429e+00  3.90476190e-03
  5.38571429e-01  4.85714286e-03  6.42857143e-02  2.12380952e-02
  2.04761905e-02  3.52380952e-03  3.31428571e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 3.09602625e-03 -1.00413922e-02  1.99379280e-02 -2.10674569e-04
 -1.48294492e-02 -2.30373323e-02  4.19168848e-03 -9.51723199e-03
 -5.25705726e-03  8.05826727e-03  2.41015122e-02 -1.15340344e-02
  2.28559369e-03 -1.42165270e-02  6.63058814e-04  7.88592751e-03
  1.08543791e-03  9.43705070e-03 -1.94570071e-03  2.81050764e-02
  2.20991831e-02  4.61781427e-03  1.55394592e-02 -1.81895909e-02
  5.71475024e-05  1.12452325e-02 -2.65303435e-02  8.55361505e-04
  9.85352982e-03 -5.76696147e-03  1.02378473e-02  1.32239403e-02
 -7.19834307e-03 -1.24785665e-02  7.20076836e-04  3.92307767e-03
  6.22549984e-03 -3.89593070e-03  1.28408009e-02 -2.47100565e-03
  5.81420585e-03  1.39352261e-03  4.83483506e-03 -1.98320485e-02
 -2.15938172e-04 -1.54298420e-02  7.95919359e-03 -1.29354279e-02
  4.82822818e-03  9.03020450e-03  1.56790071e-02 -1.07743374e-02
  6.66331395e-03  1.88214188e-02 -8.24407732e-03  1.42117353e-02
  1.18723081e-02 -1.17825477e-02 -1.97434735e-02  1.01362138e-02
  3.28053356e-03 -2.11335955e-02 -5.02569884e-03  4.46712992e-04
  4.55543654e+02  3.96462500e+01  6.28762308e+02  1.70639423e+01
  5.05956154e+02  2.55701923e+00  4.88173462e+02  6.26913462e+00
  1.07687981e+02  1.42144231e+00  3.33332212e+02  1.31634615e+00
  1.17859038e+03  7.75379423e+02  7.61105769e+00  6.67980769e-01
  2.80153846e+00  2.33653846e-02  2.85576923e-01  2.32692308e-02
  4.64903846e-01  1.47115385e-02  9.94182692e+00  6.44230769e-03
  5.39230769e-01  9.61538462e-03  5.91346154e-02  2.70192308e-02
  2.11538462e-02  3.94230769e-03  3.28653846e+00  8.81730769e-02
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 6.01470309e-03 -6.71265070e-03  1.29554453e-02  1.09766188e-03
 -1.48877002e-02 -1.38210735e-02  8.73711261e-03 -1.56357250e-03
 -9.31483265e-03 -8.30020585e-04  2.18724868e-02 -1.18406090e-02
  1.98993875e-03 -1.10700303e-02  4.49745665e-03  7.10567558e-03
 -3.11539972e-03  7.57082142e-04 -5.01954517e-03  1.86269362e-02
  7.68844116e-03  1.40504713e-02  9.22159552e-03 -1.01494754e-02
 -1.66927380e-03  5.73838980e-03 -2.27386803e-02 -6.16765968e-03
 -4.45968052e-03  6.23892277e-03  2.62129854e-03  3.14226224e-03
 -1.67038387e-02 -1.20282857e-02 -1.12011160e-02  2.33856553e-03
 -1.74140434e-03  6.06224290e-04  2.54518548e-02  1.15171162e-02
 -2.28843772e-03  1.60092438e-03  8.40415152e-03 -2.02519978e-02
 -3.15384234e-03 -4.26338547e-03  9.35108908e-03 -9.89401351e-03
  9.26392778e-03  1.76192222e-02  8.94057202e-03 -6.85352492e-03
 -3.70341740e-03  1.65595184e-02  2.42141323e-03  1.08253282e-02
  8.77102479e-04 -6.29974664e-03 -1.13628767e-02  2.42629228e-02
  1.21272136e-02 -2.97180950e-02  2.08915125e-03  6.66979091e-04
  4.65578269e+02  2.87468269e+01  6.46714038e+02  5.76682692e+00
  5.12866058e+02  4.65394231e+00  4.96108365e+02  5.37038462e+00
  1.07502981e+02  2.33250000e+00  3.39651923e+02  2.37403846e+00
  1.33368365e+03  8.05856058e+02  7.85884615e+00  9.30000000e-01
  2.80201923e+00  2.51923077e-02  3.06730769e-01  1.35576923e-02
  4.66346154e-01  1.48076923e-02  9.95048077e+00  3.55769231e-03
  5.27403846e-01  1.77884615e-02  5.28846154e-02  2.14423077e-02
  2.06730769e-02  3.55769231e-03  2.57740385e+00  2.19711538e-01
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.16870351e-02 -7.18664310e-03  3.03779184e-02  1.94941719e-03
  8.88499644e-03 -2.00473371e-02  1.33756801e-02  1.07558220e-02
 -3.42862861e-03  9.91024919e-04  1.82244334e-02 -1.55253948e-02
  8.48132695e-03 -9.01961305e-03 -2.84470346e-03  5.57008124e-03
  7.60589066e-03  2.46213294e-03 -3.35917693e-03  2.18449300e-02
  1.81983994e-02  2.20957998e-02  1.92717417e-02 -1.49324707e-02
 -4.46953682e-03  1.33101236e-02 -2.63907522e-02  7.08139842e-03
 -1.01685334e-03  6.14910515e-03 -1.22495771e-02  8.00632945e-03
 -1.52385799e-02 -1.04098508e-02 -6.42818420e-03 -6.29504552e-03
  4.62667097e-03  4.95207743e-03  1.68602096e-02  4.45162949e-03
 -1.44498351e-04 -6.37228196e-03  1.97428726e-03 -7.12983980e-03
  3.81553138e-03 -1.20615068e-02  2.60452128e-03 -1.63269546e-02
  4.56693532e-03  2.14197057e-02  1.11010703e-02  3.17358161e-04
 -1.63207293e-03  1.19887747e-02 -2.22355072e-03  1.32992661e-02
  6.87452938e-04 -1.09916885e-02 -1.27270993e-02  5.73079528e-03
  6.66169430e-03 -1.91072396e-02 -6.33739723e-03  6.63242213e-04
  4.71383365e+02  2.69497115e+01  6.54145096e+02  4.07971154e+00
  5.16563077e+02  2.92048077e+00  5.04328750e+02  3.64759615e+00
  1.07621827e+02  2.21038462e+00  3.43138269e+02  1.23028846e+00
  1.24826452e+03  7.36137500e+02  8.08355769e+00  6.76442308e-01
  2.79615385e+00  2.98076923e-02  3.08173077e-01  1.41346154e-02
  4.67788462e-01  1.47115385e-02  9.95000000e+00  3.94230769e-03
  5.05288462e-01  4.90384615e-03  5.52884615e-02  2.14423077e-02
  2.06730769e-02  3.55769231e-03  2.26615385e+00  9.13461538e-03
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.14329797e-02 -8.66110010e-03  6.99818159e-03  2.07652334e-04
 -4.21797178e-03 -1.84731650e-02  1.07556604e-02 -6.59292756e-03
 -1.10324827e-02  1.93155385e-03 -2.23496762e-03 -2.05927149e-02
 -2.23743800e-03 -2.11227542e-02 -1.11263094e-03  2.19195761e-02
 -4.49987290e-03  2.66489662e-03 -5.57117719e-03  2.30794665e-02
  2.84060234e-02  1.67652424e-02  1.70746483e-02 -5.00062932e-03
 -1.73114376e-03  1.02698738e-02 -2.68500073e-02  3.88025252e-03
 -1.06445447e-03  5.48782017e-03 -8.03612853e-03 -6.08554074e-03
 -3.12958323e-03 -7.97073518e-03 -3.16729090e-03  2.56325150e-03
  1.04509311e-02 -4.99082939e-03  1.91779862e-02  1.86674490e-03
 -3.71270509e-03 -3.95152091e-03 -2.32985813e-03 -8.11644070e-03
 -6.48810703e-03 -3.99775955e-03  6.02269244e-03 -9.29593748e-03
 -5.06184687e-03  9.60645739e-03  1.00547373e-02  2.43741888e-03
  4.95733650e-03  1.39009783e-02  4.19314686e-03  1.67394494e-02
 -4.25344627e-03 -1.14090615e-02 -1.30607517e-02  1.27457297e-02
  1.74710733e-03 -2.67503931e-02  6.24924119e-04  3.96283852e-03
  4.68842788e+02  2.67986538e+01  6.59101250e+02  3.47134615e+00
  5.18942692e+02  2.83355769e+00  5.07290865e+02  3.49298077e+00
  1.07409712e+02  2.42913462e+00  3.45256923e+02  1.00365385e+00
  1.17813240e+03  7.75455769e+02  7.75990385e+00  7.71634615e-01
  2.79855769e+00  1.88461538e-02  3.08173077e-01  1.41346154e-02
  4.64903846e-01  1.47115385e-02  9.95048077e+00  3.55769231e-03
  5.04807692e-01  4.90384615e-03  5.33653846e-02  2.17307692e-02
  2.11538462e-02  3.94230769e-03  2.24115385e+00  6.53846154e-03
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.28869851e-02 -1.17831089e-02  1.18146377e-02  5.84724970e-03
 -3.00710845e-03 -1.66967136e-02  9.94200335e-03 -5.05233742e-03
 -1.63280069e-02  4.30355479e-03  2.01284835e-02 -1.49634352e-02
 -7.47857365e-03 -1.53586077e-02 -2.74507795e-04  9.84570302e-03
  6.26821861e-03  5.24672809e-03 -8.52524930e-04  2.24536227e-02
  2.60933557e-02  2.31033625e-02  6.57133092e-03 -1.10133775e-02
 -6.09767919e-03  1.41757776e-02 -2.67598384e-02  8.61155326e-03
  7.55457852e-04  7.35516839e-04 -2.04813788e-03  6.36300997e-03
 -9.14158837e-04 -8.68469138e-03 -5.71038722e-03 -9.32153350e-03
  7.26845151e-03 -9.08438654e-03  1.88921207e-02  9.70331085e-03
  5.04986509e-03  5.93170009e-04 -5.83524094e-03 -9.50098654e-03
 -6.77879748e-03 -1.14811360e-02  6.26186736e-03 -4.26491388e-03
  6.11822801e-03  1.21167866e-02  1.99397881e-02  2.13853528e-03
  6.06435099e-03  7.17548578e-03  2.49236930e-03  1.36191371e-02
  2.68847642e-03 -1.34379273e-02 -8.53119950e-03  1.09396909e-02
  1.11058841e-02 -2.51777500e-02  2.97230790e-03  3.93712047e-03
  4.71774904e+02  3.29854808e+01  6.58049904e+02  5.49028846e+00
  5.17288942e+02  3.72942308e+00  5.04414519e+02  5.23894231e+00
  1.07720962e+02  2.33778846e+00  3.43707115e+02  1.69721154e+00
  1.33348221e+03  8.05679904e+02  8.09855769e+00  7.41442308e-01
  2.79971154e+00  2.35576923e-02  2.94711538e-01  2.29807692e-02
  4.66346154e-01  1.48076923e-02  9.94105769e+00  4.71153846e-03
  5.12403846e-01  8.46153846e-03  6.05769231e-02  2.57692308e-02
  2.06730769e-02  3.55769231e-03  2.24721154e+00  1.37500000e-02
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[-6.08944137e-04 -3.94426518e-03  1.78824707e-02 -2.76732282e-03
 -1.71563422e-02 -2.42624147e-02  1.29903612e-02 -6.29618262e-04
 -5.18648294e-03 -4.59640554e-03  1.95890567e-02 -7.12886959e-03
  1.06957597e-02 -2.11783789e-02 -8.21521696e-03 -5.28895578e-04
 -1.31530508e-05  5.60224045e-03 -1.42857208e-02  2.44278133e-02
  1.08091295e-02  1.22052589e-02  1.49778298e-02 -1.28394127e-02
 -5.66267244e-03  1.07299650e-02 -3.13607277e-02  7.56143552e-03
  3.99322637e-03  1.06474536e-02 -2.39577288e-03  7.39208437e-03
 -1.89659520e-02 -1.91739347e-03 -4.10655495e-06 -1.47824123e-02
 -2.41540716e-03 -1.35592952e-03  2.06743036e-02  9.69578519e-03
 -1.28033395e-03 -9.42559626e-04  1.08431429e-03 -1.24036967e-02
 -7.98972816e-04 -9.62185587e-03  7.24315590e-03 -6.30917979e-03
  9.86285542e-03  1.69950881e-02  6.02170950e-03  5.58388495e-03
 -2.16204738e-04  1.90762796e-02  1.64591422e-03  1.23273103e-02
 -3.41223420e-03 -1.02525456e-02 -4.28598962e-03  1.45888445e-02
  2.70552998e-03 -3.11384377e-02  3.95895225e-03  1.29789035e-03
  4.59673942e+02  4.68934615e+01  6.39638269e+02  1.83171154e+01
  5.08536154e+02  4.86951923e+00  4.91231635e+02  8.66769231e+00
  1.08570288e+02  2.01182692e+00  3.35016635e+02  3.13240385e+00
  1.24977981e+03  7.36265288e+02  7.55615385e+00  8.70192308e-01
  2.80000000e+00  2.29807692e-02  2.98557692e-01  1.41346154e-02
  4.72596154e-01  2.02884615e-02  9.94038462e+00  3.94230769e-03
  5.26442308e-01  2.06730769e-02  6.49038462e-02  2.14423077e-02
  2.06730769e-02  3.55769231e-03  3.00288462e+00  3.97211538e-01
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.14189144e-02 -2.04435523e-03  1.26230789e-02  6.17606175e-03
  3.92845770e-04 -1.95847373e-02  6.04334643e-03 -6.93186940e-03
 -1.19558854e-02 -9.21329801e-03  8.81075978e-03 -2.25436083e-02
 -2.40419817e-03 -1.65550291e-02  3.96022630e-03  8.64705990e-03
 -4.02996881e-03 -8.46258420e-03 -4.22541925e-03  1.84297570e-02
  1.02806548e-02  8.72904382e-03  1.54358845e-02 -1.03925344e-02
 -3.52725177e-03  1.71337010e-02 -2.23800503e-02  7.50161920e-04
  1.52253633e-03 -3.62456164e-04 -8.78552119e-03  4.24113266e-03
 -1.17686531e-02 -1.02161754e-02 -4.59163323e-03 -5.46113761e-04
  7.28939970e-06  1.11877882e-02  2.03354935e-02 -2.21451822e-03
 -3.88753859e-03 -5.96958441e-03 -1.89029370e-03 -8.41091431e-03
 -4.01294075e-03 -3.37905970e-03  8.25156754e-03 -1.56832861e-02
  6.15406805e-03  1.79982979e-02 -1.18278582e-03 -1.60067422e-04
  5.56783339e-03  1.49827890e-02  1.07776025e-02  1.61617535e-02
 -9.07829512e-03 -1.68039842e-02 -5.40002229e-03  9.42052990e-03
  6.46244103e-03 -1.79796581e-02  3.58089432e-03  8.42827786e-03
             nan             nan             nan             nan
  5.02707810e+02  1.01942857e+00  4.83995524e+02  1.36619048e+00
  1.08631429e+02  9.87523810e-01  3.29320571e+02  1.97428571e-01
  1.16823429e+03  7.67973619e+02  8.39200000e+00  1.05342857e+00
  2.70857143e+00  5.79047619e-02  2.95714286e-01  1.40000000e-02
  4.70000000e-01  1.45714286e-02  9.84619048e+00  3.52380952e-03
  5.38095238e-01  4.85714286e-03  4.33333333e-02  2.15238095e-02
  3.34285714e-02  1.33333333e-02  2.43952381e+00  3.89809524e-01
  0.00000000e+00  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 5.19759793e-03 -4.86479304e-03  9.60779623e-03  6.18276539e-03
 -1.81489915e-02 -1.78580717e-02  1.22007606e-02 -8.27290284e-03
 -6.99811074e-03 -2.41911896e-03  2.20331166e-02 -1.23375657e-02
 -5.97765499e-03 -2.18753612e-02 -3.87663377e-03  5.04605870e-03
  1.76418358e-03  6.81868479e-04 -1.17543784e-02  1.40721385e-02
  1.17230416e-02  1.83406829e-02  1.61714589e-02 -1.55321775e-02
 -5.03647594e-03  6.39329281e-03 -3.05492545e-02 -1.13908861e-03
  5.41375962e-03  4.73146655e-03 -9.62063358e-03  1.82411711e-02
 -5.65468392e-03 -1.20377216e-02 -3.97009630e-03  5.78266879e-05
  1.40601177e-02  2.26288942e-03  1.10180690e-02 -7.90035466e-03
  5.97976347e-03 -4.14966448e-03 -1.00866810e-03 -1.91716394e-02
 -3.56873355e-03 -5.68186894e-03 -5.65444951e-03 -1.74784605e-02
  1.44177031e-02  1.64834998e-02  1.42014180e-02  1.07681269e-03
  4.41091589e-03  1.08053789e-02  9.44979358e-03  1.22609237e-02
  1.88656874e-03 -8.96065698e-03 -9.06169230e-03  1.26560494e-02
  5.19951933e-03 -3.31020307e-02  5.72081618e-03 -1.66033432e-03
             nan             nan             nan             nan
  5.03458857e+02  5.04457143e+00  4.83692571e+02  6.66161905e+00
  1.06954381e+02  2.73771429e+00  3.31822286e+02  2.41647619e+00
  1.32243790e+03  7.98016476e+02  8.48066667e+00  8.15619048e-01
  2.76780952e+00  4.15238095e-02  3.06666667e-01  2.26666667e-02
  4.71428571e-01  1.46666667e-02  9.85066667e+00  8.28571429e-03
  5.30285714e-01  8.85714286e-03  3.52380952e-02  2.55238095e-02
  3.95238095e-02  3.52380952e-03  3.08628571e+00  2.16761905e-01
  0.00000000e+00  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.06648803e-02 -2.05533228e-03  2.17110972e-02 -1.06702684e-02
 -2.16563898e-03 -2.14983254e-02  1.88533281e-03  5.30082300e-03
 -6.82166312e-03  2.69383714e-03  1.86929653e-02 -1.01037522e-02
 -7.05424553e-03 -2.03806853e-02 -4.07389256e-03  9.86284361e-03
  1.01266624e-02 -5.31943293e-03 -4.38405120e-03  1.57689343e-02
  1.22167949e-02  4.81239464e-03  1.68668559e-02 -1.26034337e-02
 -5.35798453e-03  2.65785846e-02 -2.35636316e-02 -2.64424763e-03
 -7.23472187e-04  1.18310199e-03 -7.95056261e-03  5.52415536e-03
 -1.50720528e-02 -1.24748068e-02  3.10315933e-03 -1.18455755e-02
  7.27152525e-03 -3.96950114e-03  6.15601883e-03 -3.75877321e-03
  4.55252049e-03  7.52480561e-03 -9.55798606e-03 -2.16537923e-03
  9.64819264e-03 -5.39022888e-03  2.25238617e-03 -1.02249220e-02
  4.60686764e-03  1.09323617e-02  7.95704739e-03 -5.46839389e-03
  1.02666857e-02  2.32611462e-02  5.89096917e-03  1.78447136e-02
  6.24449401e-03 -1.03545143e-02 -4.91296831e-03  7.86681348e-03
 -8.54500820e-03 -2.01851492e-02 -3.49772374e-03  9.29996798e-03
  4.48737885e+02  2.91675962e+01  6.30139615e+02  4.63192308e+00
  5.11393750e+02  3.94778846e+00  4.98120192e+02  4.40769231e+00
  1.07157885e+02  2.32951923e+00  3.39925673e+02  1.74394231e+00
  1.25085615e+03  7.36341635e+02  8.86634615e+00  8.34038462e-01
  2.70230769e+00  7.14423077e-02  3.17788462e-01  1.41346154e-02
  4.77403846e-01  1.47115385e-02  9.94798077e+00  7.88461538e-03
  5.16826923e-01  2.06730769e-02  3.60576923e-02  2.14423077e-02
  3.99038462e-02  3.55769231e-03  2.44721154e+00  1.16153846e-01
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
