Embedding,Label
"[ 1.38972086e-02 -4.17798731e-03  2.06370261e-02 -6.36834204e-03
 -4.37201973e-03 -2.51389545e-02  1.31840954e-02  5.20526463e-03
 -1.11900392e-02  1.80529030e-03  1.55471890e-02 -1.73435955e-02
  1.82055476e-03 -1.42390898e-02  4.76514897e-03  9.55931846e-03
  8.21734199e-03  2.56007825e-03 -1.74780946e-02  1.97379546e-02
  2.02295137e-02 -1.74849347e-03  8.37523665e-03 -1.19048352e-02
  2.61793226e-03  1.26723927e-03 -2.28550972e-02  1.78706086e-03
  3.74994129e-03  5.45550297e-03  3.26382154e-03  8.07598721e-03
 -1.14132973e-02 -7.67433927e-03  9.11678090e-03 -8.53488270e-03
  7.15537579e-03  1.28171254e-02  1.64096852e-02  3.27611715e-04
  2.43242826e-03  5.24492991e-03  2.60498832e-03 -5.12077139e-03
 -1.41328988e-02 -1.19000732e-02  1.48550430e-02 -1.00787167e-02
 -2.12199698e-03  9.28030890e-03  1.03106750e-02 -2.32285144e-03
 -1.67953407e-03  2.36078804e-02  5.04409721e-03  4.89051498e-03
  9.09242077e-03 -7.09311495e-03 -1.02019794e-02  1.47986120e-02
 -1.40343402e-04 -1.86462270e-02 -3.91092510e-03 -5.28081045e-03
  4.90458571e+02             nan  2.37919616e+06             nan
  8.67233810e+02  4.19656857e+02  4.85090190e+02  4.91419048e+00
  3.81230476e+01  5.02561905e+00  3.29757714e+02  4.25904762e+00
  1.14401486e+03  6.32445429e+02  5.43495238e+00  3.73590476e+00
  2.01580952e+00  6.46857143e-01  6.47523810e-01  4.20000000e-02
  3.39523810e-01  1.45714286e-02  3.57219048e+00  2.74142857e+00
  6.86000000e-01  2.75238095e-02  3.87619048e-02  2.60952381e-02
  1.09523810e-02  3.52380952e-03  2.27619048e+00  0.00000000e+00
  1.90476190e-02  0.00000000e+00  9.52380952e-03  0.00000000e+00
  5.35238095e-02  8.20952381e-02 -8.38095238e-03  1.42857143e-02
  0.00000000e+00  0.00000000e+00  1.42857143e-02  1.47619048e-02]",0
"[ 1.30993176e-02 -3.02126777e-03  1.17120138e-02  1.07998354e-02
 -1.78885330e-02 -1.72027325e-02  1.30136581e-03 -7.86839481e-03
 -4.51232450e-03 -3.33343945e-03  1.74473401e-02 -1.33749876e-02
  4.47576450e-03 -1.54243701e-02  1.77361743e-03  1.50459330e-02
  1.09865304e-03  5.95850047e-03 -1.29333883e-02  3.34027648e-02
  1.50335882e-02  1.71970663e-02  1.39244262e-02 -5.60200086e-03
  3.26454214e-03  1.17096407e-02 -1.94058821e-02 -4.55052533e-03
  3.67458773e-03  3.56858311e-03 -1.39981301e-03  3.35175975e-03
 -1.38893069e-02 -1.50724873e-02 -7.65150055e-03 -2.36492430e-03
  2.25564797e-03 -1.15929924e-02  2.53304139e-02  8.45927852e-03
  7.62926957e-03  3.18715930e-03  3.61087187e-03 -2.07999453e-02
 -2.47267786e-03 -1.70151315e-02  7.55713916e-03 -8.70968682e-03
  9.04613116e-03  5.61622864e-03  1.96344940e-02 -2.09763117e-03
 -5.96141862e-04  1.66870324e-02 -2.49840894e-03  1.10849263e-02
  1.66587232e-03  3.93404563e-03 -2.05224981e-03  6.42609114e-03
 -4.11637357e-03 -1.47748970e-02  1.79896210e-02  1.82040330e-03
             nan             nan             nan             nan
  5.10377143e+02  3.01828571e+00  4.79402857e+02  3.05828571e+00
  4.19309524e+01  9.53714286e-01  3.26628762e+02  1.94571429e-01
  1.08698190e+03  6.73574857e+02  8.14876190e+00  7.15619048e-01
  2.89980952e+00  5.40952381e-02  6.77809524e-01  1.42857143e-02
  3.36476190e-01  1.45714286e-02  5.81742857e+00  3.61904762e-03
  6.81238095e-01  6.38095238e-03  3.27619048e-02  2.22857143e-02
  1.11428571e-02  3.61904762e-03  2.27619048e+00  0.00000000e+00
  1.90476190e-02  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.74760314e-02 -7.90844843e-03  1.59734050e-02  7.01626717e-03
 -1.28958625e-02 -2.03559244e-02  2.32927581e-03 -6.68982975e-04
 -3.87846215e-03 -3.42131180e-03  2.10492894e-02 -1.97092196e-02
  6.14829408e-03 -8.98736235e-03  6.98959736e-03  2.02612614e-02
 -7.74935929e-03  5.01560105e-03 -1.60545483e-02  3.30443331e-02
  8.65684149e-03  2.66007255e-02  7.98322556e-03 -1.49101109e-02
 -3.45756289e-03  1.22542192e-03 -2.26815423e-02 -1.44780005e-03
 -3.77981433e-03  2.24496242e-03 -6.09972127e-03  8.72495362e-03
 -1.40616205e-02 -2.32110660e-02 -7.64433814e-03 -3.45094082e-03
 -4.53955735e-03  8.48877484e-03  2.28513052e-02 -1.41448908e-04
 -3.23316519e-03 -7.76027340e-03  4.84226576e-03 -2.04290470e-02
 -1.43615122e-03  2.98237616e-03  1.21568461e-02 -1.43451729e-02
  1.34579463e-02  1.43541223e-02  1.04092896e-03  2.75425477e-03
  4.88798446e-03  2.19599958e-02 -1.74137725e-03  8.77585697e-03
 -5.21841283e-03  7.99946809e-04 -7.97437098e-03  1.70638930e-02
 -2.75496779e-03 -1.39419050e-02  5.63903397e-03  1.15389819e-02
  4.77738846e+02  2.63377885e+01  7.91981058e+02  3.10000000e-01
  5.13602981e+02  6.94903846e-01  4.82641442e+02  9.21057692e-01
  4.27926923e+01  9.07211538e-01  3.29655288e+02  1.88942308e-01
  1.19401779e+03  6.71643173e+02  8.62278846e+00  7.49230769e-01
  2.77971154e+00  1.15769231e-01  6.81730769e-01  1.35576923e-02
  3.39903846e-01  1.47115385e-02  5.86586538e+00  7.50000000e-03
  6.87019231e-01  4.90384615e-03  3.41346154e-02  2.17307692e-02
  1.15384615e-02  3.94230769e-03  2.29807692e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 4.84656569e-04 -7.90022242e-04  3.24539536e-02 -2.98895110e-03
 -2.30636036e-04 -1.20894727e-02  8.94168979e-03 -4.09896102e-03
  5.47602773e-04  6.23104396e-03  2.51054713e-02 -1.11256447e-02
 -6.74853479e-03 -1.59931600e-02  9.44137457e-03  1.75702525e-02
  9.20849125e-03 -4.79282059e-04 -7.40222395e-03  2.50042327e-02
  5.04344333e-03  3.94904339e-03 -4.26183802e-03 -1.70203132e-02
 -6.98482654e-03  1.13330396e-02 -2.35437669e-02 -4.76678708e-03
  8.00198852e-03 -3.17922676e-03 -3.23147609e-03  1.23145946e-02
 -2.02472635e-02 -9.99307828e-03  5.65662000e-03  5.76463620e-04
  9.47045664e-03  7.68967926e-03  1.44933464e-02 -8.96542810e-03
  4.73465767e-03  3.63265154e-03  7.74183375e-03 -4.71908080e-03
 -5.08104304e-03 -1.37423760e-02  5.45080687e-03 -6.71374511e-03
  1.17538154e-03  1.94290305e-03  2.04768856e-02 -9.82591417e-03
  1.49022291e-02  9.98137032e-03  1.03057971e-02  1.28946285e-02
  1.03092128e-02  6.63952547e-03 -1.64075194e-02  6.69991382e-03
 -6.83928343e-03 -2.77678130e-02 -9.28545732e-03 -1.24142832e-02
  4.76016635e+02  2.50060577e+01  7.91843077e+02  2.75769231e-01
  5.13579615e+02  6.74038462e-01  4.82343462e+02  8.56923077e-01
  4.24661538e+01  8.61538462e-01  3.29663462e+02  1.64326923e-01
  1.17309115e+03  6.13991635e+02  8.30346154e+00  7.06730769e-01
  2.71721154e+00  7.68269231e-02  6.81730769e-01  1.35576923e-02
  3.42788462e-01  1.47115385e-02  5.85913462e+00  8.46153846e-03
  6.87500000e-01  4.90384615e-03  3.60576923e-02  2.14423077e-02
  1.10576923e-02  3.55769231e-03  2.29807692e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 7.08781685e-03 -6.39164247e-04  1.18389366e-02  8.57592892e-04
 -4.99451422e-03 -2.89484043e-02  3.43344253e-03 -1.01709519e-02
 -1.86754767e-02  1.53672430e-03  1.61952560e-02 -2.60542373e-02
 -1.45122908e-03 -1.92954469e-02  1.33764996e-02  1.36062088e-02
  5.23662727e-03  6.38576207e-03 -1.83593323e-02  2.97209295e-02
  1.30476322e-02  8.93699120e-03  1.06247275e-02 -1.34468178e-02
  3.15154792e-03  1.22129896e-02 -1.85679874e-02  7.52696295e-03
 -1.14538838e-02  2.96151861e-03 -7.88436192e-03  5.82556305e-03
 -1.37555270e-02 -1.22079429e-03 -1.21076694e-02 -4.47312851e-03
 -3.42306788e-03  1.00085673e-03  1.70823997e-02  8.89411268e-03
 -4.91879670e-03  6.56300851e-03 -4.30012713e-04 -3.51820562e-03
 -9.43799016e-03 -1.45733871e-02  1.37790211e-02 -1.98466266e-03
  1.70462883e-02  1.37823993e-02  1.54397378e-02 -4.42420953e-03
  6.93003715e-03  1.13775482e-02 -6.39491829e-03  7.96794110e-03
 -1.32567122e-04 -1.45157558e-02 -2.15354867e-02  1.99137131e-02
  1.33330754e-02 -2.24742328e-02  1.99713095e-02 -3.46233137e-04
  4.77010288e+02  2.65727885e+01  7.91855673e+02  2.72019231e-01
  5.13558077e+02  6.74519231e-01  4.82698462e+02  8.23173077e-01
  4.27562500e+01  9.66153846e-01  3.29659808e+02  2.03557692e-01
  1.11343385e+03  6.46237500e+02  8.55192308e+00  8.10961538e-01
  2.65990385e+00  5.91346154e-02  6.81538462e-01  1.90384615e-02
  3.41346154e-01  1.48076923e-02  5.85192308e+00  7.88461538e-03
  6.84903846e-01  9.42307692e-03  3.36538462e-02  2.14423077e-02
  1.10576923e-02  3.55769231e-03  2.29807692e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.87545918e-02 -6.02842566e-03  1.89337869e-02  4.86633239e-04
 -7.24051667e-04 -2.49391911e-02 -1.50873308e-04  2.90593748e-03
 -9.76097282e-03 -1.89039383e-03  1.90984329e-02 -1.60555714e-02
 -6.33059338e-04 -8.99336415e-03  9.61814048e-03  1.66130905e-02
 -1.53948935e-03  6.29032252e-03 -1.00643414e-02  3.27929363e-02
  1.45988401e-02  2.88582009e-02  1.86983361e-02 -6.58857794e-03
  4.59076120e-04  1.48066153e-02 -1.73323105e-02 -1.69566044e-03
 -6.66978491e-04  6.70712470e-03 -2.75181510e-03  1.99495399e-03
 -9.31778070e-03 -8.15967864e-03 -5.69016966e-03 -3.31375182e-03
 -3.46108017e-03 -3.67763442e-03  2.31718232e-02  6.39812777e-03
 -9.25561775e-03 -9.45933217e-03 -4.77540507e-03 -8.71768807e-03
 -5.95351774e-03 -1.28180165e-02  8.95815002e-03 -2.95833849e-03
  9.31006371e-03  1.41454160e-02  5.05668412e-03 -1.26108205e-04
 -6.69993819e-04  2.43908247e-02 -2.03989976e-03  3.57460177e-03
 -2.54312942e-04 -4.82623589e-03 -9.20984980e-03  7.24051882e-03
  5.12041653e-04 -1.18190970e-02  6.06288256e-04  1.59345707e-03
  4.77076731e+02  2.49165385e+01  7.91872885e+02  2.90288462e-01
  5.13531250e+02  6.60480769e-01  4.82419904e+02  8.93173077e-01
  4.26145192e+01  8.22980769e-01  3.29691250e+02  1.70961538e-01
  1.19458750e+03  6.71544231e+02  8.36096154e+00  6.66730769e-01
  2.65894231e+00  6.38461538e-02  6.80576923e-01  1.67307692e-02
  3.39903846e-01  1.47115385e-02  5.84471154e+00  3.55769231e-03
  6.85865385e-01  8.07692308e-03  3.41346154e-02  2.17307692e-02
  1.15384615e-02  3.94230769e-03  2.29807692e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 9.13079432e-03 -9.25205870e-03  1.64337931e-02 -1.15186048e-04
 -7.95240618e-03 -1.96200372e-02  1.17325447e-02 -4.46734475e-03
 -9.64100238e-03  3.43292472e-03  9.06135630e-03 -4.66034397e-03
  2.93244192e-03 -2.27293074e-02  7.88969573e-03  1.36261948e-02
  1.03939263e-02  5.85966547e-03 -1.38534581e-02  2.89769886e-02
  8.62668886e-03  1.85067667e-02  2.31522206e-02 -1.22310743e-02
  4.24106971e-03 -2.85120932e-04 -1.76954338e-02  3.13608513e-04
  9.75799972e-03 -3.53851856e-03 -1.00416302e-02  1.71577013e-02
 -1.67509567e-02 -6.14331527e-03 -5.88177119e-03 -8.02423883e-04
  6.99401041e-03  1.02423222e-02  2.15251113e-02  7.64326191e-03
  1.54074329e-02 -9.29212699e-04  8.36557552e-03 -9.28980186e-03
 -1.01677087e-02 -9.26971654e-03 -5.22443632e-03 -2.68822457e-03
  9.21878083e-03  4.89001615e-03  1.59053221e-02 -1.00326605e-02
 -1.66194846e-03  2.27386761e-02 -7.03067039e-03  7.33117071e-03
 -5.09526508e-03 -1.49106254e-02 -1.42522541e-02  2.85554265e-03
  6.72911673e-03 -1.81747028e-02  7.42136200e-03 -4.74164689e-03
  4.76216346e+02  2.65373077e+01  7.91899519e+02  2.41153846e-01
  5.13542692e+02  6.64038462e-01  4.82595673e+02  7.78269231e-01
  4.27377885e+01  9.84807692e-01  3.29709712e+02  1.71538462e-01
  1.17321115e+03  6.14118077e+02  8.43509615e+00  8.31250000e-01
  2.65846154e+00  5.22115385e-02  6.71923077e-01  1.91346154e-02
  3.42788462e-01  1.47115385e-02  5.83605769e+00  6.44230769e-03
  6.86538462e-01  7.78846154e-03  3.60576923e-02  2.14423077e-02
  1.10576923e-02  3.55769231e-03  2.29807692e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.37274519e-03  3.41947688e-03  1.28144227e-02  8.75307852e-03
 -1.11974385e-02 -2.08732968e-02 -5.77188831e-04 -8.45059041e-03
  8.65176902e-04 -9.80239283e-03  3.32474504e-02 -1.58341013e-02
 -3.25807542e-03 -2.41085907e-02 -1.43025162e-02  7.27513153e-03
 -3.69708061e-03 -4.62407959e-03 -2.48476442e-02  1.83005889e-02
  1.62610757e-02  1.40657021e-02  5.64526578e-03 -1.03456704e-02
 -1.18331976e-02  8.81294181e-03 -3.02790898e-02  4.75707094e-03
  3.43369320e-03  7.09103965e-03 -1.26450341e-02  1.30453788e-02
 -1.11164691e-02 -2.09450054e-02  6.50245929e-04  5.24867992e-03
  1.02601051e-02  1.25362922e-02  2.74426378e-02 -6.74823956e-03
  3.73082333e-03 -1.25563292e-02  3.37435500e-03 -7.09509903e-03
  1.38126776e-03 -2.41305172e-03 -3.56023649e-03 -1.16914668e-02
  2.12086173e-02  1.14116996e-02  1.27113119e-02  1.13841079e-02
 -4.47564794e-03  2.04677819e-02  1.37090205e-03  1.02125141e-02
  1.30648540e-02 -1.35238971e-02 -9.14194027e-03  1.69390646e-02
  1.44315922e-02 -1.32848037e-02  8.69244993e-03 -5.80714589e-03
  4.78156731e+02  2.51786538e+01  7.91862692e+02  2.93942308e-01
  5.13567019e+02  6.69615385e-01  4.82507885e+02  9.33846154e-01
  4.27873077e+01  8.18365385e-01  3.29724423e+02  1.70480769e-01
  1.11384471e+03  6.46095577e+02  8.44519231e+00  6.63461538e-01
  2.69884615e+00  6.35576923e-02  6.74038462e-01  1.74038462e-02
  3.41346154e-01  1.48076923e-02  5.82884615e+00  8.75000000e-03
  6.87019231e-01  7.78846154e-03  3.36538462e-02  2.14423077e-02
  1.10576923e-02  3.55769231e-03  2.29807692e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.27169974e-02 -1.08585393e-02  2.54400262e-02  2.46850171e-03
  4.26007062e-03 -1.16088812e-02  1.38146851e-02  5.85980761e-03
 -3.49007381e-03  2.33104555e-03  2.14573544e-02 -8.58516755e-03
  7.74636096e-03 -1.74805218e-02 -1.24811320e-03  1.55726855e-02
 -3.88618007e-03 -1.16576471e-03 -1.72600336e-02  2.09903930e-02
  1.36426158e-02  1.41590547e-02  1.50582049e-02 -1.53259753e-02
 -2.84060448e-03  5.89212782e-03 -1.85157499e-02 -3.52482421e-03
  2.13657053e-03  5.62233104e-03 -1.51215883e-02  1.78692588e-02
 -1.58396630e-02 -1.68505967e-02 -2.24942761e-03 -1.60088430e-03
  6.43810361e-03 -1.54676447e-03  2.06418879e-02  5.26627522e-03
 -2.77743433e-03 -5.42155974e-03 -3.39522787e-03 -1.04516826e-02
  5.09059931e-03 -4.27058533e-03 -8.64004116e-04 -2.58109453e-03
  4.83916847e-03  1.10197125e-02 -3.27904243e-04 -2.78066163e-03
  6.54139819e-03  1.50102517e-02  2.31008962e-03  1.27001175e-02
  1.11479654e-02 -1.70740908e-03 -1.03537560e-02  9.28805783e-03
 -3.23125376e-04 -2.71809341e-02  1.64708108e-03  1.97880073e-04
  4.75569615e+02  2.60941346e+01  7.91932212e+02  2.47596154e-01
  5.13615096e+02  6.61057692e-01  4.82485481e+02  7.60192308e-01
  4.27289423e+01  9.77403846e-01  3.29753750e+02  1.65673077e-01
  1.19487077e+03  6.71724904e+02  8.41221154e+00  8.22692308e-01
  2.84663462e+00  9.75961538e-02  6.71153846e-01  1.64423077e-02
  3.39903846e-01  1.47115385e-02  5.82259615e+00  7.98076923e-03
  6.86057692e-01  7.78846154e-03  3.41346154e-02  2.17307692e-02
  1.15384615e-02  3.94230769e-03  2.29807692e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.15754450e-02 -6.50795449e-03  1.47690597e-02  7.59752722e-03
 -4.48656274e-03 -1.57612981e-02  1.55923172e-04 -4.95003071e-04
 -6.14463510e-03  4.17455578e-03  1.68267678e-02 -2.28026388e-02
 -4.53921648e-03 -1.26867782e-02 -1.01654865e-02  1.50162331e-02
 -2.34552158e-03  6.78180808e-03 -1.33695845e-02  3.77476306e-02
  2.01394122e-02  1.85721369e-02  1.55375435e-02 -8.62820815e-03
 -1.00431220e-02  1.25841867e-02 -2.90035380e-02  4.71138420e-03
 -1.02942721e-02  3.72303600e-03 -8.58995666e-03  2.91623807e-03
 -8.83962929e-03 -1.97751457e-02 -1.28690675e-02 -8.06123925e-03
 -4.72123774e-03 -5.85961578e-03  1.89929420e-02  1.89988444e-04
  1.29476700e-03 -6.63046171e-03 -8.81783299e-03 -7.69210192e-03
  2.45865298e-03 -1.22290925e-02  6.55149282e-03 -1.04672849e-03
  1.31029120e-02  7.12636500e-03  6.37552199e-03 -6.49340016e-03
  8.53616622e-03  1.69849473e-02  7.58867693e-04  3.33128554e-03
  4.54083252e-03 -3.93964646e-03 -7.40796966e-03  1.78849185e-02
  1.75974504e-03 -1.61409261e-02  1.80663640e-02  3.03573734e-03
  4.78774808e+02  2.57910577e+01  7.91895288e+02  2.86346154e-01
  5.13657308e+02  6.42980769e-01  4.82569038e+02  9.27403846e-01
  4.29690385e+01  8.46923077e-01  3.29799038e+02  1.50288462e-01
  1.17337615e+03  6.13985673e+02  8.62990385e+00  6.69519231e-01
  2.93086538e+00  3.97115385e-02  6.71153846e-01  1.64423077e-02
  3.42788462e-01  1.47115385e-02  5.81586538e+00  3.55769231e-03
  6.86538462e-01  7.78846154e-03  3.60576923e-02  2.14423077e-02
  1.10576923e-02  3.55769231e-03  2.29807692e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
