Embedding,Label
"[-8.76455044e-04 -3.21196027e-03  6.57862214e-03  9.36954802e-03
 -1.11739191e-02 -2.12354730e-02 -3.79446273e-04 -1.21906215e-02
 -7.68498853e-03 -4.04771449e-03  2.60209389e-02 -1.55697484e-02
  8.12401175e-03 -9.86568761e-03  1.38635227e-03 -1.51400703e-03
  4.59420621e-03  2.73095210e-03 -9.67271463e-03  2.35820087e-02
  1.45361365e-02  1.85972399e-02  1.68920922e-02 -1.03847122e-02
  5.21593718e-04  6.01880437e-03 -2.42239804e-02  2.47636366e-04
 -9.11188250e-04 -1.54282745e-03 -6.40402832e-03  8.58438760e-04
 -1.07853306e-02 -7.14527546e-03 -4.70192230e-03 -2.92326258e-03
 -2.22678651e-03 -1.22194634e-02  3.22353093e-02  6.71687420e-03
  5.21537371e-03  2.14378181e-03 -2.33424356e-03 -1.39144876e-02
 -8.50845731e-04 -8.63654099e-03  2.50916250e-03  1.11180771e-03
  1.04792554e-02  6.99318803e-03  1.20964483e-03 -8.00596816e-05
  1.14281795e-02  1.41784323e-02 -3.15229332e-03  6.47113522e-03
 -5.05645399e-03 -9.83243641e-03 -4.85558453e-03  1.47907760e-02
  1.16796895e-02 -2.40510184e-02 -6.04476794e-03  1.87325525e-03
  4.61390667e+02  3.07690476e+01  9.43305810e+02  6.22419048e+00
  5.16135429e+02  9.74857143e-01  4.83155905e+02  5.47057143e+00
  3.97484762e+01  9.80666667e-01  3.28720571e+02  1.89238095e-01
  1.47834381e+03  1.31775219e+03  8.24257143e+00  1.01990476e+00
  2.50885714e+00  8.65714286e-02  6.57619048e-01  1.40000000e-02
  4.06190476e-01  1.45714286e-02  2.60476190e+00  8.28571429e-03
  6.86380952e-01  9.61904762e-03  4.39047619e-02  2.48571429e-02
  1.27619048e-02  1.12380952e-02  2.33380952e+00  2.39428571e-01
  1.90476190e-02  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.61904762e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 9.69546449e-03  1.79204381e-03  1.90430073e-02  1.72599935e-04
 -1.46055949e-02 -1.92394527e-02  6.14457835e-04 -3.26141421e-03
  6.67995155e-03 -3.26460808e-03  2.04993928e-02 -1.53897407e-02
  2.54087871e-04 -1.53067480e-02 -9.50173819e-03  4.00525711e-03
 -1.21383711e-03 -2.49709307e-03 -2.82978226e-02  9.46063505e-03
  1.96104224e-02  1.60516578e-02  2.33079128e-02 -2.29738282e-02
  5.24063505e-03  3.46927130e-03 -1.75042931e-02 -5.83598846e-03
  6.80708960e-03  5.48833644e-03 -9.45448159e-03  4.30702246e-03
 -1.09887071e-02 -1.40945794e-02 -9.68631679e-04  2.25157061e-03
 -2.15902860e-03  7.28724560e-03  1.84622030e-02  4.30329144e-03
 -5.29657202e-03 -2.69510479e-03 -1.42434930e-02 -8.82320615e-03
  3.70889759e-03 -2.54373199e-03 -3.50695000e-03 -2.16538959e-03
 -4.97069948e-03  6.76745425e-03 -6.04800044e-03  4.36908158e-03
 -9.21058325e-05  1.93412987e-02  5.37881123e-03  6.68343977e-03
 -1.67153679e-03 -5.01706856e-03 -1.18376693e-02  1.47506185e-02
  3.10028747e-03 -1.73763008e-02  6.01951525e-03 -2.57789099e-03
  4.81614615e+02  3.84073077e+01  9.69147885e+02  1.36921154e+01
  5.20240000e+02  3.19375000e+00  4.88655192e+02  7.68125000e+00
  3.99822115e+01  1.58903846e+00  3.32870577e+02  1.25115385e+00
  1.42207077e+03  1.36697048e+03  7.68317308e+00  6.98076923e-01
  2.88307692e+00  6.94230769e-02  6.70673077e-01  2.56730769e-02
  4.07211538e-01  1.47115385e-02  2.61682692e+00  1.45192308e-02
  6.93076923e-01  9.61538462e-03  5.81730769e-02  2.70192308e-02
  2.11538462e-02  3.94230769e-03  3.27615385e+00  1.01346154e-01
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.63461538e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.57823460e-02  1.53298758e-03  2.31195494e-02  5.40382453e-03
 -2.11961637e-02 -2.06712562e-02  9.54864654e-03  4.14115679e-03
 -1.20043257e-03 -6.36697611e-03  2.47868099e-02 -1.41266362e-02
 -2.66255549e-03 -1.30532192e-02 -3.40244673e-03  4.81716806e-03
 -2.82860443e-03 -3.79440690e-03 -5.54485228e-03  1.49071416e-02
  8.30112265e-03  8.88314326e-03  1.02021945e-02 -2.50187495e-02
 -2.68898990e-03  1.73036910e-02 -2.71802125e-02  8.81435980e-03
  3.12907793e-03 -3.19330032e-03 -6.14985745e-03  9.04726070e-03
 -1.25512899e-02 -1.54149534e-02 -3.74519760e-03 -3.13441870e-03
  3.03377142e-03  9.87316912e-03  2.00058725e-02 -1.71843185e-03
 -9.04980659e-03  8.27890552e-04 -1.04996614e-02 -8.57192049e-03
  4.19643625e-03 -4.12183995e-03 -3.92905834e-03 -4.62093422e-03
  4.57780230e-04  2.43815044e-02  2.78469709e-03 -4.06262538e-03
 -4.70796795e-03  1.63277820e-02  7.59469418e-03  7.70867723e-03
  5.96815897e-03 -1.28491995e-02 -1.27300937e-02  2.10274067e-02
 -7.79579626e-04 -1.56857962e-02 -2.94373973e-03  1.43794877e-03
  4.84648269e+02  2.65315385e+01  9.74225192e+02  2.45365385e+00
  5.22667115e+02  2.85413462e+00  4.90787692e+02  3.04682692e+00
  3.97804808e+01  2.25471154e+00  3.36148654e+02  1.03846154e+00
  1.66515779e+03  1.48038183e+03  7.64086538e+00  9.51538462e-01
  2.89884615e+00  2.89423077e-02  6.78653846e-01  2.57692308e-02
  4.08653846e-01  1.48076923e-02  2.61317308e+00  2.30769231e-02
  6.87019231e-01  4.90384615e-03  5.28846154e-02  2.14423077e-02
  2.06730769e-02  3.55769231e-03  2.82211538e+00  9.74038462e-02
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.63461538e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.16007270e-02 -3.26007347e-03  2.66347036e-02 -4.63348086e-03
  1.08087884e-03 -2.65513153e-02  2.34427752e-03  6.64233151e-03
 -1.61748881e-02 -3.04724018e-03  1.92935318e-02 -1.68631328e-02
 -1.10130689e-02 -7.24884927e-03 -2.09157900e-03 -1.53789304e-03
  7.62846310e-03  2.56681815e-03 -1.10108127e-02  2.13091169e-02
  1.08041333e-02  1.29623479e-02  1.46776327e-02 -1.09262998e-02
 -8.58420567e-03  6.77168471e-03 -1.64393073e-02  3.34281825e-03
  1.06380330e-02 -5.66616722e-03  2.46868684e-03  2.53754625e-02
 -1.38507201e-02 -5.53196721e-03  1.04911577e-03 -3.92854117e-03
  9.86348519e-03 -8.46143221e-04  1.76717738e-02  3.92309816e-03
 -1.17794218e-03 -2.44493324e-03 -7.58173693e-03 -7.17225797e-03
  3.16537204e-03 -1.07261367e-02  1.21654883e-02 -1.08348036e-02
 -1.10991822e-03  2.01585104e-02 -4.61170097e-03 -4.20966934e-03
  7.65487520e-03  7.85578816e-03  4.87582012e-03  7.28288769e-03
  8.08578594e-03 -9.19919650e-03 -1.06540955e-02  3.77870591e-03
  1.62090863e-02 -1.88368802e-02  5.29110820e-03 -4.20493217e-05
  4.81094519e+02  2.74164423e+01  9.76576346e+02  1.33903846e+00
  5.24342981e+02  2.45009615e+00  4.93254038e+02  2.03394231e+00
  4.06578846e+01  2.46365385e+00  3.37184038e+02  3.82115385e-01
  1.49197952e+03  1.33038058e+03  8.08240385e+00  7.24903846e-01
  2.87211538e+00  4.67307692e-02  7.02403846e-01  1.41346154e-02
  4.10096154e-01  1.47115385e-02  2.70817308e+00  3.71153846e-02
  6.76442308e-01  2.06730769e-02  5.52884615e-02  2.14423077e-02
  2.06730769e-02  3.55769231e-03  2.64942308e+00  2.37500000e-02
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.63461538e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.08584161e-02 -7.91054685e-03  9.14763940e-03  1.08946219e-02
 -1.26650521e-03 -2.71954789e-02  4.90478514e-03  3.64919824e-03
 -1.24697048e-02  1.96335099e-03  1.64202776e-02 -1.49571315e-02
 -6.47983639e-03 -1.28141485e-02  8.25469553e-03  5.89258715e-03
  7.21492819e-03  2.46267831e-04 -3.35284091e-03  1.95949559e-02
  1.70833271e-02  1.55835023e-02  1.01417558e-02 -1.76688178e-02
  9.60508547e-04  1.14112889e-02 -2.34896888e-02  4.06009737e-03
  1.03249336e-02  3.68132834e-03 -9.62999094e-04  1.80110274e-02
 -8.63391705e-03 -1.41927795e-02 -3.26913296e-03 -5.19030804e-03
  2.71159898e-03 -3.34826962e-03  1.38203559e-02  3.17208005e-03
  3.87541166e-03 -4.81621157e-03  1.46968413e-03 -3.32752963e-03
 -1.01233336e-03 -1.21553591e-02  1.67537557e-04 -1.39620444e-02
  4.39794306e-03  1.88383744e-02  3.99670644e-03 -5.13335507e-03
  1.44646610e-02  2.25793085e-02  8.05620474e-03  1.44298926e-02
 -6.72177215e-03 -8.05837835e-03 -1.05676911e-02  4.07922261e-03
  4.48143448e-03 -2.01918315e-02  7.00090734e-03  4.70367174e-03
  4.82911731e+02  2.58918269e+01  9.77515192e+02  1.07913462e+00
  5.25352788e+02  1.41240385e+00  4.94067019e+02  1.71884615e+00
  4.08335577e+01  1.70576923e+00  3.37442115e+02  2.33461538e-01
  1.42194385e+03  1.36681856e+03  7.69067308e+00  7.06923077e-01
  2.84298077e+00  3.41346154e-02  6.96442308e-01  1.88461538e-02
  4.07211538e-01  1.47115385e-02  2.82567308e+00  3.84615385e-02
  6.58653846e-01  4.90384615e-03  5.33653846e-02  2.17307692e-02
  2.11538462e-02  3.94230769e-03  2.60557692e+00  7.40384615e-03
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.63461538e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.18698577e-02 -3.75588784e-03  1.54499299e-02  3.31879280e-04
 -6.50598642e-03 -1.83343084e-02  9.17699804e-03 -4.13973339e-03
 -1.66513302e-02 -6.38783215e-03  1.02676945e-02 -1.23809561e-02
 -9.55861144e-03 -4.42288005e-03  9.82142914e-03  1.15475226e-02
  3.63206448e-03  6.94523136e-03 -1.26829340e-02  1.72026858e-02
  2.18894171e-02  2.32076572e-02  1.19751365e-02 -9.22712127e-03
  8.40265340e-04  8.58178597e-03 -2.86610786e-02  2.32274701e-03
 -3.72053765e-03  5.33958188e-03 -7.18786358e-03  8.09948412e-03
 -8.63665840e-03 -1.08002515e-02 -2.38929050e-03 -4.98328229e-03
  4.79464962e-03 -1.64778187e-03  2.48082528e-02 -1.27303188e-03
 -4.27053501e-03  3.93557298e-03 -6.14428465e-03 -7.55081340e-03
 -1.09072476e-03 -1.39033362e-02 -4.22385754e-04 -6.56399401e-03
  1.24922762e-02  6.90727469e-03  2.87382545e-03  5.35730287e-03
  7.24594783e-03  1.47455142e-02  1.16200683e-03  1.05509197e-02
  1.77577035e-03 -1.47786827e-03 -1.13560967e-02  8.28043853e-03
 -4.09957469e-04 -2.24179245e-02  9.48497981e-03  4.62674873e-03
  4.78845769e+02  2.57374038e+01  9.77421538e+02  1.07307692e+00
  5.24959135e+02  1.39807692e+00  4.93835192e+02  2.57173077e+00
  4.09328846e+01  1.61653846e+00  3.37512788e+02  1.90480769e-01
  1.66487644e+03  1.48025096e+03  8.02461538e+00  7.96346154e-01
  2.84355769e+00  5.30769231e-02  6.86730769e-01  1.84615385e-02
  4.08653846e-01  1.48076923e-02  2.94586538e+00  3.90384615e-02
  6.58173077e-01  4.90384615e-03  5.28846154e-02  2.14423077e-02
  2.06730769e-02  3.55769231e-03  2.59615385e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.63461538e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 6.26801163e-03 -1.93379203e-03  1.14022407e-02 -3.31952957e-03
 -1.35422951e-02 -2.17425942e-02  9.50614868e-03 -2.95848781e-03
 -1.30664915e-02 -4.55983304e-03  1.38151078e-02 -1.23554738e-02
 -3.99219184e-03 -7.59033274e-03  6.85943137e-03  1.05974178e-02
  7.35065716e-03  3.57656672e-03 -4.46324573e-03  2.42512839e-02
  1.36854464e-02  1.99021141e-02  1.13988083e-02 -6.87082255e-03
  1.67101467e-03 -2.82214632e-04 -2.13301379e-02  5.31464301e-03
 -2.93950783e-04  1.83067263e-03 -1.25629756e-02  1.42830208e-03
 -1.25854647e-02 -1.06304446e-02  2.75686455e-04 -4.59877413e-03
 -6.50984686e-03  2.97320849e-03  2.61152022e-02  2.67071302e-03
 -1.12967922e-02  4.25404479e-03  7.83756325e-03 -1.92869093e-02
 -3.16239188e-03 -1.04100406e-02  3.21294130e-03 -9.23383634e-03
  2.29783514e-02  7.81129184e-03  5.83239342e-03 -2.29000021e-03
 -4.83137966e-03  2.25023847e-02  1.10777655e-02  7.88752226e-03
 -2.45758089e-03 -1.94030357e-02 -6.97312940e-03  1.36651199e-02
  6.87093281e-03 -1.63385637e-02  8.67492822e-03  1.61447173e-03
  4.82056346e+02  2.64044231e+01  9.77877788e+02  9.93942308e-01
  5.25363173e+02  1.38855769e+00  4.92431731e+02  1.72028846e+00
  4.08966346e+01  1.64288462e+00  3.37525481e+02  1.96826923e-01
  1.49211577e+03  1.33043183e+03  7.78875000e+00  6.75865385e-01
  2.88009615e+00  4.03846154e-02  6.80288462e-01  1.85576923e-02
  4.10096154e-01  1.47115385e-02  3.06519231e+00  3.88461538e-02
  6.59134615e-01  4.90384615e-03  5.52884615e-02  2.14423077e-02
  2.06730769e-02  3.55769231e-03  2.59615385e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.63461538e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.25497126e-02  2.03009113e-05  1.80378128e-02  4.85849946e-03
 -2.43244680e-03 -1.84884980e-02  3.57807120e-03  5.07661181e-03
 -2.87713502e-03 -7.77691868e-03  2.16115218e-02 -2.05771353e-02
 -4.61331619e-03 -7.62011557e-03 -2.43005214e-03  4.07186889e-03
  7.88455507e-03  4.75177256e-04 -2.29840331e-02  1.69372546e-02
  1.38445192e-02  1.74935801e-02  1.75795811e-02 -1.05060379e-02
 -5.93328684e-03  2.11429940e-02 -1.74592771e-02  1.05768078e-02
 -1.57248159e-02  3.37581670e-03 -1.45131455e-02  8.58193672e-03
 -8.83788270e-03 -1.19894143e-02  3.95530914e-03 -2.12600696e-02
 -7.40550989e-03 -2.04482333e-03  1.92662644e-02  1.50131531e-03
 -5.59652851e-04  5.31349859e-03 -5.98489217e-04 -9.26243184e-03
 -1.00118842e-02 -1.38887276e-02  6.64831959e-03 -9.22976768e-03
  8.08354372e-03  7.37355349e-03  1.29224676e-02 -6.74408041e-03
  1.02402499e-02  1.36765917e-02  7.65380250e-03  1.38849867e-02
  3.68957088e-03 -7.25203415e-03 -3.22039341e-03  1.54340792e-02
 -3.21011521e-03 -1.14830489e-02  2.56708365e-03 -5.96148155e-03
  4.79884615e+02  2.52423077e+01  9.77699038e+02  1.08557692e+00
  5.24963365e+02  1.39269231e+00  4.92635962e+02  1.59490385e+00
  4.09005769e+01  1.64480769e+00  3.37540577e+02  1.92980769e-01
  1.42169971e+03  1.36699827e+03  7.92346154e+00  8.33942308e-01
  2.84990385e+00  3.88461538e-02  6.77211538e-01  2.37500000e-02
  4.07211538e-01  1.47115385e-02  3.18413462e+00  3.80769231e-02
  6.58653846e-01  4.90384615e-03  5.33653846e-02  2.17307692e-02
  2.11538462e-02  3.94230769e-03  2.59557692e+00  2.40384615e-03
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.63461538e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.10789323e-02  2.87539272e-04  1.74912410e-02  8.50421305e-04
 -1.03976153e-02 -1.48829579e-02  8.24046658e-03  5.54121589e-03
  8.64436277e-04 -8.88479594e-03  1.92037683e-02 -1.13770073e-02
 -7.77522188e-03 -5.93448498e-03 -7.47375475e-03  5.44575321e-03
  1.49437959e-02  5.22017371e-04 -1.37149304e-02  1.63419947e-02
  1.60785629e-02  2.08393631e-02  1.13860055e-02 -1.53288802e-02
 -2.05512476e-03  6.36190991e-03 -2.63104264e-02  4.32196768e-03
 -6.19100894e-03  1.35464523e-02  8.97304932e-03 -2.63700799e-04
 -8.29141000e-03 -7.96589203e-03  2.42220106e-03 -1.03596597e-02
  1.62383237e-03 -1.18408439e-02  1.34023039e-02  4.66743341e-04
 -1.53079233e-02 -1.58374598e-03  5.97894783e-03 -1.88952156e-02
 -7.52325694e-03 -1.97500133e-02  3.14160007e-03 -9.10391429e-03
  1.19862659e-02  6.81981305e-03  2.02009517e-03 -2.39256501e-03
 -4.62810041e-03  1.43188635e-02  5.81716371e-03  2.20929015e-02
  7.57356353e-04 -1.29122125e-02 -7.19806846e-03  1.38500083e-02
 -2.44193272e-03 -2.32044527e-02 -1.00185986e-02 -9.45992871e-04
  4.81327308e+02  2.67325000e+01  9.78167308e+02  1.01971154e+00
  5.25379519e+02  1.39759615e+00  4.93194423e+02  1.78048077e+00
  4.03655769e+01  1.63644231e+00  3.37575769e+02  1.88846154e-01
  1.66480163e+03  1.48013798e+03  7.93682692e+00  6.59134615e-01
  2.88182692e+00  4.77884615e-02  7.00961538e-01  1.35576923e-02
  4.08653846e-01  1.48076923e-02  3.30192308e+00  3.75961538e-02
  6.58173077e-01  4.90384615e-03  5.28846154e-02  2.14423077e-02
  2.06730769e-02  3.55769231e-03  2.59096154e+00  4.80769231e-03
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.63461538e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 7.98913851e-03  4.53597945e-03  1.07711145e-02  7.50074568e-03
 -1.09674111e-03 -1.32809437e-02  1.64727868e-02  5.44913267e-03
 -7.09836378e-03  3.29705356e-03  1.68400841e-02 -1.33520138e-02
  7.45468854e-03 -1.10445408e-02 -7.12183766e-03  1.12037570e-02
  2.71114270e-03  7.84474197e-03 -1.87999874e-02  3.42183956e-02
  1.83147628e-02  2.06508434e-02  6.93712469e-03 -1.43823757e-02
 -6.98032986e-05  9.66952935e-03 -2.67629695e-02 -5.03737587e-03
  2.00118671e-03  5.55246977e-03  3.31903099e-03  9.79680696e-03
 -1.72499951e-02 -1.44516192e-02  1.05329985e-02 -4.16103124e-03
  1.48006478e-03 -5.64545465e-03  1.77529653e-02  4.89531142e-03
 -7.65306728e-03 -6.92377623e-03  1.07716975e-02 -4.69817515e-03
 -3.36493204e-04  1.11720138e-03 -4.83970913e-03 -2.37572161e-03
  3.06030495e-03  1.29321124e-02  1.53235479e-03  1.13999016e-02
  2.79750096e-03  1.86316361e-02  5.18345901e-04  5.54824800e-03
 -9.76254555e-04 -4.62510464e-03  1.98265741e-03  4.31224859e-03
  2.77211960e-03 -2.42964611e-02  2.35441929e-04 -1.07177841e-03
  4.80880769e+02  2.50395192e+01  9.77884712e+02  1.03769231e+00
  5.24998173e+02  1.36480769e+00  4.93177788e+02  1.56326923e+00
  4.03057692e+01  1.62644231e+00  3.37583942e+02  1.77788462e-01
  1.49209115e+03  1.33048663e+03  7.86682692e+00  8.20192308e-01
  2.85115385e+00  4.08653846e-02  6.92980769e-01  1.56730769e-02
  4.10096154e-01  1.47115385e-02  3.41826923e+00  3.79807692e-02
  6.59134615e-01  4.90384615e-03  5.52884615e-02  2.14423077e-02
  2.06730769e-02  3.55769231e-03  2.58990385e+00  4.61538462e-03
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.63461538e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
