Embedding,Label
"[ 7.51801218e-03 -1.33080019e-03  4.04010939e-03  3.49809561e-03
 -1.27621711e-02 -2.29015345e-02  7.13226185e-03 -3.50638053e-03
  1.63587726e-03 -1.12919998e-02  2.78208969e-02 -1.42747250e-02
  4.44823030e-03 -1.32194144e-02  4.35110724e-03  1.15917475e-02
  4.35714186e-03 -2.15621424e-03 -2.01962378e-03  1.41530397e-02
  2.24085908e-03  3.05400667e-03  1.43642146e-02 -2.46051424e-02
  7.18334796e-04  1.04063331e-02 -1.52293081e-02  3.24397895e-03
  1.56350486e-02  4.61517998e-03 -3.19059051e-04  1.05075382e-02
 -2.25378078e-02 -1.26017446e-02 -1.09752337e-02 -4.02140318e-03
 -1.09531536e-02 -7.17332214e-04  2.06412496e-02  5.59509136e-03
  4.55382583e-03 -2.37719317e-04 -1.19826237e-03 -1.03069459e-02
  1.17385804e-02 -1.62996251e-02  2.37129517e-03 -1.27829977e-02
  2.03272795e-02  1.06517443e-02  8.43253176e-03 -6.03527817e-03
 -1.51689244e-04  2.36180701e-02  5.98864998e-04  3.80901174e-03
  1.15003417e-02 -3.65654486e-04 -1.30351416e-02  8.73614887e-03
  6.80436114e-03 -2.32631123e-02  6.28850273e-03 -3.33675054e-03
  4.44183905e+02  2.75629524e+01  6.16496286e+02  2.61076190e+00
  5.00578381e+02  7.47428571e-01  4.84759238e+02  1.24428571e+00
  1.06863619e+02  9.87238095e-01  3.29279048e+02  2.38095238e-01
  1.23711419e+03  7.29022095e+02  7.50409524e+00  8.37047619e-01
  2.77352381e+00  2.12380952e-02  2.76666667e-01  1.40000000e-02
  4.63333333e-01  1.45714286e-02  9.84571429e+00  3.90476190e-03
  5.38571429e-01  4.85714286e-03  6.42857143e-02  2.12380952e-02
  2.04761905e-02  3.52380952e-03  3.31428571e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 9.31436586e-03 -9.95156201e-03  2.10011031e-02  1.35640730e-03
 -1.60481163e-04 -1.04755319e-02  1.00026015e-02  6.07408827e-03
 -1.92371006e-02  7.75621477e-03  1.39740788e-02 -2.63200677e-02
 -8.96417085e-03 -5.65396936e-03  6.83109548e-03  7.19310159e-03
  5.85135909e-03  5.32733213e-03 -1.20942751e-02  2.47850619e-02
  1.50405000e-02  9.44124302e-03  1.39111306e-02 -1.43905386e-02
 -2.83461351e-04  4.23665178e-03 -1.72012771e-02 -1.09748223e-02
 -2.55627798e-03 -2.64082774e-03  2.57198280e-03  3.85236571e-03
 -1.74427742e-02 -1.15428353e-02 -5.77078187e-03 -1.99183155e-03
  6.69049140e-03  1.73791360e-03  1.73842009e-02 -3.46984823e-03
  1.44462416e-02  4.26295704e-03 -3.87501147e-03 -1.24050387e-02
 -6.70582387e-03 -1.31471911e-02  4.60188220e-03 -9.88430752e-03
  8.71160393e-03  1.14362673e-02  7.51535537e-03  2.74120012e-03
  1.60524242e-02  2.20317356e-02  3.85350233e-03  1.64034886e-02
 -1.99713726e-03 -2.51009129e-04  1.30269644e-03  1.70472611e-02
  6.39167134e-03 -2.55692814e-02  3.39994673e-04  9.60107123e-03
  4.55543654e+02  3.96462500e+01  6.28762308e+02  1.70639423e+01
  5.05956154e+02  2.55701923e+00  4.88173462e+02  6.26913462e+00
  1.07687981e+02  1.42144231e+00  3.33332212e+02  1.31634615e+00
  1.17859038e+03  7.75379423e+02  7.61105769e+00  6.67980769e-01
  2.80153846e+00  2.33653846e-02  2.85576923e-01  2.32692308e-02
  4.64903846e-01  1.47115385e-02  9.94182692e+00  6.44230769e-03
  5.39230769e-01  9.61538462e-03  5.91346154e-02  2.70192308e-02
  2.11538462e-02  3.94230769e-03  3.28653846e+00  8.81730769e-02
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[-7.27836308e-03  2.42213431e-03  1.18297186e-02  7.93863844e-03
 -6.05800615e-03 -1.67098328e-02  8.71430123e-03  1.50088946e-04
 -7.71714152e-03  5.00051566e-03  2.01684781e-02 -1.05591667e-02
 -3.51273482e-03 -1.38344141e-02 -3.62117012e-03  1.58751556e-02
 -1.03798650e-03  3.86474077e-03 -3.41512248e-03  2.03352962e-02
  2.16896332e-02  4.37940693e-03  1.48713737e-02 -1.26423601e-02
 -8.01090219e-03  2.45647186e-03 -2.38071117e-02  2.30792879e-03
 -1.64983106e-03  4.24619377e-03  7.79428492e-03  5.08993164e-03
 -2.06570092e-02 -1.40629236e-02  1.70810907e-03 -6.41534286e-03
  8.02744090e-04 -4.27584368e-03  1.23422886e-02  2.16435426e-05
 -1.37499845e-03 -1.78766071e-03 -8.26282407e-03 -1.57575491e-02
  1.13713125e-04 -9.18340638e-03  8.52451809e-03 -9.64010757e-03
  4.14311602e-03  1.97426836e-02  1.27021097e-02  8.80200624e-03
 -3.64018404e-03  2.14619704e-02  5.07693383e-03  1.05512753e-02
  5.19062740e-03 -6.93115889e-04 -5.81217781e-03  1.44851395e-02
  6.36554890e-03 -3.05266041e-02  5.59346163e-03 -4.51118676e-04
  4.65578269e+02  2.87468269e+01  6.46714038e+02  5.76682692e+00
  5.12866058e+02  4.65394231e+00  4.96108365e+02  5.37038462e+00
  1.07502981e+02  2.33250000e+00  3.39651923e+02  2.37403846e+00
  1.33368365e+03  8.05856058e+02  7.85884615e+00  9.30000000e-01
  2.80201923e+00  2.51923077e-02  3.06730769e-01  1.35576923e-02
  4.66346154e-01  1.48076923e-02  9.95048077e+00  3.55769231e-03
  5.27403846e-01  1.77884615e-02  5.28846154e-02  2.14423077e-02
  2.06730769e-02  3.55769231e-03  2.57740385e+00  2.19711538e-01
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 8.98178774e-03  3.54823764e-04  2.44743484e-02  6.93996766e-03
 -8.99322879e-03 -2.41331101e-02 -8.74536327e-03  4.60955544e-03
 -5.59828042e-03 -9.68795212e-04  1.35102306e-02 -2.05274105e-02
 -1.18832152e-02 -1.64234982e-03  3.30809067e-03  5.96120706e-03
 -6.84304725e-03  1.19816803e-03 -1.38063459e-02  2.45782587e-02
  1.95161516e-02  5.43094781e-03  8.79218685e-03 -2.76470532e-03
 -2.90341651e-03  1.11946031e-02 -2.40327401e-02  8.24214805e-03
 -2.53755150e-03  3.21439408e-03 -4.89351812e-03  4.06280475e-03
 -1.19179181e-02 -1.73152663e-02  1.14616802e-03 -7.77926210e-03
  1.13592119e-02 -7.73443303e-04  1.18104393e-02  8.64909425e-03
  3.68866671e-03  8.45081840e-04  2.55496185e-03 -1.58084435e-02
  2.33814406e-03 -1.33856508e-02  1.43840516e-02 -1.57924987e-02
  2.99239605e-03  1.43295396e-02  5.96602598e-03  1.32899754e-03
 -1.05483584e-02  1.50885402e-02  1.27779751e-02  1.99887940e-02
 -3.35638982e-04 -1.04791077e-02 -1.65947405e-03  1.56094416e-02
 -1.91128594e-03 -1.99125526e-02  1.54755648e-02 -9.87483926e-03
  4.71383365e+02  2.69497115e+01  6.54145096e+02  4.07971154e+00
  5.16563077e+02  2.92048077e+00  5.04328750e+02  3.64759615e+00
  1.07621827e+02  2.21038462e+00  3.43138269e+02  1.23028846e+00
  1.24826452e+03  7.36137500e+02  8.08355769e+00  6.76442308e-01
  2.79615385e+00  2.98076923e-02  3.08173077e-01  1.41346154e-02
  4.67788462e-01  1.47115385e-02  9.95000000e+00  3.94230769e-03
  5.05288462e-01  4.90384615e-03  5.52884615e-02  2.14423077e-02
  2.06730769e-02  3.55769231e-03  2.26615385e+00  9.13461538e-03
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 4.05351282e-03  7.02342001e-04  1.15962804e-02  6.73559230e-03
 -1.56817974e-02 -2.55871922e-02  2.27480403e-03  6.28754922e-04
 -9.18422687e-03  1.28404769e-02  1.24332174e-02 -1.89766579e-02
 -7.38592588e-03 -1.34751864e-02 -9.52239327e-03  1.14137424e-03
  9.75070220e-04  3.53047439e-03 -1.29837900e-02  1.90813277e-02
  2.31551121e-02  1.49253970e-02  1.43309351e-02 -2.97245341e-03
 -3.76570839e-03  1.62080792e-02 -3.01292598e-02  4.54134785e-03
  6.60573798e-04 -1.77880920e-03 -1.97756835e-03  7.41605173e-03
 -9.73370446e-03 -1.30417089e-02  5.60761860e-04 -1.18418464e-04
  1.45597564e-02 -6.36903404e-03  1.32619585e-02  5.97195588e-03
  9.25557106e-03 -5.64971240e-03 -9.43263335e-03 -9.81452899e-03
 -1.63124445e-03 -6.95119653e-03 -1.22307816e-03 -6.54655782e-03
  2.15185626e-03  1.67365549e-02  6.91215783e-03  6.83275575e-03
  2.43627859e-03  9.18353153e-03  5.70255728e-03  1.80821089e-02
  8.13377223e-05 -1.02962276e-02 -1.21162437e-02  1.60489413e-02
  3.34698501e-03 -2.08823157e-02  9.85297323e-03  3.87428291e-03
  4.64372857e+02  2.65501905e+01  6.52828857e+02  3.44504762e+00
  5.14000381e+02  2.80657143e+00  5.02459524e+02  3.45971429e+00
  1.06386762e+02  2.40600000e+00  3.41968762e+02  9.94095238e-01
  1.16691210e+03  7.68070476e+02  7.68600000e+00  7.64285714e-01
  2.77190476e+00  1.86666667e-02  3.05238095e-01  1.40000000e-02
  4.60476190e-01  1.45714286e-02  9.85571429e+00  3.52380952e-03
  5.00000000e-01  4.85714286e-03  5.28571429e-02  2.15238095e-02
  2.09523810e-02  3.90476190e-03  2.21980952e+00  6.47619048e-03
  0.00000000e+00  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 8.36715879e-03 -6.72866965e-03  1.58705874e-02  2.80425916e-03
  5.81945794e-04 -1.97620347e-02  1.48115507e-02  3.54933846e-03
 -9.67765857e-03 -1.53938812e-02  1.10771213e-02 -2.86567026e-02
  2.19655773e-03 -1.17043555e-02 -1.52384619e-02  6.09301918e-03
 -2.01194186e-03  2.49130476e-03 -1.08720010e-02  1.61888842e-02
  2.33027910e-02  1.15616993e-02  1.57148553e-02 -1.39657326e-02
  2.92674375e-03  5.55863368e-03 -2.74506531e-02 -2.49245784e-03
  1.37880366e-03  8.18262572e-03  4.08882052e-03  1.39379535e-02
 -1.24240459e-02 -1.16395921e-02 -1.54443600e-02 -5.33800654e-03
  2.31296705e-03 -2.53868450e-03  1.54901776e-02  9.24488168e-03
  1.45999839e-02 -1.04106071e-02  2.26942206e-03 -7.19328694e-03
 -5.38150533e-03 -1.21925128e-02  2.52627947e-04 -1.86635486e-02
  1.17045016e-02  5.38549626e-03 -1.94435559e-03  1.42352890e-02
 -4.13184455e-03  2.06459780e-02  9.20068831e-03  5.30786221e-03
  1.01646401e-03  2.05773789e-04 -1.32941034e-02  1.70009867e-02
  1.73708343e-02 -2.49974589e-02  5.06863289e-03  9.56195410e-03
  4.71774904e+02  3.29854808e+01  6.58049904e+02  5.49028846e+00
  5.17288942e+02  3.72942308e+00  5.04414519e+02  5.23894231e+00
  1.07720962e+02  2.33778846e+00  3.43707115e+02  1.69721154e+00
  1.33348221e+03  8.05679904e+02  8.09855769e+00  7.41442308e-01
  2.79971154e+00  2.35576923e-02  2.94711538e-01  2.29807692e-02
  4.66346154e-01  1.48076923e-02  9.94105769e+00  4.71153846e-03
  5.12403846e-01  8.46153846e-03  6.05769231e-02  2.57692308e-02
  2.06730769e-02  3.55769231e-03  2.24721154e+00  1.37500000e-02
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.68404986e-02  3.56241265e-03  2.87084859e-02  3.65498750e-03
 -1.27012259e-02 -1.97756028e-02  9.09702104e-03 -6.57204501e-03
 -8.59745961e-03  4.83969997e-04  2.16511860e-02 -1.20709704e-02
 -8.81801601e-03 -1.31876168e-02  1.03597241e-02  6.81412247e-03
  2.37825406e-03 -7.20579071e-03 -1.11083784e-02  3.57518063e-02
  6.18444165e-03  2.16829168e-02  2.32142934e-03 -1.76038855e-02
 -3.14289657e-03  1.33792226e-02 -1.57792828e-02  1.39370931e-02
  2.16701779e-03  8.39429885e-03 -5.48583592e-03  1.32406096e-03
 -1.12815483e-02 -1.70885967e-02 -6.61751166e-03 -8.20377564e-03
  1.70692121e-03 -6.71671999e-03  2.27053370e-02  3.94169062e-04
 -1.45300985e-03 -1.22794986e-02 -5.45051594e-03 -8.83782587e-03
  9.57367952e-03 -4.97811653e-03  7.24375192e-03 -3.08734455e-03
  8.29905429e-03  8.88833045e-03 -2.14233566e-03  1.21362160e-02
 -5.12378576e-03  1.81796195e-02  7.99128274e-03  1.16725111e-02
  5.94610990e-03 -6.59133773e-04 -2.13130825e-03  2.01538792e-02
 -1.35498697e-02 -1.80532064e-02  9.31239975e-03 -1.10464435e-03
  4.59673942e+02  4.68934615e+01  6.39638269e+02  1.83171154e+01
  5.08536154e+02  4.86951923e+00  4.91231635e+02  8.66769231e+00
  1.08570288e+02  2.01182692e+00  3.35016635e+02  3.13240385e+00
  1.24977981e+03  7.36265288e+02  7.55615385e+00  8.70192308e-01
  2.80000000e+00  2.29807692e-02  2.98557692e-01  1.41346154e-02
  4.72596154e-01  2.02884615e-02  9.94038462e+00  3.94230769e-03
  5.26442308e-01  2.06730769e-02  6.49038462e-02  2.14423077e-02
  2.06730769e-02  3.55769231e-03  3.00288462e+00  3.97211538e-01
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 2.02448812e-02  7.06890285e-04  1.40106979e-02  4.73189165e-03
 -8.43987662e-03 -2.10112864e-02  1.50031411e-02 -7.84819279e-03
 -1.36545615e-02  9.78526638e-03  8.34844586e-03 -1.81624989e-02
 -8.59606604e-03 -1.17366760e-02 -1.50506313e-04  9.22148483e-03
  5.40098654e-03  1.06738524e-02 -9.66358708e-03  1.62609754e-02
  1.29060450e-02  1.68637622e-02  6.44164088e-04 -1.16662985e-02
 -1.83648575e-02  8.09931834e-03 -2.86250709e-02  6.36542775e-03
  5.69480984e-03  3.00382887e-03 -3.04190130e-03  2.47441422e-03
 -1.51647173e-02 -1.75044473e-02 -1.02229449e-02 -1.35535106e-02
  3.97000052e-03  5.64288546e-03  2.27948034e-02 -7.70594172e-04
 -4.49523180e-03 -1.44544030e-02 -6.57465613e-04 -1.08867713e-02
  4.61628650e-03 -6.70729570e-03  2.78450978e-04 -8.83134286e-03
 -6.86957429e-04  1.07081979e-02  1.39522248e-02 -3.86038043e-03
  2.12751658e-03  1.43094082e-02 -8.47553987e-04  6.61783633e-03
  2.45366994e-03 -3.49455930e-03 -8.06150972e-03  4.35463146e-03
  2.29613390e-04 -2.84827745e-02 -4.90279602e-03 -5.02461503e-03
  4.47619135e+02  2.70194231e+01  6.22657115e+02  1.85721154e+00
  5.07541538e+02  1.02923077e+00  4.88649327e+02  1.37932692e+00
  1.09675962e+02  9.97019231e-01  3.32487115e+02  1.99326923e-01
  1.17946731e+03  7.75357981e+02  8.47269231e+00  1.06355769e+00
  2.73461538e+00  5.84615385e-02  2.98557692e-01  1.41346154e-02
  4.74519231e-01  1.47115385e-02  9.94086538e+00  3.55769231e-03
  5.43269231e-01  4.90384615e-03  4.37500000e-02  2.17307692e-02
  3.37500000e-02  1.34615385e-02  2.46298077e+00  3.93557692e-01
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 2.10156130e-02 -5.49333935e-03  2.01726557e-02 -5.46057834e-03
 -1.10923812e-02 -2.18881329e-02  6.48879729e-03  2.96758903e-03
 -7.91381983e-03 -6.58416100e-03  5.10822057e-03 -2.12643417e-02
  3.55505497e-03 -2.12852481e-03  1.07861999e-02  9.16790843e-03
 -1.88091723e-03  2.40399526e-03 -6.23128305e-03  1.93103837e-02
  1.90945596e-02  1.87657743e-02  1.59831469e-02 -8.71139518e-03
 -6.42036451e-03  1.04390508e-02 -1.39899096e-02  1.71152154e-02
  9.95400265e-03  8.59797228e-03 -5.90776928e-03  5.61146302e-03
 -1.82602979e-02 -1.56066850e-02 -7.03944617e-03 -7.28442625e-03
 -7.88159316e-03  3.14864282e-03  1.89787500e-02  9.88009480e-03
  6.01545531e-04 -4.03558256e-03 -7.33891194e-03 -1.73627191e-02
 -9.22398398e-03 -5.21495557e-03  7.65990720e-03 -1.30033796e-02
  7.61019580e-03  2.42219560e-02 -4.26846467e-03 -6.98988252e-03
 -1.50568425e-04  1.78869967e-02  1.50266817e-03  8.64857829e-03
 -1.17501283e-02 -9.56606542e-03 -5.69451604e-03  5.46400034e-03
  6.50286868e-03 -1.98607070e-02 -5.93428231e-04  2.53336612e-04
  4.44632212e+02  3.08885577e+01  6.21504135e+02  9.79990385e+00
  5.08299808e+02  5.09307692e+00  4.88343462e+02  6.72567308e+00
  1.07982788e+02  2.76403846e+00  3.35012885e+02  2.43971154e+00
  1.33515365e+03  8.05689712e+02  8.56221154e+00  8.23461538e-01
  2.79442308e+00  4.19230769e-02  3.09615385e-01  2.28846154e-02
  4.75961538e-01  1.48076923e-02  9.94538462e+00  8.36538462e-03
  5.35384615e-01  8.94230769e-03  3.55769231e-02  2.57692308e-02
  3.99038462e-02  3.55769231e-03  3.11596154e+00  2.18846154e-01
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.75419289e-02  7.40755299e-03  1.47274656e-02  2.35565437e-03
 -2.83948383e-04 -1.67415689e-02  1.96046482e-03 -3.73996329e-04
 -1.31678654e-02 -8.24080920e-03  8.53064792e-03 -2.21443411e-02
  4.72063829e-03 -6.60379951e-03  3.84001568e-03  8.55096279e-03
 -3.61822546e-03 -3.16162945e-03 -1.79137680e-02  2.15845824e-02
  1.81844123e-02  2.75636482e-02  7.23667876e-03 -8.76657736e-03
 -6.74363831e-03  1.82186868e-02 -2.40564962e-02  2.48477221e-04
 -1.98210706e-04  6.78100770e-03 -1.39886718e-02  1.74394775e-02
 -7.72548256e-03 -1.93617355e-02  3.97958723e-03  3.47613244e-03
  1.70432433e-03 -1.00489689e-02  1.20086378e-02  7.11332598e-03
 -5.76050694e-03 -1.59701103e-02 -8.83408425e-03  6.83220906e-03
 -6.65363669e-03 -1.22345778e-03 -3.55288837e-03 -1.45807404e-02
  7.19303346e-04  1.96989236e-02  7.88596674e-05 -8.78625890e-04
  1.02570436e-02  9.41928297e-03  3.39477610e-04  1.00521647e-02
  2.03673151e-03 -7.46745459e-03 -2.03691630e-02 -2.91002169e-03
 -1.01693050e-03 -1.96686281e-02  9.48621469e-03 -2.22684536e-03
  4.48737885e+02  2.91675962e+01  6.30139615e+02  4.63192308e+00
  5.11393750e+02  3.94778846e+00  4.98120192e+02  4.40769231e+00
  1.07157885e+02  2.32951923e+00  3.39925673e+02  1.74394231e+00
  1.25085615e+03  7.36341635e+02  8.86634615e+00  8.34038462e-01
  2.70230769e+00  7.14423077e-02  3.17788462e-01  1.41346154e-02
  4.77403846e-01  1.47115385e-02  9.94798077e+00  7.88461538e-03
  5.16826923e-01  2.06730769e-02  3.60576923e-02  2.14423077e-02
  3.99038462e-02  3.55769231e-03  2.44721154e+00  1.16153846e-01
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
