Embedding,Label
"[-1.16060865e-03  1.27615457e-03  1.44475791e-02  9.12564122e-03
 -1.22703437e-02 -3.08615990e-02  6.97176704e-03 -3.70352320e-03
 -2.09423987e-02 -9.98884052e-03  1.74082611e-02  1.16484467e-04
 -7.67668909e-03 -1.58512293e-02  3.65283340e-03 -2.76627741e-03
 -7.83852188e-04  5.81641699e-03 -7.99709350e-03  1.09489513e-02
  1.73721663e-02  1.38418455e-02  1.43872123e-02 -1.10482519e-02
 -2.74754820e-03  1.44697570e-02 -2.73291551e-02  9.53688173e-03
  7.00695894e-03 -6.96710561e-04 -1.07395880e-02  1.00496260e-02
 -1.09503945e-02 -1.17721537e-02  1.43544033e-02  9.40444539e-05
  6.10262619e-03 -2.90296295e-03  2.97615992e-02  5.51639652e-03
  3.88959594e-03  1.20956140e-02 -1.78603065e-03 -3.55728784e-03
 -6.71452566e-03 -9.91056124e-03  5.61168913e-03  1.09381095e-03
  1.70824684e-03  2.53722456e-03  2.19030500e-02 -1.57980245e-02
  2.24042407e-03  1.54995698e-02  1.38488303e-02  1.39005907e-02
  3.35413781e-04 -2.52927924e-02 -9.47593184e-03  4.57181672e-03
  1.48311922e-02 -2.67912353e-02 -4.04986757e-06  5.50658198e-03
  6.04888293e+02             nan  6.68243843e+06             nan
  8.13893049e+02             nan  2.14445732e+02             nan
  5.99841463e+01             nan  4.27896220e+02             nan
  1.42252537e+03             nan  2.01451220e+00             nan
  1.86853659e+00             nan  7.00609756e-01             nan
  4.81707317e-01             nan  1.01439024e+01             nan
  6.95731707e-01             nan  5.00000000e-02             nan
  2.15853659e-02             nan  1.21951220e-02             nan
  0.00000000e+00             nan  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -2.43902439e-02  0.00000000e+00
  3.65853659e-03  5.85365854e-03  3.65853659e-02  0.00000000e+00]",0
"[ 7.10172469e-04 -1.11910204e-03  1.26674245e-02  3.18043182e-03
 -2.46353491e-03 -2.00382547e-02 -1.15636722e-03 -1.89550988e-05
  6.94094628e-05 -1.14632567e-02  1.26945873e-02  2.00220154e-03
  1.05035036e-02 -5.39278414e-03 -4.62505090e-03 -1.04633898e-03
 -9.14927221e-03  3.78038048e-03 -6.92233443e-04 -2.80619471e-03
 -1.67493318e-03  1.90852177e-03  1.05480455e-02 -2.59737028e-03
  1.24807922e-03  5.83658221e-03 -7.33280591e-03  1.57173307e-03
 -4.79973129e-03 -2.69234473e-04 -4.34250954e-03  1.40120929e-03
 -9.33287220e-03 -7.00641949e-03  2.68585337e-03 -4.29259314e-03
  4.64826691e-03 -6.03783452e-03  1.00147943e-02  9.93811434e-04
  5.74279167e-03  3.31700593e-03 -4.41693398e-03 -2.49955613e-03
  3.41884120e-03  1.08024215e-03 -1.49765662e-03 -3.54755348e-03
  1.09002728e-02 -5.50031662e-04 -2.20266896e-03 -5.99115685e-04
 -9.02444942e-03  6.99659802e-03  1.03752774e-02  6.50886344e-03
  2.11464219e-03 -6.78579714e-03 -1.06103742e-02  8.60803823e-03
  3.69940070e-03 -9.59143306e-03 -4.69202548e-03  6.19554202e-04
  2.68359020e+02  5.40847059e+01  6.84491569e+02  3.10980392e-01
  9.59291569e+02  9.42156863e-01  2.80035294e+01  1.39803922e-01
  2.55509804e+00  1.76078431e-01  2.43329412e+01  2.08627451e-01
  2.46237059e+03  1.66978098e+03  1.57647059e-01  4.41176471e-02
  3.54705882e-01  3.90196078e-02  7.64705882e-02  2.76470588e-02
  6.53921569e-01  3.00000000e-02  1.66666667e-02  7.25490196e-03
  6.76470588e-02  1.00000000e-02  5.00000000e-02  4.43137255e-02
  2.35294118e-02  8.03921569e-03  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -3.92156863e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.88235294e-02  0.00000000e+00]",0
"[ 6.25599526e-03 -1.34587142e-04  8.00589837e-03  6.54915165e-03
 -7.08078812e-03 -1.07560953e-02  5.50095722e-03  2.67149625e-03
 -5.04758004e-03 -7.86348476e-03  1.20655883e-02 -2.47676291e-04
 -2.10617512e-03 -2.84964935e-03  2.34854126e-03  2.89297206e-03
 -2.57579164e-03 -4.59556946e-03 -5.08143694e-03  7.11904554e-03
  4.28993627e-03  4.04214492e-03  9.90764548e-03 -2.28559998e-03
 -3.36739947e-05  3.00268566e-03 -1.06659780e-02 -4.85847686e-03
 -3.92784938e-03 -3.22663317e-03 -1.16573724e-02  7.71481836e-04
 -5.28597978e-03 -8.11633322e-03  3.55875477e-03  1.01159075e-03
  9.96992284e-04  1.33627303e-03  1.18786535e-02  3.95710927e-03
  2.08638457e-03  1.33320273e-03  3.95176750e-04 -6.96060865e-03
  9.22152225e-04  2.05225147e-04 -6.93038968e-03 -1.42226653e-05
  2.88599832e-03  1.03422313e-03  1.17188867e-04  1.11634445e-03
  1.98156591e-03  1.00131159e-02  1.65617390e-02  2.80361929e-03
  3.23214229e-03 -8.62917092e-03 -3.28943718e-04 -4.55423021e-04
  2.65134047e-03 -9.52457330e-03  2.61608497e-03  6.54374098e-04
  2.69816275e+02  5.11913725e+01  6.84753529e+02  6.32941176e-01
  9.58532941e+02  1.77882353e+00  2.80103922e+01  1.44117647e-01
  2.62686275e+00  1.83725490e-01  2.43401961e+01  1.98823529e-01
  2.37645922e+03  1.50620706e+03  1.60000000e-01  4.94117647e-02
  3.61568627e-01  4.35294118e-02  7.64705882e-02  2.76470588e-02
  6.59803922e-01  3.00000000e-02  1.66666667e-02  7.25490196e-03
  6.86274510e-02  1.00000000e-02  5.39215686e-02  4.37254902e-02
  4.60784314e-02  3.76470588e-02  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  9.41176471e-02  1.21568627e-01 -3.92156863e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.88235294e-02  0.00000000e+00]",0
"[ 8.29011918e-04 -3.51606539e-03  1.29984276e-02  2.80689756e-03
 -4.47744074e-06 -1.03160945e-02 -6.26657731e-04  4.66446636e-03
 -3.78419856e-03 -3.40369358e-03  1.25956578e-02 -3.79765956e-04
 -1.58751091e-03  1.63698426e-04 -4.99102187e-03  1.72039637e-05
 -4.32386077e-03  1.74127491e-03 -3.16207426e-03  6.36142034e-03
  7.34473937e-03  3.59381750e-03  9.35937436e-03 -5.17031192e-03
 -5.09558138e-04  1.17475660e-02 -1.07485612e-02  9.84534388e-04
 -8.91156609e-03 -4.54612220e-03 -2.55912091e-03 -2.29190154e-03
 -6.76307799e-03 -1.07995005e-03  5.22269165e-03  6.14965694e-04
  2.32667397e-03  1.49117640e-03  6.02264530e-03  4.69878674e-03
  7.48987883e-04  4.14629538e-03 -1.40263720e-03 -4.71907940e-03
 -9.14407751e-04  5.76358324e-04  5.78554104e-03 -2.63238476e-03
 -1.47237569e-03  1.67349998e-03  3.85469300e-03  1.61369163e-03
 -3.99389591e-03  1.06807867e-02  1.03589675e-02 -2.29999849e-03
  1.42647874e-03 -6.98954039e-03 -1.55237435e-03  1.89658169e-03
  7.62059511e-03 -1.18994380e-02  1.72530774e-03 -9.83070976e-04
  2.60327885e+02  5.24121154e+01  6.71349038e+02  5.58269231e-01
  9.40083846e+02  1.52538462e+00  2.74646154e+01  1.36346154e-01
  2.62384615e+00  1.96923077e-01  2.38826923e+01  1.88076923e-01
  2.21189500e+03  1.54119808e+03  1.60576923e-01  4.44230769e-02
  3.54038462e-01  5.23076923e-02  7.15384615e-02  3.88461538e-02
  6.44230769e-01  2.96153846e-02  1.53846154e-02  7.88461538e-03
  5.90384615e-02  1.96153846e-02  4.80769231e-02  4.28846154e-02
  7.98076923e-02  7.11538462e-03  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  2.30769231e-01  0.00000000e+00 -3.84615385e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.76923077e-02  0.00000000e+00]",0
"[ 5.45077844e-03  8.37989371e-04  1.49691269e-02  4.57091798e-03
 -1.97428370e-03 -1.44943227e-02 -1.61115664e-03  2.87483136e-03
  2.45071119e-03 -5.88420852e-03  9.28160110e-03 -1.18521358e-03
  2.17861638e-03 -3.71847287e-03 -8.60546880e-03  3.30313368e-03
 -6.86540586e-03 -1.20309945e-03 -7.46664376e-03  6.77086391e-03
  9.61316245e-03  9.32921966e-04  1.60479908e-02 -4.96589889e-03
 -3.34914043e-04  8.54247925e-03 -1.16637782e-02 -6.95021093e-04
 -4.70199860e-03 -3.97358579e-03 -5.50386353e-03  2.75206507e-03
 -1.00269619e-02 -1.71525298e-03  6.63384386e-03 -9.78652169e-04
 -2.87104851e-03 -3.64108413e-05  1.26449793e-02  6.60144377e-03
 -1.01193073e-03  5.18010118e-03  1.48806356e-03 -5.23999863e-03
 -3.11746432e-03 -9.12821036e-04  2.02982774e-03  9.61956513e-05
 -1.17997233e-03 -7.15165089e-04  4.33124748e-04 -7.39386415e-04
 -7.96640182e-05  9.27483685e-03  8.80034881e-03  2.67755810e-03
  3.34891346e-03 -5.02337172e-03 -6.52571863e-03 -2.08498304e-03
  2.91587967e-03 -1.29784188e-02  4.40127081e-03 -3.14601211e-03
  2.71212353e+02  5.16470588e+01  6.84233529e+02  3.59411765e-01
  9.59266275e+02  9.40588235e-01  2.80098039e+01  1.39803922e-01
  2.79156863e+00  1.78431373e-01  2.43764706e+01  1.99411765e-01
  2.46247784e+03  1.66978431e+03  1.57647059e-01  4.58823529e-02
  3.54901961e-01  6.62745098e-02  7.35294118e-02  3.47058824e-02
  6.65686275e-01  4.07843137e-02  1.66666667e-02  7.25490196e-03
  6.47058824e-02  1.70588235e-02  5.00000000e-02  4.43137255e-02
  8.23529412e-02  8.03921569e-03  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  2.35294118e-01  0.00000000e+00 -3.92156863e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.88235294e-02  0.00000000e+00]",0
"[ 8.06598781e-03  1.17813742e-03  2.38587632e-02  4.48461205e-03
 -1.49762905e-02 -1.28907391e-02  1.12563094e-02 -3.71588289e-03
  9.23413658e-04 -5.01755118e-03  1.34222008e-02 -1.05806499e-02
 -7.66032091e-03 -9.59053338e-03  3.23691348e-03  1.54944504e-02
  2.75974088e-03  1.77819342e-04 -1.23596615e-02  1.86601055e-02
  1.80620141e-02  2.50274470e-02  1.52786946e-02 -1.62168093e-02
 -2.67867321e-03  1.24345819e-02 -2.28722190e-02 -2.33033993e-03
  1.19099673e-02 -1.12960337e-03 -1.41902843e-02  6.90124761e-03
 -1.02051307e-02 -1.09749725e-02 -4.21099107e-03 -4.78571527e-03
  1.79141195e-03  6.07146462e-03  1.88259220e-02  5.33926157e-04
  2.53998899e-03 -6.84299965e-03  9.00417050e-03 -1.07818698e-02
  1.97527826e-03 -8.02808546e-03  4.46499440e-03 -1.53331490e-02
 -5.78243081e-03  8.31601162e-03  7.65269511e-03 -1.02481158e-02
  9.06369165e-04  2.57569650e-02  6.24405607e-03  1.34304637e-02
 -1.62749659e-03 -5.97423279e-03 -3.30965850e-03 -2.21528901e-03
  1.70362428e-03 -1.58569043e-02  8.14952092e-03 -1.14995341e-02
  4.78328077e+02  6.03807692e+01  5.94326661e+06  4.45849229e+06
  6.60616923e+02  2.94766346e+01  4.86737404e+02  2.47636538e+01
  6.31895192e+01  6.34625000e+00  3.37579904e+02  1.05326923e+00
  1.22587385e+03  7.82420096e+02  3.64076923e+00  3.16990385e+00
  1.58490385e+00  3.76634615e-01  5.94519231e-01  7.95192308e-02
  3.96346154e-01  5.30769231e-02  7.92394231e+00  1.28115385e+00
  6.30000000e-01  7.79807692e-02  4.28846154e-02  2.61538462e-02
  3.38461538e-02  2.32692308e-02  2.29807692e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  8.94230769e-03  2.50000000e-03
  9.23076923e-02  6.08653846e-02 -5.76923077e-03  1.49038462e-02
  0.00000000e+00  0.00000000e+00  2.11538462e-02  1.31730769e-02]",0
"[ 1.36749543e-02 -4.02280950e-03  7.43864692e-03  9.44401652e-04
 -8.61175023e-03 -2.06952176e-02  6.99566447e-04  9.89781533e-04
 -8.85324874e-03 -5.57215625e-03  2.21328239e-02 -1.84232991e-02
  6.65861679e-03  5.24480338e-03 -4.87813779e-04  6.77727693e-03
 -6.42205221e-03  5.34083478e-03 -1.68479179e-02  2.22221816e-02
  2.72072041e-02  1.82558039e-02  9.82942677e-03 -1.34248887e-02
 -7.30047712e-04  3.86217421e-03 -3.41052458e-02  9.09968075e-04
  2.79478881e-03  6.64167333e-03 -1.12601859e-02  1.78301068e-02
 -1.90112662e-03 -6.19592218e-03  2.17764541e-03 -1.05829449e-02
 -5.99442220e-03 -8.06730084e-03  1.28557364e-02  1.22554847e-02
 -9.05520184e-03 -4.63895553e-03 -5.11690368e-03 -2.00055051e-02
 -1.77282044e-03 -8.72959906e-03 -1.67935927e-04  2.76544007e-04
  1.25244286e-02  1.18754707e-02  8.40125091e-04 -1.40413677e-03
 -6.82286840e-03  1.25892547e-02 -2.41808515e-03  7.92661929e-03
  6.28406322e-03 -9.76491192e-03 -1.05866827e-02  1.67441007e-02
  7.99087041e-03 -2.48916505e-02  4.35326731e-03 -2.82221995e-03
  4.80141333e+02  3.77214286e+01  6.64044952e+02  3.11266667e+00
  6.47757048e+02  3.27342857e+00  4.89735810e+02  4.99514286e+00
  6.89075238e+01  8.84857143e-01  3.34694000e+02  1.92571429e-01
  1.21100314e+03  7.64361238e+02  8.91028571e+00  7.50476190e-01
  2.65333333e+00  7.36190476e-02  5.81428571e-01  1.93333333e-02
  4.14285714e-01  1.46666667e-02  7.69714286e+00  8.66666667e-03
  6.04285714e-01  7.71428571e-03  4.28571429e-02  2.12380952e-02
  1.09523810e-02  3.52380952e-03  2.27619048e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.09005996e-02 -1.25913007e-02  1.69006077e-02 -8.06658054e-04
 -3.85162650e-03 -2.44361301e-02  8.65349702e-03 -4.62468610e-03
 -1.44977192e-02 -7.22577932e-03  1.46355481e-02 -1.30993098e-02
 -1.06417588e-03 -1.78243368e-02  1.84698224e-03  7.42747341e-03
 -9.30458791e-04  2.05944425e-03 -5.36193161e-03  1.10371562e-02
  2.04903653e-02  8.66825468e-03  1.72344149e-02 -2.61336350e-03
  5.46066064e-03  9.71678533e-03 -2.20903514e-02  1.36831143e-02
  1.45493892e-03  6.21741830e-03 -8.11950049e-03  3.70545860e-03
 -1.19959905e-02 -4.69964501e-03 -7.04461247e-03 -4.85429765e-03
  1.35761802e-04 -3.51530312e-03  2.23971029e-02  1.20996955e-02
  5.40400082e-03  1.65715780e-03  2.19288662e-03 -6.52183299e-03
 -5.66997057e-03 -1.28894733e-03  1.20188168e-02 -3.05713717e-03
  3.46278535e-03  1.08828989e-02  1.30191618e-02 -1.48489562e-02
 -5.37487857e-03  1.65313103e-02 -4.05501646e-04  6.90250925e-03
  4.71125762e-03 -1.27365636e-02 -1.50867750e-02  1.77227375e-02
  8.27217001e-03 -1.67865203e-02  7.57204351e-03  5.26861169e-03
  4.74132212e+02  2.52237500e+01  6.71104327e+02  8.37980769e-01
  6.51396923e+02  7.19519231e-01  4.91924904e+02  1.10557692e+00
  6.92490385e+01  8.62788462e-01  3.37825481e+02  1.97500000e-01
  1.32472115e+03  8.19580385e+02  8.64009615e+00  7.17403846e-01
  2.59317308e+00  1.22980769e-01  5.84615385e-01  1.64423077e-02
  4.16826923e-01  1.47115385e-02  7.76346154e+00  8.36538462e-03
  6.09134615e-01  7.78846154e-03  4.37500000e-02  2.17307692e-02
  1.15384615e-02  3.94230769e-03  2.29807692e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.90980868e-02 -5.11960771e-04  1.70238611e-02 -1.12750127e-03
 -5.50035461e-03 -2.83678329e-02  5.94077503e-03  2.15453608e-03
 -5.71591532e-03 -1.76424311e-03  8.53628071e-03 -1.04665783e-02
  7.30858901e-04 -4.73333093e-03  1.67179866e-03  1.72444605e-02
  4.13923828e-03 -1.91019651e-03 -1.21960971e-02  2.71561133e-02
  1.34198108e-02  1.72705687e-02  1.28309968e-02 -1.92251987e-02
  3.02319633e-03  2.11434275e-02 -1.65137879e-02  4.56067605e-03
  4.66559711e-03 -1.40280042e-03 -9.29836323e-03  1.53985726e-02
 -2.02986106e-02 -1.85874347e-02 -2.49117425e-03 -4.92490735e-03
 -6.18121936e-04  2.56539537e-04  1.39020173e-02 -8.93144661e-03
  2.34277091e-03 -6.03091061e-03 -8.45427116e-03 -5.23949886e-03
 -1.59624953e-03 -7.00144254e-03 -5.29039823e-03 -1.39943593e-02
  4.74047195e-03  1.31770873e-02  3.60914950e-03 -7.92102079e-03
 -2.10198238e-03  1.52265000e-02 -2.05915887e-03  1.17992910e-02
  1.21693152e-03 -8.62328586e-03 -1.81987564e-02 -7.83766906e-04
 -3.05345678e-03 -2.26117627e-02  3.93704828e-03 -3.11046599e-03
  4.75992019e+02  2.67062500e+01  6.70833558e+02  9.74615385e-01
  6.51251731e+02  6.92692308e-01  4.92782500e+02  8.77884615e-01
  6.92800000e+01  1.29375000e+00  3.37760192e+02  1.84038462e-01
  1.28241019e+03  7.39497404e+02  8.85942308e+00  8.19615385e-01
  2.37615385e+00  1.50288462e-01  5.84615385e-01  1.64423077e-02
  4.19711538e-01  1.47115385e-02  7.75509615e+00  8.07692308e-03
  6.09615385e-01  7.78846154e-03  4.56730769e-02  2.14423077e-02
  1.10576923e-02  3.55769231e-03  2.29807692e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 6.14630846e-03 -2.02745437e-03  1.00600160e-02  3.70130048e-03
 -7.73784908e-03 -1.69311237e-02  1.10843176e-02  5.37510505e-03
 -1.14585813e-02  1.17320280e-03  1.12729881e-02 -1.81760542e-02
 -2.52097962e-03 -9.21735881e-03  2.15693498e-03  1.57259061e-02
  1.30811603e-02  6.04419903e-03 -7.32217613e-03  2.49422824e-02
  9.47912470e-03  2.53895065e-02  1.83125551e-02 -8.41370761e-03
 -1.05658837e-03  1.21375038e-02 -2.10985982e-02 -1.57715490e-02
 -6.28197397e-03 -9.46420752e-03 -8.43679088e-03 -2.12149029e-03
 -7.01660124e-03 -1.33303415e-02  6.55341496e-03 -8.47213888e-03
 -6.16180003e-03 -8.22514213e-03  1.69637806e-02  4.96654035e-03
 -2.08759728e-03 -1.19441245e-02  4.82342467e-03 -6.90278054e-03
  3.31335808e-03 -2.04401712e-03 -4.12014670e-03 -1.53776609e-03
  6.30124540e-03  1.48019608e-02 -1.42039264e-03 -3.15820924e-03
  3.34192122e-03  2.37674433e-02  1.13156572e-02  1.23078754e-02
 -2.69371647e-03 -9.53639180e-03  3.25238513e-03  1.84794473e-02
  4.77050944e-03 -1.59677000e-02  1.15944898e-02 -1.38181521e-03
  4.70650381e+02  2.47936190e+01  6.64911905e+02  1.93542857e+00
  6.45209810e+02  8.40952381e-01  4.87800952e+02  9.83428571e-01
  6.82008571e+01  8.30952381e-01  3.34613143e+02  2.51714286e-01
  1.21147714e+03  7.64006667e+02  8.62390476e+00  7.06000000e-01
  2.50428571e+00  1.98285714e-01  5.81904762e-01  1.72380952e-02
  4.14285714e-01  1.46666667e-02  7.67238095e+00  7.80952381e-03
  6.04285714e-01  7.71428571e-03  4.28571429e-02  2.12380952e-02
  1.09523810e-02  3.52380952e-03  2.27619048e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
