Embedding,Label
"[ 5.56961795e-03 -2.26915573e-03  1.27799519e-02  2.84938169e-03
 -4.26858319e-04 -9.88433565e-03  1.39220995e-03  6.73496682e-03
  9.51767727e-04 -4.40825105e-03  1.26523552e-02 -5.92777561e-03
  8.28084156e-03  1.74902068e-03 -1.07368327e-03 -3.47271838e-04
 -5.16644865e-03  5.19876368e-04 -8.66085432e-03  4.65232065e-03
  3.50387284e-03  7.92826602e-03  1.19523986e-02 -2.11854745e-03
 -1.63802587e-03  9.68798312e-03 -6.52623453e-03  5.05115216e-03
 -4.08258758e-03  2.35672626e-04 -6.39348256e-03 -8.90446482e-04
 -9.48138328e-03 -9.75736865e-03  9.15587121e-04 -2.68708642e-03
  6.52935080e-04 -1.36851437e-04  1.23445541e-02  2.12523672e-04
 -2.90652861e-03  2.37860220e-03 -5.78298737e-03 -5.23386265e-03
 -2.57658158e-03 -1.95261000e-03  3.96923038e-03 -1.72402986e-03
  7.82885571e-04  5.64366979e-03 -1.46958811e-03  9.74505502e-04
 -6.84730819e-03  6.78514662e-03  6.19088100e-03  6.99206386e-03
  6.42501742e-03 -8.54271319e-03 -4.33959791e-03  3.28366541e-03
  2.72928371e-03 -6.08681749e-03 -5.65090475e-03  4.22308911e-04
  2.63657407e+02             nan  8.63218519e+02             nan
  6.49102407e+02             nan  2.38805556e+01             nan
  3.22166667e+00             nan  2.20533333e+01             nan
  2.17671796e+03             nan  1.11388889e+00             nan
  6.55925926e-01  5.88888889e-02  2.21851852e-01  3.20370370e-02
  5.86111111e-01  2.83333333e-02  1.48148148e-02  7.59259259e-03
  6.24074074e-02  2.90740741e-02  5.09259259e-02  4.12962963e-02
  4.90740741e-02  2.85185185e-02  0.00000000e+00  0.00000000e+00
  1.85185185e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  1.85185185e-01  8.64814815e-02 -3.70370370e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.55555556e-02  0.00000000e+00]",0
"[ 5.79810888e-03  1.64263309e-03  1.29536299e-02  5.12967517e-03
 -4.96757847e-03 -1.00593045e-02  5.55903020e-03  1.62622594e-03
 -3.35336018e-04 -2.53973643e-03  9.54875751e-03  5.09402185e-03
 -2.92946284e-03  1.41311150e-03 -7.91304387e-04  5.85795430e-03
 -4.74499582e-03  9.05968750e-04 -1.09586635e-02  1.20802299e-02
  8.46700886e-04  4.25809529e-03  1.32176922e-02 -7.25499168e-03
 -3.49110408e-03  6.67420778e-03 -1.04207331e-02  1.06915975e-03
 -2.69659222e-03 -8.32453170e-03 -2.97791337e-03 -3.89063437e-03
 -8.92773070e-03 -7.16976019e-03  1.01020737e-02 -4.15562251e-03
  1.13877783e-03 -1.37192699e-03  1.75186195e-02  6.10302919e-03
  2.63490886e-03  3.20700511e-03 -3.67319670e-03 -2.63005767e-03
  4.08481415e-03 -2.71293478e-04  5.45219461e-03  4.36580031e-03
 -3.24011750e-03  4.13009431e-03  7.40146838e-04 -1.05923522e-03
 -4.88536174e-03  7.23337296e-03  7.01683359e-03  7.39293660e-03
  8.86843934e-04 -9.26770900e-03  2.53314439e-03 -8.03737113e-05
  5.34422753e-03 -1.61387026e-02  4.25444543e-03  4.46242022e-03
  2.75170769e+02  4.68573077e+01  8.98533846e+02  2.84423077e-01
  6.69944808e+02  9.57307692e-01  2.51167308e+01  1.46923077e-01
  2.41288462e+00  1.87307692e-01  2.29519231e+01  1.95192308e-01
  2.11587673e+03  1.29789692e+03  1.56538462e-01  4.46153846e-02
  6.90192308e-01  3.34615385e-02  2.31730769e-01  2.82692308e-02
  6.02884615e-01  2.94230769e-02  1.63461538e-02  7.11538462e-03
  6.73076923e-02  9.80769231e-03  4.90384615e-02  4.34615385e-02
  6.15384615e-02  7.88461538e-03  0.00000000e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  2.30769231e-01  0.00000000e+00 -3.84615385e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.76923077e-02  0.00000000e+00]",0
"[ 2.58871453e-03 -3.64914239e-03  1.52600706e-02  5.33277614e-03
 -1.60358160e-03 -1.05995869e-02 -3.44152494e-03  4.63835997e-03
  8.55062230e-05  1.17181179e-03  7.49060453e-03  6.26810059e-04
  8.13919540e-04 -1.15685092e-04 -5.01302133e-03  3.68538397e-03
 -5.97955717e-03  9.44453894e-04 -7.67579689e-03  8.61256438e-04
  8.93336724e-03  4.67660906e-03  1.34784141e-02 -2.67338000e-03
  2.40067166e-03  1.21905260e-02 -6.86532814e-03  2.18582047e-04
 -8.88403812e-03 -4.51877363e-03 -2.97173113e-03 -3.78254655e-03
 -9.98969318e-03 -4.37349103e-03  4.93893977e-03 -2.27051623e-04
 -1.25196189e-03  8.90075722e-04  1.46588221e-02 -7.54585161e-04
 -2.78463213e-03  4.98472556e-03 -1.58636287e-03 -7.65705196e-03
 -1.97515505e-03 -1.13123641e-03  3.98279712e-03  2.06468663e-03
 -7.25639655e-04 -1.22237132e-03  5.49534679e-03 -5.36067959e-04
 -1.79079270e-04  1.00044421e-02  7.69548293e-03  1.16892658e-03
 -1.03082964e-03 -4.82801056e-03 -5.46646173e-03  4.24223213e-03
  3.13748374e-03 -1.16886979e-02  1.52030478e-03  2.59735435e-03
  2.77891961e+02             nan  9.15951569e+02             nan
  6.83089412e+02             nan  2.56150980e+01             nan
  2.48784314e+00             nan  2.33482353e+01             nan
  2.43205216e+03             nan  1.56078431e-01             nan
  6.83333333e-01  5.41176471e-02  2.23137255e-01  3.76470588e-02
  6.17647059e-01  3.01960784e-02  1.66666667e-02  7.25490196e-03
  5.74509804e-02  2.00000000e-02  4.80392157e-02  4.21568627e-02
  6.17647059e-02  7.25490196e-03  0.00000000e+00  0.00000000e+00
  1.96078431e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  2.35294118e-01  0.00000000e+00 -3.92156863e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.88235294e-02  0.00000000e+00]",0
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  1.85195833e+01  1.63750000e-01  3.76665000e+02  2.19166667e-01
  8.48125000e+00  1.41708333e+00  1.06570833e+01  9.08333333e-02
  4.30000000e-01  6.75000000e-02  9.70208333e+00  1.76666667e-01
  4.88896125e+03  2.63939208e+03  2.22916667e-01  8.16666667e-02
  9.88333333e-01  6.16666667e-02  4.60416667e-01  6.12500000e-02
  1.31875000e+00  6.37500000e-02  3.33333333e-02  1.70833333e-02
  1.47916667e-01  2.12500000e-02  1.10416667e-01  8.04166667e-02
  1.31250000e-01  1.54166667e-02  0.00000000e+00  0.00000000e+00
  4.16666667e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  5.00000000e-01  0.00000000e+00 -8.33333333e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.25000000e-01  0.00000000e+00]",0
"[ 1.03406364e-02 -4.94834485e-03  1.51060628e-02  2.75197587e-03
 -7.36164400e-03 -1.31900319e-02  2.46164484e-03  9.39266412e-03
 -2.79815803e-03 -1.13394322e-02  1.34299251e-02  1.60587806e-03
 -1.80211382e-03 -1.23137770e-03 -4.88210048e-03 -2.43140328e-03
 -7.49126274e-03 -2.54901217e-03 -7.39079883e-03  6.62480492e-03
  5.70015019e-03  9.76499409e-03  6.91846013e-03 -7.43910243e-03
 -7.93452758e-03  9.21835174e-03 -1.09964738e-02  2.89685771e-03
 -7.21579467e-03  1.59383347e-03 -1.09194697e-02  1.73901021e-03
 -7.86801020e-03 -4.91116428e-03  7.66955738e-04 -2.86777922e-03
 -3.60129897e-03 -7.71050549e-03  1.35482049e-02  2.50194222e-03
 -3.89581919e-03 -1.28565613e-03 -4.46954623e-03 -3.92229953e-03
  3.09557341e-03  1.97114410e-03  2.32161652e-03  4.61239558e-03
  4.89765757e-03 -5.75911183e-04 -6.05120341e-03 -9.79976553e-04
 -6.47944261e-03  1.09528314e-02  3.47076821e-03 -1.98518959e-03
  5.08218174e-03 -8.34290740e-03  8.32802844e-04 -1.88642009e-03
  4.55593561e-03 -1.13208485e-02  2.52479498e-03  6.28550020e-03
  2.22327925e+02             nan  8.78702453e+02             nan
  6.59900755e+02             nan  2.43550943e+01             nan
  3.48698113e+00             nan  2.23952830e+01             nan
  1.91371377e+03             nan  1.14188679e+00             nan
  6.50000000e-01             nan  2.08113208e-01  4.84905660e-02
  6.03773585e-01  4.07547170e-02  1.47169811e-02  8.30188679e-03
  5.20754717e-02  1.77358491e-02  4.73584906e-02  4.15094340e-02
  6.07547170e-02  8.30188679e-03  0.00000000e+00  0.00000000e+00
  1.88679245e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  2.26415094e-01  0.00000000e+00 -3.77358491e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.66037736e-02  0.00000000e+00]",0
"[ 1.93074786e-03 -3.85953015e-03  5.44027103e-03  9.55944193e-03
 -6.93871353e-03 -1.08300906e-02 -6.46481174e-04  8.98447747e-03
 -2.38167749e-03 -3.50668023e-03  1.34042871e-02  3.22995206e-05
  3.94425355e-03 -4.00863251e-03  1.57010913e-03 -2.22456620e-03
 -6.46949932e-03 -3.82179824e-04 -6.07839012e-03  6.42505267e-03
  3.04184104e-03  5.67173238e-03  1.01404500e-02 -3.36769460e-03
 -1.14516319e-03  1.01353188e-02 -8.49873974e-03  5.32863379e-03
 -3.84360133e-03 -9.23379262e-04 -4.61023244e-03 -3.26341777e-03
 -5.75069352e-03 -7.74263906e-03  4.85059275e-03  3.11097925e-03
  1.50628639e-04 -9.25781277e-04  1.66547367e-02  4.13564550e-03
 -3.53578349e-03  2.23611310e-03 -1.10060736e-03 -2.39670155e-03
 -2.75534635e-03 -1.02465062e-03  3.74940220e-03  1.36563984e-04
 -5.52335199e-04  4.90474400e-03  7.98662007e-03  1.51841128e-03
 -2.78178244e-04  1.08992558e-02  6.99189133e-03  1.68418386e-03
  2.81636438e-03 -7.41441974e-03 -9.07780746e-04  4.60205302e-03
  3.18074473e-03 -9.47367228e-03  1.14886520e-04  2.79274991e-03
  2.75428077e+02  4.49575000e+01  8.98703846e+02  1.76480769e+00
  6.69252308e+02  1.80519231e+00  2.50961538e+01  1.66153846e-01
  2.19788462e+00  7.47692308e-01  2.29400000e+01  1.90769231e-01
  2.38531096e+03  1.31841365e+03  2.59807692e-01  9.28846154e-02
  6.63846154e-01  4.71153846e-02  2.19230769e-01  3.71153846e-02
  6.07115385e-01  3.48076923e-02  1.63461538e-02  7.11538462e-03
  7.86538462e-02  1.94230769e-02  6.46153846e-02  6.26923077e-02
  1.80769231e-02  3.76923077e-02  0.00000000e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  3.28846154e-02  8.38461538e-02 -3.84615385e-02  0.00000000e+00
  8.26923077e-03  9.80769231e-03  5.76923077e-02  0.00000000e+00]",0
"[ 8.88796280e-03 -7.37009971e-03  1.28811690e-02  7.93348883e-03
  2.18238803e-03 -1.42185178e-02  2.70846859e-03  1.08495807e-02
  8.14247590e-04  1.84301860e-03  9.85217567e-03 -3.02133107e-03
  8.92483844e-03 -8.53733260e-03 -5.97974128e-03  5.21240648e-03
 -2.82557027e-03  2.90579943e-03 -5.20961570e-03  2.67852275e-03
  8.91287525e-03  1.33175546e-02  1.63584587e-02 -9.42798761e-03
 -1.15774321e-04  7.69431001e-03 -4.80284542e-03  3.06256809e-03
  5.04130383e-03 -1.97055818e-03 -2.45487837e-03  7.64068789e-03
 -8.54881767e-03 -3.69715680e-03  2.47835435e-03 -1.04092672e-03
  2.61660594e-03  1.21262569e-04  1.82498453e-02  5.38847538e-03
  3.90694756e-03 -1.06993105e-02 -1.95658594e-03  3.92617022e-04
  3.62365263e-03  7.33653198e-03  6.00636167e-03  4.97569832e-05
 -3.20023642e-03  8.70309661e-03 -2.65292365e-03 -2.29409596e-03
 -5.55357767e-03  1.48770884e-02  1.14155131e-03 -1.19144498e-03
  3.36398688e-03 -9.71537141e-03 -4.06031776e-03 -5.44587999e-03
  1.50685041e-02 -9.77768806e-03  1.07852706e-02  5.05213396e-03
  2.77328077e+02             nan  8.99976538e+02             nan
  6.70060192e+02  9.58461538e-01  2.50840385e+01  1.35192308e-01
  1.63730769e+00  1.66923077e-01  2.29500000e+01  2.03653846e-01
  2.25670712e+03  1.21823423e+03  2.55769231e-01  4.34615385e-02
  6.51346154e-01  3.13461538e-02  2.31730769e-01  2.82692308e-02
  6.08653846e-01  2.94230769e-02  1.53846154e-02  7.88461538e-03
  8.75000000e-02  9.80769231e-03  5.28846154e-02  4.28846154e-02
  2.88461538e-03  7.11538462e-03  0.00000000e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -3.84615385e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.76923077e-02  0.00000000e+00]",0
"[-7.57083835e-04 -1.55145018e-03  1.10301150e-02  7.35856563e-03
 -3.16047219e-04 -1.51815344e-02  3.29501637e-03  3.21378603e-04
 -8.35229193e-03 -8.30056694e-03  8.38628557e-03  3.88707089e-03
  6.68583840e-04 -6.39757076e-03  2.62934452e-03  4.79979696e-04
 -4.78016183e-03  3.51603797e-03 -1.49031539e-03  1.31431602e-02
  4.26546104e-03  8.75406201e-03  8.67453802e-03 -2.54475815e-03
 -9.27568797e-04  1.29313276e-02 -1.00605783e-02  4.97781792e-03
 -8.29047228e-03 -1.98709475e-03 -1.72410684e-03 -4.88940663e-03
 -7.48906591e-03 -5.58765088e-03  3.67417888e-03 -1.13518412e-03
  1.38734208e-03  1.96581407e-03  1.49312247e-02  2.91217955e-03
  3.81831189e-04  4.24251067e-03 -6.76072038e-04  3.90967025e-04
  8.20437191e-04  8.34639020e-04  2.40615302e-03 -5.66001434e-04
  7.03847364e-04 -2.55708192e-03  3.67599200e-03  3.83626410e-03
  3.71756485e-03  1.16732994e-02  5.35045988e-03  4.32158393e-03
  2.77745665e-04 -5.94020649e-03 -4.50956445e-03  1.15031004e-03
  1.74664575e-03 -1.16037648e-02 -3.37326234e-03  3.60658918e-03
  2.77810000e+02  4.90756863e+01  9.17606863e+02  2.92352941e-01
  6.83167059e+02  9.32745098e-01  2.55760784e+01  1.41568627e-01
  1.73294118e+00  1.66470588e-01  2.33629412e+01  1.95294118e-01
  2.15744510e+03  1.32347961e+03  2.51568627e-01  5.00000000e-02
  6.64705882e-01  5.19607843e-02  2.34313725e-01  3.47058824e-02
  6.14705882e-01  3.00000000e-02  1.66666667e-02  7.25490196e-03
  8.62745098e-02  1.58823529e-02  4.96078431e-02  4.37254902e-02
  3.92156863e-03  8.03921569e-03  0.00000000e+00  0.00000000e+00
  1.96078431e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -3.92156863e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.88235294e-02  0.00000000e+00]",0
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  3.82280000e+02  7.60005714e+01  3.80162857e+02  4.20000000e-01
  9.84154286e+02  1.39457143e+00  3.67234286e+01  1.95428571e-01
  6.82857143e-01  1.82285714e-01  6.91057143e+00  3.14000000e-01
  3.54367486e+03  1.95876314e+03  2.94285714e-01  5.48571429e-02
  6.29142857e-01  5.51428571e-02  3.11428571e-01  4.02857143e-02
  9.00000000e-01  4.40000000e-02  2.42857143e-02  1.05714286e-02
  9.85714286e-02  1.45714286e-02  6.85714286e-02  5.51428571e-02
  4.28571429e-03  1.05714286e-02  0.00000000e+00  0.00000000e+00
  2.85714286e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -5.71428571e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  8.57142857e-02  0.00000000e+00]",0
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  2.04934783e+01  1.46956522e-01  3.96296087e+02  1.98695652e-01
  8.94956522e+00  1.48043478e+00  1.10295652e+01  1.03478261e-01
  4.52173913e-01  7.21739130e-02  1.00630435e+01  2.18260870e-01
  5.11010217e+03  2.82991696e+03  4.30869565e-01  9.34782609e-02
  9.61739130e-01  8.34782609e-02  4.74782609e-01  6.26086957e-02
  1.37478261e+00  6.78260870e-02  3.69565217e-02  1.65217391e-02
  1.97391304e-01  2.26086957e-02  1.16956522e-01  8.78260870e-02
  6.52173913e-03  1.65217391e-02  0.00000000e+00  0.00000000e+00
  4.34782609e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -8.69565217e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.30434783e-01  0.00000000e+00]",0
