Embedding,Label
"[ 7.54647329e-03 -4.19539847e-03  1.52828946e-02  1.09219206e-02
 -1.25184701e-02 -1.62580206e-02  1.26694639e-02  3.25795954e-03
 -1.79549187e-02 -2.40711547e-03  2.04337535e-02 -1.17087180e-02
  3.14221474e-03 -2.00060954e-02  4.61933108e-03  3.29009942e-03
  1.07618720e-04  4.70558997e-03 -1.37552765e-03  2.26629228e-02
  1.63471772e-02  1.53898660e-02  7.22399583e-03 -1.16082588e-02
  4.53674089e-03  9.54026131e-03 -2.73998075e-02  4.87878449e-03
  5.39893113e-03  8.64620438e-03 -4.59728969e-04  1.47766826e-02
 -5.06090208e-03 -1.92505649e-02  2.69177535e-03 -8.49374344e-03
  1.33112933e-02  2.00922619e-03  9.94688090e-03 -1.26524925e-02
  1.13268543e-02 -6.93118046e-03  3.06166995e-04 -1.67988152e-02
  1.96539274e-03 -3.13421434e-03  2.32201542e-03 -1.05116164e-02
  1.40207226e-02  1.23079925e-02  1.41296077e-02  3.25725450e-04
  3.87516871e-04  1.82269419e-02  1.22622390e-02  7.07475931e-03
  6.11771034e-03 -5.82000599e-03 -1.27482369e-02  5.13739472e-03
  3.63296034e-03 -1.82773855e-02  8.25585685e-03 -5.00264137e-03
  4.73188365e+02  4.20338462e+01  6.67927308e+02  2.14128846e+01
  5.21216827e+02  6.82500000e+00  4.90558942e+02  1.21142308e+01
  8.55084615e+01  2.25884615e+00  3.41064519e+02  4.30759615e+00
  1.27468654e+03  7.51542788e+02  8.12365385e+00  1.17903846e+00
  2.55442308e+00  2.82692308e-01  5.85096154e-01  2.43269231e-02
  4.38076923e-01  1.45192308e-02  8.76836538e+00  4.32692308e-02
  6.70961538e-01  9.03846154e-03  4.93269231e-02  3.07692308e-02
  1.72115385e-02  8.94230769e-03  2.67538462e+00  4.38365385e-01
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.02017843e-02 -6.03830094e-03  1.10883869e-02 -1.08934556e-02
 -1.63007385e-03 -2.28237755e-02  7.31145129e-04 -5.31200171e-03
 -1.54709025e-02  5.80027234e-04  2.07987089e-02 -1.38910113e-02
 -2.64997651e-03 -1.14698679e-02  3.05471218e-03  1.14035067e-02
 -2.76377479e-03  4.33460606e-03 -5.81080367e-03  1.87621082e-02
  7.81758296e-03  2.00815590e-02  1.33243097e-02 -1.40711243e-02
 -8.26798372e-03  1.17632895e-02 -2.05897056e-02  2.82235413e-03
 -5.75927973e-03  2.62008806e-03 -9.42204848e-03  2.78119271e-03
 -1.50230040e-02 -2.17687469e-03  2.24079891e-03  2.56842091e-04
 -2.97137861e-03  5.02829417e-03  2.38349790e-02  5.16515786e-03
  3.20489270e-03 -2.42950546e-03 -4.28971556e-03 -8.20904466e-03
  1.62054951e-03 -3.73365900e-03  1.21968823e-02 -1.17161701e-02
  9.42016542e-03  2.07173460e-02  8.82709835e-03  9.14894009e-04
  8.35720705e-03  1.07423686e-02  2.08459693e-03  1.89514184e-02
  9.58225564e-03 -7.04334387e-03  2.62763412e-03  4.67089462e-03
  7.74780849e-03 -1.93332039e-02  8.17567628e-03  6.88693538e-03
  4.87153429e+02  3.44685714e+01  6.90364762e+02  1.27890476e+01
  5.28427143e+02  7.30676190e+00  5.13875714e+02  9.74790476e+00
  8.33678095e+01  2.44161905e+00  3.52771429e+02  3.71457143e+00
  1.23348676e+03  7.60312095e+02  7.94400000e+00  7.54666667e-01
  2.57838095e+00  6.64761905e-02  5.94666667e-01  2.34285714e-02
  4.32761905e-01  1.43809524e-02  8.59466667e+00  1.62857143e-02
  6.35428571e-01  8.76190476e-03  5.55238095e-02  2.54285714e-02
  2.07619048e-02  3.71428571e-03  2.18876190e+00  2.40952381e-02
  0.00000000e+00  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 8.67660538e-03 -7.34335750e-03  2.09490084e-02 -8.17962812e-03
 -4.12042353e-03 -1.71847941e-02  4.21015904e-03 -5.11886638e-03
 -4.52960748e-03 -2.29722445e-03  2.13073373e-02 -1.93531477e-02
 -4.26900627e-03 -1.25108522e-02 -5.50997864e-03  1.39711704e-02
 -5.25227791e-03  6.85967749e-03 -6.46290051e-03  2.24446024e-02
  2.32084121e-02  9.30944845e-03  1.26525841e-02 -8.49457459e-03
 -1.17030324e-02  1.14902965e-02 -2.36954764e-02  5.35541892e-03
  4.48669472e-03  1.18084065e-02 -1.71767941e-02  7.59248170e-03
 -4.89296456e-03 -1.07504340e-02 -2.34831922e-04 -7.40177768e-03
 -1.64181284e-03 -3.59886408e-03  1.71377243e-02  9.78938502e-03
  5.79609342e-03 -8.20801751e-03 -8.19779961e-03 -9.90172747e-03
 -1.40986599e-02 -4.57513683e-04  1.03910527e-02 -1.16258010e-02
  1.53979835e-03  8.15122347e-03  7.87890198e-03  2.33638994e-03
 -6.46702323e-04  1.93315550e-02 -1.48000826e-03  1.78149792e-02
  4.07509756e-04 -1.02412773e-02 -7.05662153e-03  8.39509593e-03
  1.37875510e-02 -1.72657445e-02  2.61099194e-03  3.30411156e-03
  4.77760192e+02  5.15438462e+01  6.68946923e+02  2.38731731e+01
  5.25049038e+02  9.69980769e+00  5.01150577e+02  1.50919231e+01
  8.47236538e+01  2.48548077e+00  3.46729231e+02  6.80326923e+00
  1.30887846e+03  7.80495769e+02  8.30576923e+00  1.15942308e+00
  2.70307692e+00  7.94230769e-02  5.93557692e-01  2.17307692e-02
  4.37500000e-01  1.46153846e-02  8.71211538e+00  2.38461538e-02
  6.54519231e-01  2.31730769e-02  4.90384615e-02  3.51923077e-02
  2.83653846e-02  1.30769231e-02  2.59682692e+00  4.15096154e-01
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.69603429e-02 -1.15743451e-02  9.92362914e-03 -1.59580622e-03
 -1.08141058e-03 -1.04019354e-02  2.50367842e-04 -5.90605740e-03
 -1.48359964e-02 -1.24453672e-03  5.52643999e-03 -2.99642983e-02
 -1.79937636e-03 -7.97252285e-03 -3.86364375e-03  5.23696222e-03
  2.59820015e-03  1.35422094e-02 -5.36072991e-03  2.72573666e-02
  2.24154767e-02  9.60906273e-03  7.33036544e-03 -1.65997273e-02
 -1.31000288e-02  5.17876249e-03 -2.70278520e-02 -3.92738844e-03
 -6.03987898e-03 -3.10701193e-04 -2.16490363e-03  8.95906498e-03
 -1.04612299e-02  1.46035051e-04 -2.46003410e-03 -1.20036883e-02
 -1.15061156e-02 -2.84113026e-03  1.03175235e-02  1.22910488e-02
  7.42013480e-03 -2.64217798e-03 -7.94640692e-03 -1.46118540e-02
 -4.19078105e-03 -1.18522670e-02  8.39877163e-03 -5.47757994e-03
  5.36772476e-03  9.71426586e-03  7.76139837e-03  1.24521789e-03
  6.20058007e-03  2.01305188e-02 -3.36208094e-04  9.19408301e-03
  6.10751458e-03 -1.99890838e-03 -1.25403371e-02  1.99812028e-02
  4.53224807e-03 -1.97176745e-02  1.56376511e-02  7.22485401e-03
  4.72795673e+02  4.98228846e+01  6.60680288e+02  2.13137500e+01
  5.21663942e+02  8.73230769e+00  4.93428269e+02  1.24579808e+01
  8.51891346e+01  2.49375000e+00  3.43254808e+02  5.23769231e+00
  1.27567519e+03  7.52004615e+02  8.46778846e+00  1.27346154e+00
  2.72451923e+00  1.12115385e-01  5.97692308e-01  2.56730769e-02
  4.38076923e-01  1.45192308e-02  8.67211538e+00  4.10576923e-02
  6.59519231e-01  2.88461538e-02  4.74038462e-02  2.89423077e-02
  3.27884615e-02  1.29807692e-02  2.83951923e+00  4.44423077e-01
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.15377080e-02  5.79820910e-04  1.24035831e-02  7.94175581e-03
 -1.48096946e-02 -2.32995016e-02  3.41078093e-03 -5.17962007e-03
 -1.12116146e-02 -2.16675547e-03  1.87944141e-02 -1.40794000e-02
  4.02967093e-03 -9.27479647e-03  1.48093351e-03 -5.28298527e-04
 -5.67935613e-04  2.52541905e-03 -1.55043698e-02  1.97518008e-02
  1.19053317e-02  9.34827576e-03  1.08292749e-02 -1.03374019e-02
 -8.03214562e-03  1.31220301e-02 -2.70247102e-02  1.57260921e-02
 -6.19147058e-03 -1.25621621e-03 -6.86871310e-03  1.44790739e-02
 -1.33202255e-02 -1.03900955e-02  2.46536636e-03 -3.64003157e-03
  2.20897124e-03 -1.09935020e-02  2.22114790e-02  7.93385250e-03
 -1.40098390e-03 -6.46108455e-03 -6.26602677e-03 -1.77477118e-02
 -1.52511284e-03 -3.17746323e-03  3.87098300e-03  3.99875905e-03
  9.99542335e-03  2.21631085e-02 -1.75792143e-03  3.13211096e-03
  1.00656623e-03  1.74050225e-02  6.00526709e-03  8.27013297e-03
  4.63407712e-03 -1.74652690e-02 -1.07709253e-02  1.91491224e-02
  8.18873294e-03 -2.60769458e-02  1.21648008e-02  2.37153313e-03
  4.69040857e+02  4.64325714e+01  6.55862762e+02  2.13459048e+01
  5.17190381e+02  8.05342857e+00  4.89764381e+02  1.24603810e+01
  8.40900000e+01  2.31076190e+00  3.40392476e+02  5.09295238e+00
  1.23480019e+03  7.60676762e+02  8.26533333e+00  1.17933333e+00
  2.66952381e+00  8.60952381e-02  6.00571429e-01  2.32380952e-02
  4.32761905e-01  1.43809524e-02  8.48904762e+00  3.50476190e-02
  6.54666667e-01  2.71428571e-02  5.00000000e-02  3.34285714e-02
  3.02857143e-02  1.38095238e-02  2.77485714e+00  4.46571429e-01
  0.00000000e+00  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 4.19879595e-03  1.52442995e-03  1.46989672e-02 -9.40670641e-04
 -1.69985829e-02 -2.36383227e-02  4.93003987e-03 -9.83346431e-03
 -4.99991626e-03 -4.61086084e-03  2.24379585e-02 -1.16844355e-02
  5.45068840e-03 -2.12820015e-02 -4.54950084e-03 -2.08569575e-04
  6.24283002e-03  3.84904421e-03 -1.20685727e-02  1.41509922e-02
  5.95983554e-03  1.60444116e-02  1.25266752e-02 -1.05055755e-02
 -1.14275919e-02  8.34239391e-03 -2.24018392e-02 -1.75596671e-03
 -5.21604291e-03  2.29971430e-04  7.44616936e-03  5.07226216e-03
 -2.41361257e-02 -1.51968410e-02 -7.46306465e-03 -1.51907717e-03
  5.59868561e-03 -8.99001255e-04  2.13731269e-02  3.71029955e-05
  1.33099003e-02 -3.16472884e-03  3.49375435e-03 -1.48918654e-02
 -6.58980741e-03 -1.51787042e-02  4.84730630e-03 -1.32752311e-02
  8.80152491e-03  1.55328353e-02  1.49241555e-02 -1.23761257e-03
  3.04427885e-05  1.35356255e-02  8.43622252e-04  8.89848492e-03
  5.71405057e-03 -1.66120999e-02 -1.09318026e-02  1.85263062e-02
  1.14590756e-02 -2.29239132e-02 -2.63662139e-03 -3.65440932e-03
  4.75850952e+02             nan  6.85180190e+02             nan
  5.44245714e+02  1.72153333e+01  5.40749048e+02  2.58680000e+01
  8.34278095e+01  2.58723810e+00  3.63813238e+02  1.05164762e+01
  1.30109419e+03  7.73649810e+02  8.56609524e+00  1.26171429e+00
  2.75876190e+00  2.66666667e-02  5.85333333e-01  3.20952381e-02
  4.33333333e-01  1.44761905e-02  8.36266667e+00  3.83809524e-02
  6.10000000e-01  3.01904762e-02  3.39047619e-02  2.10476190e-02
  3.96190476e-02  3.52380952e-03  2.12752381e+00  6.96190476e-02
  0.00000000e+00  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.58283172e-02 -2.40080721e-04  2.97490474e-02 -3.92311716e-03
  1.63635870e-04 -1.97047610e-02  1.42140567e-02  2.99175768e-03
 -1.79169187e-02 -9.20338237e-03  1.79360533e-02 -1.11439323e-02
 -6.39125040e-03 -5.98436075e-03 -4.36866962e-03  7.28018832e-03
  4.61351450e-03 -2.55975604e-03 -4.00244932e-03  1.57146736e-02
  2.22880845e-02  1.88735053e-02  1.30246460e-02 -7.22552180e-03
 -9.20504779e-03  1.44823943e-02 -2.10850003e-02  2.02670110e-03
 -2.14652979e-03 -1.62216564e-03 -3.06854655e-03 -3.95271958e-03
  3.50593441e-03 -5.04168875e-03 -7.40403059e-03 -1.17805464e-02
  6.79815181e-03 -5.31994264e-03  1.81870262e-02  6.84772636e-03
  5.14801921e-03 -5.99057457e-03 -5.13751745e-03 -1.12600364e-02
 -3.48909801e-03 -1.05763640e-02  3.85032560e-03 -5.53396692e-03
  3.99990828e-03  8.58301476e-03  1.01144642e-02 -7.23793082e-04
 -3.69739382e-03  1.26682355e-02  1.20718386e-02  1.07280010e-02
  9.85702586e-03 -1.53947650e-02 -8.30818985e-03  7.86074179e-03
  1.08345694e-02 -1.42887734e-02 -8.35672299e-03  6.88594537e-03
  5.11707692e+02  3.53009615e+01  7.54502692e+02  2.19750962e+01
  5.94276635e+02  1.72809615e+01  6.24550577e+02  2.69256731e+01
  8.28515385e+01  3.14750000e+00  4.01545865e+02  1.02822115e+01
  1.28436240e+03  7.52629712e+02  6.28403846e+00  1.45480769e+00
  2.78826923e+00  1.84615385e-02  4.92403846e-01  5.70192308e-02
  4.30384615e-01  2.21153846e-02  8.32211538e+00  3.75961538e-02
  5.16538462e-01  4.70192308e-02  3.51923077e-02  2.12500000e-02
  4.00000000e-02  3.55769231e-03  1.97817308e+00  2.70192308e-02
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.62610253e-02 -8.39098815e-03  1.52578112e-02  1.69747727e-03
 -1.21350676e-03 -2.06946702e-02  1.26119824e-03  8.52470123e-03
 -4.20695529e-03 -1.45548861e-03  5.75093893e-03 -8.17363614e-03
 -5.96919838e-03 -1.34263250e-02  2.97009510e-03  8.49364368e-03
  2.43286900e-03 -4.27816063e-04 -1.51412154e-02  2.13465717e-02
  1.75558183e-02  1.24707883e-02  1.74128671e-02 -1.52298630e-02
  4.07493148e-03  9.79125954e-03 -2.44020406e-02  1.74418378e-04
  9.61573626e-03  4.34697892e-03  2.00600625e-04  6.45302716e-03
 -4.76839757e-03 -2.02364878e-02  1.14985355e-03 -1.54590065e-02
 -4.44152321e-04 -9.04167164e-03  2.55676382e-02 -1.20150835e-03
 -2.64062958e-03 -6.62685064e-03  2.94356203e-03 -6.04422818e-03
  2.35082761e-04 -8.39018602e-03  9.97124329e-03 -8.06770411e-03
  4.48734671e-03  1.75784855e-02 -1.89462523e-03 -4.96773647e-03
  1.00638589e-02  1.47445372e-02 -3.77055551e-03  2.29834129e-02
 -5.59753488e-04 -4.26873694e-03 -5.74736766e-04  5.84347786e-03
 -5.79968426e-04 -2.23274297e-02 -4.17572944e-03  1.32535529e-02
  5.29680000e+02  3.12325962e+01  7.88785385e+02  1.00061538e+01
  5.95720577e+02  1.27321154e+01  6.43400673e+02  1.57510577e+01
  8.12309615e+01  2.51269231e+00  4.17563269e+02  3.52326923e+00
  1.25801731e+03  7.68031250e+02  5.25192308e+00  8.76153846e-01
  2.78163462e+00  2.81730769e-02  3.93461538e-01  2.23076923e-02
  4.09038462e-01  1.75961538e-02  8.26048077e+00  1.37500000e-02
  4.13461538e-01  1.62500000e-02  3.44230769e-02  2.13461538e-02
  4.01923077e-02  3.75000000e-03  1.95413462e+00  4.03846154e-03
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 3.86789867e-04 -7.33838252e-03  8.05445824e-03  2.23703870e-03
 -4.06280671e-03 -2.01130502e-02 -3.11562298e-03 -1.28605881e-03
  5.07327976e-04  2.48667718e-03  2.66970328e-02 -1.33682217e-02
  8.60261942e-03 -1.41360848e-02  4.39201230e-03  1.05285055e-02
 -1.14634008e-02  6.20109883e-03 -1.14626401e-02  2.15837512e-02
  6.49732451e-03  3.00626359e-03  1.21042442e-02 -1.48580154e-02
 -1.17539854e-02  1.03801837e-02 -2.93544559e-02  6.94108439e-03
  1.32116104e-03  2.39071208e-03 -5.85723243e-04  7.24724147e-03
 -4.68471543e-03 -8.09547855e-03 -1.69143150e-02 -1.55901362e-03
 -3.61581568e-03  4.85869337e-04  2.63497671e-02 -2.15676810e-03
  7.24399079e-03 -8.97519255e-04 -1.27396139e-02 -1.23992406e-02
  5.40336452e-03 -7.04556984e-03  1.39002740e-02 -1.14934038e-02
  1.08423979e-02  1.32845951e-02  1.16884850e-03 -1.45744217e-03
  1.03663456e-02  2.79315274e-02  6.68932921e-03  1.32401821e-02
  2.55011737e-03 -1.95348580e-03 -9.58184667e-03  9.27559609e-03
  1.50581644e-03 -2.54297213e-02  1.35614703e-03  7.98326490e-03
  5.35691524e+02  3.63800000e+01  7.98827048e+02  9.89371429e+00
  6.01353429e+02  2.04189524e+01  6.59435714e+02  2.51449524e+01
  7.93937143e+01  2.82990476e+00  4.24277143e+02  5.71114286e+00
  1.30848076e+03  7.72837810e+02  4.76295238e+00  8.50571429e-01
  2.72923810e+00  6.73333333e-02  3.26857143e-01  4.17142857e-02
  3.98095238e-01  1.90476190e-02  8.17390476e+00  1.57142857e-02
  3.36000000e-01  2.88571429e-02  3.39047619e-02  2.10476190e-02
  3.96190476e-02  3.52380952e-03  1.95209524e+00  5.52380952e-03
  0.00000000e+00  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.86759925e-02  5.34735257e-03  2.69080137e-02 -1.81642917e-03
 -1.21880475e-03 -1.43437020e-02  3.24941498e-03 -1.69944404e-03
 -9.98874016e-03 -6.67113918e-03  2.87752548e-02 -1.36921861e-02
  6.05466210e-03 -9.99627255e-03  9.82641115e-04  1.37493548e-02
 -1.88963704e-03  3.24427163e-03  1.44709156e-03  2.57560169e-02
  1.53950155e-02  1.74506034e-02  8.50304847e-03 -1.60330602e-02
 -1.52350220e-03  2.75925769e-03 -2.12169621e-02  1.97832258e-05
 -3.51173710e-03  1.33585036e-02  4.13885236e-03  7.47041483e-03
 -1.55310203e-02 -1.12554093e-02 -6.37557993e-03 -9.59170783e-03
  1.69825719e-03  2.67891147e-03  2.72452418e-02  1.49493013e-03
  2.47541987e-03 -1.15969595e-03 -6.63653944e-03 -2.13127564e-02
  4.19299598e-03 -1.58687782e-02 -1.91772822e-04 -3.99953290e-03
  1.15347720e-02  1.93724122e-02  1.28767063e-02  4.78717839e-04
 -8.77103244e-03  1.14628188e-02  3.72562934e-03  1.04606759e-02
  5.23155559e-03 -6.21015480e-03 -4.37663234e-03  7.58464466e-03
  4.45257593e-03 -1.50796781e-02 -6.02981917e-04 -7.29665844e-03
  5.29935192e+02  3.54931731e+01  7.83706154e+02  1.95122115e+01
  5.66516635e+02  1.62263462e+01  6.06353462e+02  2.56833654e+01
  8.07045192e+01  2.68250000e+00  4.12046346e+02  9.14182692e+00
  1.28678019e+03  7.52354904e+02  5.55625000e+00  1.21673077e+00
  2.72336538e+00  6.00961538e-02  3.95288462e-01  6.41346154e-02
  4.06346154e-01  2.24038462e-02  8.32692308e+00  4.25961538e-02
  4.16923077e-01  5.78846154e-02  4.39423077e-02  2.41346154e-02
  4.00000000e-02  3.55769231e-03  1.95903846e+00  8.07692308e-03
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
