Embedding,Label
"[ 1.25787427e-02 -7.51942111e-03  1.28660618e-02  2.52467957e-03
 -1.14023300e-02 -2.20633173e-02  7.59800765e-03  1.00982815e-03
 -1.54924169e-02 -3.39812113e-03  1.54334118e-02 -1.67406128e-02
  1.01171042e-03  2.26509305e-03  2.89881336e-03  1.22887340e-02
 -5.04278129e-03  6.49718707e-03 -1.85382600e-02  1.63507835e-02
  1.28030222e-02  2.23876054e-02  2.00752861e-03 -1.88172389e-02
 -4.25905660e-03  1.28866662e-02 -3.33897891e-02  1.79017435e-03
 -3.29144803e-03  3.15466379e-03  2.98965410e-03  4.23045263e-03
 -1.32109300e-02 -1.12767597e-02 -3.49936350e-03  1.70893882e-03
 -1.83482995e-03 -7.45559491e-03  1.42332599e-02 -2.30837670e-03
 -5.74482319e-03  2.34202787e-03  1.41810185e-02 -1.49722567e-02
 -1.05361847e-02 -8.80291047e-03  1.17257374e-02 -1.15565346e-02
  8.87236810e-03  1.07755842e-02  1.20204472e-02 -9.05083083e-03
 -5.22456488e-03  1.68380773e-02  5.56281152e-03  6.80140846e-03
  6.85118969e-03 -1.08000210e-02 -1.74986284e-02  2.42857802e-02
  5.61961935e-03 -2.30279806e-02 -1.13911582e-02 -4.79579795e-03
  4.86249524e+02  4.46240952e+01 -2.92172814e+06  5.76691659e+06
  5.50676381e+02  1.41294286e+01  4.78643524e+02  7.69333333e+00
  4.27260000e+01  3.29885714e+00  3.27289048e+02  3.34666667e-01
  1.32993352e+03  7.43998000e+02  7.59971429e+00  2.59000000e+00
  2.71076190e+00  3.36285714e-01  6.63428571e-01  3.03809524e-02
  3.37809524e-01  1.44761905e-02  5.40742857e+00  2.56190476e-01
  6.73333333e-01  9.71428571e-03  4.65714286e-02  2.86666667e-02
  1.97142857e-02  1.70476190e-02  2.27619048e+00  0.00000000e+00
  1.90476190e-02  0.00000000e+00  7.04761905e-03  4.28571429e-03
  1.35428571e-01  5.52380952e-02 -1.04761905e-03  1.40952381e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.29018482e-02 -6.92659475e-04  1.51616178e-02  4.24061446e-03
 -3.54824976e-03 -1.93196563e-02  3.44439082e-03  8.24799151e-04
 -5.12026109e-03 -1.11708870e-02  8.45908179e-03 -1.33274969e-03
 -8.29206874e-04 -8.77756035e-03 -2.22536061e-03  2.46146475e-03
  1.99112347e-03 -2.70764217e-03 -4.30250146e-03  1.96750965e-02
 -1.84682102e-03  5.76936415e-03  1.09749570e-02 -2.94588434e-03
 -1.01955464e-02  1.35472309e-02 -1.40616899e-02 -1.00899359e-03
  3.57254941e-03 -9.72700273e-04 -8.48463629e-03  7.32967720e-03
 -2.59229281e-02 -7.65844023e-03  9.25256171e-03 -7.78421589e-03
 -6.24652033e-03 -8.51557481e-03  1.82360380e-02  1.41550899e-02
  3.17284722e-03 -1.18027229e-03  7.02615737e-03 -3.85021161e-03
  2.23255170e-04 -1.02337825e-02 -2.91516449e-03 -6.60400176e-03
  5.56166316e-03 -7.83446277e-04  5.16682767e-03 -7.26525607e-03
 -1.29117174e-03  1.30179866e-02  8.49262111e-03  7.62847862e-03
  1.23508108e-03 -9.25086541e-03  1.19900010e-04 -3.47386866e-03
  4.34611198e-03 -1.76303194e-02  5.23665380e-03  8.50896640e-03
  2.41101724e+02  4.63125862e+01  8.69622069e+02  1.15482759e+00
  8.56591724e+02  1.05448276e+00  2.28284483e+01  1.60172414e-01
  2.36496552e+01  1.95344828e-01  2.30520690e+01  1.73275862e-01
  1.96641845e+03  1.14287086e+03  2.10517241e-01  9.36206897e-02
  5.80689655e-01  7.39655172e-02  4.81034483e-02  4.18965517e-02
  5.43103448e-01  2.62068966e-02  1.46551724e-02  6.20689655e-03
  7.55172414e-02  2.43103448e-02  4.72413793e-02  4.72413793e-02
  2.67241379e-02  3.29310345e-02  0.00000000e+00  0.00000000e+00
  3.44827586e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  9.55172414e-02  1.05172414e-01 -3.44827586e-02  0.00000000e+00
  1.37931034e-03  4.65517241e-03  3.98275862e-02  2.22413793e-02]",0
"[ 4.15186928e-03 -5.64130768e-03  1.06918221e-02  9.88591233e-03
 -5.27508578e-03 -1.60069615e-02  3.80973933e-03  5.94477098e-03
 -7.10494415e-03 -4.70843997e-03  1.19399446e-02  1.57862880e-03
  2.58150607e-03  4.72058900e-04 -2.34201651e-03 -3.28862986e-03
 -5.34612642e-03  6.27266960e-03 -7.83771076e-03  5.16679998e-03
  4.70008157e-03  9.36442040e-03  6.16821360e-03 -8.20995724e-03
 -4.11835958e-03  3.75059978e-03 -1.18078704e-02  5.94411160e-03
 -2.79922232e-03 -1.78454215e-03 -1.32746905e-04 -2.64374507e-03
 -5.04437275e-03 -9.49490156e-03  9.71542582e-04 -1.08011708e-03
  4.56163194e-04 -9.85434881e-03  1.55737383e-02  6.32173195e-03
 -1.80510589e-03  8.76101737e-04 -1.87421647e-04 -1.57294973e-03
 -3.43491273e-03 -5.96061707e-04 -1.89928223e-03 -8.48266090e-04
  6.71769378e-03  2.70162860e-03  5.99723037e-03  4.32836680e-04
 -9.21441127e-03  6.35718569e-03  3.04013161e-03 -1.97388232e-03
 -6.06923135e-03 -1.22278035e-02 -3.44155901e-03  1.02965408e-02
  6.58123367e-03 -9.56647872e-03 -1.11924464e-02  3.93960138e-03
  2.65274615e+02  5.09709615e+01  9.69763077e+02  1.16692308e+00
  6.66740962e+02  1.37903846e+00  2.53511538e+01  2.12884615e-01
  2.45711538e+00  2.22115385e-01  2.56123077e+01  1.87884615e-01
  2.14398712e+03  1.27422538e+03  1.96923077e-01  8.69230769e-02
  6.30961538e-01  6.34615385e-02  5.92307692e-02  2.78846154e-02
  6.09230769e-01  3.67307692e-02  1.57692308e-02  7.50000000e-03
  7.90384615e-02  1.94230769e-02  5.34615385e-02  5.48076923e-02
  2.44230769e-02  3.55769231e-02  0.00000000e+00  0.00000000e+00
  3.84615385e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  8.53846154e-02  1.13653846e-01 -3.84615385e-02  0.00000000e+00
  2.11538462e-03  6.15384615e-03  5.76923077e-02  0.00000000e+00]",0
"[ 3.32796387e-03 -1.47636006e-03  1.08639936e-02  5.27032866e-03
  6.57418510e-04 -1.05160607e-02  2.62869640e-03  3.85271622e-03
 -3.34680482e-03 -4.60281316e-03  4.71229006e-03 -4.69012795e-05
  3.84614989e-03 -5.56436009e-03 -1.40449283e-03  3.62866272e-04
 -1.56088875e-03 -4.30740631e-04 -4.79311000e-03  6.81850515e-03
  4.83432260e-03  5.63750129e-03  1.31222411e-02 -3.81063537e-03
  9.37280962e-04  9.27945112e-03 -9.79744070e-03  4.82781174e-03
 -3.14671360e-03 -2.49472299e-04 -3.35809101e-03  5.11873972e-03
 -1.07490337e-02 -4.03246140e-03  1.05169795e-03 -4.30590212e-03
  1.43739760e-03  5.71987334e-03  1.48822333e-02  5.81466005e-03
  8.09755893e-04  6.77360652e-04  2.00980230e-03 -4.80058016e-03
 -8.23727307e-04 -1.23831515e-04  4.70179996e-03 -9.93086115e-04
 -2.67325141e-03  2.12419431e-03 -8.28031164e-04  2.15523343e-03
  2.14715524e-04  1.11335138e-02  6.18074605e-03  4.97353507e-03
  4.56784350e-03 -2.45891182e-03 -3.29999253e-03 -4.53372338e-04
  2.53865022e-03 -1.01223760e-02 -6.96190776e-04  2.43124796e-03
  2.65088077e+02  5.12576923e+01  9.70200000e+02  4.94423077e-01
  6.67458846e+02  1.43596154e+00  2.53144231e+01  1.37307692e-01
  2.66288462e+00  2.18653846e-01  2.55878846e+01  2.03269231e-01
  2.20927827e+03  1.29440827e+03  2.12692308e-01  4.69230769e-02
  6.24230769e-01  4.98076923e-02  6.75000000e-02  3.71153846e-02
  6.04615385e-01  2.90384615e-02  1.61538462e-02  7.11538462e-03
  8.61538462e-02  9.61538462e-03  4.96153846e-02  4.26923077e-02
  3.46153846e-03  7.50000000e-03  0.00000000e+00  0.00000000e+00
  3.84615385e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -3.84615385e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.76923077e-02  0.00000000e+00]",0
"[ 6.62054472e-03  6.30790696e-04  8.56137100e-03  9.13972371e-03
 -3.66745321e-03 -1.19912256e-02  1.86259110e-03  9.91357381e-03
  1.60919057e-03 -8.79187064e-04  7.33536986e-03 -3.80503704e-03
  3.83078278e-03 -3.02028313e-03 -4.40281067e-03  8.32258810e-03
 -8.67487607e-03 -7.04746620e-04 -1.21184652e-02  3.13005282e-03
  4.45702318e-03  1.22672908e-02  1.74371548e-02 -5.15773030e-03
 -1.42539534e-03  9.82773625e-03 -3.69657470e-03 -1.31177785e-03
 -8.60393924e-04  1.18230071e-03 -5.24060107e-03  2.99713994e-03
 -1.45780701e-02 -1.04702867e-02  6.92198995e-03 -7.55193954e-04
 -3.21379304e-03 -1.50550495e-03  1.96180028e-02 -3.58255471e-04
 -3.57770777e-03 -9.14470851e-03 -6.51293233e-04  6.50340728e-06
 -2.55152380e-03  1.83609698e-04 -5.07236652e-03 -2.03028610e-03
  1.64158489e-03  6.70007251e-03 -7.31309839e-04 -5.37971856e-03
 -9.95926413e-04  1.55529473e-02  7.06547616e-03  5.46351455e-03
  1.62791329e-03 -1.31312787e-02 -4.83278979e-03 -6.58195941e-03
  6.17269748e-03 -1.37758845e-02  7.05978983e-03  3.52513520e-03
  2.70416275e+02  5.24486275e+01  9.89090000e+02  5.42549020e-01
  6.80998627e+02  9.54705882e-01  2.58096078e+01  1.38431373e-01
  1.74529412e+00  2.16666667e-01  2.60831373e+01  1.87647059e-01
  2.17593098e+03  1.26651647e+03  2.19607843e-01  4.49019608e-02
  6.15294118e-01  6.39215686e-02  7.07843137e-02  3.80392157e-02
  6.18235294e-01  2.98039216e-02  1.62745098e-02  7.45098039e-03
  8.03921569e-02  1.98039216e-02  5.13725490e-02  4.21568627e-02
  3.33333333e-03  7.45098039e-03  0.00000000e+00  0.00000000e+00
  3.92156863e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -3.92156863e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.88235294e-02  0.00000000e+00]",0
"[ 8.47150937e-03 -3.52515674e-03  1.14842435e-02  6.25559401e-03
  1.09246115e-03 -1.22350901e-02  6.67731933e-03  2.86182682e-03
 -5.76320520e-03  6.57922087e-05  5.81280543e-03 -2.76714037e-03
  4.04596157e-03 -2.76906846e-03  3.49412171e-05  2.60670684e-03
 -7.29477320e-04  5.25034162e-03 -2.19016064e-03  1.28823089e-02
  3.88835191e-03  1.28688050e-02  7.02140681e-03 -2.24688162e-03
 -5.71570560e-03  5.06978425e-03 -1.33407001e-02  2.63917716e-03
 -3.00192919e-04  3.29233563e-04 -4.16245125e-03  6.58332915e-03
 -1.08510909e-02 -5.80982291e-03  4.73644054e-03 -8.44963869e-03
 -2.05441593e-03 -1.40601135e-03  1.50538568e-02  1.06187193e-02
  2.09371344e-04 -3.11306810e-03  4.66870631e-03  9.93438781e-04
 -7.18883597e-05  9.58327562e-04  1.05250663e-03  2.03519766e-03
 -5.21772469e-04  9.04886496e-03 -2.77917087e-03 -2.21881758e-03
 -1.82787279e-03  5.56242781e-03 -1.53096407e-03  9.77197175e-03
  1.75198117e-03 -7.31889560e-03 -2.06494163e-03 -1.32691645e-03
  1.09119438e-02 -1.08372641e-02  2.15883815e-04  6.10660475e-03
  2.65193654e+02  5.20525000e+01  9.69793654e+02  1.54115385e+00
  6.67361538e+02  1.65000000e+00  2.53301923e+01  1.64615385e-01
  1.91596154e+00  2.49038462e-01  2.55880769e+01  1.96730769e-01
  2.23616192e+03  1.28866288e+03  1.97692308e-01  7.19230769e-02
  6.23846154e-01  7.34615385e-02  7.26923077e-02  3.46153846e-02
  6.05769231e-01  2.92307692e-02  1.61538462e-02  7.11538462e-03
  7.53846154e-02  2.69230769e-02  4.88461538e-02  4.19230769e-02
  2.05769231e-02  3.42307692e-02  0.00000000e+00  0.00000000e+00
  3.84615385e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  7.01923077e-02  1.08653846e-01 -3.84615385e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.76923077e-02  0.00000000e+00]",0
"[ 1.31237990e-03 -5.20143658e-03  6.70197835e-03  1.69736980e-03
 -2.07752795e-04 -1.56682478e-02 -2.47371641e-03 -1.65633642e-04
 -4.16028328e-03 -5.18777637e-03  8.70604240e-03  5.69754151e-03
  4.91399468e-03 -1.08019628e-03  2.55774184e-03  1.71870609e-03
 -1.05572119e-02  3.86148140e-03 -5.16414958e-03 -5.35701316e-03
  1.57618035e-04  7.91923874e-03  8.73008514e-03  1.81118922e-03
 -9.80892416e-04  9.65941726e-03 -1.01372390e-02  3.29486832e-03
 -8.81041816e-03 -9.46770189e-04 -1.01224299e-02 -5.28894050e-03
 -4.63704693e-03 -2.39884187e-03  3.02074663e-03 -8.51608705e-04
  3.42766491e-03 -2.68817050e-03  1.25517467e-02  6.98942405e-03
  2.01189806e-03  2.55374940e-03 -3.56654701e-03 -3.54323672e-03
 -2.92227487e-03 -7.87660050e-04  5.17823963e-03 -1.84144542e-03
  6.89244643e-03 -2.48201876e-03  4.00241708e-03 -4.72475488e-03
 -2.27038032e-03  9.03017876e-03  9.51171896e-03  1.09053099e-02
  4.62128910e-03 -1.08020013e-02 -1.31148025e-02  1.23944311e-02
  2.31805766e-03 -1.15847272e-02 -3.89791409e-03  5.70993870e-05
  2.64954808e+02  5.16163462e+01  9.68898269e+02  6.50192308e-01
  6.66666923e+02  1.18596154e+00  2.53898077e+01  1.97884615e-01
  2.08884615e+00  2.23269231e-01  2.56069231e+01  1.92500000e-01
  2.18456000e+03  1.24724077e+03  1.63461538e-01  5.73076923e-02
  6.32115385e-01  6.19230769e-02  7.63461538e-02  4.32692308e-02
  6.06923077e-01  2.90384615e-02  1.57692308e-02  7.50000000e-03
  6.19230769e-02  2.32692308e-02  5.57692308e-02  5.51923077e-02
  5.82692308e-02  1.92307692e-02  0.00000000e+00  0.00000000e+00
  3.84615385e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  2.20769231e-01  4.80769231e-02 -3.84615385e-02  0.00000000e+00
  2.50000000e-03  6.53846154e-03  5.76923077e-02  0.00000000e+00]",0
"[ 1.15933620e-03 -3.66462826e-03  8.20079592e-03  5.71494360e-03
 -2.27444970e-04 -1.11432701e-02  4.17303864e-03  4.43621739e-03
 -3.59576254e-03 -3.75238558e-03  1.20254071e-02  7.83235425e-04
  8.95034069e-03 -2.15571059e-03 -7.69659804e-04  3.36951982e-03
 -3.30500553e-03  2.24218021e-03 -3.86006078e-03  2.97511846e-03
  7.27427824e-03  9.15541924e-03  1.06897968e-02 -3.34182820e-03
  3.60565297e-04  8.88814850e-03 -7.48396124e-03 -2.55698283e-04
 -3.12288989e-03 -1.70188602e-03 -5.29678809e-03  7.20374140e-04
 -9.07312567e-03 -5.31266045e-03  1.60243194e-03  5.38322300e-03
  2.57996083e-03  1.19735775e-03  1.61219146e-02  4.08101608e-04
  4.77790599e-03  2.39262379e-03 -1.04202053e-03 -3.85491166e-03
 -2.18951972e-03 -2.99302138e-03  1.59465474e-03 -2.55155578e-03
  8.77192646e-04 -4.98477443e-04  5.26481039e-03 -1.01649327e-03
  6.79899080e-05  6.81668454e-03  5.22917480e-03  1.51887369e-03
  7.39840433e-03 -6.18826072e-03 -4.38701818e-03 -4.52977492e-03
  6.61635392e-03 -8.33639503e-03 -2.75435007e-03  3.15277569e-03
  2.70560392e+02  5.25629412e+01  9.87390392e+02  7.06666667e-01
  6.80888235e+02  9.45882353e-01  2.58690196e+01  1.39411765e-01
  2.35058824e+00  2.12352941e-01  2.60831373e+01  1.99607843e-01
  2.16988647e+03  1.30532333e+03  1.89215686e-01  6.37254902e-02
  6.48627451e-01  6.07843137e-02  7.80392157e-02  4.01960784e-02
  6.16470588e-01  2.96078431e-02  1.64705882e-02  7.25490196e-03
  6.01960784e-02  3.11764706e-02  5.03921569e-02  4.33333333e-02
  5.47058824e-02  2.78431373e-02  0.00000000e+00  0.00000000e+00
  3.92156863e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  2.04509804e-01  8.09803922e-02 -3.92156863e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.88235294e-02  0.00000000e+00]",0
"[ 1.66414046e-03 -1.60987566e-03  9.15948258e-03  8.83179786e-03
 -8.17754952e-03 -1.23903342e-02  1.07018533e-03  8.35194190e-03
 -3.29408403e-03 -3.32516819e-03  1.26894514e-02  1.45299696e-03
  3.57797654e-03  1.23219090e-04 -1.53506511e-03 -2.10750037e-03
 -5.97343890e-03  1.96214287e-03 -5.02540025e-03  4.93102491e-03
  6.20291514e-05  5.96047836e-03  1.29646536e-02 -1.85465658e-03
  7.30315260e-04  1.15076450e-02 -1.02816545e-02  3.61364718e-03
 -4.55332704e-03  7.59605684e-05 -6.09873761e-03 -1.06750848e-03
 -9.24979939e-03 -7.86763430e-03  4.58428769e-03 -4.28676021e-03
 -9.27602690e-04 -1.38091398e-03  1.52946822e-02  5.89727420e-03
 -2.42846371e-03  1.52743929e-03  9.67057239e-04 -2.14126509e-03
 -2.39262613e-03  1.59345286e-03  1.19057049e-03 -3.07774105e-04
 -4.27472825e-04  3.59595772e-03  5.62682982e-03 -1.55781819e-03
 -4.27849678e-03  1.23990517e-02  5.97107936e-03  2.44441132e-03
  1.01208994e-03 -7.73265432e-03 -1.06488380e-03  5.31550292e-03
  2.91400717e-03 -8.97327168e-03 -2.15907174e-03  1.32615221e-03
  2.70910980e+02  5.24850980e+01  9.88353725e+02  1.04176471e+00
  6.80903529e+02  9.61176471e-01  2.58274510e+01  1.66470588e-01
  2.53098039e+00  2.14313725e-01  2.60878431e+01  1.90588235e-01
  2.28058784e+03  1.31392255e+03  2.45882353e-01  8.56862745e-02
  6.34117647e-01  7.80392157e-02  7.39215686e-02  3.52941176e-02
  6.21764706e-01  3.82352941e-02  1.64705882e-02  7.25490196e-03
  7.70588235e-02  2.72549020e-02  5.41176471e-02  5.54901961e-02
  2.19607843e-02  3.52941176e-02  0.00000000e+00  0.00000000e+00
  3.92156863e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  7.56862745e-02  1.11960784e-01 -3.92156863e-02  0.00000000e+00
  2.15686275e-03  6.07843137e-03  5.88235294e-02  0.00000000e+00]",0
"[ 9.77635097e-03 -4.10956904e-03  1.27709823e-02  5.32061005e-03
  1.99762101e-04 -1.03071186e-02  2.28640967e-03  4.34344047e-03
 -3.65011896e-03 -7.28809719e-03  6.08217243e-03 -6.43702453e-03
  1.93199121e-03 -1.97201322e-03 -1.69063023e-03 -2.70510916e-03
 -1.36720934e-03 -1.54536003e-04 -8.09208275e-03  7.45977476e-03
  4.29794006e-03  4.78251766e-03  6.61976721e-03 -2.85808627e-03
 -6.56572987e-03  8.93096024e-03 -8.36668092e-03 -1.19474774e-03
 -4.28267640e-03 -4.78702096e-03 -7.86580489e-03  5.81210193e-04
 -6.82218917e-03 -7.16902201e-03 -2.13286226e-03 -6.53370126e-03
  4.28698599e-04  3.28275814e-03  1.23404769e-02  2.19203611e-03
 -2.63455668e-03 -2.77961389e-03 -2.80029040e-03  9.95276424e-04
  4.90967256e-03  8.09984855e-05 -2.69874099e-03 -5.99513833e-05
  4.00508439e-03  4.09614941e-03 -8.32310835e-03  2.35507387e-03
 -5.30969538e-03  1.35449589e-02  5.25610378e-03  2.19187135e-03
  1.10485011e-03 -4.78514370e-03 -2.78168773e-03  1.62689416e-03
  6.71184493e-03 -6.67427108e-03 -1.46253364e-03  2.20629623e-03
  2.65077308e+02  5.09488462e+01  9.69610577e+02  1.32903846e+00
  6.67813654e+02  9.74807692e-01  2.53138462e+01  1.62692308e-01
  2.68269231e+00  2.15000000e-01  2.55900000e+01  1.87884615e-01
  2.18487538e+03  1.24748077e+03  2.57115385e-01  9.65384615e-02
  6.18846154e-01  7.73076923e-02  5.86538462e-02  5.51923077e-02
  6.06923077e-01  2.90384615e-02  1.57692308e-02  7.50000000e-03
  7.78846154e-02  2.63461538e-02  5.86538462e-02  5.76923077e-02
  1.09615385e-02  2.78846154e-02  0.00000000e+00  0.00000000e+00
  3.84615385e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  9.61538462e-03  4.71153846e-02 -3.84615385e-02  0.00000000e+00
  4.03846154e-03  7.88461538e-03  5.76923077e-02  0.00000000e+00]",0
