Embedding,Label
"[ 9.14285916e-03  1.88100250e-03  1.46764155e-02  3.61057648e-03
 -4.95230319e-03 -1.47085891e-02 -1.39127277e-03  3.43415075e-03
 -3.40111108e-03 -8.51566271e-03  6.69391669e-03 -6.04071892e-05
 -4.41086804e-03 -6.07596338e-03 -3.42083916e-03  1.92717412e-03
 -3.02169925e-03 -3.91425656e-03 -1.01836344e-02  7.55595167e-03
  1.11632838e-02 -1.20887980e-03  1.38571885e-02 -3.29355194e-03
 -2.11965512e-03  4.75236101e-03 -1.30106900e-02 -2.66793597e-03
 -2.33418100e-03 -5.63281336e-03 -2.80016533e-03  7.01227112e-03
 -9.24009888e-03  3.80384349e-04  7.30054723e-03 -3.27860316e-04
  8.88621398e-04  4.51619426e-04  1.43201334e-02  1.02840566e-02
  2.96972634e-03  4.00267541e-03  2.82925616e-03 -3.93699621e-03
 -5.43668749e-03 -6.13569877e-03  1.41704492e-03  4.23422529e-03
  8.79175084e-04 -2.48515577e-03  5.96584058e-05 -1.91827537e-03
  3.08640097e-03  1.16992149e-02  9.60227438e-03  5.94182108e-03
  4.93858667e-03 -5.49187351e-03 -5.71065104e-03 -2.71465644e-03
  8.01793135e-03 -1.60022530e-02  7.52869511e-03  4.25606615e-03
  2.76779412e+02  4.62305882e+01  6.56906471e+02  1.63686275e+00
  1.45768490e+03  2.31098039e+00  2.58076471e+01  3.63529412e-01
  1.38509804e+00  4.31568627e-01  2.46429412e+01  1.92352941e-01
  2.36384824e+03  1.52775784e+03  1.96274510e-01  8.98039216e-02
  3.41960784e-01  5.21568627e-02  8.86274510e-02  4.37254902e-02
  6.58039216e-01  2.96078431e-02  1.60784314e-02  7.64705882e-03
  7.76470588e-02  1.98039216e-02  5.70588235e-02  5.66666667e-02
  2.25490196e-02  3.68627451e-02  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  2.94117647e-02  7.94117647e-02 -3.92156863e-02  0.00000000e+00
  2.35294118e-03  6.66666667e-03  5.88235294e-02  0.00000000e+00]",0
"[ 8.97936079e-03  1.00537898e-03  1.36458106e-02  2.36938679e-03
 -5.26503330e-03 -1.17039672e-02  2.05450304e-03 -9.69838458e-04
  1.51695784e-03 -6.29223425e-03  7.63925480e-03 -2.74639792e-04
 -1.20333568e-03 -1.26521246e-03 -1.69382549e-03  3.30437913e-03
 -4.97061864e-03 -2.95851852e-03 -5.89656027e-03  5.10966453e-03
 -7.09843177e-04  7.68671529e-03  1.51437830e-02 -1.13309891e-03
 -1.74905582e-03  7.11855884e-03 -6.93192390e-03  3.14382822e-03
 -7.92945807e-04 -3.12699292e-03 -2.94981958e-03  1.06168366e-03
 -1.36163103e-02 -8.35524098e-03  6.42376823e-03 -5.69424735e-03
 -1.12548184e-02 -5.37699289e-03  1.31282362e-02  6.85793677e-03
 -3.16889040e-03 -1.63722353e-03 -7.82252304e-03 -6.97949056e-03
  1.66909798e-03 -4.62597738e-03  7.87880272e-05  2.41097038e-03
 -3.33699215e-04  1.00324728e-02 -5.81101930e-03 -3.51418591e-03
 -6.61281324e-03  9.19218333e-03  2.41685014e-03  8.26434132e-03
 -4.50737445e-03 -1.13602349e-02  9.54979028e-04  3.18668596e-03
  3.89402173e-03 -8.37480506e-03  7.44811954e-03  5.56033151e-03
  2.66257692e+02  5.05375000e+01  6.43546346e+02  5.56730769e-01
  1.42981308e+03  2.05961538e+00  2.52969231e+01  3.49230769e-01
  1.30269231e+00  6.74423077e-01  2.41834615e+01  1.90769231e-01
  2.26218538e+03  1.53064058e+03  1.56923077e-01  4.48076923e-02
  3.35192308e-01  4.48076923e-02  7.73076923e-02  2.76923077e-02
  6.53653846e-01  3.90384615e-02  1.61538462e-02  7.11538462e-03
  6.73076923e-02  9.80769231e-03  4.96153846e-02  4.26923077e-02
  8.03846154e-02  7.50000000e-03  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  2.30769231e-01  0.00000000e+00 -3.84615385e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.76923077e-02  0.00000000e+00]",0
"[ 1.09203154e-02  8.61081276e-04  1.17530490e-02  1.95423298e-03
  2.75233340e-03 -1.44826384e-02  7.57948937e-03  3.96071652e-03
 -3.11016682e-03 -1.00491038e-02  1.67531465e-02 -6.19721909e-03
  9.05621578e-03 -7.44511830e-04  4.18769057e-03  9.41617524e-04
 -3.15033294e-03  7.48535289e-04  2.48747542e-03  1.02425403e-02
  5.18997580e-03  9.12931883e-03  9.40808069e-03 -8.73858073e-04
 -3.96027204e-03  9.17594894e-03 -2.47457123e-03  5.38126292e-03
  2.63763153e-03  1.18832951e-03 -5.48916485e-03 -1.87294156e-04
 -9.28461727e-03 -1.08981857e-02 -1.96913940e-03 -7.41511116e-03
 -4.92366893e-03  2.28159422e-04  1.42812659e-02  1.33209186e-03
 -3.99742794e-03  3.46947973e-03 -2.21406132e-03 -5.81378008e-04
  3.10835312e-03  3.00669719e-03 -3.92829021e-03 -2.51593205e-03
  4.07259071e-03  7.33100550e-03 -5.30362421e-03  9.23716043e-04
 -2.84376372e-03  6.37677531e-03  3.74432755e-03  6.30378694e-03
  4.96196630e-03 -9.84727723e-03  5.82529341e-04 -7.16152495e-03
  9.57777278e-03 -8.42187568e-03 -1.31430141e-04 -3.94319334e-03
  2.67362353e+02  5.18637255e+01  6.55797451e+02  5.08431373e-01
  1.45748882e+03  9.40588235e-01  2.54768627e+01  1.40196078e-01
  6.30784314e-01  1.58039216e-01  2.46505882e+01  2.08039216e-01
  2.43356235e+03  1.58563431e+03  1.59215686e-01  4.72549020e-02
  3.35294118e-01  3.88235294e-02  7.76470588e-02  2.76470588e-02
  6.76470588e-01  2.98039216e-02  1.64705882e-02  7.25490196e-03
  6.82352941e-02  9.80392157e-03  5.01960784e-02  4.33333333e-02
  8.15686275e-02  7.25490196e-03  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  2.35294118e-01  0.00000000e+00 -3.92156863e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.88235294e-02  0.00000000e+00]",0
"[ 3.18374286e-03  2.77899651e-03  1.84666795e-02  2.32556521e-03
 -5.31801216e-03 -1.21405843e-02  2.47609053e-03 -8.35811098e-04
  1.65955211e-03 -6.21458406e-03  1.82179289e-02  8.05861554e-03
  2.18064937e-03 -5.72520699e-03 -5.97256948e-03 -6.01793037e-04
 -7.40353632e-03  1.60401577e-04 -6.42743210e-03  3.48680970e-03
  2.56504995e-03  7.55063758e-03  1.19438697e-02 -5.21485917e-03
 -5.12244991e-03  1.00135125e-02 -9.48348963e-03  5.39086730e-03
 -5.72058971e-03 -2.85297121e-03 -3.85074522e-03 -2.41581756e-03
 -9.18691036e-03 -5.03433189e-03  5.58211041e-03 -3.12339273e-03
 -1.08267747e-03 -4.74841958e-03  1.88865106e-02  2.22066079e-03
 -1.15354863e-03  2.66222875e-03 -7.81096387e-03 -6.69643721e-03
  1.62793988e-03 -1.63905275e-03  1.78427227e-03  2.25367084e-03
  1.33440568e-04 -1.02426645e-03  5.14476454e-03  1.75927053e-03
 -8.64839817e-03  6.76046267e-03  5.44750238e-03  1.81601679e-03
  6.20579793e-03 -7.61915568e-03 -1.92069803e-03  4.85947830e-04
  4.09292736e-03 -9.11666979e-03  2.99517474e-03  5.19656069e-03
  2.75897059e+02  4.66554902e+01  6.55993922e+02  6.86862745e-01
  1.45807843e+03  2.05784314e+00  2.58856863e+01  3.00196078e-01
  1.42352941e+00  4.18823529e-01  2.46700000e+01  2.07450980e-01
  2.36405098e+03  1.52781196e+03  1.61960784e-01  4.54901961e-02
  3.33137255e-01  3.56862745e-02  7.88235294e-02  2.82352941e-02
  6.77647059e-01  2.96078431e-02  1.60784314e-02  7.64705882e-03
  6.88235294e-02  1.17647059e-02  5.50980392e-02  5.07843137e-02
  6.35294118e-02  1.27450980e-02  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  2.35294118e-01  0.00000000e+00 -3.92156863e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.88235294e-02  0.00000000e+00]",0
"[ 3.86491805e-03 -7.03820070e-03  1.19481637e-02  5.17776866e-03
  1.43026159e-03 -1.37377439e-02 -4.35235480e-04  2.77413399e-03
 -3.66812744e-03 -9.89075979e-03  1.20801678e-02  7.17228422e-04
  3.92042143e-03 -4.65288515e-03 -4.10602356e-04  4.03420907e-03
 -3.59171357e-03  4.14281940e-04 -4.38109599e-03  4.74530544e-03
  2.56903756e-03  4.45599868e-03  1.11109121e-02 -4.64073311e-04
  2.75804625e-03  7.50734370e-03 -5.12274699e-03 -2.07916819e-03
 -7.01517526e-03 -1.12967845e-03 -1.57312576e-03 -2.14882739e-03
 -9.12905656e-03 -8.18874802e-03  4.58348578e-04 -1.91692879e-03
 -4.30738625e-03 -1.91027299e-03  1.46915953e-02  8.06694664e-03
  4.76723694e-03 -5.06476857e-05 -7.06084359e-05 -4.13018358e-03
  1.06447333e-03 -4.54653728e-03  3.05805979e-03 -7.39283287e-04
  5.54849494e-03 -2.60245485e-03  1.38069546e-03 -2.91098153e-03
 -2.58230658e-03  1.28382095e-02  6.51247198e-03  2.32792570e-03
 -5.10739154e-04 -7.12402580e-03 -4.49591144e-03  5.54439576e-03
  5.99575673e-03 -4.87138116e-03 -8.54143443e-04  1.95755120e-03
  2.66040962e+02  4.99226923e+01  6.44595385e+02  6.36346154e-01
  1.43032769e+03  1.42057692e+00  2.53107692e+01  3.31153846e-01
  1.37269231e+00  6.16923077e-01  2.42257692e+01  2.05576923e-01
  2.26237981e+03  1.53071712e+03  2.14615385e-01  4.48076923e-02
  3.25961538e-01  3.50000000e-02  7.73076923e-02  2.76923077e-02
  6.43076923e-01  2.90384615e-02  1.61538462e-02  7.11538462e-03
  8.50000000e-02  1.53846154e-02  4.96153846e-02  4.26923077e-02
  6.15384615e-03  1.98076923e-02  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  1.05769231e-02  4.92307692e-02 -3.84615385e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.76923077e-02  0.00000000e+00]",0
"[-1.41038789e-03 -6.47659219e-03  7.91794408e-03  3.66777944e-03
  1.29930199e-03 -5.82092654e-03  1.96338653e-03  1.69390024e-03
 -5.58824595e-03 -4.24245416e-04  1.09270977e-02  1.84094057e-03
  8.75234344e-04 -3.70708108e-03  5.74826198e-04  1.11799652e-03
  3.29559106e-03 -3.35040892e-04 -4.95311514e-03  2.54046674e-03
  5.46071592e-03  9.40102547e-03  4.64430001e-03 -2.77549756e-03
  2.34921987e-03  3.29529338e-03 -4.35596462e-03  5.08641642e-03
 -8.28865725e-03  3.91695778e-04 -5.45579126e-03 -3.48748440e-03
 -4.22920495e-03 -4.63987956e-03 -1.31511922e-03 -2.81661680e-03
  2.50464123e-03 -1.65678266e-03  1.15397150e-02  1.18088263e-03
 -4.48634527e-03  2.56841023e-03 -2.03700195e-04 -6.15320025e-03
 -1.76488175e-03  1.09878598e-03  5.05633618e-03  1.30273818e-03
  1.27227916e-03 -8.37246067e-06  2.17580917e-03  9.89142979e-05
 -1.64947191e-03  5.08429353e-03  4.33041744e-03 -1.92231022e-04
 -6.17656640e-04 -2.77121989e-03 -3.12211416e-03  8.58976883e-03
  1.38208582e-03 -5.07396390e-03 -1.74297548e-03 -2.41225542e-04
  3.12226279e+02  6.48306977e+01  3.10369767e+02  3.63255814e-01
  1.72033721e+03  1.09209302e+00  3.01523256e+01  1.65116279e-01
  6.43488372e-01  1.66279070e-01  1.51851163e+01  2.28837209e-01
  2.88651953e+03  1.88067884e+03  2.59534884e-01  5.65116279e-02
  1.63255814e-01  4.32558140e-02  9.20930233e-02  3.27906977e-02
  7.79069767e-01  3.53488372e-02  1.95348837e-02  8.60465116e-03
  1.04186047e-01  1.16279070e-02  5.95348837e-02  5.13953488e-02
  3.72093023e-03  8.60465116e-03  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -4.65116279e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.97674419e-02  0.00000000e+00]",0
"[ 3.18023796e-04 -7.55393213e-03  7.50197792e-03  3.93689205e-03
  4.39953497e-03 -1.45122713e-02  3.08513787e-04  3.60912567e-03
 -1.41336174e-03 -1.46333815e-03  1.01605813e-02  3.29085348e-03
  8.05227079e-03 -1.06632132e-03 -1.42998290e-03  1.25861285e-03
 -4.85288688e-03 -1.65960222e-05 -8.66628394e-03  1.25558324e-03
  8.67161315e-03  5.82457524e-03  9.85268723e-03 -1.01496218e-02
  2.56770126e-03  6.70367596e-03 -1.14422441e-02  2.88129067e-03
 -6.17894256e-03 -2.92713429e-03 -1.02973002e-02 -3.93432791e-03
 -5.64815301e-03 -3.36271933e-03  2.71607658e-03 -2.31129829e-03
 -4.75341052e-04 -4.18962532e-03  1.33252950e-02  2.45535269e-03
 -1.49308686e-03  3.58443547e-03 -3.83598430e-03 -4.03351471e-03
 -3.91955403e-03  5.44589919e-03  2.73248197e-03 -3.40975646e-03
  1.93476290e-03 -1.50380883e-03 -3.18296181e-03 -1.88894924e-03
  8.52747218e-04  5.04885702e-03  9.09747329e-03  5.89217450e-03
 -1.85848984e-03 -7.09615998e-03 -5.79574069e-03  6.56727585e-03
  2.78739701e-03 -1.45074965e-02 -7.87067472e-03  2.46088481e-03
  2.76673529e+02  4.65345098e+01  6.57468235e+02  6.33529412e-01
  1.45801902e+03  2.11901961e+00  2.58209804e+01  3.31372549e-01
  1.34313725e+00  5.08823529e-01  2.46994118e+01  1.93725490e-01
  2.36426020e+03  1.52786843e+03  2.20784314e-01  4.54901961e-02
  3.33137255e-01  3.56862745e-02  7.88235294e-02  2.82352941e-02
  6.58039216e-01  2.96078431e-02  1.60784314e-02  7.64705882e-03
  8.84313725e-02  1.17647059e-02  5.56862745e-02  5.11764706e-02
  3.13725490e-03  7.25490196e-03  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -3.92156863e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.88235294e-02  0.00000000e+00]",0
"[ 1.21723459e-02 -4.48510407e-04  1.44216283e-02  1.16653539e-03
 -1.39648539e-02 -2.13397840e-02  1.63381942e-02 -3.23544572e-03
 -1.14025117e-02 -3.82774241e-03  2.36588571e-02 -8.64882501e-03
 -8.04190532e-03 -1.37270280e-02 -5.51141152e-03  1.09152085e-03
  6.82420573e-03 -1.32358215e-04 -2.75823108e-03  2.18623987e-02
  1.10507253e-02  1.30387646e-02  1.26946049e-02 -9.93894195e-03
 -1.09182143e-02  1.64240413e-02 -2.50213030e-02  9.67548441e-03
  1.53729738e-02 -3.84139401e-03 -1.41912420e-02  1.14535250e-02
 -1.69609561e-02 -1.39411087e-02  6.62017443e-03 -1.18856727e-02
  3.15653939e-04  4.18224864e-03  2.03814204e-02  9.53004746e-03
 -5.14955106e-03 -4.27225232e-03 -3.04460382e-03 -1.07264167e-02
  3.86192152e-03  1.38734517e-03  2.21559208e-04 -1.14812491e-02
 -2.86209840e-03  1.91604039e-02 -8.89755957e-04 -1.06653873e-02
  2.17266315e-03  1.62009137e-02  9.40516274e-03  5.74242747e-03
  1.91306847e-03 -2.33381586e-02 -4.07192343e-03  7.24850022e-03
  7.77281524e-03 -2.15430453e-02 -2.75112700e-03 -5.19535515e-03
  5.10767857e+02  5.07413265e+01 -4.33172269e+06  4.67717024e+05
  9.44920612e+02  4.66520408e+00  5.12508878e+02  1.64803061e+01
  9.47028571e+01  4.45479592e+00  3.59320102e+02  1.59693878e-01
  1.25068949e+03  8.24129796e+02  1.65051020e+00  2.03979592e-01
  1.46000000e+00  2.87755102e-02  4.19693878e-01  1.58673469e-01
  4.53469388e-01  5.59183673e-02  9.17346939e+00  9.65510204e-01
  5.90714286e-01  8.52040816e-02  3.83673469e-02  2.67346939e-02
  1.20408163e-02  3.97959184e-03  2.43081633e+00  4.48979592e-03
  0.00000000e+00  0.00000000e+00  9.28571429e-03  2.95918367e-03
  0.00000000e+00  0.00000000e+00  2.24489796e-03  1.37755102e-02
  0.00000000e+00  0.00000000e+00  3.06122449e-02  0.00000000e+00]",0
"[ 1.08144255e-02 -7.88482578e-04  2.39996419e-02  5.05137610e-03
 -3.94719716e-03 -8.82876764e-03  1.19074449e-02  8.31777887e-03
 -9.50888231e-03 -1.07828205e-02  1.32724416e-02 -1.31680104e-02
 -2.44754338e-04 -1.90982528e-02  8.86976765e-03  2.21672042e-03
 -4.36938838e-04 -1.77421834e-03 -1.69485836e-02  3.02277249e-02
  3.31506755e-03  1.29512323e-02  2.15496090e-02 -1.69858983e-02
 -9.68580973e-03  2.16529214e-02 -2.17233095e-02 -5.41776804e-03
 -2.51712873e-03 -6.12583207e-03  3.04404513e-03  1.60723258e-02
 -2.27753449e-02 -2.02599815e-02  3.66162638e-03 -3.53118445e-03
  2.53177853e-03  4.53334448e-03  1.38101406e-02 -1.18652457e-02
 -2.14885409e-03  5.44373891e-03 -9.48006142e-03 -1.21251375e-02
  1.18883594e-03 -8.28785645e-03 -1.96321796e-04 -9.01389253e-03
  7.08091342e-03  5.70218851e-03  5.72222807e-03  2.64336204e-03
  2.87019653e-03  2.85323159e-02  1.17865215e-03  1.24116544e-02
  2.61535974e-03 -7.26694135e-03 -9.81979533e-03  5.57566242e-03
  1.23052817e-03 -2.19816945e-02  9.05238004e-03  6.26977886e-03
  5.16870412e+02  2.78447423e+01 -4.42727579e+06  1.36257732e+00
  9.55130206e+02  6.15567010e-01  5.18514433e+02  1.33402062e-01
  9.55898969e+01  1.50824742e-01  3.63044330e+02  1.26907216e-01
  1.33453732e+03  8.33765979e+02  1.69783505e+00  3.34020619e-02
  1.47525773e+00  2.04123711e-02  3.50103093e-01  1.45360825e-02
  4.79381443e-01  1.56701031e-02  9.36948454e+00  3.81443299e-03
  5.61649485e-01  5.15463918e-03  3.67010309e-02  2.27835052e-02
  1.19587629e-02  3.81443299e-03  2.45360825e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.03092784e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.03092784e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  3.09278351e-02  0.00000000e+00]",0
"[ 2.72889614e-03  3.85228365e-03  1.56264494e-02 -6.02201403e-03
 -6.43113891e-03 -2.67798964e-02  2.61362043e-03 -5.72137447e-03
 -9.53179469e-03  1.82160377e-03  2.49864029e-02 -1.72935674e-02
 -9.53560220e-03 -1.22239701e-02 -6.57699533e-03  6.70288215e-03
  3.34319601e-03  7.52185822e-03 -1.30313405e-02  1.87772124e-02
  9.25469834e-03  1.30510382e-02  5.97535024e-04 -5.01271194e-03
 -1.33129076e-02  1.28832097e-02 -2.47760878e-02  1.13312793e-02
  5.06548344e-03  3.11678211e-03 -3.72598807e-04  1.15257676e-02
 -2.70280689e-02 -1.14585762e-02  5.26172639e-03  1.08589909e-03
 -1.06253855e-03 -1.26274693e-03  2.14792815e-02  6.59050038e-03
 -6.34401691e-03 -2.08575372e-03 -5.51509391e-03 -3.29626554e-03
 -1.64129067e-03 -1.38030107e-02  9.01364216e-03 -1.60460419e-02
  4.08721910e-03  1.71122966e-02  1.27009744e-02 -1.06352135e-02
  6.66773210e-03  2.01583994e-02  7.49712328e-03  4.17702584e-03
  3.58758315e-04 -8.06166817e-03 -1.18129633e-02  1.53699111e-02
  5.84662568e-03 -2.39474625e-02  8.46177990e-03  1.83190613e-04
  4.84109808e+02  3.09813462e+01 -3.34459714e+06  1.62180373e+06
  8.61145577e+02  1.29187308e+02  4.86511442e+02  1.56682692e+00
  9.30227885e+01  4.17855769e+00  3.37871250e+02  6.48721154e+00
  1.21883000e+03  7.69983942e+02  3.29961538e+00  2.78115385e+00
  1.48048077e+00  3.37788462e-01  3.31057692e-01  2.64423077e-02
  4.47692308e-01  1.45192308e-02  8.61298077e+00  2.73365385e-01
  5.26730769e-01  1.10576923e-02  3.60576923e-02  2.41346154e-02
  1.11538462e-02  3.55769231e-03  2.28846154e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  3.00961538e-02  6.71153846e-02  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  2.25961538e-02  1.22115385e-02]",0
