Embedding,Label
"[ 9.37492514e-03  1.29599760e-02  2.42658249e-02  7.92786515e-03
 -1.96360789e-02 -2.64390992e-02  9.88871949e-03 -3.93189116e-03
 -6.38166906e-03 -9.24141959e-03  1.47057977e-02  4.97251020e-03
 -1.16317574e-02 -7.04239272e-03  6.10208645e-03  9.31469192e-03
 -9.97053262e-03  3.95336840e-03 -1.01721148e-02  1.50419990e-02
 -7.17160923e-03  7.55566955e-03  1.90342278e-02 -1.79044716e-02
  7.57884143e-04  8.08147334e-03 -2.62843790e-02 -4.19396071e-03
  5.64341997e-03 -6.93772636e-03 -2.71019776e-04  2.16270792e-03
 -2.46490024e-02 -1.98839220e-02  6.24747992e-04 -4.79780465e-03
  5.08694785e-03  5.20537994e-03  1.81671790e-02  4.80940682e-03
  9.66499505e-03  3.93755970e-03  1.82774054e-03 -1.92528338e-02
  1.67803546e-02 -7.20701803e-03  4.33881088e-03 -8.60201062e-03
  3.68480521e-03  1.79268181e-02  2.60980141e-03  9.75545496e-03
  4.97080141e-03  1.90569316e-02  1.74940654e-02  2.83799047e-02
  2.02996945e-02  6.97483854e-04 -2.27255152e-03  1.56063054e-02
 -4.37836508e-03 -3.19695307e-02 -7.13331252e-03  8.67202615e-03
  6.05549146e+02             nan  6.68243837e+06             nan
  8.13895610e+02             nan  2.14455244e+02             nan
  6.00240244e+01             nan  4.27889878e+02             nan
  1.46341732e+03             nan  1.99853659e+00             nan
  1.86695122e+00             nan  6.97804878e-01             nan
  4.81707317e-01             nan  1.01441463e+01             nan
  6.92804878e-01             nan  4.67073171e-02             nan
  2.37804878e-02             nan  1.21951220e-02             nan
  0.00000000e+00             nan  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -2.43902439e-02  0.00000000e+00
  1.70731707e-03  4.26829268e-03  3.65853659e-02  0.00000000e+00]",0
"[ 1.03593152e-03 -4.68322033e-03  1.06992567e-02  3.05317152e-03
  1.22878747e-03 -1.67541263e-02  2.46096345e-03  2.83391953e-03
  1.94505050e-03  4.89011837e-04  1.06127013e-02  4.16552333e-03
  3.76177472e-03 -5.21387203e-03 -6.63238592e-03  2.95573311e-03
 -8.52925875e-03  5.41574823e-03 -5.32009968e-03  1.04058468e-02
  6.31297996e-03  5.80085227e-03  9.75163023e-03 -4.05494339e-03
 -3.82451584e-03  7.35389642e-03 -1.58854775e-02  1.46560263e-03
 -9.44793081e-05 -1.83291346e-03 -3.46094284e-03  1.17270287e-03
 -1.02854623e-02 -5.58719540e-03  8.66205446e-03 -4.59993545e-04
 -7.12088094e-04 -4.88144793e-03  1.70890769e-02  4.60665166e-03
  1.33758586e-03  1.27414818e-03 -3.83558189e-03 -5.58564096e-03
  2.67482592e-03  7.15369645e-05  1.37808088e-03  9.88418201e-04
  2.68921750e-03  4.57244796e-03  5.61684370e-04 -1.17438921e-03
 -4.34252824e-03  4.90100352e-03  5.16991145e-03  1.02985200e-02
  5.42299679e-04 -8.41000891e-03 -9.78879917e-04  1.02954748e-03
  6.80409687e-03 -1.42844577e-02 -1.72108175e-03  6.80810514e-03
  2.62785577e+02  5.12444231e+01  6.71327692e+02  6.78269231e-01
  9.40223462e+02  1.60038462e+00  2.74690385e+01  1.39038462e-01
  2.66384615e+00  2.24615385e-01  2.38934615e+01  1.99615385e-01
  2.35761731e+03  1.56529000e+03  1.56538462e-01  4.50000000e-02
  3.54230769e-01  6.15384615e-02  7.13461538e-02  3.55769231e-02
  6.47884615e-01  3.76923077e-02  1.61538462e-02  7.11538462e-03
  6.21153846e-02  1.80769231e-02  4.96153846e-02  4.26923077e-02
  7.53846154e-02  2.40384615e-02  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  2.10769231e-01  6.65384615e-02 -3.84615385e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.76923077e-02  0.00000000e+00]",0
"[ 9.93106367e-03  3.53045776e-03  1.98042374e-02 -7.78921584e-03
 -1.74365274e-03 -1.21014072e-02  2.02362201e-03  7.35152220e-04
 -4.26636842e-03 -3.69451998e-03  1.55893330e-02 -1.55941406e-02
 -1.24145658e-02 -4.00112096e-03  3.11198687e-03  7.41441515e-03
 -4.84551383e-04  1.78786254e-03 -1.88591366e-02  1.58297706e-02
  1.98618041e-02  1.69208350e-02  3.94960667e-03 -8.06974369e-03
 -1.82319616e-02  1.44609361e-02 -2.38044449e-02  1.07432011e-03
 -2.86166886e-03  5.68081032e-03  3.07125981e-03  2.68023492e-03
 -1.42313080e-02 -1.18561475e-02 -2.50539450e-03  3.99686221e-03
  3.97570387e-03  4.99283735e-03  2.73736343e-02  5.27526044e-03
 -1.09159379e-03 -6.21224386e-03 -4.59573519e-03 -5.36344417e-03
 -3.80588063e-03 -1.24403584e-02  8.56464209e-03 -1.26347024e-02
  3.90231822e-03  1.52169780e-02 -1.36025303e-03 -3.82955381e-03
  1.17297290e-02  2.10270091e-02  1.45242815e-02  1.54226003e-02
 -1.62867050e-03 -5.90618155e-03 -1.19146620e-02  8.54143781e-03
  1.25303316e-02 -2.61901628e-02 -2.65889785e-03  2.12953896e-04
  4.75601905e+02  6.10686667e+01  2.31939137e+06  3.99334133e+06
  6.49370571e+02  2.10290476e+01  4.86209619e+02  2.21041905e+01
  6.65531429e+01  5.62609524e+00  3.34541333e+02  6.24190476e-01
  1.24544571e+03  7.82821143e+02  6.89057143e+00  3.51990476e+00
  2.19590476e+00  5.92571429e-01  5.83619048e-01  7.03809524e-02
  4.06380952e-01  4.30476190e-02  7.75619048e+00  7.95428571e-01
  6.11047619e-01  6.09523810e-02  4.29523810e-02  2.46666667e-02
  2.35238095e-02  2.18095238e-02  2.27619048e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  9.14285714e-03  1.80952381e-03
  1.26952381e-01  6.00000000e-02  1.04761905e-03  1.33333333e-02
  0.00000000e+00  0.00000000e+00  1.16190476e-02  1.42857143e-02]",0
"[ 9.09334640e-03 -6.10872890e-03  1.85969351e-02  8.68901901e-03
 -6.86064412e-03 -2.80933138e-02  1.17752894e-02  1.04529373e-02
 -1.15408832e-02  8.53266230e-03  1.27196928e-02 -1.62634347e-02
 -5.69000202e-04 -1.08106332e-02 -1.74103403e-03  6.38995603e-03
  7.84544467e-03  4.76300042e-04 -1.39842142e-02  2.64910447e-02
  2.42080672e-02  1.91141264e-02  1.47573516e-02 -1.78406826e-02
  5.09393432e-03  1.35362884e-02 -1.71647627e-02  6.48662067e-03
  7.13589583e-03 -1.07854543e-04 -2.23094690e-03  4.25895145e-03
 -1.24506100e-02 -8.99851187e-03 -2.29113709e-04 -5.73254916e-03
 -3.15732261e-03  2.29805204e-03  1.38847333e-02 -3.47192009e-04
 -5.10978342e-03  2.88742446e-03  2.06241732e-03 -1.42533241e-03
  8.14639942e-03 -3.66492322e-03  3.51489839e-03 -3.85202247e-03
  2.14579382e-05  6.95710302e-03  9.94595034e-04 -7.20555871e-03
  6.63607986e-03  1.36475201e-02  3.20444373e-03  1.13068910e-02
 -6.99721047e-04 -7.68479290e-03 -7.50862937e-03  4.11209787e-03
  1.61578098e-02 -2.39723753e-02  6.45516361e-03  8.02430200e-03
  4.70666000e+02  2.57382857e+01  6.64652857e+02  2.10838095e+00
  6.45153905e+02  7.86761905e-01  4.87747238e+02  1.17666667e+00
  6.84556190e+01  1.19342857e+00  3.34593810e+02  2.30380952e-01
  1.24330124e+03  7.57075810e+02  8.68552381e+00  7.83047619e-01
  2.47047619e+00  1.98190476e-01  5.80761905e-01  1.66666667e-02
  4.14285714e-01  1.44761905e-02  7.67838095e+00  1.00952381e-02
  6.04000000e-01  7.61904762e-03  4.34285714e-02  2.10476190e-02
  1.10476190e-02  3.52380952e-03  2.27619048e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.43338824e-02 -5.88404778e-03  1.00576607e-02 -2.84555320e-03
 -1.74393833e-02 -1.74537583e-02  8.05569043e-03  3.47505624e-03
 -1.39898666e-02 -1.28854021e-03  1.09754045e-02 -2.91189712e-02
 -3.29236855e-03 -7.06938475e-03  2.64130490e-03  1.19024435e-03
  4.27711039e-03 -4.54508503e-03 -1.57526703e-02  1.56689518e-02
  6.11930803e-03  1.38084011e-02  1.28036269e-02 -1.17906858e-02
 -1.60817612e-03  2.28834949e-02 -1.74761447e-02 -4.59686172e-04
  5.64584602e-03 -6.98739591e-04 -1.18761960e-02  7.22110415e-03
 -2.01027446e-02 -1.21693589e-02 -1.12663258e-03 -5.16522658e-03
 -3.31467866e-03  6.26656478e-04  6.20739369e-03  3.78717516e-04
 -7.86519434e-03 -4.52906673e-03 -7.20751175e-03  4.10148663e-03
 -3.41114547e-03 -9.56658514e-03 -4.47551636e-03 -6.11826527e-03
  3.00538329e-03  2.33532726e-02 -4.35513797e-03 -3.08048464e-03
  1.16805208e-02  1.20219768e-02  4.62740250e-03  7.91180472e-03
  4.14040892e-03 -1.43198215e-02 -1.01465774e-02  2.04658187e-02
  4.00500220e-03 -1.61695465e-02 -2.62483120e-03  6.21923777e-03
  4.81241442e+02  3.24218269e+01  6.70885769e+02  1.93740385e+00
  5.70967115e+02  7.15861538e+01  4.92414135e+02  2.03038462e+00
  6.90831731e+01  1.10240385e+00  3.35899038e+02  7.66326923e+00
  1.29128904e+03  7.87604808e+02  8.67903846e+00  9.15480769e-01
  2.57403846e+00  2.72692308e-01  5.90000000e-01  2.57692308e-02
  4.19615385e-01  1.85576923e-02  7.73278846e+00  8.26923077e-03
  5.94807692e-01  3.79807692e-02  4.40384615e-02  2.13461538e-02
  1.13461538e-02  3.75000000e-03  2.29807692e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 8.23353424e-03 -1.80312783e-03  8.25839534e-03  4.66050220e-03
 -7.00854659e-03 -2.40596376e-02  4.86613473e-03  7.57814717e-03
 -1.32019352e-02 -6.27313987e-04  2.06979881e-02 -8.62348831e-03
 -5.79760037e-03 -1.02379148e-02  6.30179782e-03 -2.20535207e-03
  3.74931474e-03  4.46200285e-03 -6.88976153e-03  2.29371178e-02
  1.61729316e-02  1.41420276e-02  4.87712155e-03 -1.24203695e-02
 -7.31436084e-03  5.91281544e-03 -2.02245866e-02  1.02531305e-02
  4.01792472e-03  1.09730834e-03 -9.41282403e-03  8.63488346e-03
  8.02752813e-04 -6.93167229e-03 -3.85597395e-03 -7.21207332e-04
  1.12673413e-02 -4.95529608e-05  2.02888818e-02  7.24727925e-03
 -2.14640110e-03  4.79409226e-03 -5.50102666e-03 -7.79489159e-03
 -7.70177153e-03 -1.38861258e-02  3.61255898e-03 -9.96979190e-03
  1.21559665e-03  1.69108817e-02  1.04279571e-02  2.63835751e-03
  1.14730472e-02  1.17655266e-02  1.67362845e-02  1.21359941e-02
  8.30286195e-03 -1.32600836e-02 -8.93258954e-03  1.01522598e-02
  4.33754844e-03 -2.05720272e-02  3.52987762e-03  2.73135075e-03
  4.84657212e+02  2.99255769e+01  6.69894615e+02  5.19230769e+00
  5.19916538e+02  1.89000000e+00  4.92402981e+02  4.92134615e+00
  6.92750962e+01  1.14923077e+00  3.32309904e+02  8.80288462e-01
  1.27139827e+03  7.51633077e+02  8.41807692e+00  1.23144231e+00
  2.92173077e+00  2.80480769e-01  5.86538462e-01  2.13461538e-02
  4.26538462e-01  1.85576923e-02  7.72923077e+00  3.55769231e-03
  5.85769231e-01  4.88461538e-02  5.02884615e-02  2.94230769e-02
  1.78846154e-02  1.44230769e-02  2.67375000e+00  4.95865385e-01
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.19938012e-02 -7.31736000e-04  1.49337626e-02 -9.93433923e-03
 -1.15399454e-02 -4.30668222e-03  6.14286816e-03 -3.23133458e-03
 -1.42576950e-02  8.15231069e-04  1.90571628e-02 -1.50857564e-02
 -1.35178665e-02  2.75420588e-03 -7.29628570e-03  2.37765059e-03
  5.13564208e-03 -8.04733102e-03 -1.80656780e-02  1.85131979e-02
  2.04611139e-02  6.79667266e-03  1.17614809e-02 -1.00301983e-02
 -6.37668338e-03  6.97746034e-03 -2.13517858e-02 -1.77862658e-03
 -2.36661474e-03  5.49401155e-03  5.02081042e-03  8.17055481e-03
 -1.85788809e-02 -1.00990421e-02 -7.42638377e-03 -6.27021560e-03
  6.84972773e-04 -3.35882147e-03  1.83950715e-02  1.10358602e-02
  3.23505292e-03  2.09091276e-04 -6.72121992e-03 -9.10905388e-03
 -4.93247958e-03 -1.17793856e-02  7.64100027e-03 -2.67071426e-03
 -3.09941332e-03  6.90091965e-03  9.37305118e-03 -2.02457837e-03
  3.86713828e-03  1.55884675e-02  8.60370217e-04  1.00166829e-02
  2.14165470e-03 -1.14635306e-02 -9.46238573e-03  1.43622143e-02
  1.06330984e-02 -2.75929144e-02  2.62538104e-03 -6.59284111e-04
  4.75559238e+02  3.06320952e+01  6.58855905e+02  7.61123810e+00
  5.14584095e+02  5.64323810e+00  4.86741143e+02  7.78533333e+00
  6.85443810e+01  2.28409524e+00  3.31035524e+02  2.54028571e+00
  1.23625362e+03  7.57633905e+02  7.84647619e+00  9.45238095e-01
  3.41095238e+00  2.13619048e-01  5.85904762e-01  3.08571429e-02
  4.20952381e-01  1.90476190e-02  7.63809524e+00  1.33333333e-02
  6.00190476e-01  1.20000000e-02  5.90476190e-02  2.58095238e-02
  2.05714286e-02  3.52380952e-03  3.05276190e+00  2.72190476e-01
  0.00000000e+00  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.11578722e-02 -8.74792369e-04  1.62420205e-02 -2.85226973e-03
 -8.30841100e-03 -1.52212033e-02  1.97231736e-03 -4.97785397e-03
 -8.78818856e-03 -4.93970950e-04  1.75353853e-02 -2.50983328e-02
 -1.39505821e-03 -9.00080202e-03 -1.86365273e-03  8.92061338e-03
  6.60857302e-03  3.51411430e-03 -6.74797614e-03  2.28936366e-02
  8.76032966e-03  2.16603008e-02  9.37608114e-03 -4.96655458e-03
 -1.45281092e-02  9.79206081e-03 -2.25992324e-02 -1.80866225e-04
  4.43394971e-03  5.20374617e-03 -6.65726631e-03  3.50067023e-03
 -2.40419435e-02 -1.60424021e-02  1.06831779e-03 -1.39294574e-02
 -5.37856561e-03 -1.23694873e-02  2.35653529e-02  9.25735898e-03
 -1.30540885e-03 -1.06986263e-02  8.23262246e-04 -1.70634986e-02
  3.14578206e-03 -7.20570437e-03  9.46866129e-03 -1.60648503e-02
 -2.93410071e-03  1.62049553e-02  8.63698612e-03 -8.96400263e-03
 -3.38437946e-03  1.39021973e-02  1.96829912e-03  8.38813516e-03
  6.41168748e-03 -3.62567066e-03 -7.93122310e-03  1.65502484e-02
 -1.68075774e-03 -2.09245513e-02  7.29090151e-03 -6.30479954e-03
  4.77508269e+02  3.69347115e+01  6.64843077e+02  1.53591346e+01
  5.19998558e+02  7.79500000e+00  4.92696731e+02  1.17309615e+01
  6.98075000e+01  2.16000000e+00  3.34735865e+02  4.86192308e+00
  1.28955087e+03  7.84457596e+02  8.35576923e+00  1.35538462e+00
  2.77076923e+00  4.60576923e-02  5.88846154e-01  3.23076923e-02
  4.22500000e-01  1.96153846e-02  7.69961538e+00  1.40384615e-02
  6.03365385e-01  1.73076923e-02  4.88461538e-02  3.52884615e-02
  3.16346154e-02  1.34615385e-02  3.06692308e+00  4.03750000e-01
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 6.77450230e-03  3.13976884e-03  1.12189252e-02  8.49690106e-03
 -9.37863747e-03 -2.04468525e-02  9.57823634e-03  3.38405207e-03
 -5.62219940e-03  3.17626971e-03  2.69779267e-02 -1.31216351e-02
  5.29760212e-03 -5.43094229e-03 -7.17549042e-03  9.37208257e-03
  2.55730638e-03 -1.61159760e-03 -1.34180826e-02  2.38514313e-02
  2.02440302e-02  1.16383596e-02  2.48651771e-02 -1.00426921e-02
  9.52275685e-04  1.09428917e-02 -1.87710496e-02  2.06268319e-03
  5.59917880e-03  8.42314264e-03 -1.32753931e-03  2.27692289e-02
 -1.27132861e-02 -1.14238440e-02  6.09556044e-03 -1.00899574e-02
  8.77557244e-03 -6.81615483e-03  2.03238979e-02 -3.42744201e-04
  6.52077380e-03 -4.21903936e-03 -4.56477215e-03 -1.38295505e-02
 -3.73606640e-03 -1.28685767e-02  6.83971383e-03 -8.48893247e-03
  8.27406694e-03  1.47531066e-02  5.87361816e-03 -1.06238298e-02
  1.53548435e-03  2.15413695e-02  1.00277836e-02  1.20434351e-02
  4.30617007e-03 -7.55672508e-03 -1.20637973e-02 -2.83772805e-03
  6.12380738e-03 -2.00494309e-02  8.96507226e-03  4.31805383e-05
  4.62513750e+02  4.44960577e+01  6.55805000e+02  1.71847115e+01
  5.21898558e+02  8.55490385e+00  4.97618462e+02  1.25076923e+01
  6.88668269e+01  2.24528846e+00  3.37026250e+02  5.52336538e+00
  1.27414365e+03  7.52550192e+02  8.87125000e+00  9.61153846e-01
  2.75548077e+00  3.92307692e-02  6.13846154e-01  2.57692308e-02
  4.23653846e-01  1.96153846e-02  7.68894231e+00  1.61538462e-02
  5.88846154e-01  2.37500000e-02  5.06730769e-02  3.71153846e-02
  4.00000000e-02  3.55769231e-03  2.67711538e+00  4.64711538e-01
  0.00000000e+00  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 6.65170298e-03 -6.72216518e-04  1.62141068e-02  2.84237529e-03
 -1.06590911e-02 -2.39685761e-02  1.30872067e-02  1.17555154e-02
 -1.44697768e-02 -3.46038198e-04  1.36823837e-02 -9.20643733e-03
  4.59777812e-04 -9.95171244e-03  1.13851613e-02  2.02991218e-03
  1.36147022e-02 -5.78811392e-04 -4.52734539e-03  2.74316104e-02
  1.58219315e-02  1.64840605e-02  7.34077728e-03 -1.70532325e-02
  8.96319240e-03  1.32620049e-02 -1.79129168e-02  6.46645292e-03
  6.82175443e-04  4.44468748e-03 -4.53357924e-03  1.57143418e-02
 -1.42640782e-02 -1.81650676e-02 -2.83648290e-03  3.19295880e-03
  6.54728260e-03 -5.81535321e-03  7.46065233e-03  7.45358212e-04
 -3.30188698e-03  5.88835669e-04 -1.80679322e-03 -2.03131171e-03
 -1.41502340e-04 -4.02066679e-05 -3.79420579e-03 -9.53253401e-03
  6.41639868e-04  1.14404383e-02  4.31304496e-03  5.58758240e-03
  1.69437734e-03  1.34089066e-02  8.94584336e-03  5.37260851e-03
 -3.07942415e-03 -5.27809532e-03 -1.49747456e-02  6.80179381e-03
  4.65471194e-03 -1.99942979e-02 -3.76264742e-04  3.11792342e-03
  4.60230476e+02  3.94036190e+01  6.53132857e+02  1.90712381e+01
  5.20345048e+02  1.10124762e+01  4.99865714e+02  1.50386667e+01
  6.79574286e+01  2.61180952e+00  3.36654571e+02  6.99447619e+00
  1.23917514e+03  7.58521619e+02  8.86142857e+00  9.38095238e-01
  2.72580952e+00  2.36190476e-02  6.07619048e-01  2.82857143e-02
  4.23714286e-01  2.40952381e-02  7.60095238e+00  1.48571429e-02
  5.81333333e-01  2.29523810e-02  3.53333333e-02  2.46666667e-02
  3.96190476e-02  3.52380952e-03  2.55923810e+00  4.47047619e-01
  0.00000000e+00  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  3.52380952e-03  4.66666667e-03  0.00000000e+00  0.00000000e+00]",0
