Embedding,Label
"[ 1.25990080e-02 -1.13597359e-02  2.15877097e-02  5.07498473e-03
 -7.03189816e-03 -2.18904243e-02  1.18385986e-02 -5.15855061e-03
 -1.01380452e-02  3.85736840e-03  2.11541236e-02 -1.73083531e-02
 -7.59786385e-03 -1.00091846e-02  2.69115138e-03  1.23352612e-02
 -3.33914673e-03  5.01029382e-03 -8.42840729e-04  1.54647773e-02
  1.87039754e-02  1.85737992e-02  1.05644747e-02 -1.36239531e-02
  1.99363748e-03  7.29864246e-03 -1.96291357e-02  4.33211219e-03
  6.76396407e-03  8.30069084e-03  4.47178577e-03  8.53679270e-03
 -1.43294512e-02 -1.29583797e-02 -2.90429365e-03  1.31241709e-04
  1.01563923e-02 -4.62365233e-03  1.30617863e-02 -4.08414928e-03
  1.25795431e-03 -4.58671317e-03 -2.70387559e-03 -1.76563860e-02
  6.15673519e-03 -6.05931530e-03  1.37484013e-02 -6.11292856e-03
  2.67345643e-03  2.24494289e-02  5.70102498e-03 -4.23237377e-03
 -1.19086179e-03  2.76924623e-03  9.50484499e-03  1.27902234e-02
  1.51591977e-02 -4.84372456e-03 -6.18783674e-03  1.15137484e-02
  2.61668649e-03 -2.34959565e-02 -5.90200567e-03 -8.82276033e-03
  4.78160577e+02  2.87300962e+01  8.01097404e+02  3.15826923e+00
  5.13635096e+02  8.64038462e-01  4.83993942e+02  3.32596154e+00
  4.21575962e+01  9.27980769e-01  3.30049808e+02  2.21730769e-01
  1.14801471e+03  6.36817981e+02  8.40798077e+00  7.75865385e-01
  2.75480769e+00  2.09134615e-01  6.62403846e-01  2.68269231e-02
  3.41346154e-01  1.46153846e-02  4.54432692e+00  1.05769231e-02
  6.96923077e-01  6.73076923e-03  4.38461538e-02  2.12500000e-02
  1.11538462e-02  3.55769231e-03  2.29807692e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 4.91526577e-03  1.64339783e-03  2.63355874e-02 -6.81220268e-03
 -8.84189834e-03 -1.08777270e-02  8.46572146e-03  3.42988141e-03
 -1.44468361e-02 -6.37393817e-04  2.15227083e-02 -1.07979898e-02
 -1.10432629e-02 -4.22426293e-03  2.69046840e-03  1.97495244e-03
 -2.37803843e-03  4.17365089e-04 -5.18403085e-03  2.61210630e-02
  1.21561439e-02  6.19793502e-03  5.56219933e-03 -3.09236096e-03
 -7.43146266e-03  1.51343285e-02 -2.77005823e-02  3.40914552e-03
  5.76850187e-03 -5.33528679e-03  7.35957495e-04  6.87235871e-03
 -1.88002371e-02 -2.50732919e-02  8.33193736e-03 -4.01107256e-03
  8.64525352e-04 -4.36585444e-03  1.91267115e-02 -2.16272883e-03
  5.14339367e-03  5.73046654e-03 -3.67341544e-03 -6.63167421e-03
 -8.57928759e-04 -8.93895154e-03 -1.41063678e-04 -1.01041648e-02
 -1.27393983e-03  8.16303477e-03  1.85426787e-02 -6.63642156e-03
  1.12655463e-03  9.44655478e-03  7.84062853e-03  1.59805594e-02
 -1.30214349e-03 -1.01866066e-02 -6.66981402e-03  1.64467893e-02
  9.19939716e-03 -1.47445957e-02  1.62857083e-03  7.06911717e-03
  4.72919333e+02  2.66665714e+01  7.92747333e+02  1.29190476e+00
  5.08618857e+02  6.69523810e-01  4.78452286e+02  1.33295238e+00
  4.18396190e+01  9.10571429e-01  3.26828476e+02  1.61428571e-01
  1.16912990e+03  6.40580762e+02  8.26733333e+00  7.26000000e-01
  2.45304762e+00  5.11428571e-02  6.74380952e-01  1.68571429e-02
  3.37523810e-01  1.43809524e-02  4.48000000e+00  9.90476190e-03
  6.90285714e-01  4.76190476e-03  4.36190476e-02  2.11428571e-02
  1.12380952e-02  3.71428571e-03  2.27619048e+00  0.00000000e+00
  1.90476190e-02  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 5.12331943e-03 -1.04332020e-02  2.61088578e-02  5.11917545e-03
 -1.06351668e-02 -1.36559225e-02 -1.20602539e-02 -4.48253329e-03
 -8.07226967e-03 -2.89585440e-03  1.47523654e-02 -1.61085627e-02
  4.13264575e-03 -9.42386558e-03  9.29957983e-04  1.07497016e-02
  1.13700249e-03  5.13991160e-03 -1.14312952e-02  2.34344613e-02
  1.08511843e-02  1.82834795e-02  9.34494932e-03 -1.78717616e-02
 -8.97838560e-03  1.24863503e-02 -2.71524502e-02 -3.15446424e-03
 -2.91678100e-03 -2.30623228e-03 -6.67412581e-03  3.53428516e-03
 -1.97303569e-02 -9.54798418e-03 -3.05720967e-03  2.40688239e-04
 -1.23974392e-03 -7.43696817e-03  1.85838673e-02 -5.07826968e-03
 -3.52492432e-04 -8.12727220e-03 -4.40174687e-03 -1.50635261e-02
  8.30687771e-03 -1.54347451e-02  1.07264327e-02 -1.60632276e-02
  8.27459235e-03  7.05147471e-03  8.55596254e-03 -3.37512529e-03
  6.15618836e-03  1.69906450e-02 -3.35595916e-03  6.74110041e-03
  8.42769728e-04  1.47550691e-03 -5.88658754e-03  1.45120608e-02
 -3.30644143e-03 -2.79047466e-02  6.57625440e-03 -2.58357536e-03
  4.72609048e+02  2.57521905e+01  7.92389714e+02  4.17904762e-01
  5.08613905e+02  6.62285714e-01  4.77772667e+02  8.55238095e-01
  4.15604762e+01  1.16019048e+00  3.26834476e+02  1.62190476e-01
  1.16083819e+03  6.17946762e+02  8.22523810e+00  7.28857143e-01
  2.43276190e+00  4.70476190e-02  6.65714286e-01  1.66666667e-02
  3.38666667e-01  1.43809524e-02  4.45847619e+00  9.90476190e-03
  6.90476190e-01  4.85714286e-03  4.43809524e-02  2.10476190e-02
  1.10476190e-02  3.52380952e-03  2.27619048e+00  0.00000000e+00
  1.90476190e-02  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 5.43662938e-03 -1.37938355e-02  7.31490517e-03  6.99101839e-03
 -7.49580362e-03 -1.41913680e-02  6.01635812e-03  5.57727433e-03
 -7.29902955e-03 -4.34775850e-03  9.61188035e-03 -2.24750261e-02
  3.09756416e-03 -1.15506672e-02  1.21633909e-03  9.46934476e-03
  3.40362198e-03  1.46890167e-06 -1.43775499e-02  2.51371526e-02
  1.59777619e-02  2.42989606e-02  9.44100568e-03 -8.26689457e-03
 -1.47224189e-05  1.77228166e-02 -1.85627585e-02 -3.65571110e-03
  1.88277533e-03 -3.44842833e-03 -1.93880983e-03  4.68902813e-03
 -1.09945322e-02 -5.37809267e-03 -3.92444238e-03 -5.38499699e-03
  8.25032286e-03 -8.40304849e-04  2.36752848e-02  1.77658660e-03
 -8.17405945e-03 -9.15163355e-03  3.73520383e-03 -1.36662567e-02
 -2.94936713e-04 -6.29766801e-03  2.35967490e-03  1.40112495e-03
  8.80558359e-03  1.03873857e-02 -6.03116977e-04 -8.37319235e-03
  4.89019656e-03  1.84662519e-02 -1.51902872e-04  1.97960649e-02
 -1.52205219e-03 -1.52123307e-02 -5.98384259e-03  1.10717623e-02
  9.66965715e-03 -1.99724266e-02  1.03382790e-02  2.12216896e-03
  4.77344038e+02  2.58592308e+01  8.00139231e+02  3.46153846e-01
  5.13506827e+02  6.68076923e-01  4.82338269e+02  8.58750000e-01
  4.17887500e+01  9.29038462e-01  3.29978654e+02  1.69807692e-01
  1.14827750e+03  6.36773750e+02  8.32067308e+00  7.46923077e-01
  2.48125000e+00  5.48076923e-02  6.54615385e-01  1.39423077e-02
  3.41346154e-01  1.46153846e-02  4.48009615e+00  1.08653846e-02
  6.97307692e-01  4.80769231e-03  4.38461538e-02  2.12500000e-02
  1.11538462e-02  3.55769231e-03  2.29807692e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.19753901e-02  3.14405861e-03  1.72705037e-02  5.22090410e-03
 -1.26308915e-02 -2.99696567e-02  2.16019886e-03  5.42133947e-03
 -4.94814098e-03 -3.90298725e-03  2.26466652e-02 -2.00955625e-02
 -1.75289004e-03 -2.09691934e-02 -6.07396673e-03  6.92387753e-03
 -2.29466876e-03 -5.34702071e-03 -1.46641542e-02  2.50306880e-02
  1.72094797e-02  1.04556917e-02  1.07406502e-02 -1.59553680e-02
 -7.08261118e-03  1.31565768e-03 -2.38213723e-02  1.22611048e-02
  1.21544835e-03  1.00873813e-02 -5.54233181e-04  8.05474277e-03
 -1.36003292e-02 -1.50848015e-02 -1.09207844e-02  5.47689474e-03
 -1.54942964e-03  6.65206032e-04  2.66509255e-02 -4.87635496e-04
 -4.00341170e-04 -5.46670977e-03  7.22927414e-03 -3.51988084e-03
  2.04536097e-03 -4.93678254e-03  8.92380267e-03 -1.23165889e-02
  8.06840928e-03  1.22843934e-02  2.18055927e-03 -1.91619613e-03
  1.84692629e-03  1.29525867e-02  7.18680058e-03  6.44265989e-03
  5.48322275e-03 -1.21883747e-02 -6.73909097e-03  3.53747305e-03
  2.82187588e-03 -1.61589179e-02  4.85665873e-03 -4.72822083e-03
  4.76929904e+02  2.57911538e+01  8.00254327e+02  3.49423077e-01
  5.13597308e+02  6.72500000e-01  4.82284808e+02  8.62980769e-01
  4.18974038e+01  9.40865385e-01  3.30069808e+02  1.72788462e-01
  1.18069596e+03  6.46827115e+02  8.35884615e+00  7.58846154e-01
  2.79740385e+00  1.49326923e-01  6.79711538e-01  2.18269231e-02
  3.40769231e-01  1.45192308e-02  4.45923077e+00  1.05769231e-02
  6.88076923e-01  7.40384615e-03  3.44230769e-02  2.13461538e-02
  1.13461538e-02  3.75000000e-03  2.29807692e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 4.01660206e-03 -8.60834835e-03  1.00622006e-02  2.72879350e-04
 -6.35474182e-03 -1.29921130e-02  1.62277956e-02 -7.14894593e-03
 -8.77611878e-03  8.16675951e-03  2.26054539e-02 -1.46272972e-02
  5.46716606e-04 -1.00635610e-02 -3.01414054e-04  1.49636374e-02
  9.40315205e-03  5.08423274e-03 -6.64601809e-03  1.92615877e-02
  1.85254476e-02  2.50807931e-02  6.78408174e-03 -2.06580510e-02
  2.95739674e-04  7.25293605e-03 -2.46812009e-02  6.34747605e-03
  1.10814111e-02  1.12674222e-02 -5.60925676e-03  1.01319798e-02
 -6.40245460e-03 -9.19095987e-03 -1.66997465e-02  3.22064591e-03
  8.83010644e-03 -3.03719993e-03  1.96805854e-02 -3.64637197e-04
 -1.66365323e-03 -9.75717093e-03  7.22376445e-03 -1.31786760e-02
  6.64105357e-03 -4.94242547e-03  7.55760627e-03 -1.77708136e-02
  8.82787953e-03  1.66315729e-02  1.02036586e-02 -1.51449488e-03
 -2.71973125e-03  1.10228333e-02  1.98093702e-03  2.01145291e-02
  1.32088377e-03 -3.86816030e-03 -1.19682788e-02  1.35709592e-02
  3.98241187e-03 -1.82636562e-02  2.20156042e-03 -2.39888337e-03
  4.72380190e+02  2.53829524e+01  7.92748476e+02  3.02095238e-01
  5.08724095e+02  6.42285714e-01  4.77692095e+02  8.33047619e-01
  4.16053333e+01  9.37428571e-01  3.26941429e+02  1.52476190e-01
  1.16099314e+03  6.17994952e+02  8.29333333e+00  7.44571429e-01
  2.82857143e+00  4.53333333e-02  6.69047619e-01  2.20952381e-02
  3.38666667e-01  1.43809524e-02  4.39600000e+00  1.00952381e-02
  6.78952381e-01  8.76190476e-03  3.48571429e-02  2.10476190e-02
  1.10476190e-02  3.52380952e-03  2.27619048e+00  0.00000000e+00
  1.90476190e-02  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.10127095e-02 -5.77719197e-03  1.21216238e-02 -3.29960491e-03
 -1.06288399e-02 -2.12728784e-02  4.33466105e-03 -1.21017033e-03
 -7.09820298e-03  8.17106446e-04  1.39785892e-02 -2.62316275e-02
  6.44454912e-03 -8.85468120e-04 -1.08979044e-03  1.41044958e-02
 -6.29480077e-03  7.73036869e-03 -1.36193698e-02  1.92132254e-02
  2.53307297e-02  1.48983926e-02  1.30263888e-02 -9.64594964e-03
 -9.90983819e-03  1.55394293e-02 -2.42115898e-02  7.44456578e-04
 -4.54877646e-03  4.63013394e-03  4.60242200e-03  5.96688430e-03
 -1.25416010e-02 -2.16953865e-02 -6.37543209e-04 -3.67301197e-03
 -2.93540944e-03  1.59820680e-04  1.85966919e-02 -2.21303087e-03
 -7.95546068e-03 -3.96817161e-03 -3.84202127e-03 -1.20424422e-02
 -6.74940732e-03 -1.41684407e-02  6.75690898e-04 -1.27944235e-02
  1.22155466e-02  1.10157229e-02  5.75033733e-03 -7.44671228e-03
 -2.97772218e-03  1.45309848e-02  9.93183899e-04  2.18578117e-02
 -1.52874310e-02 -1.45634392e-02 -1.62572230e-02  1.23242006e-02
  1.12937373e-02 -1.66972565e-02  5.15784780e-03  9.00282947e-03
  4.76566731e+02  2.56787500e+01  8.00511442e+02  3.11538462e-01
  5.13622981e+02  6.56153846e-01  4.82338077e+02  8.43173077e-01
  4.20995192e+01  9.41153846e-01  3.30087115e+02  1.62500000e-01
  1.14847346e+03  6.36812788e+02  8.38076923e+00  7.54519231e-01
  2.85163462e+00  5.21153846e-02  6.70769231e-01  2.08653846e-02
  3.41346154e-01  1.46153846e-02  4.41673077e+00  1.00961538e-02
  6.85673077e-01  8.75000000e-03  3.42307692e-02  2.12500000e-02
  1.11538462e-02  3.55769231e-03  2.29807692e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.64087091e-02 -1.18564167e-02  1.55125859e-02  5.53932793e-03
 -3.97945139e-03 -1.83666672e-02 -2.81211010e-03  3.99185997e-03
 -1.78873626e-02 -3.55415103e-03  1.78272793e-02 -2.02940369e-02
 -1.76008310e-03 -1.25777179e-02  4.18407058e-03  8.58749979e-03
  5.74800124e-03 -4.17378485e-03 -9.11342892e-03  2.30835084e-02
  1.49234172e-02  1.66156657e-02  1.44291814e-02 -1.90438432e-02
 -3.43669106e-03  1.35493474e-02 -2.49918000e-02  3.16161627e-03
 -4.05072997e-03  6.00678378e-03 -2.53235315e-03  1.22042338e-02
 -1.47845898e-02 -1.95510328e-02 -1.43890438e-03 -9.89817867e-03
  3.33011739e-03 -1.77640474e-03  1.98472735e-02  2.16347637e-03
  3.92340817e-03 -1.39253821e-02 -3.86737310e-03 -7.73770579e-03
 -4.31481394e-04 -1.03540783e-02  6.23752645e-03 -3.42363375e-03
  1.50150460e-02  1.34971272e-02  2.41232316e-03 -9.25040205e-03
 -5.33675385e-04  1.38721852e-02  5.74258787e-03  8.23622450e-03
 -1.69119448e-03 -1.05662183e-02 -1.07190945e-02  1.67223739e-02
  5.62563680e-04 -1.22277855e-02  2.24995116e-03 -1.46948968e-03
  4.72194476e+02  2.55582857e+01  7.93127524e+02  2.55047619e-01
  5.08728857e+02  6.40857143e-01  4.77736190e+02  8.42952381e-01
  4.17918095e+01  9.32476190e-01  3.26941048e+02  1.60952381e-01
  1.16972181e+03  6.40655619e+02  8.28076190e+00  7.43333333e-01
  2.82314286e+00  4.82857143e-02  6.55714286e-01  1.63809524e-02
  3.37523810e-01  1.43809524e-02  4.35361905e+00  1.00952381e-02
  6.79714286e-01  7.71428571e-03  3.40952381e-02  2.11428571e-02
  1.12380952e-02  3.71428571e-03  2.27619048e+00  0.00000000e+00
  1.90476190e-02  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[-1.75708977e-03 -5.50737237e-03  1.26583848e-02  8.73503862e-03
 -6.01478887e-03 -1.91959723e-02  1.51122109e-02 -3.65192321e-04
 -1.09397514e-02 -6.08128778e-03  2.33607333e-02 -1.87919743e-02
 -1.41407976e-03 -1.39810820e-02 -5.42543305e-03  6.06441849e-03
  8.64544310e-03  3.83411258e-03 -6.17513612e-03  1.99299360e-02
  1.88090275e-02  1.72910191e-02  1.77556693e-02 -1.77802505e-02
 -9.88868723e-03  3.69771240e-04 -2.10874719e-02  1.31412738e-02
 -2.88087989e-03  5.21187448e-03  6.28669635e-03  7.79338104e-04
 -6.91291740e-03 -1.32407917e-02 -4.88033626e-03 -2.91832667e-03
  9.57920264e-03  1.51760905e-03  1.77759621e-02 -1.59885424e-03
  9.45882630e-03 -1.39565079e-02 -7.97343141e-03 -7.90708147e-03
  8.37030398e-03 -7.68241351e-03  7.77797335e-03 -9.61990047e-03
  6.92320601e-03  1.87420080e-02 -2.16066515e-03  2.22884788e-03
 -2.89843658e-03  2.76444031e-02  5.25791900e-03 -1.74562198e-03
  9.12592596e-03 -1.03028256e-02 -2.24750425e-02  1.46624460e-02
  1.11282140e-02 -1.84227289e-02  9.93208888e-03  1.47293680e-04
  4.76904135e+02  2.58427885e+01  8.00882885e+02  2.77019231e-01
  5.13640385e+02  6.56826923e-01  4.82325769e+02  8.71346154e-01
  4.19347115e+01  1.18288462e+00  3.30086923e+02  1.66442308e-01
  1.17251971e+03  6.23967692e+02  8.39625000e+00  7.50288462e-01
  2.85605769e+00  4.74038462e-02  6.54807692e-01  2.05769231e-02
  3.41923077e-01  1.45192308e-02  4.37461538e+00  1.05769231e-02
  6.86538462e-01  7.78846154e-03  3.51923077e-02  2.12500000e-02
  1.11538462e-02  3.55769231e-03  2.29807692e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.87952811e-02 -1.04502411e-02  1.30391406e-02  5.69734014e-03
 -3.55510598e-03 -2.20237252e-02 -4.49832119e-03 -4.98190167e-03
 -1.11866236e-02 -1.28628997e-02  1.54900638e-02 -1.49644452e-02
 -5.89637820e-03 -5.85867280e-03  6.70322872e-03 -2.65904026e-03
 -3.05386331e-03 -9.33205427e-04 -1.70050196e-02  1.26756631e-02
  2.08342906e-02  1.63666365e-02  6.61699270e-03 -1.30859686e-02
 -3.09590573e-03  1.90961310e-02 -2.61473320e-02  3.55743633e-03
  3.98267323e-03  3.92926789e-03 -1.20409161e-02  2.00135182e-02
 -1.05219455e-02 -1.05614306e-02 -2.15010700e-03 -6.05631987e-03
 -9.05397407e-03  1.72455982e-04  1.94432154e-02 -5.09118544e-03
 -9.73328669e-03 -6.28539494e-05 -2.32318372e-03 -1.24690809e-02
 -2.83388458e-03 -6.79193242e-03 -2.20358645e-03 -1.40101162e-02
  8.73089605e-03  6.70259570e-03  9.11243377e-03 -3.73605976e-03
  1.60334836e-03  1.77532078e-02  8.95282697e-04  8.68367098e-03
 -1.04858006e-02 -1.06159721e-02 -1.13834233e-02  2.36591416e-03
  6.17753452e-03 -1.83063941e-02  7.57791148e-03  2.64333550e-03
  4.72524190e+02  2.56554286e+01  7.93289905e+02  3.06952381e-01
  5.08736381e+02  6.57809524e-01  4.77716667e+02  8.60666667e-01
  4.14069524e+01  9.25238095e-01  3.26957143e+02  1.72285714e-01
  1.13780695e+03  6.30845238e+02  8.32133333e+00  7.43238095e-01
  2.80561905e+00  6.48571429e-02  6.59428571e-01  3.08571429e-02
  3.38095238e-01  1.44761905e-02  4.31200000e+00  1.07619048e-02
  6.80190476e-01  7.61904762e-03  3.39047619e-02  2.10476190e-02
  1.10476190e-02  3.52380952e-03  2.27619048e+00  0.00000000e+00
  1.90476190e-02  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
