Embedding,Label
"[ 5.66733104e-03  1.38457037e-04  1.03252569e-02  3.51837884e-03
 -8.84919089e-03 -1.90662035e-02  6.18633635e-03  2.25358318e-03
 -1.87160537e-03 -3.01827577e-03  1.11855611e-02  2.01863409e-04
  6.16057024e-03 -8.01232678e-04  1.93511005e-03  5.05850210e-03
 -2.45569094e-03  1.80028636e-03 -6.02478818e-03  1.12466260e-02
 -1.51569672e-03  1.26791751e-02  8.20819426e-03 -3.97552046e-03
 -4.09871659e-03  1.73946912e-03 -1.34450575e-02  1.90571216e-03
  1.13836841e-03 -7.97560452e-03 -5.33808740e-03  2.44563432e-03
 -9.47245348e-03 -1.17727250e-02  4.69449068e-03  4.01089589e-07
 -9.74579887e-04 -7.70103076e-03  1.35782521e-02  7.06837216e-03
  2.79900935e-03 -5.72965598e-03  2.12112762e-03 -3.03207400e-03
  7.95639086e-04  3.19112699e-03 -5.63125671e-03 -2.39429381e-03
  8.54710352e-03  1.12328626e-02 -3.75730406e-03  3.76571204e-03
 -1.00785090e-02  4.63059683e-03  4.64995102e-03  1.34628396e-02
 -2.18831641e-03 -1.25396815e-02  4.93791461e-03 -2.36460732e-03
  1.04154056e-02 -7.68989904e-03 -3.78959902e-03  8.58769286e-03
  2.64146296e+02             nan  8.63251667e+02             nan
  6.49474444e+02             nan  2.38957407e+01             nan
  3.27555556e+00             nan  2.20851852e+01             nan
  2.17445370e+03             nan  1.12907407e+00             nan
  6.60740741e-01  5.18518519e-02  2.21851852e-01  3.03703704e-02
  5.84444444e-01  2.79629630e-02  1.51851852e-02  7.22222222e-03
  6.31481481e-02  2.42592593e-02  4.92592593e-02  4.09259259e-02
  5.38888889e-02  2.25925926e-02  0.00000000e+00  0.00000000e+00
  1.85185185e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  2.03703704e-01  6.27777778e-02 -3.70370370e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.55555556e-02  0.00000000e+00]",0
"[ 9.74230159e-03 -4.01389627e-03  6.06038927e-03  5.67194749e-03
 -1.81942194e-03 -2.18074007e-02  3.92447300e-03  1.75623888e-02
  3.42573774e-03 -4.48925751e-03  5.58966131e-03  9.25933558e-03
  4.33548055e-03  3.44388890e-04  4.94579570e-03  1.01299975e-02
 -5.63850240e-04  2.39762277e-03 -1.33673481e-02 -4.22013987e-03
  5.30676579e-03  1.19522551e-02  1.20589289e-02 -1.68877438e-02
  5.50865776e-04  6.13156059e-03 -2.97057390e-03  1.13272526e-02
  5.16317725e-03  3.51837924e-04 -1.64935541e-03 -7.31138168e-03
 -3.09148487e-05 -4.38619264e-03  2.18438635e-04 -2.24680102e-03
 -2.10700718e-03 -7.99014518e-03  2.48946739e-02 -2.04093213e-03
 -1.00887994e-02 -6.86871805e-03 -5.38322301e-04  6.90202584e-03
 -5.76015885e-03  9.60061573e-04  3.90831228e-03 -3.33045824e-03
 -1.89741082e-03  5.98267385e-03 -1.37463409e-03 -5.11270368e-03
 -9.01066343e-03  1.73493702e-02  9.25318334e-03 -2.37467428e-03
 -1.85457694e-03 -9.49136885e-03 -8.26137541e-03 -3.44510981e-03
  5.21563696e-03 -1.65363719e-02 -4.83216106e-03 -4.98038980e-05
  2.27027547e+02             nan  8.78693962e+02             nan
  6.60394906e+02             nan  2.43649057e+01             nan
  3.47716981e+00             nan  2.24152830e+01             nan
  2.14468340e+03             nan  1.15056604e+00             nan
  6.40000000e-01             nan  2.07547170e-01  3.77358491e-02
  5.97735849e-01  3.69811321e-02  1.54716981e-02  7.35849057e-03
  4.81132075e-02  1.33962264e-02  4.71698113e-02  3.81132075e-02
  6.00000000e-02  7.35849057e-03  0.00000000e+00  0.00000000e+00
  1.88679245e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  2.26415094e-01  0.00000000e+00 -3.77358491e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.66037736e-02  0.00000000e+00]",0
"[ 2.08794218e-03 -2.54616550e-03  1.21277086e-02  4.88402437e-03
 -5.07320399e-03 -1.59824662e-02  7.16909609e-03  9.01219220e-04
 -5.53805094e-03 -1.18631235e-02  1.15199894e-02  4.11296056e-03
 -2.42216226e-03  1.62132156e-03 -2.49454623e-03 -1.70560174e-03
 -2.03967986e-03  2.27143544e-03 -3.92939580e-03 -2.44349886e-04
  2.25470960e-03  6.43647949e-03  1.03066191e-02 -5.77328727e-03
 -1.23405793e-03  7.76356573e-03 -1.43117377e-02  6.84021815e-03
 -8.28918528e-03  5.94144400e-05 -4.85667973e-03  4.23898233e-03
 -7.34427729e-03 -5.84595751e-03  2.07549205e-03 -8.06373028e-03
  1.77044558e-03 -3.65802900e-03  1.41767040e-02  2.22569704e-03
 -6.94630668e-04  4.68852011e-03 -4.31969833e-03 -4.20842524e-03
  8.38128062e-04 -4.48225195e-03 -2.30492308e-04  5.75516843e-03
  5.61463625e-03 -5.66173918e-05 -1.27949156e-03 -2.83001485e-03
 -1.05908102e-02  7.48040269e-03  8.10015545e-03  5.40662829e-03
  3.64101313e-03 -1.01339356e-02 -9.46664953e-03  9.96915079e-03
  4.73538485e-03 -1.30302035e-02 -2.50437211e-03  1.28052468e-03
  2.76803269e+02  4.55273077e+01  8.99465962e+02  1.50384615e+00
  6.69722500e+02  1.55865385e+00  2.50896154e+01  1.54423077e-01
  1.90365385e+00  6.29230769e-01  2.29342308e+01  1.97307692e-01
  2.30574808e+03  1.27951615e+03  2.58076923e-01  7.94230769e-02
  6.60000000e-01  4.42307692e-02  2.23269231e-01  3.65384615e-02
  6.06730769e-01  3.34615385e-02  1.61538462e-02  7.11538462e-03
  8.13461538e-02  1.80769231e-02  5.80769231e-02  5.90384615e-02
  1.23076923e-02  3.13461538e-02  0.00000000e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  1.76923077e-02  6.26923077e-02 -3.84615385e-02  0.00000000e+00
  4.42307692e-03  8.26923077e-03  5.76923077e-02  0.00000000e+00]",0
"[ 3.44188213e-03 -1.49192244e-03  9.32246398e-03  5.02390586e-03
  2.16656812e-03 -1.39642909e-02  3.85868676e-03  5.88587038e-03
  2.03742832e-04 -3.53288583e-03  1.24596116e-02 -1.74282700e-03
  2.72321880e-03 -1.21710300e-03 -1.44690990e-03  5.60805075e-03
 -3.57252993e-03 -2.66768027e-03 -4.54552767e-03  8.80646795e-03
  4.95844081e-03  6.29950359e-03  1.13139562e-02 -3.16327617e-03
 -2.87459794e-03  6.47003651e-03 -2.61465337e-03  1.73980229e-03
 -1.41208524e-03  3.40877101e-04 -5.61227828e-03 -3.86242449e-03
 -1.51362735e-02 -8.23791444e-03  2.23116713e-03 -3.78878475e-03
 -9.85440940e-03 -2.10728495e-03  1.78071684e-02  4.67659682e-03
  1.94455087e-04 -3.59335840e-04 -7.95476437e-04 -3.91546473e-03
 -5.01642436e-03 -4.94890511e-03 -3.20111662e-03 -4.88474004e-03
  1.07500799e-03  3.48040923e-03  4.03332710e-04 -6.59634590e-03
  3.09934296e-03  8.96620572e-03  8.66097763e-03  1.07317704e-02
  3.76189351e-03 -1.66962099e-02 -2.95417017e-03 -1.47166729e-03
  7.51255125e-03 -1.10244191e-02  2.98587382e-04 -1.38895884e-04
  2.74999800e+02             nan  9.35742400e+02             nan
  6.96759000e+02             nan  2.60820000e+01             nan
  1.76380000e+00             nan  2.38586000e+01             nan
  2.34509520e+03             nan  2.61200000e-01             nan
  6.49400000e-01             nan  2.23400000e-01  3.62000000e-02
  6.30600000e-01  3.04000000e-02  1.68000000e-02  7.40000000e-03
  7.40000000e-02  1.80000000e-02  5.14000000e-02  4.08000000e-02
  3.20000000e-03  7.40000000e-03  0.00000000e+00  0.00000000e+00
  2.00000000e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -4.00000000e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.00000000e-02  0.00000000e+00]",0
"[ 1.28891820e-02 -2.18872540e-03  1.03864852e-02  5.55563028e-03
 -4.60259879e-03 -1.33196723e-02  7.04021366e-04  1.31925996e-03
  6.50830954e-03 -4.29848361e-03  4.03437129e-03 -5.88473195e-03
  4.81969780e-05 -9.52570127e-03 -6.82159624e-03  2.71870348e-03
 -4.80870009e-03 -2.12760428e-03 -9.32448495e-03  5.41855098e-03
  7.26876215e-03  8.18159542e-03  1.31460163e-02 -5.80616820e-03
 -6.13500688e-03  8.69053050e-03 -1.02269622e-02  1.87176528e-03
  5.75553653e-03 -4.60413774e-03 -1.03309033e-02  8.50441721e-03
 -1.43363525e-02 -2.13416442e-03  5.52565742e-03 -1.44465626e-03
 -9.20188786e-04  6.26581549e-04  1.23089922e-02  7.96150389e-03
  3.22652753e-03 -3.58527388e-03 -1.28493084e-03 -2.90001101e-03
 -1.27457494e-03 -5.64816066e-03 -9.59859126e-04 -1.76041073e-03
  7.18328067e-04 -1.53497413e-03 -8.24371422e-04 -7.96786972e-03
 -7.58857984e-04  1.34516215e-02  3.81471872e-03  4.71595833e-03
  5.05455183e-03 -9.35116107e-03 -9.86726141e-03 -7.18465061e-03
  6.78738621e-03 -1.16991235e-02  1.46971076e-02  6.50911075e-03
  2.63002037e+02             nan  8.64770741e+02             nan
  6.49106667e+02             nan  2.38768519e+01             nan
  2.94018519e+00             nan  2.21172222e+01             nan
  2.16164722e+03             nan  1.22555556e+00             nan
  6.31296296e-01  4.68518519e-02  2.40555556e-01  3.03703704e-02
  5.82592593e-01  2.81481481e-02  1.53703704e-02  7.03703704e-03
  8.27777778e-02  1.31481481e-02  4.79629630e-02  4.16666667e-02
  3.14814815e-03  7.03703704e-03  0.00000000e+00  0.00000000e+00
  1.85185185e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -3.70370370e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.55555556e-02  0.00000000e+00]",0
"[ 3.40136877e-03 -3.92304942e-03  1.29565900e-02  4.72712415e-03
  3.22777822e-03 -9.35699601e-03  3.34113702e-03  6.18485654e-03
 -6.90372690e-03 -1.91373378e-03  8.80618817e-03 -2.05664366e-04
  3.37728610e-03  6.58351782e-04 -5.20398132e-03 -1.89434379e-03
 -2.92154920e-03  1.58784984e-03 -2.25814403e-03  2.30600743e-03
  5.01276655e-03  6.06666038e-03  9.45869643e-03 -8.44141257e-03
 -4.00280938e-03  1.14690039e-02 -1.08054118e-02  4.76580058e-03
 -7.72964750e-03 -4.67271073e-03  6.65804335e-05  2.19164672e-03
 -1.44060762e-02 -5.57241034e-03  5.64231358e-03 -2.91644176e-03
  4.54785558e-04  3.12016240e-03  1.28896683e-02  5.17328299e-03
 -3.69899778e-04  2.13150224e-03  7.67465316e-05 -1.08787191e-03
 -1.15493948e-03 -1.27911297e-03  3.85641906e-03 -1.39610013e-03
 -1.90811341e-03  5.41354292e-03  3.97624046e-04  4.53143874e-04
 -2.70160594e-03  7.94187977e-03  6.21705632e-03  4.31208583e-03
  4.05587607e-03 -8.11999247e-03 -5.10751178e-03  2.13184558e-03
  1.07148813e-02 -1.31993136e-02 -3.61377187e-03  2.75288120e-03
  2.80951765e+02             nan  9.17483137e+02             nan
  6.83119804e+02             nan  2.55721569e+01             nan
  2.14745098e+00             nan  2.34021569e+01             nan
  2.30739078e+03             nan  2.57843137e-01             nan
  6.43137255e-01  5.94117647e-02  2.40588235e-01  3.66666667e-02
  6.18823529e-01  2.96078431e-02  1.64705882e-02  7.25490196e-03
  7.47058824e-02  1.90196078e-02  5.07843137e-02  4.07843137e-02
  3.13725490e-03  7.25490196e-03  0.00000000e+00  0.00000000e+00
  1.96078431e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -3.92156863e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.88235294e-02  0.00000000e+00]",0
"[ 0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  8.50000e+00
          nan  8.70300e+02          nan  7.50000e+00          nan
  7.00000e-01          nan  9.00000e-01          nan  1.64000e+01
          nan  1.16057e+04          nan  4.00000e-01          nan
  2.00000e-01          nan  4.00000e-01          nan  3.00000e-01
          nan -1.00000e-01          nan  1.00000e-01          nan
  3.00000e-01          nan  0.00000e+00          nan  0.00000e+00
  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
  0.00000e+00  0.00000e+00  0.00000e+00]",0
"[ 7.50876114e-03 -2.60815918e-03  2.41811608e-02  6.67255632e-03
 -9.74683082e-03 -1.82173515e-02  6.74983954e-03 -4.39327124e-04
  2.23006768e-03 -9.39240982e-06  1.47801319e-02  3.41700910e-04
 -4.62132484e-04  4.51069013e-03 -5.41224625e-03  4.16397737e-03
 -5.87319076e-03  5.28473260e-03 -1.41983018e-02  6.83296992e-03
  1.11754460e-02  2.04646781e-02  9.16714412e-03 -1.50376690e-02
 -5.33372909e-03  5.54862812e-03 -2.02027934e-02  6.25577777e-04
  2.29651620e-03 -9.62547767e-03 -1.15784351e-02 -1.75138809e-03
 -1.04866766e-02 -3.43496196e-03  1.30726491e-02  3.79739702e-03
 -4.19259868e-03 -6.27996838e-03  1.10958496e-02  6.66734247e-03
  3.51514789e-03 -4.17994569e-03 -8.57927487e-04 -2.63516189e-03
 -6.12539036e-03 -6.53363660e-03 -4.75035625e-03 -3.12634930e-03
  1.49716312e-03  7.66349393e-05  5.45530941e-03 -8.76297265e-03
 -1.16774724e-02  5.41465071e-03  3.70496494e-03 -1.24586183e-03
 -1.90429675e-03 -1.74075344e-02 -1.09110736e-02 -2.56685973e-03
  8.08369351e-03 -1.83153457e-02 -3.57704973e-04 -2.73908246e-03
  1.11472093e+01             nan  9.87255814e+02             nan
  1.91781395e+01             nan  6.01930233e+00             nan
  3.62000000e+00             nan  2.74455814e+01             nan
  1.60084488e+03             nan  1.43790698e+00             nan
  7.98604651e-01             nan  3.41162791e-01  1.34883721e-02
  7.32558140e-01  4.93023256e-02  1.16279070e-02  1.65116279e-02
  8.53488372e-02  1.34883721e-02  4.25581395e-02  6.27906977e-02
  4.65116279e-02  4.02325581e-02  0.00000000e+00  0.00000000e+00
  2.32558140e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  1.86046512e-01  1.61162791e-01 -4.65116279e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.97674419e-02  0.00000000e+00]",0
"[ 4.23027643e-03 -1.53142199e-03  9.95240733e-03  7.61646405e-03
 -4.07030727e-03 -1.09283804e-02  3.83087842e-03  6.09709738e-03
  1.36581321e-03 -1.09134113e-03  1.27288567e-02  2.98137848e-06
  6.69132726e-03 -1.63208937e-03 -3.03201034e-03  6.09806724e-03
 -4.86725576e-03  4.70380156e-04 -5.44640694e-03  1.00380993e-02
 -5.41329384e-04  8.60764745e-03  1.22466655e-02 -7.55159270e-03
 -1.93921687e-03  6.13615404e-03 -6.44514910e-03  1.51481323e-03
 -2.74171207e-03  1.64459497e-03  1.92238125e-03 -1.66829941e-03
 -1.56699769e-02 -1.26031566e-02  4.03288421e-03 -6.34738172e-03
 -5.36054187e-03 -3.92644831e-03  1.72345621e-02  5.16311237e-03
  1.15162020e-03 -3.12467779e-03 -6.92784070e-04 -1.06276199e-03
  6.37911117e-04 -3.93562592e-05 -8.85388886e-04 -1.76853414e-03
  9.86758333e-04  3.83290161e-03 -1.22756969e-03 -3.75624783e-03
 -7.35990384e-03  1.13837186e-02  2.46704957e-03  5.54030919e-03
 -2.19723554e-03 -4.63073486e-03 -1.24290471e-03  1.48197987e-03
  6.42353855e-03 -8.85639311e-03 -1.37022775e-03  8.33374749e-03
  2.74470962e+02  4.56419231e+01  8.98513846e+02  6.90192308e-01
  6.69404615e+02  1.67096154e+00  2.51286538e+01  1.65961538e-01
  1.87288462e+00  6.23461538e-01  2.29296154e+01  2.16346154e-01
  2.27973173e+03  1.28537846e+03  1.84230769e-01  6.30769231e-02
  6.65769231e-01  5.50000000e-02  2.49230769e-01  2.71153846e-02
  6.17500000e-01  3.84615385e-02  1.61538462e-02  7.11538462e-03
  6.69230769e-02  9.61538462e-03  4.96153846e-02  4.26923077e-02
  6.11538462e-02  7.50000000e-03  0.00000000e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  2.30769231e-01  0.00000000e+00 -3.84615385e-02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.76923077e-02  0.00000000e+00]",0
"[ 8.52500655e-04 -3.01658148e-03  5.05352400e-03 -4.98630837e-05
  9.16909783e-04 -1.11263377e-02  1.21003915e-03  5.13957529e-03
 -5.70374019e-03 -4.34872632e-03  1.61022082e-02  1.33053520e-03
  3.51089005e-03 -2.99473998e-03  3.69030055e-03 -7.35187355e-04
 -7.16589492e-04 -1.19047575e-03 -3.79761878e-03  4.44074472e-03
  1.58397737e-04  5.26660067e-03  7.34432480e-03  8.65304587e-06
 -1.64793666e-03  7.27007620e-03 -8.96184760e-03  3.10072968e-03
 -5.99114151e-03 -3.03269755e-03 -8.35526092e-03 -3.33400808e-03
 -9.88879099e-03 -5.81403500e-03  1.97581801e-04  2.62299472e-03
 -3.74442076e-04 -5.43811304e-05  1.69150800e-02  4.78475278e-03
  3.39791354e-03  2.38366854e-03  1.19457175e-03 -7.61639663e-03
 -1.40055736e-03  1.10802153e-03  4.69593653e-03 -6.79684912e-04
  6.06234386e-03  4.85287139e-04  3.45690030e-03  2.00220307e-03
  1.84893198e-03  7.77918086e-03  1.22176251e-02  4.98368796e-03
  4.60564287e-03 -7.01456736e-03  4.40236601e-04  4.68150183e-03
  4.72414610e-03 -8.29575021e-03 -1.81657831e-03  1.95709220e-03
  2.72080980e+02  5.21537255e+01  9.15900784e+02  8.45686275e-01
  6.83197059e+02  9.36274510e-01  2.56280392e+01  1.57058824e-01
  1.85960784e+00  2.19607843e-01  2.34058824e+01  1.95490196e-01
  2.30743098e+03  1.26447000e+03  2.13725490e-01  7.90196078e-02
  6.70000000e-01  5.68627451e-02  2.58823529e-01  4.21568627e-02
  6.38431373e-01  2.96078431e-02  1.64705882e-02  7.25490196e-03
  5.74509804e-02  3.11764706e-02  5.92156863e-02  5.86274510e-02
  4.50980392e-02  3.43137255e-02  0.00000000e+00  0.00000000e+00
  1.96078431e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  1.68039216e-01  1.08235294e-01 -3.92156863e-02  0.00000000e+00
  3.52941176e-03  7.64705882e-03  5.88235294e-02  0.00000000e+00]",0
