Embedding,Label
"[ 8.85691164e-03 -6.75787269e-03  1.94125131e-02  5.85781180e-03
  5.51812617e-04 -2.41014702e-02  6.51857441e-03 -2.52914961e-04
 -3.03093776e-03  1.24223860e-03  1.79303357e-02 -1.04922907e-02
  1.74638444e-03 -1.27447638e-02  2.71702848e-03  3.34341242e-03
  5.37197714e-03  7.29383771e-03 -4.74006799e-03  3.50061075e-02
  2.41703009e-02  1.20070069e-02  7.50009155e-03 -3.87030429e-03
 -1.05907607e-02  1.47660537e-02 -2.22558345e-02  2.54532078e-03
  5.52331411e-03 -2.78716223e-03 -8.52183733e-03  9.19770718e-04
  2.53928332e-03 -2.30510010e-03  4.60569017e-03 -7.16256460e-03
  7.85233513e-03 -3.63698034e-04  2.71984821e-02  1.11395284e-02
 -3.96649412e-03  2.48682934e-03 -1.04276760e-02 -5.26821301e-03
  3.03981769e-03 -7.13113404e-03  9.27912824e-03 -8.70328496e-03
 -1.92077547e-03  1.20425407e-02  8.62526965e-03 -2.57569324e-03
  5.99542652e-03  1.50024804e-02  3.91127872e-03  1.10454968e-02
  4.72700436e-04 -1.43327265e-02 -7.17832875e-03  8.40070936e-03
  7.40771120e-03 -2.28310180e-02  5.42769824e-03 -3.28277658e-03
  4.81647238e+02             nan  9.85984342e+05             nan
  6.52724667e+02  3.07668857e+02  4.81448190e+02  5.79990476e+00
  4.04967619e+01  4.19638095e+00  3.27906857e+02  3.28066667e+00
  1.14309143e+03  6.47267905e+02  7.09838095e+00  3.17009524e+00
  2.51571429e+00  6.19428571e-01  6.64190476e-01  3.72380952e-02
  3.38095238e-01  1.44761905e-02  4.89457143e+00  2.06771429e+00
  6.82857143e-01  2.13333333e-02  3.62857143e-02  2.51428571e-02
  1.11428571e-02  3.61904762e-03  2.27619048e+00  0.00000000e+00
  1.90476190e-02  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.04095238e-01  8.52380952e-02 -6.66666667e-04  1.39047619e-02
  0.00000000e+00  0.00000000e+00  8.19047619e-03  1.31428571e-02]",0
"[ 1.36930697e-02 -9.34820411e-03  1.58762914e-02 -1.13386518e-02
 -2.00444467e-03 -2.59317128e-02  9.24134734e-04  1.51478205e-03
 -1.20403579e-02  5.03759057e-03  2.36935922e-02 -1.55572664e-02
 -7.96888445e-03 -3.05711047e-03 -4.05590225e-03  3.70969220e-03
  1.27195255e-03  8.25890637e-03 -1.71459258e-02  3.51732160e-03
  9.90640843e-03  1.88000265e-02  1.32994298e-02  2.36689636e-03
 -7.81362341e-03  8.11070455e-03 -1.93997365e-02  1.27095441e-03
  1.21568186e-03  1.99441504e-03 -1.37353996e-02  8.32571970e-03
 -1.11574389e-02 -1.37830451e-02 -1.49643421e-03 -8.44914527e-03
  1.49139692e-03 -1.01117421e-02  2.43897127e-02  7.34988490e-03
  9.66785467e-03 -5.67393141e-03 -6.68726815e-03 -4.06821097e-03
 -6.76046641e-03 -1.10207829e-03  1.93627674e-03 -1.43101078e-02
  1.72292198e-02  5.76402188e-03  1.09415465e-02  1.88942772e-03
  2.41628270e-04  1.43809279e-02 -1.12100128e-03  1.98977691e-02
  6.03792111e-03 -1.06451482e-02 -1.01796544e-02  1.84490560e-02
  2.50466522e-02 -1.77377241e-02  8.58236249e-03  8.18062382e-03
  4.76917981e+02  2.58300962e+01  7.91870192e+02  3.57019231e-01
  5.13575481e+02  6.78942308e-01  4.82526731e+02  8.94711538e-01
  4.26658654e+01  9.37980769e-01  3.29656442e+02  1.91346154e-01
  1.14150260e+03  6.36204135e+02  8.47538462e+00  7.55769231e-01
  2.69576923e+00  7.79807692e-02  6.82211538e-01  1.72115385e-02
  3.41346154e-01  1.46153846e-02  5.85711538e+00  9.71153846e-03
  6.86442308e-01  8.07692308e-03  3.42307692e-02  2.12500000e-02
  1.11538462e-02  3.55769231e-03  2.29807692e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.28952746e-02 -1.04402521e-03  1.91735525e-02 -1.06123567e-02
 -7.04230805e-03 -2.09913864e-02 -2.36180783e-03 -1.08998205e-02
 -1.72549259e-03  8.87072394e-04  1.87972208e-02 -1.82683469e-02
  6.76513390e-05 -8.80428534e-03 -9.82045309e-03  1.31828570e-02
 -6.40070404e-03  6.71071301e-03 -1.42291070e-02  3.20473990e-02
  1.57543787e-02  1.57273735e-02  1.02271264e-02 -1.00794757e-02
 -1.28309568e-02  1.63069949e-02 -3.04736835e-02 -6.29496814e-04
 -6.43084337e-03 -4.47283105e-04  2.21682390e-04  4.64419478e-03
 -3.01318732e-02 -8.03787442e-03  8.43996209e-04  3.62351384e-03
  1.16910848e-02 -7.86171431e-03  3.47658516e-02  3.90127695e-04
  1.04383737e-03  5.33970398e-03 -9.15612058e-04 -1.48325348e-02
  5.96524757e-03 -7.68135022e-03  9.93092723e-04 -1.05341558e-02
  3.74098819e-03  4.30526652e-03  1.45361105e-02 -4.27780503e-03
 -5.76234361e-03  6.17015125e-03 -2.81874968e-04  6.99941551e-03
  3.74332579e-03 -7.59869466e-03 -5.78772536e-03  8.54089623e-03
 -6.26656370e-03 -2.02010490e-02  9.97292827e-04  6.01046611e-03
  4.77059808e+02  2.57722115e+01  7.91870962e+02  3.41153846e-01
  5.13540769e+02  6.57115385e-01  4.82518462e+02  8.63557692e-01
  4.27385577e+01  9.17980769e-01  3.29701442e+02  1.72596154e-01
  1.17412423e+03  6.46135865e+02  8.44855769e+00  7.37403846e-01
  2.66615385e+00  6.13461538e-02  6.75769231e-01  2.14423077e-02
  3.40769231e-01  1.45192308e-02  5.83884615e+00  9.03846154e-03
  6.86250000e-01  7.78846154e-03  3.44230769e-02  2.13461538e-02
  1.13461538e-02  3.75000000e-03  2.29807692e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 3.68255090e-03  3.70050051e-03  1.95083943e-02  5.19392803e-03
 -1.00570564e-02 -2.48959008e-02  1.03865917e-02 -3.17219847e-03
 -2.05225825e-02  1.63945591e-03  2.09463770e-02 -1.99387036e-02
  4.26740934e-03 -1.45382481e-02 -5.41011531e-03  8.25746162e-03
  1.34593557e-03  8.28382636e-03 -7.68113448e-03  2.18093929e-02
  1.49955460e-02  1.78142622e-02  7.42005701e-03 -9.60360893e-03
  1.21010945e-03  8.37730686e-03 -2.15460603e-02  6.88761008e-03
 -2.72293187e-03 -2.53275390e-03  1.58011584e-03  3.82245800e-03
 -1.04980686e-02 -1.25293912e-02 -7.89639698e-03 -3.92197250e-04
  4.52938889e-03 -2.73352453e-04  1.17897235e-02  9.92844885e-03
  4.10810613e-03  3.27303438e-03 -7.20293440e-03 -1.15464082e-02
 -1.87959665e-03 -3.33699595e-03  8.05359814e-03 -1.81471920e-02
  9.28369678e-03  6.88758812e-03  1.57413784e-02  4.51579866e-03
 -4.97588977e-04  1.06524208e-02  1.58634730e-02  2.47830387e-03
  1.89405662e-04 -6.81820915e-03 -9.12564073e-03  2.28694935e-02
  9.76029613e-03 -1.59726905e-02  6.01248567e-04  3.72635144e-03
  4.72709714e+02  2.54254286e+01  7.84375714e+02  3.35047619e-01
  5.08732762e+02  6.66666667e-01  4.77917143e+02  8.59619048e-01
  4.23891429e+01  9.11428571e-01  3.26629143e+02  1.70571429e-01
  1.15472886e+03  6.17396857e+02  8.38419048e+00  7.29238095e-01
  2.82419048e+00  1.24571429e-01  6.65333333e-01  1.62857143e-02
  3.38666667e-01  1.43809524e-02  5.76495238e+00  8.28571429e-03
  6.80000000e-01  7.71428571e-03  3.48571429e-02  2.10476190e-02
  1.10476190e-02  3.52380952e-03  2.27619048e+00  0.00000000e+00
  1.90476190e-02  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.51458936e-02 -1.15267478e-02  1.59036932e-02 -6.26173615e-03
 -4.45939335e-03 -2.97637079e-02 -9.99881886e-04  4.44488859e-03
 -1.02936062e-02 -2.58169834e-03  1.21034896e-02 -1.61430367e-02
  2.36564479e-03 -1.17919698e-02  2.21132225e-03 -2.46532649e-03
  2.85395744e-03  5.59985288e-03 -6.00378846e-03  2.48762704e-02
  1.38203246e-02 -1.39526987e-05  7.21792389e-03 -8.51325198e-03
  4.89480500e-05  5.78066943e-03 -2.16054628e-02  3.82499455e-03
  8.44207498e-03  2.43339107e-03 -8.49496537e-04  5.86845242e-03
 -1.50334348e-02 -3.15862572e-03 -7.65002781e-03 -5.27310364e-03
  1.27987543e-02 -1.04360724e-02  2.25419614e-02  1.63592041e-02
  5.27240332e-03 -1.92297177e-03 -7.38826233e-03 -1.38407046e-02
  2.45967164e-03 -9.96046284e-03  8.68176004e-03 -1.10720522e-02
  4.96078440e-03  2.08900854e-03 -3.92646815e-04  4.81798473e-03
 -3.04354491e-03  2.10568918e-02  8.63824201e-04  1.33128160e-02
  9.30867104e-03 -4.79585477e-03 -3.96607161e-03  1.75298665e-02
  2.37262869e-03 -2.77390204e-02  7.85815700e-03  1.04078834e-03
  4.76906923e+02  2.56044231e+01  7.91938173e+02  3.23557692e-01
  5.13676346e+02  6.73173077e-01  4.82467019e+02  8.66250000e-01
  4.25742308e+01  1.17182692e+00  3.29793654e+02  1.74230769e-01
  1.14169471e+03  6.36373558e+02  8.45336538e+00  7.50576923e-01
  2.92586538e+00  5.29807692e-02  6.72884615e-01  1.80769231e-02
  3.41346154e-01  1.46153846e-02  5.80134615e+00  8.55769231e-03
  6.87019231e-01  7.30769231e-03  3.42307692e-02  2.12500000e-02
  1.11538462e-02  3.55769231e-03  2.29807692e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.16055035e-02 -1.30050293e-02  1.09828463e-02  4.07482823e-03
 -1.77577362e-03 -8.82279428e-03  3.49421469e-03 -5.43317761e-03
 -1.55309526e-02 -7.99769987e-03  1.71191271e-02 -1.35165804e-02
 -1.39441045e-02 -1.32584809e-02  4.12900162e-04 -5.54792186e-03
  3.24733614e-04 -1.80037266e-03 -5.94231300e-03  2.85551040e-02
  2.57385646e-02  1.47078735e-02  4.82514852e-03 -8.58164009e-03
 -9.32540718e-03  1.46714140e-02 -2.82820330e-02  9.69994657e-03
 -2.07712702e-03 -1.10181580e-03 -3.81473392e-03  9.53026915e-03
  9.93666817e-04 -1.46424112e-02 -6.93398397e-03 -5.47900380e-03
  8.36525746e-03  5.42881388e-04  1.29221659e-02 -2.46025264e-03
 -1.17194878e-03 -3.73150043e-03 -1.02836876e-02 -1.17299397e-02
  4.85010123e-03 -5.70766918e-03 -1.46562217e-03 -1.03114958e-02
  4.16307900e-03  1.33131492e-02 -2.97041209e-03 -1.23611213e-04
  3.88997079e-03  2.05658544e-02  9.36208203e-04  1.75106146e-02
 -6.29167332e-04 -1.52064581e-02 -4.02636982e-03  9.37582113e-03
  1.18182915e-02 -1.44506431e-02  5.81265864e-03  4.84043224e-03
  4.76897404e+02  2.57135577e+01  7.92008558e+02  3.15000000e-01
  5.13529519e+02  6.85192308e-01  4.82438077e+02  8.67788462e-01
  4.23618269e+01  9.26057692e-01  3.29708750e+02  1.82788462e-01
  1.17421442e+03  6.46168750e+02  8.42548077e+00  7.56346154e-01
  2.62230769e+00  1.22115385e-01  6.63076923e-01  1.35576923e-02
  3.40769231e-01  1.45192308e-02  5.78307692e+00  9.03846154e-03
  6.87307692e-01  4.80769231e-03  3.44230769e-02  2.13461538e-02
  1.13461538e-02  3.75000000e-03  2.29807692e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.10391112e-02 -6.07378628e-03  2.04049064e-02  5.72043860e-03
 -1.37069220e-02 -2.03630633e-02  5.88016195e-03 -5.31629764e-03
 -1.33914771e-02 -5.58383373e-04  2.10074565e-02 -2.21921387e-02
 -6.39135355e-04 -1.03002951e-02 -2.34616943e-03  6.19418174e-03
  1.50219101e-03  7.72393999e-03 -1.48503038e-02  1.92455584e-02
  2.01575180e-02  8.17527398e-03  1.11879798e-02 -5.04595346e-03
 -1.42786722e-02  7.61944529e-03 -2.29445987e-02  4.38835769e-03
 -8.17899278e-03 -5.71541843e-04  2.87089439e-03  3.90844693e-03
 -1.78698319e-03 -1.16256248e-02 -5.10962019e-03 -7.42188459e-03
  6.50877859e-03 -4.40138238e-03  1.95859873e-02  6.35281189e-03
 -1.64345027e-03  3.08006746e-03 -7.86881035e-03 -2.81984015e-03
 -3.33489133e-03 -7.19658124e-03  5.60360683e-03 -5.55337490e-03
  6.65491834e-03  1.22518883e-02 -8.24594941e-04  7.98935611e-03
  6.36221740e-03  1.93384454e-02 -2.01646718e-04  1.12089665e-02
  3.20603961e-03  3.57538284e-05 -1.60796812e-02  2.06700019e-02
  1.74526886e-02 -2.43664781e-02  7.18421106e-03  9.89817949e-03
  4.72055429e+02  2.57757143e+01  7.84503333e+02  3.05142857e-01
  5.08616095e+02  6.60285714e-01  4.77840667e+02  8.42285714e-01
  4.20772381e+01  9.42380952e-01  3.26563714e+02  1.69333333e-01
  1.15471467e+03  6.17502381e+02  8.32780952e+00  7.58476190e-01
  2.50666667e+00  5.62857143e-02  6.56761905e-01  1.34285714e-02
  3.38666667e-01  1.43809524e-02  5.70971429e+00  9.42857143e-03
  6.80952381e-01  4.85714286e-03  3.48571429e-02  2.10476190e-02
  1.10476190e-02  3.52380952e-03  2.27619048e+00  0.00000000e+00
  1.90476190e-02  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.14399314e-02  4.33995194e-04  1.39574202e-02  8.40321427e-03
 -9.81903353e-03 -1.90720002e-02  1.21750889e-02  1.26467977e-02
 -1.35455032e-02  8.05640024e-03  1.85311559e-02 -2.10198002e-02
 -8.82368196e-03  1.78751061e-03  2.85660705e-03  5.38124368e-03
  9.23897999e-04  8.62802522e-03 -1.87610812e-02  3.24132325e-02
  1.34365072e-02  9.69837939e-03  3.47743688e-03 -8.15608231e-03
 -9.56960599e-03  6.34020562e-03 -1.99347138e-02  1.58959907e-02
  3.37679849e-03  9.49863051e-03  5.81443543e-03  8.64678650e-03
 -4.72171768e-03 -1.86408442e-02  9.99854771e-03 -2.74454625e-03
  1.27939489e-02 -1.60716230e-03  3.35623341e-02 -2.25997550e-03
 -3.25194664e-03 -1.05317753e-02  9.08476720e-03 -4.86679965e-03
 -8.37580788e-03 -3.26191951e-03  5.02765582e-05 -4.54648538e-03
  2.40445198e-03  2.22139495e-02  5.78832777e-03  8.83648559e-03
  3.04582060e-03  2.24656829e-02 -5.98903756e-03  1.28942737e-02
  9.14631560e-03 -8.40159943e-03  5.15445105e-03  1.58211471e-02
 -8.19505211e-03 -1.24163955e-02 -3.55934022e-03  6.15457392e-03
  4.76672596e+02  2.58442308e+01  7.92193462e+02  3.23269231e-01
  5.13514423e+02  6.62692308e-01  4.82466827e+02  8.45096154e-01
  4.25796154e+01  9.46346154e-01  3.29703750e+02  1.72211538e-01
  1.14202519e+03  6.36254615e+02  8.45548077e+00  7.68557692e-01
  2.50605769e+00  6.04807692e-02  6.60673077e-01  1.86538462e-02
  3.41346154e-01  1.46153846e-02  5.74605769e+00  1.00000000e-02
  6.87692308e-01  4.80769231e-03  3.42307692e-02  2.12500000e-02
  1.11538462e-02  3.55769231e-03  2.29807692e+00  0.00000000e+00
  1.92307692e-02  0.00000000e+00  9.61538462e-03  0.00000000e+00
  1.73076923e-01  0.00000000e+00  9.61538462e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.15786196e-02 -1.68911013e-03  1.83479121e-02 -4.70559670e-03
 -9.28857639e-03 -2.85859097e-02  2.55303713e-03 -4.35455816e-03
 -1.48185594e-02  1.82185780e-03  3.05591115e-02 -8.77205771e-03
 -1.08941950e-02 -1.04049806e-02  6.40125968e-03  1.19088873e-02
  6.30092681e-03  8.33453951e-03 -1.73511426e-03  1.64608870e-02
  8.53063014e-03  1.81026993e-02  9.11693768e-03 -4.39739532e-03
  4.75409198e-03  9.62007294e-03 -2.60329327e-02  4.36344551e-03
  1.80759018e-03  1.94374426e-03 -1.31630346e-02  9.00232785e-03
 -1.01337602e-02 -1.01120536e-02 -7.40869546e-03  6.57398748e-03
  1.29570643e-03  1.65998196e-02  1.57743261e-02 -2.41547306e-03
 -5.02494201e-03  5.17551115e-03  6.67820511e-03 -7.46404246e-03
  9.69019591e-03 -4.87876393e-03 -5.45098107e-04 -4.14222727e-03
  9.20505698e-03  8.06637849e-03  1.33521803e-02 -5.14162786e-03
  2.25168729e-03  1.35502195e-02  7.48214299e-03  1.44716439e-02
  6.62502491e-03 -1.13153380e-02 -7.72770887e-03  1.15746655e-02
  1.09468046e-02 -9.44959513e-03  3.20321793e-03 -5.78727768e-03
  4.72299333e+02  2.56469524e+01  7.84759333e+02  3.32095238e-01
  5.08606095e+02  6.50666667e-01  4.77882381e+02  8.42476190e-01
  4.22649524e+01  9.33428571e-01  3.26566190e+02  1.67047619e-01
  1.16325238e+03  6.40052000e+02  8.37752381e+00  7.49142857e-01
  2.48942857e+00  5.82857143e-02  6.47238095e-01  1.34285714e-02
  3.37523810e-01  1.43809524e-02  5.67342857e+00  1.00000000e-02
  6.80761905e-01  4.76190476e-03  3.40952381e-02  2.11428571e-02
  1.12380952e-02  3.71428571e-03  2.27619048e+00  0.00000000e+00
  1.90476190e-02  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
"[ 1.15687486e-02  4.19762955e-03  1.73863063e-02 -2.26314067e-03
 -1.91693076e-02 -2.74776711e-02  3.43243184e-03 -1.03355434e-02
 -1.45006048e-02  5.92695159e-04  1.50748092e-02 -1.17478370e-02
 -8.70436380e-03 -7.60496135e-03  1.00761437e-02  6.91971385e-03
  9.10540202e-03  2.49395920e-03 -1.37863946e-02  1.37287360e-02
  1.01378498e-02  2.59443758e-02  6.90909652e-03 -1.23677393e-02
  2.65050539e-03  7.99241655e-03 -2.44212808e-02  4.22373230e-03
 -1.41412805e-03 -4.28587168e-03 -7.69743756e-03  4.42387153e-03
 -1.59380786e-02 -9.02574807e-03 -6.12887592e-03 -7.52780532e-03
  2.77161564e-03 -2.36437856e-03  2.15432522e-02  7.40485653e-03
  2.39340991e-03 -3.71961984e-03  3.07919141e-03 -1.53358079e-02
 -1.77074222e-03 -7.43860883e-03 -2.56636671e-03 -6.53387475e-03
  1.29110548e-02  1.00236990e-02  1.28782851e-02  1.56125755e-03
 -6.12889106e-04  1.05832993e-02  4.48304447e-03  1.19382567e-02
  2.81335431e-03 -6.42325798e-03 -1.22567520e-02  1.47040884e-02
  6.16523601e-03 -1.10744037e-02  2.73802319e-03  5.49015556e-03
  4.72473048e+02  2.56400952e+01  7.84865524e+02  3.29714286e-01
  5.08593333e+02  6.51523810e-01  4.77861429e+02  8.44476190e-01
  4.23497143e+01  9.31523810e-01  3.26561238e+02  1.65523810e-01
  1.15505152e+03  6.17464952e+02  8.40752381e+00  7.50571429e-01
  2.45447619e+00  5.75238095e-02  6.47238095e-01  1.34285714e-02
  3.38666667e-01  1.43809524e-02  5.65523810e+00  1.01904762e-02
  6.80952381e-01  4.85714286e-03  3.48571429e-02  2.10476190e-02
  1.10476190e-02  3.52380952e-03  2.27619048e+00  0.00000000e+00
  1.90476190e-02  0.00000000e+00  9.52380952e-03  0.00000000e+00
  1.71428571e-01  0.00000000e+00  9.52380952e-03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",0
