Embedding,Label
"[0.013864150485740257 -0.006017704673397999 0.006748059979425027 0.0015115561501051371
-0.0026908930292567955 -0.0204340537221959 0.014165409410802217 0.00612231963672317
-0.007405466149346187 0.002759786967474681 0.020936514841965757 -0.02060861584658806
0.00979808379466144 -0.014781536820989389 -0.006161427367120408 0.015081838435994891
0.005135905445338442 0.008779632930572216 -0.003206656565173314 0.016717268068952344
0.017144572598716386 0.019162880937353924 0.006661934348253103 -0.013374513731553005
-0.006027277298226881 -0.00155253941193223 -0.02481127014526954 0.003394994777269088
0.005669797470685667 0.011791115626692772 -0.0019779614191905307 0.022784425877034664
-0.007232925433737154 -0.01667353209072294 -0.002560802287637041 -0.011049856360142048
-0.005157992494507478 -0.003412687721160742 0.023399069618720274 -0.0005903918511019304
7.138674398167775e-05 0.002651200916331548 -0.0037004978064662563 -0.005593191581563308
-0.006520235393859016 -0.002529197050115237 0.0024812572519294918 -0.007932605615888651
0.012728413513216835 0.014972787529516678 0.003943052214498703 -0.01237133052200079
0.004641577632775387 0.008563394443346905 -0.003206835647758383 0.012020477666877784
-0.004295913493618942 -0.01004985048908006 -0.012673922626373287 0.004423974314704537
0.015410335967317224 -0.011277913617400022 0.0038991083588021305 0.00981574459001422
476.6441346153846 37.817692307692305 1041.6875000000002 12.12807692307692
525.6284615384616 2.795288461538462 496.3611538461539 2.93701923076923
39.6889423076923 2.2141346153846153 334.79740384615377 0.9269230769230767
1551.7953846153846 1441.8572115384611 8.935865384615386 0.8405769230769231
2.806634615384616 0.02144230769230769 0.6788461538461538 0.025961538461538463
0.40865384615384615 0.014807692307692308 5.984134615384614 0.016442307692307694
0.6591346153846154 0.004903846153846154 0.03365384615384615 0.02144230769230769
0.03990384615384616 0.0035576923076923077 2.4975961538461537 0.07759615384615384
0.019230769230769232 0.0 0.009615384615384616 0.0
0.16346153846153846 0.0 0.009615384615384616 0.0
0.0 0.0 0.0 0.0]",0
"[0.012167184013658417 0.0014588336209551645 0.01769293801715741 0.0010439157485961914
-0.011864238389534876 -0.028063799397876628 0.012392283775485478 0.009403298042553406
-0.007718283754701798 -0.004890227869439583 0.017032114287408497 -0.017437003463363417
0.003017364893681728 -0.0032376982271671295 0.008197020264700629 0.00671325299817209
0.011251053808686825 0.003269876859401568 -0.009529622988058971 0.023689936953954972
0.0153539189352439 0.02227927026195595 0.000525069351379688 -0.013932244959645547
-0.0029656844551657112 0.021779410200766645 -0.026414315001322672 0.004480701871216297
-0.0009175698774365279 -0.0011003584457704653 -0.003959602049480264 0.004752340296713205
-0.009693307222243255 -0.01793792972771021 -0.003328331602880588 -0.0034704906373428037
0.0009540879310896763 -0.0007336129470226857 0.011786262395057397 -0.007807388203218579
-0.010542519175662445 0.0060271602840377735 -0.005256769963755057 -0.0014019962400197983
0.0011380610700983268 -0.004781335699730194 -0.0028519513569055842 0.004151705795755753
0.004271908340832362 0.008315300282377463 -0.00021263661955554897 0.0054713812871621205
-1.0441523045301437e-05 0.014468044078407379 0.005235850918464935 0.012283400014544336
-0.004191305259994876 -0.013023389180978904 -0.004688071140732903 0.007784324196668772
0.005668557446020154 -0.01751329824149322 -0.0031715194121576273 -0.007993053859816147
469.8268269230769 26.860096153846158 1036.4572115384615 2.575
526.840096153846 3.1990384615384615 501.1379807692308 3.4520192307692295
39.63759615384615 2.300865384615385 337.14153846153846 0.9863461538461535
1752.2239423076924 1588.506730769231 8.841057692307693 0.6678846153846153
2.8015384615384615 0.024807692307692305 0.676923076923077 0.02490384615384615
0.40721153846153846 0.014711538461538462 6.031057692307693 0.018076923076923077
0.6581730769230769 0.004903846153846154 0.03413461538461539 0.021730769230769227
0.04038461538461539 0.003942307692307692 2.29875 0.02778846153846154
0.019230769230769232 0.0 0.009615384615384616 0.0
0.16346153846153846 0.0 0.009615384615384616 0.0
0.0 0.0 0.0 0.0]",0
"[0.010577826796529384 -0.010308249584900646 0.008531988329755573 0.004148109430948703
-0.011103253498171957 -0.014439518491809186 0.007707801786287187 0.0026208202784451153
-0.012545066348348673 -0.006556448956521658 0.016164563870496258 -0.02515219927478868
0.012165524853536716 -0.0018268769266656958 -0.000602136580989911 0.008512175695684094
0.002805981641778579 0.0018644003161730675 -0.010117969932392813 0.02511822819136656
0.017295232150130548 0.022358722089288328 0.010656620948933639 -0.013555312314285682
-0.0061357350518497136 0.012257003762687627 -0.025660215088954337 0.003484655959674945
0.0030131035376913273 4.722130072947878e-05 0.0011330622319991772 0.004299443627062898
-0.009396387380547822 -0.015283199958503246 -0.0014623325091983692 -0.0016873542649241595
-0.007396225486165629 -0.00884841015123619 0.017036121625166673 0.017719240142748907
-0.008325557224452496 -0.004015581359943518 0.00043113956836840283 -0.011143347031275671
0.007794137703827941 -0.013332092489760656 0.004428034648299217 -0.00572922747904578
0.009982036713224191 0.016651950848217193 0.014063069883447427 -0.003933497256814287
0.001919965617931806 0.024412305345042393 -0.007313695073557587 0.012548465407095276
0.0023664452243023193 -0.009585020633844228 -0.00014782682634316958 0.009259930883462612
0.008326551088920007 -0.017061964895289678 0.0022642695201704134 0.0043855528336000415
502.70413461538453 54.48346153846155 1041.9005769230769 3.876923076923078
521.2063461538462 7.084903846153848 608.1882692307693 71.34
40.005384615384614 2.487019230769231 338.08865384615376 1.0375961538461538
1611.3435576923077 1412.0803846153847 8.847596153846155 0.8399038461538461
2.801826923076923 0.02432692307692308 0.666826923076923 0.03413461538461538
0.41009615384615383 0.014711538461538462 6.083173076923076 0.022596153846153846
0.6586538461538461 0.004903846153846154 0.036057692307692304 0.02144230769230769
0.03990384615384616 0.0035576923076923077 2.274423076923077 0.006346153846153847
0.019230769230769232 0.0 0.009615384615384616 0.0
0.16346153846153846 0.0 0.009615384615384616 0.0
0.0 0.0 0.0 0.0]",1
"[0.008484006105434327 0.003741462772623414 0.0207588839389029 -0.00046923410679612843
-0.01720755540189289 -0.01722692549228668 0.002494482376745769 0.0012326867843512445
-0.013782626851683572 0.0008607330144427362 0.011877587153798058 -0.022487191075370425
0.002008716974939619 -0.01343401326310067 0.004661681662712779 0.009137629398277827
0.004817888140678406 0.005253226234621945 -0.01571458341287715 0.03186269189630236
0.012998965701886587 0.012460810903991973 0.016769534668752126 -0.01252046057156154
0.0018673316886027654 0.012603504671936943 -0.015669751380171095 0.0037431684278306505
0.004449550594602313 0.0037260427627535094 -0.0038081227313904536 0.009185152296863851
-0.023086230492308027 -0.011843865151916232 -0.004798575685847373 -0.007746053451583499
0.0007421598370586123 0.004997681890658679 0.023795818998700098 0.010951836832932063
-0.013746434095359984 0.008692241291559879 0.0013782755250022526 -0.011147978245502427
-0.0073457852005958555 -0.004677231893652961 0.0035823347978293897 -0.011143302846522558
0.00385536015743301 0.01344217388402848 0.0006023243867925235 0.006011982120218731
-0.0007536729176839192 0.014861167541572027 0.00017179428111939202 0.015590387157031468
0.0024644215546903154 -0.004791245769177164 -0.01192441341422853 0.02179255692643069
0.0004691067905653091 -0.01923645419024286 0.010293802689938318 -0.0004169625895363944
514.6638095238095 26.21076190476191 1030.2436190476192 2.8771428571428572
514.3670476190476 3.229238095238096 644.1040952380953 4.455333333333332
39.70590476190476 2.209142857142857 332.2290476190476 1.9136190476190478
1536.190857142857 1428.2983809523807 8.811809523809524 0.669142857142857
2.7706666666666666 0.01761904761904762 0.6566666666666667 0.029047619047619044
0.40476190476190477 0.014666666666666666 6.102095238095237 0.02838095238095238
0.6528571428571428 0.004857142857142858 0.03333333333333333 0.021238095238095236
0.03952380952380953 0.0035238095238095237 2.3972380952380954 0.12114285714285715
0.01904761904761905 0.0 0.009523809523809525 0.0
0.1619047619047619 0.0 0.009523809523809525 0.0
0.0 0.0 0.0 0.0]",1
"[0.013191863213880705 -0.005703595019160555 0.013830903057868663 -0.00465966213064698
-0.007113524873812611 -0.007705715592377461 0.008654249939494409 0.00987816433637188
0.007476545941944306 -0.0016246405430138111 0.018816029536537826 -0.02092494099186017
0.008043855025719564 -0.00012501035458766497 0.0008811349085030648 0.01368638500571251
-0.004756987202339447 0.010658601585489053 -0.014740108118320886 0.016703498549759388
0.0031799033928949097 0.017083200769355662 0.006552516876791532 -0.012142456494844876
-0.008071537577332212 0.010288838476229172 -0.01903390407992097 -0.004296188260643528
-0.0009849716980869954 0.005630842660768674 0.00031279120594263077 0.004491779953241348
-0.015158747752698569 -0.0018750921321602969 -0.019301220917930968 -0.01170426245348958
0.0037656703677314976 0.008884422875081118 0.006757672714929168 -0.009051801815915566
-0.005347690258461695 -0.008866670057893945 0.010252890134534728 -0.012595336517104162
-0.00442101270891726 -0.005122804244120534 0.001626766286790371 -0.020428004029851694
0.01775528512035425 0.028760535893245384 0.00613026936368372 -0.009057933097490324
-0.009781957836821675 0.017816582551369302 -0.004830095272224683 0.020180163421453193
0.009887094627349423 -0.014313504744607668 -0.01909728697501123 0.02316748322202609
0.0040029925137507515 -0.013581657938909931 -0.01414764801470133 -0.0008987866727133783
519.5316346153847 32.68951923076923 1035.6734615384617 2.548461538461538
526.930673076923 18.22875 650.7135576923076 4.6908653846153845
39.55874999999999 2.943942307692308 334.48365384615386 3.9329807692307694
1754.6081730769229 1600.008846153846 8.396538461538462 0.9166346153846152
2.800192307692308 0.02144230769230769 0.6524038461538461 0.028557692307692305
0.4073076923076923 0.024134615384615383 6.242596153846154 0.024134615384615386
0.6714423076923077 0.03240384615384616 0.03413461538461539 0.021730769230769227
0.04038461538461539 0.003942307692307692 2.9679807692307696 0.12634615384615386
0.019230769230769232 0.0 0.009615384615384616 0.0
0.16346153846153846 0.0 0.009615384615384616 0.0
0.0 0.0 0.0 0.0]",1
"[0.010023203696339177 -0.011100440805491347 0.016273107666235704 -0.005098007614903439
-0.010890392371668266 -0.022188355456679486 0.008830367587506771 -0.0020101676480128216
-0.013936495686021563 -0.004952103204022233 0.008022356151531521 -0.017840186814562634
0.005236804485321045 -0.010990803631452413 -0.003871098733865298 0.009641797837013235
0.003880113363265991 0.01603965540058338 -0.0039737883668679455 0.01099528392436556
0.01484296449388449 0.01594949249556521 0.012492804000010857 -0.01511469160994658
-0.002860075382229227 0.0068515995517373085 -0.02025332796172454 -0.001424027463564506
-0.0020180858241824005 -0.003250055731489108 -0.0014316249602975754 0.007130266704524939
-0.021337154858673994 -0.0071636088407383515 -0.006172460611336506 -0.006312134879408404
0.0023045288757062876 0.0010028708761987777 0.021708557561326485 -0.008307904757272739
-0.0032991022946169744 -0.003493463016079309 -0.008166304073081566 -0.011521998434685744
0.007043819731244674 -0.014550250095243637 0.012899196778352443 -0.012828874533834796
0.008108453449005118 0.020930626501257602 -0.0003252178430557251 0.004147424487970197
-0.0005128077464178205 0.019973601930989668 0.005328842653678014 0.007974223045703884
-0.004257092825495279 -0.003266498947945925 -0.01660858875570389 0.012163288577889593
0.012490755211239537 -0.02318454125466255 0.011250709237244267 -0.0018446796860259313
542.3484615384614 30.96942307692307 1035.3904807692309 6.002788461538464
939.7953846153846 243.4758653846154 643.6181730769232 5.07625
42.935096153846146 1.633653846153846 329.22336538461536 2.2509615384615387
1606.2506730769232 1411.7248076923076 8.68326923076923 0.7285576923076924
2.8015384615384615 0.02355769230769231 0.6536538461538461 0.016153846153846154
0.3908653846153846 0.014711538461538462 6.190288461538462 0.04355769230769231
0.6586538461538461 0.004903846153846154 0.036057692307692304 0.02144230769230769
0.03990384615384616 0.0035576923076923077 3.2915384615384613 0.06451923076923077
0.019230769230769232 0.0 0.009615384615384616 0.0
0.16346153846153846 0.0 0.009615384615384616 0.0
0.0 0.0 0.0 0.0]",1
"[0.0072085103736473964 0.0020686792603765544 0.02169188534697661 -0.001209180479725966
-0.010352813029805055 -0.019005592482594345 0.004263461030160005 -0.005431551611624085
-0.010357129065176615 -0.0037559366319328547 0.0164612166207427 -0.016098527810894527
-0.003708823727300534 -0.009460851800842928 0.005186721091516889 0.013961029489739584
0.005674458825244353 0.003936464199796319 -0.011903592985338317 0.019532431311045702
0.02741263111909995 0.018735816344045676 0.017924479567087613 -0.01226579023596759
-0.0021409418147343854 0.004641121504111932 -0.02533811774964516 -0.0018262735550076915
-0.003698549009501361 0.004108934779651463 -0.002490492826417232 0.014748875195017228
-0.013250692568432827 -0.017036683606700256 -0.0007053338564359224 -0.008547230050540887
0.006800095353705378 0.007501540651831489 0.02658310880472597 -0.010129093210427808
0.00537920449502193 -0.008878126471804885 -0.0044067163880054765 -0.006834617708451473
0.005387431673275737 -0.008365444158418821 0.007862827328678507 -0.0065013601964053055
0.006069721009295721 0.012490668360931942 0.0034975607951100054 -0.002288567117200448
0.008545608071681973 0.02234983666298481 -0.005177807707626086 0.018674942628981974
0.0017992786060159022 0.007355703600646498 -0.013656977062615065 0.01949423522903369
0.0005663048046139571 -0.010914711174196921 0.010485177913394112 0.006194386344689589
547.0240384615386 35.45528846153846 1044.0214423076923 11.144615384615385
1851.382980769231 350.6394230769231 644.3584615384615 3.7679807692307694
43.37846153846153 1.0080769230769233 329.4863461538461 1.8799038461538464
1547.0602884615387 1441.5674038461539 8.280673076923078 0.7215384615384615
2.797788461538462 0.019903846153846154 0.6557692307692308 0.014519230769230769
0.3894230769230769 0.014807692307692308 6.138942307692308 0.010480769230769231
0.6591346153846154 0.004903846153846154 0.03365384615384615 0.02144230769230769
0.03990384615384616 0.0035576923076923077 3.355769230769231 0.0
0.019230769230769232 0.0 0.009615384615384616 0.0
0.16346153846153846 0.0 0.009615384615384616 0.0
0.0 0.0 0.0 0.0]",1
"[0.012572463915253488 -0.0017828024529780333 0.008407202043319838 0.0030738899770837566
-0.004579516620231936 -0.016025245458317492 0.00037988924528830324 0.0011741191399498628
-0.005647862061428336 -0.0004789490754214617 0.01519040297716856 -0.009285368347683778
-0.004409204452083661 -0.018494546699982423 -0.00204125652089715 0.018580346153332636
0.004583264665248303 0.008075705505549334 -0.007681725876934182 0.035566769826870695
0.009552706247912003 0.004740136639716534 0.015737731282850012 -0.005646601104392455
-0.011308696120977402 -0.0019774782256438183 -0.021768984608710386 -0.002090711898815173
-0.0017950159246818377 0.0059607373371433755 -0.005148512250833357 0.010676231951667713
-0.020836349254330762 -0.012998781301296102 0.0029257421041480624 -0.007042076416277828
-7.138530670020443e-05 -0.0027397658962469837 0.029154616336409863 0.007594239360724504
-0.0037521722081762096 0.0011548387029996286 0.007853635765898686 -0.006479027895973279
-0.005288772034243896 -0.006805557323297342 0.0064195276309664435 -0.01177103510305572
0.00217327640320246 0.013572325500158163 0.010623789893893095 -0.008943761215330316
0.008801564122012887 0.020528418871645745 0.006356823902863722 0.01149323138480003
0.0022306153908945047 -0.0073697705945680635 -0.005763349177029271 0.0018089342360886245
0.007136293830206761 -0.019146857890658654 0.010830477981541593 0.0052247747662477195
514.7779807692309 66.13836538461538 1036.3722115384617 16.46076923076923
2889.1704807692304 310.6840384615385 565.1474999999999 80.42336538461535
43.639038461538455 1.6189423076923075 328.42615384615385 1.0265384615384614
1747.577019230769 1588.4834615384618 8.490576923076922 0.815
2.800288461538462 0.0225 0.6528846153846154 0.013557692307692307
0.3929807692307692 0.01951923076923077 6.119230769230769 0.0125
0.6581730769230769 0.004903846153846154 0.03413461538461539 0.021730769230769227
0.04038461538461539 0.003942307692307692 3.299615384615385 0.07913461538461539
0.019230769230769232 0.0 0.009615384615384616 0.0
0.16346153846153846 0.0 0.009615384615384616 0.0
0.0 0.0 0.0 0.0]",1
"[0.008118595139911542 0.008578278482533418 0.006956200043742473 0.01417271931243774
-0.009533089115463484 -0.011216311359581036 0.006856200016605167 0.0001611447481151957
-0.003280471293972089 -0.001199040382813949 0.025450469066317264 -0.019293607427523687
0.007525006989733531 -0.01776662843230252 -0.0033681312522206167 0.005997722359517446
0.005252480927783136 -0.006918740297596042 -0.013023849822974835 0.02727992395655467
0.019122847857383583 0.021258757986988012 0.013010243204637216 -0.015368633867742924
-0.010718501638621092 0.011412319028750062 -0.023420148994773626 0.008911460745506562
-0.0027701589995278763 0.011707068922427984 -0.01598835917852389 0.01590654572758537
-0.015806922044318456 -0.005346699107366686 0.00022475192627797907 -0.013174767982071409
7.066718087746546e-05 -0.00422019490864701 0.0231114594409099 -5.490798503160477e-05
0.0014475304991579973 -0.004945620894432068 -0.004774928210019005 -0.014434456825256348
-0.0028456108501324286 -0.010477048631470937 -0.006955153917750487 0.0040745526449217535
0.005484660585912375 0.015910146829600517 0.0023516680364711927 -0.008181174106609363
0.0023437964085202953 0.014283541016853772 0.0007614887032944423 0.0008967046384126521
0.009863736331821062 -0.003938783103456864 -0.0007210425459421598 0.0008416975705096355
0.005580858461773739 -0.019298520390573407 0.01558364569567717 -0.005182233925622243
493.46730769230777 26.03490384615384 1077.2098076923078 2.270192307692308
3048.8320192307697 28.70605769230769 521.0041346153846 2.830192307692307
43.67596153846153 1.8833653846153846 352.25182692307686 0.49769230769230755
1588.884423076923 1441.6603846153846 8.753076923076923 0.6696153846153846
2.7709615384615387 0.023076923076923075 0.67 0.02201923076923077
0.4182692307692308 0.014807692307692308 5.126442307692307 0.04432692307692308
0.6591346153846154 0.004903846153846154 0.04326923076923077 0.02144230769230769
0.03990384615384616 0.0035576923076923077 2.1538461538461537 0.0
0.019230769230769232 0.0 0.009615384615384616 0.0
0.16346153846153846 0.0 0.009615384615384616 0.0
0.0 0.0 0.0 0.0]",0
"[0.015233656249585606 0.0013010954750435693 0.015720904015359423 0.004807806156930469
-0.0030402051684047496 -0.018303778235401427 0.0064150397266660416 -0.0035462178023798127
-0.005543059394473121 -0.0027170918527103607 0.008987868949770928 -0.022393607454640526
0.005474307742856798 -0.024518301160562608 -2.4777624223913465e-05 0.003110235193300815
-0.006721573819716772 0.0021550766768909635 -0.003898922424940836 0.029521714221863518
0.013641859750662531 0.01981755688431717 0.010719365768489383 -0.0013359698333910534
-0.012096637913158962 0.015492196806839534 -0.02615277898453531 0.004632916277097094
0.005665684775227592 0.011538516126927875 -0.013226070787225451 0.011103544171367373
-0.015141818597025814 -0.006309343628596426 0.0007691301582824616 -0.010835157121930804
0.0022091658874636606 -0.00915233904407138 0.018079378491356258 -0.0025639583356678484
-0.007731365314906552 -0.009669129585935956 -0.0010450525076261589 -0.005500989336343039
-0.0024686086878535295 -0.0034012376020352048 -0.0034903882514862785 -0.015014854867366098
-0.0004310093287910734 0.018801603005045936 0.0026582265184039162 -0.004514905828095618
-0.001491465809799376 0.008099163536514555 -0.0009480911883569899 0.009299408821832566
0.00020888745784759523 -0.012032041592257363 -0.006924400718084403 0.0020343167352534475
-0.0019294446777729762 -0.024052973121537695 0.012508827447891235 0.009922058401363237
500.4009523809522 49.40371428571429 1067.2129523809524 5.437142857142858
2942.165619047619 39.477809523809526 558.0143809523812 68.02095238095238
42.667333333333325 2.700380952380952 349.06247619047616 0.5762857142857143
1764.1824761904766 1587.2197142857146 8.622 0.8486666666666667
2.7452380952380953 0.02361904761904762 0.6614285714285715 0.024
0.4119047619047619 0.019238095238095238 4.938761904761905 0.04457142857142857
0.651904761904762 0.004857142857142858 0.04247619047619049 0.024285714285714285
0.04 0.0039047619047619044 2.1333333333333333 0.0
0.01904761904761905 0.0 0.009523809523809525 0.0
0.1619047619047619 0.0 0.009523809523809525 0.0
0.0 0.0 0.0 0.0]",0
