version,window_size,offset,accuracy,precision,recall,f1_score,roc_auc,auc_pr,mcc
embeddings_only,2,1,0.9796575216879976,0.8857142857142857,0.9893617021276596,0.9346733668341708,0.915092893042288,0.8980345245303892,0.8657916298135723
normalized,2,1,0.989788713608206,0.9114391823232224,0.99,0.9799360576370708,0.9622555393330388,0.910175709338682,0.8830565255993998
embeddings_only,2,2,0.9761012853362566,0.7885829277417061,0.8764830650102081,0.8190842881842623,0.938126485680374,0.8502200776795759,0.8758151734684727
normalized,2,2,0.986538815922005,0.8063163133723827,0.900347377434575,0.8493455554891672,0.9733049347607402,0.889505766445164,0.921419635123905
embeddings_only,3,1,0.9840842558828616,0.9029126213592232,0.9893617021276596,0.9441624365482232,0.9277750454279876,0.8935709720739429,0.8462592265429649
normalized,3,1,0.99,0.939426880501508,0.99,0.9820454530928344,0.950076326996736,0.9385986628833398,0.8579697520608769
embeddings_only,3,2,0.978215265727132,0.9230769230769232,0.9837168616962608,0.96,0.9437811664890536,0.9088429038280024,0.8731883485849653
normalized,3,2,0.9882159213381152,0.944026228252462,0.99,0.9827672579000136,0.9574671668293953,0.945763309181396,0.9152609832673532
embeddings_only,3,3,0.9745994429694071,0.6272372396968426,0.8623766894457868,0.8423808850349123,0.9615015497611954,0.700867447904332,0.8193926847283539
normalized,3,3,0.9856002359601012,0.6538422498901144,0.8931760890439192,0.8704531657582915,0.9862971639372424,0.7492883438291053,0.8613508112886812
embeddings_only,4,1,0.9792640335513824,0.8598130841121495,0.9787234042553192,0.9154228855721392,0.9249423259025168,0.9075414933494756,0.8353408960813041
normalized,4,1,0.9893214336485722,0.9020105069985146,0.9888084208496624,0.934861700981802,0.9410662017759456,0.9254422576233192,0.8664735011635982
embeddings_only,4,2,0.9796959954877564,0.9411764705882352,0.9823021097932216,0.9696969696969696,0.9481742814272324,0.9377773678542,0.9115988278075076
normalized,4,2,0.9899001922352983,0.9694360027259874,0.99,0.982172708751826,0.9824617676268784,0.982584654994486,0.9440814722376965
embeddings_only,4,3,0.9814599971804684,0.8888888888888888,0.9823108056378518,0.9411764705882352,0.9044147050869004,0.9376861350782998,0.8835688119865922
normalized,4,3,0.99,0.9227362667600586,0.99,0.9727310566078484,0.9310920631720524,0.9637049234900652,0.9213826707121734
embeddings_only,4,4,0.9817339266182814,0.9775403429403278,0.8207894845324961,0.8449734759465043,0.9583611790201804,0.7017501668875402,0.9558792948904522
normalized,4,4,0.99,0.9879499793252476,0.8648374234010963,0.8858165698191118,0.9744515058392068,0.7268409241941707,0.9882157071804624
embeddings_only,5,1,0.9802995469150084,0.9215686274509804,0.981434325323307,0.9591836734693878,0.9367485892102648,0.9333498854481072,0.906098402315514
normalized,5,1,0.99,0.9561424794501656,0.99,0.9701048369539098,0.9639989030839408,0.9702549710184056,0.949237621936228
embeddings_only,5,2,0.9799215002713992,0.96,0.9827968073401312,0.979591836734694,0.916831368775498,0.9049626304009608,0.8859870663690896
normalized,5,2,0.9899884361269308,0.9706555180258672,0.99,0.9897302426891744,0.9343806572138734,0.9470816455355144,0.9266856968924874
embeddings_only,5,3,0.9847707200169792,0.8857142857142857,0.96875,0.9253731343283582,0.9341043316917128,0.9074696819274836,0.844385906942796
normalized,5,3,0.99,0.93503134483412,0.980370658587272,0.971359202461465,0.9487628618581896,0.9239969501480484,0.8822346749528208
embeddings_only,5,4,0.9779655528550816,0.6,0.9802098908099918,0.7499999999999999,0.9218250462809574,0.6784852599990866,0.6866658014153526
normalized,5,4,0.9881884666022256,0.6326338038167485,0.99,0.7891389586216405,0.967852055833312,0.7192801205858489,0.7306533964722002
embeddings_only,5,5,0.972803829477684,0.985969976339376,0.8802944592855327,0.890112647177445,0.9621087018094172,0.788879978992128,0.9413714114564118
normalized,5,5,0.983040910543249,0.99,0.910911782752986,0.9167507797626362,0.976246153131226,0.811194942910529,0.9878920754080344
embeddings_only,6,1,0.9827236961656994,0.9019607843137256,0.9787234042553192,0.9387755102040816,0.9224254231593002,0.9390062786280424,0.8870364891705828
normalized,6,1,0.99,0.9261169487209172,0.9887281401367024,0.9825786152951966,0.9386190512953632,0.9571720496485916,0.9072470698542638
embeddings_only,6,2,0.9787763779157528,0.94,0.9791666666666666,0.9591836734693876,0.940672243210118,0.8980333293044522,0.8598773929421341
normalized,6,2,0.9898588210007204,0.9582580564498524,0.98983127196739,0.9860042923903952,0.9871298826785676,0.9126557818484649,0.8785685518356473
