version,window_size,offset,accuracy,precision,recall,f1_score,roc_auc,auc_pr,mcc
embeddings_only,2,1,0.9815379806783124,0.8867924528301887,0.9808212338300688,0.94,0.9468784444557342,0.881034434486424,0.9402526304959264
normalized,2,1,0.99,0.9292699952978296,0.99,0.9865945235133352,0.9504928569359008,0.9027499770875048,0.978674090302222
embeddings_only,2,2,0.9764579750991494,0.9287615633631476,0.8371968059578178,0.8523204229672307,0.9392666859019947,0.9055362608856204,0.93842568262432
normalized,2,2,0.987938928338436,0.945679617533994,0.8514852357749596,0.8950139874256955,0.9522150547408013,0.9508276077623848,0.9777572479969892
embeddings_only,3,1,0.9848194427745344,0.912621359223301,0.9891894621136594,0.9543147208121828,0.9482944372128869,0.9600759797605776,0.9542137678910576
normalized,3,1,0.99,0.9375617997895284,0.99,0.9871504739245688,0.958401861306902,0.9701786475249666,0.9821134833667066
embeddings_only,3,2,0.97932194015284,0.96,0.9851925860283972,0.979591836734694,0.9523090763823082,0.9819461821359974,0.9792958736578364
normalized,3,2,0.989945421204629,0.9842091151900898,0.99,0.9897891910724196,0.9513382385422506,0.99,0.9899557224527572
embeddings_only,3,3,0.963521381454766,0.8802114491271451,0.836070257571694,0.7383946369390161,0.9519544193120203,0.9427468060394671,0.9416258289716434
normalized,3,3,0.988736177418816,0.9015249232141884,0.859655499338342,0.7724031516642679,0.9529192742220396,0.9582528778050308,0.961484792196507
embeddings_only,4,1,0.9844961417297344,0.8932038834951457,0.9787234042553192,0.934010152284264,0.9537618119037037,0.9851906161971242,0.933376115835864
normalized,4,1,0.99,0.9228795727634796,0.9898710141602898,0.9514308681851912,0.9503009014783801,0.99,0.9560378182315632
embeddings_only,4,2,0.988348593698913,0.9411764705882352,0.9854541013276952,0.9696969696969696,0.9444511913243011,0.9834246666732034,0.9693997598296294
normalized,4,2,0.99,0.9679900656709904,0.99,0.9891239412699184,0.9578766088932172,0.99,0.9824729120239248
embeddings_only,4,3,0.9815253561999324,0.8205128205128205,0.987903972711228,0.9014084507042254,0.9500667580768661,0.9795227879980452,0.9033982515265488
