version,window_size,offset,attack_type,accuracy,precision,recall,f1_score,roc_auc,auc_pr,mcc
embeddings_only,2,1,max_engine_coolant_temp,0.98829883,0.789029536,0.989417989,0.877934272,0.93430425,0.918148533,0.7255982346806846
normalized,2,1,max_engine_coolant_temp,0.99,0.8222804509054344,0.99,0.9156355356031106,0.9733144211927856,0.9482015082770681,0.7738415800696137
embeddings_only,2,2,max_engine_coolant_temp,0.9082452654990816,0.7691603973476735,0.9721077614204178,0.904456612317932,0.8584265166067366,0.8788490662279902,0.7341774803280945
normalized,2,2,max_engine_coolant_temp,0.9440048734682671,0.7961145992900007,0.986893561339355,0.9152243402503053,0.8804895092737186,0.9152560077276977,0.7557805846165123
embeddings_only,3,1,max_engine_coolant_temp,0.975022502,0.63,0.9756139848653768,0.773006135,0.944913707,0.880293418,0.5502040355513059
normalized,3,1,max_engine_coolant_temp,0.9880986725618108,0.6571507480378307,0.9862081761614053,0.7949374280382413,0.9749116628565834,0.913928328449927,0.5831770455052891
embeddings_only,3,2,max_engine_coolant_temp,0.9745118649607267,0.9375,0.9701162616194077,0.967741935,0.915788349,0.898760424,0.7641660880732016
normalized,3,2,max_engine_coolant_temp,0.9880967192678667,0.9735841308000676,0.9843802885678016,0.988731861447471,0.9404908238019158,0.9261950210106251,0.8098430222738285
embeddings_only,3,3,max_engine_coolant_temp,0.9377651668072514,0.8542829316257772,0.9554355947077126,0.9540689245379664,0.939733949466962,0.9050797915424752,0.6820952456149068
normalized,3,3,max_engine_coolant_temp,0.9800129263690949,0.8924384749673918,0.9678976085888363,0.9879120975810074,0.9783036014489265,0.9550336718051899,0.6980731778012265
embeddings_only,4,1,max_engine_coolant_temp,0.9819982,0.70260223,0.9789795518925197,0.825327511,0.927927714,0.906811301,0.6464843361062075
normalized,4,1,max_engine_coolant_temp,0.99,0.719101947387055,0.9896076984849346,0.8402803103139777,0.9718480431728894,0.9491040593490004,0.6792483656507913
embeddings_only,4,2,max_engine_coolant_temp,0.98471223,0.759124088,0.9779112324390516,0.859504132,0.943682353,0.936081005,0.7381603391690295
normalized,4,2,max_engine_coolant_temp,0.99,0.7718907678182055,0.989367999036468,0.8876458393071227,0.9799057133759375,0.9807362980371452,0.7871811993691449
embeddings_only,4,3,max_engine_coolant_temp,0.9728481063362758,0.9705533108295041,0.97838690482115,0.9781680863799288,0.925241154,0.939080384,0.8781607675764659
normalized,4,3,max_engine_coolant_temp,0.9889687208381275,0.9806639701417169,0.9889675837014518,0.9895053660337568,0.9421063410904575,0.9699218482481653,0.890334287110036
embeddings_only,4,4,max_engine_coolant_temp,0.917817536848324,0.7967626575157891,0.9853558150909428,0.9741348706518992,0.8951310108713962,0.9357879292289965,0.6437034406007901
normalized,4,4,max_engine_coolant_temp,0.93581739784418,0.8075035292942137,0.99,0.9854482179116064,0.9189450780992724,0.9829111809676201,0.6818800166777315
embeddings_only,5,1,max_engine_coolant_temp,0.971647165,0.6,0.973468916745346,0.75,0.94736413,0.928267876,0.654910015148226
normalized,5,1,max_engine_coolant_temp,0.9819131103249517,0.6165877662599165,0.9875278439265103,0.7830891435441667,0.9651279691923117,0.9756364359169918,0.6894686533868619
embeddings_only,5,2,max_engine_coolant_temp,0.9739723662392835,0.912280702,0.9774670839746021,0.949771689,0.904471057,0.888242474,0.7267964607957546
normalized,5,2,max_engine_coolant_temp,0.9872009646061439,0.9458771010541829,0.9893164217636612,0.969201259338251,0.9303998994886437,0.9066362239590049,0.744244181030968
embeddings_only,5,3,max_engine_coolant_temp,0.9745511681700311,0.9747815167824992,0.9753368922714369,0.979798924538125,0.937061001,0.907921949,0.8158438981779754
normalized,5,3,max_engine_coolant_temp,0.9896968945079193,0.9886408501949533,0.9876239545324433,0.9898446520394819,0.9572352602708157,0.920243115412955,0.8432205632003003
embeddings_only,5,4,max_engine_coolant_temp,0.975763452006611,0.9758533806000947,0.9775557440799839,0.9717105997078264,0.916873886,0.90043492,0.8008698395542768
normalized,5,4,max_engine_coolant_temp,0.9870843902248201,0.9887408520198147,0.9884790662494716,0.9831994064850647,0.9278610351356532,0.91312490525853,0.8380455504942196
embeddings_only,5,5,max_engine_coolant_temp,0.907547912624268,0.7671495354762004,0.9793619738447328,0.95043239894746,0.918678473333768,0.9374567825765844,0.7996788397221967
normalized,5,5,max_engine_coolant_temp,0.9356957864065099,0.7986127039205493,0.9899340735823698,0.9897143458508781,0.9373543527097069,0.9739799107005884,0.8202117347916827
embeddings_only,6,1,max_engine_coolant_temp,0.968946895,0.578461538,0.9784103041635448,0.73151751,0.933825037,0.938297467,0.6431357663992938
normalized,6,1,max_engine_coolant_temp,0.9791751526654496,0.6187966841534457,0.9889190340958015,0.7568560657668759,0.9673577215421443,0.9815394052094477,0.6782950401429398
embeddings_only,6,2,max_engine_coolant_temp,0.9735410588693334,0.875,0.9788962485883569,0.933333333,0.923875248,0.879657374,0.6963102763486604
normalized,6,2,max_engine_coolant_temp,0.9891774580805057,0.8959416813926254,0.9897770939078452,0.9507587707722381,0.9719869142788778,0.9171569050555126,0.7149305834332027
embeddings_only,6,3,max_engine_coolant_temp,0.9756241278873731,0.9773544438789538,0.9734367041053472,0.9799530452380745,0.922664486,0.891729015,0.7834580301439705
normalized,6,3,max_engine_coolant_temp,0.9897697004346164,0.9892879639321568,0.9851033982456725,0.9899630612511876,0.9533925145572265,0.9027555237221813,0.801756833161615
embeddings_only,6,4,max_engine_coolant_temp,0.9710822699921792,0.9722576631056579,0.984126984,0.9732218346320377,0.940757277,0.935136262,0.8618371022525206
normalized,6,4,max_engine_coolant_temp,0.9848695003407499,0.9851546131491549,0.99,0.9851036479141968,0.973784292568794,0.9796904862369293,0.876538376491002
embeddings_only,6,5,max_engine_coolant_temp,0.9703633723949897,0.9754384966778346,0.9786181704865139,0.9772999202680783,0.901520769,0.937272252,0.8745445042955029
normalized,6,5,max_engine_coolant_temp,0.9853491621812466,0.9860409257836801,0.9896087483510141,0.9883693130442592,0.9341376214743404,0.9546034454485631,0.890338414669238
embeddings_only,6,6,max_engine_coolant_temp,0.8860384828984637,0.7051257112762688,0.965018546907741,0.6602767164385944,0.8655468214590423,0.8817423185675212,0.5621161809358329
normalized,6,6,max_engine_coolant_temp,0.9155607341244218,0.729350220790267,0.9891075839820079,0.7008897265908731,0.9054933662530642,0.9278911081573585,0.5754530783535137
embeddings_only,7,1,max_engine_coolant_temp,0.925470179970529,0.8188295462119146,0.9772975261739372,0.7799924596644376,0.8602033561215692,0.8947761456139016,0.5549783407508406
normalized,7,1,max_engine_coolant_temp,0.9575578787674254,0.8522085889701454,0.9898971340592987,0.8016783607361396,0.8798365073181871,0.9087879033045215,0.5656355259344996
embeddings_only,7,2,max_engine_coolant_temp,0.8885104966805752,0.7122539220282982,0.9568543096909508,0.90718425583327,0.9079219023581327,0.8679027638286493,0.723812366677632
normalized,7,2,max_engine_coolant_temp,0.9356916693522629,0.7490505838919346,0.9850272158378864,0.928453460063428,0.9413783090055858,0.8804609744734886,0.753237470515017
embeddings_only,7,3,max_engine_coolant_temp,0.9690962227897942,0.944628046909245,0.9798069758173216,0.7152477015586202,0.8895074023429619,0.9500190461315122,0.5764173702820615
normalized,7,3,max_engine_coolant_temp,0.9897546120176266,0.9856317493303841,0.9898722486726153,0.7637105077402802,0.90877546740181,0.9884805299528439,0.6240724784703215
embeddings_only,7,4,max_engine_coolant_temp,0.9818515502801132,0.981408854208984,0.9780341763831994,0.8353563333826695,0.9708186771397692,0.8510977220134346,0.6515474970078124
normalized,7,4,max_engine_coolant_temp,0.99,0.99,0.9897528723158753,0.8570771447629814,0.9886131020112093,0.8858127896901355,0.6620769713181685
embeddings_only,7,5,max_engine_coolant_temp,0.8789034811345089,0.6845514747337338,0.9675509022380891,0.6749286834916184,0.9464724379487828,0.937642241590935,0.6389704067424455
normalized,7,5,max_engine_coolant_temp,0.9027928218517977,0.7004771091716604,0.9897737922974539,0.7040634957732179,0.9731487578192789,0.9732211422468839,0.6637137909876303
embeddings_only,7,6,max_engine_coolant_temp,0.9513448137718856,0.8934407171537291,0.9841623989191888,0.7249988054331375,0.9441558609963762,0.9486873665248712,0.6520583452823612
normalized,7,6,max_engine_coolant_temp,0.965267716551716,0.936325426481499,0.99,0.7554515647349959,0.9621963117638266,0.9617511350053958,0.6965460059792286
embeddings_only,7,7,max_engine_coolant_temp,0.904711131217906,0.7589694938161116,0.958657040736132,0.6626168668458361,0.9657143368708792,0.948513258693664,0.6021521923601234
normalized,7,7,max_engine_coolant_temp,0.9536279107788312,0.8074028801386316,0.9880056178264451,0.7035787601537817,0.9804735362858601,0.9610668771798003,0.6284418392166757
embeddings_only,8,1,max_engine_coolant_temp,0.9116574125573568,0.7789995428752223,0.9864917715166276,0.9290835855291132,0.8516629878710003,0.8784846385097204,0.5535196626137591
normalized,8,1,max_engine_coolant_temp,0.9309467782441945,0.7942990482655417,0.99,0.9681073600975364,0.8621200862160016,0.9193078684498315,0.5693975284297741
embeddings_only,8,2,max_engine_coolant_temp,0.9750975166464988,0.9619331637759104,0.9661621946315452,0.7332241115207556,0.916839180115806,0.8939495922612224,0.5957897303856983
normalized,8,2,max_engine_coolant_temp,0.9854873723326161,0.9735520071206808,0.9854618613880055,0.7530387999148694,0.9436607587830099,0.9262443439141791,0.64021177733885
embeddings_only,8,3,max_engine_coolant_temp,0.8234736956455708,0.524716122777315,0.9611043502606024,0.7749646402395602,0.9213277819934516,0.9228523085358304,0.8013196406768148
normalized,8,3,max_engine_coolant_temp,0.862555466154024,0.5455292389868637,0.9735888031827631,0.7871796130564082,0.9433917273726893,0.9433370345054176,0.8295652633488341
embeddings_only,8,4,max_engine_coolant_temp,0.8263291032385633,0.532949874244675,0.9803101395953422,0.9752779446287968,0.973808580451456,0.880296152668588,0.9466937693705264
normalized,8,4,max_engine_coolant_temp,0.8636603566604706,0.5707748920702294,0.99,0.9870719807515699,0.9849301620571914,0.9218379731608487,0.9585871645150539
embeddings_only,8,5,max_engine_coolant_temp,0.8144571694005435,0.498716389365288,0.9533384542070644,0.8983924506612144,0.8806834151157924,0.8935493713350087,0.9532678326918352
normalized,8,5,max_engine_coolant_temp,0.852337059069543,0.5398642052029321,0.9840653415170694,0.9187693532350286,0.9056359406330948,0.9270533567428643,0.9705609534327779
embeddings_only,8,6,max_engine_coolant_temp,0.9586007381749212,0.9143636419043548,0.9763127482933903,0.6671946320263871,0.8735482309824208,0.87005280186581,0.7157457117627737
normalized,8,6,max_engine_coolant_temp,0.9765367143239482,0.9322458131117805,0.9880083526855642,0.6789791240765516,0.9155400663652457,0.8831310597452754,0.7464991177160347
embeddings_only,8,7,max_engine_coolant_temp,0.9489374062838326,0.8864988028063923,0.9526045461061956,0.7128636162961575,0.8540087448334851,0.9055820812249866,0.6151865686622753
normalized,8,7,max_engine_coolant_temp,0.9684677237540219,0.9196005207596473,0.9888886579591765,0.7486864260743976,0.8654232422637047,0.9327981788053091,0.6455872427550053
embeddings_only,8,8,max_engine_coolant_temp,0.9652352166932248,0.933494587472094,0.9846579302008934,0.8698832005155437,0.8423485358540876,0.8494435149286637,0.8096068929537182
normalized,8,8,max_engine_coolant_temp,0.9831517612164908,0.9707502878962475,0.99,0.8850376231341965,0.8680555629159714,0.8976997438405017,0.827092128623752
embeddings_only,9,1,max_engine_coolant_temp,0.9845051040483032,0.9890605471883588,0.9652384746358204,0.8546723273326826,0.9693028127366384,0.9515400323569974,0.748945903442962
normalized,9,1,max_engine_coolant_temp,0.99,0.99,0.9819831841756277,0.8999539837418782,0.9842085851953966,0.9821498198630716,0.7749069163110861
embeddings_only,9,2,max_engine_coolant_temp,0.9526637368093036,0.8972439165713275,0.9873901914287688,0.7380256573474874,0.9332071355916582,0.8538162591347578,0.9528856893427392
normalized,9,2,max_engine_coolant_temp,0.9873769322697176,0.9348449173789767,0.99,0.7611344734097721,0.9734782813011339,0.8892587013526435,0.9693936735991974
embeddings_only,9,3,max_engine_coolant_temp,0.8927496569103502,0.7244778132331624,0.9717900677015207,0.977386061786648,0.9492292081529492,0.9135557417993444,0.5752855709790407
normalized,9,3,max_engine_coolant_temp,0.9091712098097605,0.7663334722138557,0.9896647605754022,0.9885836083742433,0.9774142588890273,0.9578646475670867,0.603574509113195
embeddings_only,9,4,max_engine_coolant_temp,0.9493583433162144,0.8877126018158733,0.9642263398814276,0.8673007973632767,0.8792350123033996,0.8848911632545633,0.868640084819648
normalized,9,4,max_engine_coolant_temp,0.9885253542413811,0.9207426482976683,0.9871728414798694,0.9136545460997862,0.9218559650541425,0.9012677417925216,0.9037960223821161
embeddings_only,9,5,max_engine_coolant_temp,0.8318551515317485,0.548884589958949,0.979817015763195,0.8403737760398294,0.921596692298392,0.9214927018422796,0.6664444527137682
normalized,9,5,max_engine_coolant_temp,0.8577925218765357,0.5613931080398828,0.9898946069811878,0.8607211387154058,0.9655582246355325,0.9328248869041474,0.7148037615883072
embeddings_only,9,6,max_engine_coolant_temp,0.9244103803334152,0.8157735457871034,0.9805734251432464,0.8590315543718838,0.8489563388175116,0.9731221068295032,0.6472479368767049
normalized,9,6,max_engine_coolant_temp,0.9486251342722923,0.8400418214032052,0.99,0.8764408473813312,0.875006718849656,0.9895136739219709,0.6612325340855557
embeddings_only,9,7,max_engine_coolant_temp,0.8363048686163389,0.5617156353986599,0.9796310429699472,0.9072294476463896,0.9075842262905514,0.9306896045911988,0.8193084787131648
normalized,9,7,max_engine_coolant_temp,0.8841169299555022,0.6064951766205252,0.9897986093790718,0.93029748291712,0.9268939914617137,0.9652681928502738,0.830631462372185
embeddings_only,9,8,max_engine_coolant_temp,0.978481491811839,0.9716910738380352,0.963003886972632,0.7634810921961132,0.9759718177240878,0.8481929858189834,0.6491457592880231
normalized,9,8,max_engine_coolant_temp,0.9885051897484864,0.9852539058348394,0.9741608816281397,0.7835587317259569,0.9868626942034094,0.8683206335678975,0.6643879685366334
embeddings_only,9,9,max_engine_coolant_temp,0.9034608604481866,0.7553642576284518,0.9790289872420693,0.7931384901367816,0.96193052606749,0.9016001433883896,0.820679184634227
normalized,9,9,max_engine_coolant_temp,0.9139423093640928,0.7699836295140018,0.9896295394645844,0.8421087386495036,0.9898255392573861,0.9279623072033121,0.8371973616760912
embeddings_only,10,1,max_engine_coolant_temp,0.986727922,0.645051195,0.971620550925012,0.784232365,0.911119508,0.93309675,0.6719939963102596
normalized,10,1,max_engine_coolant_temp,0.99,0.6746634088619495,0.9899112597680622,0.7968445332860713,0.9524488855325526,0.9546326898932598,0.6916507411133226
embeddings_only,10,2,max_engine_coolant_temp,0.971954426,0.77037037,0.9790390159210604,0.866666667,0.901949488,0.921266333,0.7170729179928323
normalized,10,2,max_engine_coolant_temp,0.9872846555556044,0.7902128973996385,0.9896788959318515,0.8973590076880915,0.928913047537434,0.9534538453464568,0.7385549787896175
embeddings_only,10,3,max_engine_coolant_temp,0.9761655848117422,0.9743156605113135,0.984126984,0.972648059778774,0.905146058,0.912091206,0.8178630237857434
normalized,10,3,max_engine_coolant_temp,0.9888748855971141,0.9866738477958191,0.99,0.9887402958784933,0.9521447344781278,0.9239314984354919,0.837168103498934
embeddings_only,10,4,max_engine_coolant_temp,0.974226804,0.824324324,0.968253968,0.890510949,0.91882048,0.911731137,0.7191833536950519
normalized,10,4,max_engine_coolant_temp,0.9862388746298769,0.86692298317481,0.9898295818448238,0.9392698171868141,0.9650184138219972,0.9335933876025612,0.768863803431631
embeddings_only,10,5,max_engine_coolant_temp,0.9720827496191733,0.9798121019956364,0.952380952,0.975609756,0.903906288,0.92961396,0.8340526211861371
normalized,10,5,max_engine_coolant_temp,0.9840574705342133,0.9898320015507887,0.9886453578104643,0.9866345278760473,0.94149701860311,0.9419482143592235,0.8732809851512362
embeddings_only,10,6,max_engine_coolant_temp,0.974711050802471,0.9738236450292412,0.952380952,0.975609756,0.945575375,0.907170297,0.7859509763694335
normalized,10,6,max_engine_coolant_temp,0.9893744242119391,0.9855063120027705,0.9728501426074935,0.9872530075730476,0.9813521299702225,0.9266825867015616,0.8028251003313391
embeddings_only,10,7,max_engine_coolant_temp,0.9743195543890607,0.9738790427727758,0.9702354053498661,0.9703781145488256,0.940200857,0.94023543,0.880470859754357
normalized,10,7,max_engine_coolant_temp,0.9868717311628806,0.9857426808713735,0.9884297469635235,0.9826656391657012,0.9701955268603075,0.9877168615310403,0.9158307676641435
