version,window_size,offset,attack_type,accuracy,precision,recall,f1_score,roc_auc,auc_pr,mcc
embeddings_only,2,1,max_engine_coolant_temp,0.9833867524494756,0.9791666666666666,0.9837067258358716,0.9868766404199474,0.9540224263111212,0.9834561831328512,0.7576688788313565
normalized,2,1,max_engine_coolant_temp,0.99,0.9897626578053104,0.99,0.99,0.9504928569359008,0.99,0.7851723672818642
embeddings_only,2,2,max_engine_coolant_temp,0.9798601162960594,0.9732584451626104,0.9529387659135716,0.9767298309385888,0.9388878934885043,0.9675300519009936,0.6580235976102765
normalized,2,2,max_engine_coolant_temp,0.9899848608064832,0.9897550305072784,0.9733151666129716,0.9893189056632712,0.9522269059751917,0.9846135380957578,0.705047463141983
embeddings_only,3,1,max_engine_coolant_temp,0.9832972987325328,0.9894736842105264,0.975514168571548,0.9767281046874284,0.9511225511713436,0.9867424500055751,0.6727064806197111
normalized,3,1,max_engine_coolant_temp,0.99,0.99,0.9856048648942188,0.9894523496572308,0.958440054796638,0.99,0.7218512143090217
embeddings_only,3,2,max_engine_coolant_temp,0.9845511681700312,0.9830746840992224,0.9828575870045088,0.9841009002364542,0.9568797474523678,0.9842245705116862,0.7149482362856165
normalized,3,2,max_engine_coolant_temp,0.99,0.99,0.99,0.99,0.9513382385422506,0.99,0.7627349929676
embeddings_only,3,3,max_engine_coolant_temp,0.9838772888700046,0.9623131699310066,0.9695227649751602,0.9707096699022706,0.9504683548420662,0.962219792661533,0.7995137069161377
normalized,3,3,max_engine_coolant_temp,0.99,0.9796472251996982,0.9822945763003208,0.9879025564498972,0.9529192742220396,0.9823266661306412,0.8102652989335919
embeddings_only,4,1,max_engine_coolant_temp,0.9821909238558322,0.9692307692307692,0.9800115299343212,0.984375,0.9546096609587265,0.980350117597015,0.7700554921967491
normalized,4,1,max_engine_coolant_temp,0.99,0.985822569321626,0.99,0.99,0.9503009014783801,0.99,0.7975367703487227
embeddings_only,4,2,max_engine_coolant_temp,0.9851744875996032,0.9827474572018036,0.9789817074296104,0.9779140907096172,0.9513650126151854,0.9825632862296008,0.825938941556535
normalized,4,2,max_engine_coolant_temp,0.99,0.99,0.9896606710221318,0.9893129804723364,0.9578766088932172,0.99,0.8485560755935024
embeddings_only,4,3,max_engine_coolant_temp,0.9810822699921792,0.984986756180733,0.981318739426318,0.986880550045204,0.9561070495735178,0.9896463756424452,0.7178157231679749
normalized,4,3,max_engine_coolant_temp,0.99,0.99,0.99,0.99,0.9581659549014656,0.99,0.7342681038833748
embeddings_only,4,4,max_engine_coolant_temp,0.9777326662762588,0.9361208252990822,0.9871424077344788,0.9833101505256944,0.9516974234137556,0.9570450531694632,0.7142443308248878
normalized,4,4,max_engine_coolant_temp,0.9892134808078428,0.9562524894006736,0.99,0.99,0.9547524356836776,0.9695787086663028,0.7504975144034988
embeddings_only,5,1,max_engine_coolant_temp,0.9854905173049914,0.9894736842105264,0.983084065362231,0.9799859952279268,0.951916467379158,0.9852347714712798,0.7385396201787814
normalized,5,1,max_engine_coolant_temp,0.99,0.99,0.99,0.9899974930509844,0.9570877085980196,0.99,0.7523835564945399
embeddings_only,5,2,max_engine_coolant_temp,0.9816331093314036,0.9804391636527676,0.974320594833352,0.9833533809459816,0.9492007719789074,0.9840680418578422,0.7814777926853957
normalized,5,2,max_engine_coolant_temp,0.99,0.99,0.9898680168042008,0.99,0.9586050613934796,0.99,0.8027900711884521
embeddings_only,5,3,max_engine_coolant_temp,0.984711050802471,0.9835600980077036,0.9887618001715056,0.9805562761001608,0.9543022664517006,0.9846382250529656,0.6721345698752962
normalized,5,3,max_engine_coolant_temp,0.99,0.99,0.99,0.99,0.9563363815670631,0.99,0.7098334546500971
embeddings_only,5,4,max_engine_coolant_temp,0.9821120488702968,0.984375,0.9815199177067776,0.9747304763014756,0.949571456693248,0.9831860748939616,0.6747768792398346
normalized,5,4,max_engine_coolant_temp,0.99,0.99,0.99,0.9852254980491688,0.9521482403860698,0.99,0.6975196373378876
embeddings_only,5,5,max_engine_coolant_temp,0.9777300149614238,0.9585433089971044,0.9605537941553068,0.9893329660821348,0.9483455099738027,0.9615427955277716,0.7760304254687119
normalized,5,5,max_engine_coolant_temp,0.9892450265385316,0.9713712550055577,0.98448364041875,0.99,0.9548576556158639,0.982368184691168,0.7868347273162116
embeddings_only,6,1,max_engine_coolant_temp,0.9872644368977692,0.9591836734693876,0.9766358051217446,0.9766233766233766,0.9528881009567159,0.9869574879465276,0.798845108141178
normalized,6,1,max_engine_coolant_temp,0.99,0.9692814160350284,0.9889161120432312,0.987535091857532,0.9595354958728,0.99,0.8187952338819764
embeddings_only,6,2,max_engine_coolant_temp,0.9877797861396752,0.981132075471698,0.9747851830900444,0.9857819905213272,0.9487148045452677,0.9880341322900722,0.7415158305638407
normalized,6,2,max_engine_coolant_temp,0.99,0.99,0.9877693720051168,0.99,0.9582947587631271,0.99,0.7853721774626858
embeddings_only,6,3,max_engine_coolant_temp,0.9891271252140608,0.984375,0.98592816702774,0.9772213961657928,0.9580288030066956,0.986073243234529,0.7409443881222032
normalized,6,3,max_engine_coolant_temp,0.99,0.99,0.99,0.9883231285375954,0.9505111446274667,0.99,0.7862138025963974
embeddings_only,6,4,max_engine_coolant_temp,0.9807841218292184,0.9857614495144182,0.984126984126984,0.9797258537202668,0.9431152411386744,0.9794811209216964,0.7532349390875998
normalized,6,4,max_engine_coolant_temp,0.99,0.99,0.99,0.98998796049184,0.9519160265188353,0.9897010504386266,0.7874906676527168
embeddings_only,6,5,max_engine_coolant_temp,0.9811183224795004,0.9545454545454546,0.9893083300454486,0.9767441860465116,0.9524302022171303,0.9772727272727272,0.753258098287233
normalized,6,5,max_engine_coolant_temp,0.99,0.9722219044244432,0.99,0.9876886247676618,0.9590232788599361,0.9884420964571248,0.7686770608561311
embeddings_only,6,6,max_engine_coolant_temp,0.9774830228840146,0.9212122183268212,0.9771922193430538,0.9885756190841156,0.9441125342918675,0.9834121851962064,0.7828276280025761
normalized,6,6,max_engine_coolant_temp,0.9882337926725488,0.9540108147548718,0.9888512604528028,0.99,0.955598475062604,0.99,0.8100843654199351
embeddings_only,7,1,max_engine_coolant_temp,0.977868744478776,0.9631257822222764,0.9549684756352026,0.983080059716202,0.9540796633275642,0.9870093959876242,0.7644354142496909
normalized,7,1,max_engine_coolant_temp,0.989779514361218,0.979328101264252,0.9758788391317498,0.99,0.9550482308988872,0.99,0.7784444897421829
embeddings_only,7,2,max_engine_coolant_temp,0.97828382635295,0.9777879111262175,0.961904596423638,0.9583373834291824,0.9563193571367894,0.9805403779098868,0.7815870550713391
normalized,7,2,max_engine_coolant_temp,0.9898618181835792,0.989367876358146,0.9899791361185246,0.9715748247501472,0.9509067959792121,0.99,0.8162094376426928
embeddings_only,7,3,max_engine_coolant_temp,0.9846684712833124,0.9407451263001152,0.9532629425933626,0.9796451122692004,0.9492020673336663,0.9743066997988288,0.8295761725011012
normalized,7,3,max_engine_coolant_temp,0.99,0.9840335822386224,0.98484827593826,0.9898470791389236,0.9533747771564601,0.984700488267968,0.8674733234268838
embeddings_only,7,4,max_engine_coolant_temp,0.9819540642669434,0.9710791634751028,0.9732017933808126,0.9811125485888984,0.9504460512343147,0.9636067141759392,0.8119238634642115
normalized,7,4,max_engine_coolant_temp,0.99,0.9875205034398644,0.9890916394436876,0.99,0.9547993197882219,0.9737987465061512,0.8363229860433461
