version,window_size,offset,attack_type,accuracy,precision,recall,f1_score,roc_auc,auc_pr,mcc
embeddings_only,2,1,max_speedometer,0.8819742489270386,0.7240250886283065,0.9877232142857144,0.8355625491738788,0.8629109200817258,0.8005267650982048,0.6925899560903186
normalized,2,1,max_speedometer,0.9239415772512404,0.7420237520646235,0.99,0.8554796383040255,0.8865882860082975,0.8135995032573045,0.7048042086156932
embeddings_only,2,2,max_speedometer,0.893235680589549,0.8505793781386157,0.9841074097606914,0.8710522590098613,0.8795653025225313,0.7948556903818144,0.7921028952786631
normalized,2,2,max_speedometer,0.9304700854219946,0.8975130215194851,0.99,0.9148160074882048,0.9213153525102374,0.8314428393170675,0.8412320525233743
embeddings_only,3,1,max_speedometer,0.8784730065507116,0.719260065288357,0.9836309523809524,0.830923947203017,0.8676719666394953,0.7343755725927864,0.6451376847829502
normalized,3,1,max_speedometer,0.9205605233857672,0.7402538410569274,0.99,0.8686304130543732,0.8936527845049494,0.7474474714018711,0.6637120659676742
embeddings_only,3,2,max_speedometer,0.8898876404494382,0.7348734873487349,0.9797529531960728,0.8450347881087918,0.9235734429859368,0.8531755217677914,0.6822840357577667
normalized,3,2,max_speedometer,0.9317771561151724,0.7548128988741769,0.989999470821552,0.8827943137083336,0.9526623422146412,0.8859929893762686,0.7167189446994242
embeddings_only,3,3,max_speedometer,0.8847701590890851,0.6177507797396985,0.9899600885482652,0.7824728956016502,0.9605558888290144,0.9657815871058272,0.4959196912280286
normalized,3,3,max_speedometer,0.93352795189039,0.6342204275249593,0.99,0.8208565375205,0.9752197141185064,0.988170049911537,0.5197810582543534
embeddings_only,4,1,max_speedometer,0.8814095324147279,0.7243835616438357,0.9836309523809524,0.8343325970337646,0.8522056284530111,0.7218390852783862,0.6745165925199939
normalized,4,1,max_speedometer,0.8986431084113606,0.7362883920778284,0.99,0.8773438846159467,0.8731573528989627,0.768540664728739,0.714825963324714
embeddings_only,4,2,max_speedometer,0.8937078651685393,0.7434320849636669,0.9895833333333334,0.8490264921800192,0.9301172839985118,0.894111215060312,0.727365343926308
normalized,4,2,max_speedometer,0.9061598924684908,0.7763374048306568,0.99,0.8671213843774584,0.9534990591451408,0.9224423708036624,0.7392884567758048
embeddings_only,4,3,max_speedometer,0.9050996285038838,0.7649063032367973,0.9813113864051908,0.8647087144920559,0.8891850781141807,0.90546833817317,0.7488220105837549
normalized,4,3,max_speedometer,0.9210906848753192,0.7814664788012197,0.99,0.9046030128391191,0.9324372244780712,0.9219823000138516,0.7888982520240256
embeddings_only,4,4,max_speedometer,0.8462047005554436,0.7253341055685534,0.989001918373538,0.8008203946484358,0.8713899933951144,0.8095498978558746,0.576819356315808
normalized,4,4,max_speedometer,0.8830330988909704,0.7709616012451086,0.99,0.8157988190008334,0.884616947851947,0.851539103013955,0.5933061912392424
embeddings_only,5,1,max_speedometer,0.8706799186808222,0.703723263797201,0.9807417167023034,0.8231660231660232,0.8969116013227453,0.8523029738458023,0.6982465969029277
normalized,5,1,max_speedometer,0.8884628996511105,0.7490047006982341,0.99,0.8459048729229421,0.9405983253402652,0.8966572502283484,0.7324622161230091
embeddings_only,5,2,max_speedometer,0.8975280898876404,0.7508474576271187,0.9888392857142856,0.8535645472061657,0.8986835264930605,0.8489777398206365,0.6837981761349012
normalized,5,2,max_speedometer,0.9301716278101664,0.7838809939969431,0.99,0.8883192287637254,0.9184267373374032,0.8660830314236608,0.7103161943118615
embeddings_only,5,3,max_speedometer,0.9050996285038838,0.765358361774744,0.9783478941983552,0.864578313253012,0.9271887747214342,0.8928129960884367,0.7173159302811835
normalized,5,3,max_speedometer,0.9433308454232612,0.8002154692688026,0.9899419814795354,0.900436549707641,0.9428413367132712,0.9092617246201374,0.7310386158842967
embeddings_only,5,4,max_speedometer,0.8716475095785441,0.7665876777251185,0.9742196123148836,0.8655518394648829,0.9056154618926006,0.8756589482072124,0.6701864322068335
normalized,5,4,max_speedometer,0.8892944601784246,0.8005057137522834,0.9890652331316588,0.9113065455475812,0.9316172173600026,0.9080022693507016,0.712554415892866
embeddings_only,5,5,max_speedometer,0.8522671044493855,0.5632148407720715,0.9831702547820614,0.8326260798933032,0.886764253777185,0.7489724230283716,0.7489994172686121
normalized,5,5,max_speedometer,0.8747499252971922,0.5970416009496193,0.99,0.861687693514027,0.9036871441917238,0.7774694786403374,0.7748722049393153
embeddings_only,6,1,max_speedometer,0.8791506663654846,0.7180592991913747,0.9780711098552574,0.8327602375742419,0.8717235903954696,0.8345380564631215,0.7140680720873478
normalized,6,1,max_speedometer,0.9064812593055044,0.7378077882356354,0.9883335225176292,0.8537868506910373,0.891306791965226,0.8739099045664995,0.7527470750066096
embeddings_only,6,2,max_speedometer,0.8865168539325843,0.7293603061782394,0.9729980254682836,0.8408446265364009,0.9154775047786864,0.8215228944804088,0.6596133643353408
normalized,6,2,max_speedometer,0.9198961736831552,0.7430136581049904,0.9869629765502348,0.8540141075740248,0.926204425549736,0.8456267390859151,0.6792351610978968
embeddings_only,6,3,max_speedometer,0.9094900371496116,0.7744165946413137,0.9783556894959816,0.8699029126213593,0.8964028537033629,0.8814648864170209,0.7083330190294322
normalized,6,3,max_speedometer,0.9432759444069334,0.8215622941640983,0.9895393497465848,0.9105973471001988,0.944438578118188,0.9168285296528836,0.7414422566858253
embeddings_only,6,4,max_speedometer,0.9052302190433617,0.7567251461988304,0.976880429420144,0.8592297476759627,0.9019628455852756,0.9135968989982453,0.7415703283293755
normalized,6,4,max_speedometer,0.93930493808147,0.8013573564615291,0.9880911317524462,0.9010431966914828,0.938053122984362,0.9357797610295238,0.7521178647687392
embeddings_only,6,5,max_speedometer,0.8894472361809045,0.7377049180327869,0.989010989010989,0.8450704225352113,0.8976614740642358,0.9265072822916912,0.7190023958034527
normalized,6,5,max_speedometer,0.9078440357843812,0.7757044686178614,0.99,0.8660542105280227,0.9250335729202768,0.9629532329149476,0.7340858414230486
embeddings_only,6,6,max_speedometer,0.7329792318384585,0.6076244868279675,0.9795060608434032,0.8082017889618506,0.8997640327896261,0.8196022139903091,0.6889115274430742
normalized,6,6,max_speedometer,0.7602704150725071,0.6342894554272468,0.98977407273365,0.8390783361705904,0.9244731001923402,0.860111559142811,0.7016006890427228
embeddings_only,7,1,max_speedometer,0.8560936203986425,0.7417346435301295,0.9714654015360704,0.8726939545091849,0.8859080576399203,0.8344681272001,0.7411176399668518
normalized,7,1,max_speedometer,0.8675151593000163,0.7685450171140645,0.9891183269061928,0.8937967285303716,0.9028004306278264,0.8815964629732751,0.7578465701501546
embeddings_only,7,2,max_speedometer,0.8031561989044924,0.7606274231452274,0.986339123904312,0.7041852790088478,0.8781576250963876,0.9110838762586434,0.689097676585289
normalized,7,2,max_speedometer,0.8281498203730334,0.799788043558687,0.99,0.7233792601205951,0.9040643144536498,0.9525784688425164,0.7355370107117892
embeddings_only,7,3,max_speedometer,0.9206753955021584,0.734252760474939,0.9776955648102252,0.8008768435777125,0.9471831800255532,0.9608230520117018,0.7201252384217899
normalized,7,3,max_speedometer,0.9319270966185492,0.7508570855698159,0.9899045993538989,0.8345884952396713,0.9752787115604352,0.9864243368355398,0.7317165703429277
