version,window_size,offset,attack_type,accuracy,precision,recall,f1_score,roc_auc,auc_pr,mcc
embeddings_only,2,1,max_speedometer,0.9824805616100668,0.9892870336165496,0.9838762428005666,0.9751936130830752,0.955572069856032,0.9882859012827708,0.9896164499522594
normalized,2,1,max_speedometer,0.99,0.99,0.99,0.9859940787225564,0.9504928569359008,0.99,0.99
embeddings_only,2,2,max_speedometer_xgboost,0.9826283211512044,0.979492062188498,0.9775990368350568,0.982389435439639,0.9447016012354379,0.9848850244115184,0.9822525805222346
normalized,2,2,max_speedometer_xgboost,0.99,0.9899624260656678,0.989563210118778,0.99,0.9540134151580296,0.99,0.99
embeddings_only,3,1,max_speedometer,0.9780790047585832,0.9856579392429388,0.9807033508628232,0.9805947225134646,0.953429913584078,0.986032916919914,0.980282756858497
normalized,3,1,max_speedometer,0.9893711182923446,0.99,0.99,0.99,0.958440054796638,0.99,0.99
embeddings_only,3,2,max_speedometer,0.9843559490309558,0.9827076370209412,0.9858618615614668,0.9830093139546128,0.950848973392292,0.9833515211762528,0.983590912665745
normalized,3,2,max_speedometer,0.99,0.99,0.99,0.99,0.9513382385422506,0.99,0.99
embeddings_only,3,3,max_speedometer_xgboost,0.982024791684236,0.9813601869889486,0.9763215904257158,0.981541810246075,0.948409212999123,0.9886685840066278,0.9801903542069256
normalized,3,3,max_speedometer_xgboost,0.99,0.99,0.9867246326299732,0.99,0.9529192742220396,0.99,0.99
embeddings_only,4,1,max_speedometer,0.9803354547307772,0.9738334243962468,0.9754260459399148,0.9802815746275548,0.9586450375277357,0.9822962672655942,0.9744060061414546
normalized,4,1,max_speedometer,0.99,0.9890731012589418,0.9855767369079856,0.99,0.9503009014783801,0.99,0.9856996449281812
embeddings_only,4,2,max_speedometer,0.9783811468921436,0.9867569399860928,0.9795976021567252,0.9853499610390334,0.9493852048909366,0.9853045604410324,0.979077379889328
normalized,4,2,max_speedometer,0.9888795498324546,0.99,0.9897159799083182,0.99,0.9578766088932172,0.99,0.9892202390362368
