version,window_size,offset,attack_type,accuracy,precision,recall,f1_score,roc_auc,auc_pr,mcc
embeddings_only,2,1,reverse_light_off,0.9886792452830188,0.4666666666666667,0.875,0.608695652173913,0.909829009411368,0.5293075950188842,0.5581959510694982
normalized,2,1,reverse_light_off,0.99,0.502062573269846,0.8858294141263271,0.6400637989390296,0.926288274538708,0.5734456889001261,0.5927885599470665
embeddings_only,2,2,reverse_light_off,0.9343477438014368,0.1779375386603171,0.6359782173791754,0.5622513226727046,0.9303009428335168,0.4000263165122166,0.6031885780587909
normalized,2,2,reverse_light_off,0.9469070342888962,0.2135876930859851,0.6816661458228768,0.6015995787620082,0.9449090351404285,0.4366300470760247,0.637616685277135
embeddings_only,3,1,reverse_light_off,0.989937106918239,0.5,0.9,0.6428571428571429,0.9196124515519016,0.4602302788386605,0.5501678367071416
normalized,3,1,reverse_light_off,0.99,0.5418064852278616,0.9221767655707808,0.6670758839509809,0.937685097050436,0.4885173221618231,0.5765615711748153
embeddings_only,3,2,reverse_light_off,0.9869346733668342,0.4285714285714285,0.9,0.5806451612903225,0.9392280374963398,0.5527353921392946,0.5148623590296382
normalized,3,2,reverse_light_off,0.99,0.4482756891467381,0.9147971033219838,0.612825497182455,0.9567186985467516,0.5757594801046051,0.5575444924625902
embeddings_only,3,3,reverse_light_off,0.956330609157646,0.327265588627526,0.7128151757324959,0.3532858382521563,0.9000450068094284,0.2604037721846156,0.3517724500524183
normalized,3,3,reverse_light_off,0.9798659318552292,0.3580489203201382,0.7605896855040564,0.3807798938834568,0.94539065019315,0.2935179323892959,0.3779858693177015
embeddings_only,4,1,reverse_light_off,0.9763522012578616,0.2857142857142857,0.9,0.4337349397590361,0.9185766055744872,0.5016668964887699,0.4077903708856821
normalized,4,1,reverse_light_off,0.9876146025352922,0.3318494050428011,0.9326098143113244,0.4538034823352343,0.9493553600119428,0.5216577322297595,0.4274171267550108
embeddings_only,4,2,reverse_light_off,0.9824120603015076,0.3404255319148936,0.8,0.4776119402985074,0.9364277820660664,0.4572135248734369,0.4542184171482247
normalized,4,2,reverse_light_off,0.99,0.3779979020661785,0.8412417443089855,0.5005564192162353,0.9627996480976952,0.4989362485425767,0.464870545126877
embeddings_only,4,3,reverse_light_off,0.9751592478349584,0.6111111111111112,0.8461538461538461,0.7096774193548387,0.8956492476070733,0.6762924763630476,0.6550138219432744
normalized,4,3,reverse_light_off,0.9867704000007972,0.6334148864758192,0.8778919139581468,0.7554721889421547,0.9072699170528612,0.7200033305768687,0.6872989341753392
embeddings_only,4,4,reverse_light_off,0.9473815784589542,0.3826678590882919,0.5195145690417979,0.3761169977920764,0.9619078526925118,0.5952015508126791,0.2163803973036542
normalized,4,4,reverse_light_off,0.9765503459964792,0.430946484556706,0.5346458932993259,0.3971827403911543,0.9760699839218672,0.6239551491283072,0.2495735917041422
embeddings_only,5,1,reverse_light_off,0.9792256106573348,0.5483870967741935,0.85,0.6666666666666665,0.9318767569555771,0.6290220598808907,0.6248557008511573
normalized,5,1,reverse_light_off,0.9897892599877466,0.5605086650324639,0.8770451768066524,0.7136376400512314,0.9603804679239728,0.6717269686479675,0.6393348931225518
embeddings_only,5,2,reverse_light_off,0.985929648241206,0.4130434782608695,0.95,0.5757575757575758,0.9122799771528592,0.4623497933399967,0.5108567440612183
normalized,5,2,reverse_light_off,0.99,0.4524593538283108,0.9786406271127582,0.6034836822598939,0.9490365371627382,0.5031885254736066,0.5567570924313744
embeddings_only,5,3,reverse_light_off,0.975995294262476,0.5625,0.6923076923076923,0.6206896551724138,0.9317256456343884,0.5852993794400211,0.5278720871444237
normalized,5,3,reverse_light_off,0.9877587869069276,0.5982043879458121,0.7175661035150859,0.6677716497665869,0.9609529933458224,0.6117202990677604,0.5754509374552567
embeddings_only,5,4,reverse_light_off,0.9662576687116564,0.4761904761904761,0.9821600858462513,0.6451612903225806,0.9157687508398435,0.6916154057347629,0.5783834614341234
normalized,5,4,reverse_light_off,0.9762846212973872,0.4994693198161687,0.99,0.6732192242936706,0.9397042062536128,0.7251280622994496,0.6045704941140385
embeddings_only,5,5,reverse_light_off,0.9695493368167448,0.6395019155240896,0.5470470638478366,0.5954953737564458,0.97450931441897,0.2212680310493306,0.5083845571070564
normalized,5,5,reverse_light_off,0.9829928681257109,0.6601408477258721,0.5695688827352969,0.6424618549361301,0.9897785767461842,0.2352212549152156,0.5478011124218223
embeddings_only,6,1,reverse_light_off,0.9782061137257856,0.55,0.825,0.66,0.9109808773924294,0.5763990447028047,0.6182704768880449
normalized,6,1,reverse_light_off,0.9893860651828142,0.5852387466161664,0.8363137338281482,0.680938156624708,0.9508249921961346,0.6062313178622912,0.6292260106959978
embeddings_only,6,2,reverse_light_off,0.9839195979899498,0.38,0.95,0.5428571428571428,0.938422251843013,0.6859822342847013,0.4775378557071651
normalized,6,2,reverse_light_off,0.99,0.4239121952354269,0.9863526076164228,0.5888021810538592,0.9695155472364734,0.7146609378726256,0.4973116408378318
embeddings_only,6,3,reverse_light_off,0.9758863811911064,0.6,0.6923076923076923,0.6428571428571429,0.8914085404144375,0.3845636778448972,0.5324750261131673
normalized,6,3,reverse_light_off,0.9894490941825362,0.6419942870128731,0.7368506868734283,0.6618949414848475,0.905324657701024,0.4225014805785193,0.5790010731949254
embeddings_only,6,4,reverse_light_off,0.9777598754750658,0.6153846153846154,0.8,0.6956521739130435,0.9053729134878148,0.7501719472882057,0.6334050556297908
normalized,6,4,reverse_light_off,0.9898131215664489,0.6465298742325919,0.8356842087621444,0.7101354216270516,0.9263844249034374,0.7816819863893161,0.6786358110659307
embeddings_only,6,5,reverse_light_off,0.9749841607604234,0.5333333333333333,0.985796461905628,0.6956521739130436,0.899548441038099,0.5024508237240742,0.6643304131887935
normalized,6,5,reverse_light_off,0.98741252780652,0.5670416630962741,0.99,0.7442383336264465,0.9292455299483922,0.5188616408722413,0.6878892520829573
embeddings_only,6,6,reverse_light_off,0.9350591659636832,0.7063240186134444,0.7802559503095919,0.3604063208589041,0.9212184525272512,0.5157421656161965,0.7738294990860958
normalized,6,6,reverse_light_off,0.9655914595599194,0.7218645909757109,0.7981218232905741,0.407042197047923,0.9661205561341308,0.5306342499335612,0.7949894153021985
embeddings_only,7,1,reverse_light_off,0.9722079298014776,0.3004199824030512,0.7912058822327901,0.5152691513298353,0.9391491020078392,0.4148378327077159,0.2066947336118395
normalized,7,1,reverse_light_off,0.9871604476091084,0.3208101283123056,0.8012892373833332,0.5533177339947482,0.9568722449583758,0.4378360544407328,0.2280521910322581
embeddings_only,7,2,reverse_light_off,0.9580042090211158,0.2902173323312836,0.6006146453118194,0.4007961396726992,0.9415959378698814,0.7928676438320845,0.1967034844729713
normalized,7,2,reverse_light_off,0.9713556900498016,0.3056447365298264,0.616411185122393,0.4494958070849927,0.9795099643521302,0.84047065896691,0.2295650816859268
embeddings_only,7,3,reverse_light_off,0.9450228173502622,0.4682368782762918,0.7241013618707731,0.5226596234460338,0.9604075046361475,0.4629947488598159,0.5620232518662531
normalized,7,3,reverse_light_off,0.9666005711780976,0.4847939522822174,0.7534356136890865,0.5523955638625325,0.9856400786160062,0.4941323282009344,0.5798172657173941
embeddings_only,7,4,reverse_light_off,0.9774898759884196,0.1893193771602105,0.7360386298743308,0.3306212979244584,0.9044779144538851,0.8823431845715672,0.5335350925088931
normalized,7,4,reverse_light_off,0.9895335956214842,0.2052360177221241,0.7671951903063808,0.3423200658327166,0.9292451522178544,0.9192181114244102,0.5490834328331544
embeddings_only,7,5,reverse_light_off,0.9390468039605904,0.3273129200732373,0.5056683887675901,0.3092338671719326,0.963818900104364,0.3082415898476282,0.1979539302581588
normalized,7,5,reverse_light_off,0.9700420036457266,0.358866486827071,0.5520425932661613,0.3378990421199294,0.9750867035893134,0.3240790816041532,0.2189782758633555
embeddings_only,7,6,reverse_light_off,0.93659594712987,0.1345906464552398,0.5712603916512464,0.675402592418758,0.9535205774023624,0.9057690338300316,0.2535547166286853
normalized,7,6,reverse_light_off,0.9785541078322246,0.1547949795979351,0.6056375633224945,0.6885378600068356,0.968873271393769,0.9405347468625668,0.26748026678187
embeddings_only,7,7,reverse_light_off,0.9271914009163864,0.3463942934583829,0.8121500286413393,0.437453596954315,0.8944142634363236,0.6338153587599108,0.7202714646932206
normalized,7,7,reverse_light_off,0.9658131045234052,0.374358301561253,0.833333038696773,0.4824096070449012,0.9313405893130576,0.6463827340540755,0.7570793702089083
embeddings_only,8,1,reverse_light_off,0.985312434166958,0.1741983747200218,0.9804109087541216,0.3328091989324136,0.9402053703148426,0.2523696948263172,0.4760342901994865
normalized,8,1,reverse_light_off,0.99,0.2210087312225694,0.99,0.3674767811845796,0.9598518473810436,0.3000563541081235,0.4990129780205696
embeddings_only,8,2,reverse_light_off,0.959964583665004,0.4651783926714924,0.8251958739687181,0.760411454428805,0.8938215274615361,0.5603263465964183,0.2671226385569851
normalized,8,2,reverse_light_off,0.9817781976927322,0.4803587677229401,0.8543707561990592,0.7947649059972486,0.9346493750256292,0.592609046349532,0.3052665926401584
embeddings_only,8,3,reverse_light_off,0.9616375672726588,0.5170359273571801,0.56010833359393,0.4483667852001342,0.9341392643277866,0.3714505180656282,0.2871915886718075
normalized,8,3,reverse_light_off,0.987412393610562,0.5389781971530909,0.5837150109511511,0.4595497392463945,0.9663097368424034,0.42031175519949,0.3266356966438422
embeddings_only,8,4,reverse_light_off,0.9340211864518724,0.7416094988398523,0.9107201485495532,0.2530789948985109,0.9430026085085876,0.75940615988489,0.5770907073872418
normalized,8,4,reverse_light_off,0.983724607271764,0.7697835818941451,0.95061909168886,0.2695273257889977,0.9686157468872716,0.7951507147935881,0.6051031897089623
embeddings_only,8,5,reverse_light_off,0.9335411768139328,0.226840130468636,0.715768860590792,0.6576725218820544,0.9460553704389064,0.680602749551269,0.3971334629185185
normalized,8,5,reverse_light_off,0.94473006417881,0.2495138348489143,0.752811570872016,0.6834802707052205,0.971276310176252,0.7248499166006213,0.4179090961322981
embeddings_only,8,6,reverse_light_off,0.9490691189350504,0.2346813967216015,0.5418501046072222,0.3651982535191768,0.9711889785226095,0.2059997604313412,0.2043176035742919
normalized,8,6,reverse_light_off,0.9781204264481668,0.2785122189951369,0.5841361296853005,0.3847472001769974,0.981639131589149,0.2270728720446822,0.2213737397835962
embeddings_only,8,7,reverse_light_off,0.9616042474896574,0.7158226870833473,0.7999122916630113,0.5601033974502767,0.9169775171407816,0.4921049147474527,0.5927443933661454
normalized,8,7,reverse_light_off,0.9721140075793012,0.7379971528227776,0.8307447472625724,0.5961161565946683,0.9420933264595024,0.5102762316433072,0.6255166346939515
embeddings_only,8,8,reverse_light_off,0.9742901389866964,0.662016544996932,0.6140230490824594,0.6000387231604815,0.9641039606214206,0.8707645494258416,0.208548451227217
normalized,8,8,reverse_light_off,0.9885860460243432,0.6998146125080947,0.6583024313611354,0.6205934041453894,0.9820998247222036,0.9003020455756229,0.2314117545423565
