version,window_size,offset,attack_type,accuracy,precision,recall,f1_score,roc_auc,auc_pr,mcc
embeddings_only,2,1,reverse_light_on,0.9362910381543922,0.7005988023952096,0.9891304347826086,0.8202303455182774,0.8821278203989001,0.6729487609631762,0.7238609801158006
normalized,2,1,reverse_light_on,0.9568243507356304,0.7415710603122704,0.99,0.8531386200213877,0.9104836153694488,0.6926624913570151,0.7582380696546496
embeddings_only,2,2,reverse_light_on,0.9336774744436592,0.8196617871951022,0.9774667218536248,0.7261690062809756,0.926270529156753,0.947884804444346,0.5886716147432957
normalized,2,2,reverse_light_on,0.9786513764083504,0.8309140037571372,0.9893227780915098,0.7713659076873864,0.960946040366879,0.9661843547417124,0.612730617120975
embeddings_only,3,1,reverse_light_on,0.921916592724046,0.6549520766773163,0.979541239365564,0.7884615384615383,0.8909545007962876,0.6218142065864508,0.6503402258685249
normalized,3,1,reverse_light_on,0.9618687855602578,0.6796249712532242,0.9895449430117756,0.8026822702472278,0.9123681156009994,0.6475409987140263,0.6749132147913962
embeddings_only,3,2,reverse_light_on,0.9481115425344158,0.7440585009140768,0.9830917874396136,0.8470343392299688,0.9257417055148622,0.7888262600321556,0.7267593242779784
normalized,3,2,reverse_light_on,0.983827278619128,0.7629218103609766,0.99,0.8896034149947181,0.9674791967362368,0.8070352722815014,0.7513222447685741
embeddings_only,3,3,reverse_light_on,0.8249472771846301,0.5878436444819607,0.91697484387119,0.8800186386521075,0.9051668938204936,0.8346175225352799,0.6918592555120978
normalized,3,3,reverse_light_on,0.8411998031663455,0.6014476440100556,0.9491425713209782,0.902798328346304,0.9357144624815396,0.8681339184784027,0.7261069462164682
embeddings_only,4,1,reverse_light_on,0.9201419698314108,0.6497622820919176,0.972727080653879,0.7846889952153109,0.8841632779275537,0.6114859761029771,0.6710458820117495
normalized,4,1,reverse_light_on,0.9677725780991644,0.66914825087993,0.989258782557478,0.7967413416886354,0.895378591492049,0.6258366988928303,0.7067934478951307
embeddings_only,4,2,reverse_light_on,0.953053300388281,0.7616387337057728,0.9879227053140096,0.8601472134595163,0.9285340223888194,0.8051279043646014,0.7817544055729517
normalized,4,2,reverse_light_on,0.9773429605092744,0.7781236610300564,0.99,0.8913243857964487,0.97689425833939,0.8224371046020988,0.8021195859819557
embeddings_only,4,3,reverse_light_on,0.9467299578059072,0.7431693989071039,0.974910394265233,0.8434108527131784,0.8971793273801181,0.8976267442872327,0.7619576425159871
normalized,4,3,reverse_light_on,0.960741769030338,0.7769534726539649,0.9896272845577068,0.8629314583690645,0.9260761779073716,0.943931326629687,0.8002889681389755
embeddings_only,4,4,reverse_light_on,0.9391457446996072,0.601199729548771,0.929599711855624,0.8455381545304823,0.888129512751164,0.9082867896739862,0.630731329642339
normalized,4,4,reverse_light_on,0.9702772112381876,0.6367720002705707,0.9688332946649968,0.884677292613857,0.9175285970850628,0.929545829426108,0.6489783133582316
embeddings_only,5,1,reverse_light_on,0.9288376220053238,0.6757201646090535,0.9795287054769484,0.8037200195790505,0.895315569287989,0.6356123536376846,0.7289938163858318
normalized,5,1,reverse_light_on,0.9755821771121096,0.6880500324621545,0.989687566201896,0.8413220250895428,0.929318330380138,0.6629410976434243,0.7431631310204334
embeddings_only,5,2,reverse_light_on,0.9470525944228732,0.7391304347826086,0.9855072463768116,0.84472049689441,0.9000380670925001,0.7846631653753221,0.7151904022801991
normalized,5,2,reverse_light_on,0.961649681717092,0.7769913496912875,0.99,0.8683025261324542,0.9250298083358058,0.8118106046078402,0.7525126670360398
embeddings_only,5,3,reverse_light_on,0.9488396624472574,0.75,0.978494623655914,0.849144634525661,0.9281104583247216,0.8747595904204304,0.7374105611463012
normalized,5,3,reverse_light_on,0.9775653984204252,0.7628193191799125,0.9887316870996864,0.8619668620025549,0.9394940633548924,0.915799787138232,0.7814489174528206
embeddings_only,5,4,reverse_light_on,0.906084656084656,0.7518518518518519,0.9806763285024156,0.8511530398322852,0.9144931539422976,0.8804305874510902,0.699497053436908
normalized,5,4,reverse_light_on,0.9327317693737008,0.8006054832327474,0.99,0.8955684415872884,0.9391805299396152,0.928604473975264,0.7394542472622626
embeddings_only,5,5,reverse_light_on,0.7704400488007239,0.668479034082383,0.9074528670185226,0.6851676554480067,0.920050178549042,0.9206125023469371,0.544711574264976
