version,window_size,offset,attack_type,accuracy,precision,recall,f1_score,roc_auc,auc_pr,mcc
embeddings_only,2,1,reverse_light_on,0.9791043670985654,0.9750297265160524,0.97966154668152,0.9826243259436788,0.9497697079365522,0.9834942921588802,0.9796449698722304
normalized,2,1,reverse_light_on,0.989433378203269,0.9878247053895308,0.9897514985856212,0.99,0.9504928569359008,0.99,0.989775056425951
embeddings_only,2,2,reverse_light_on_xgboost,0.9888742915144788,0.9870809035982866,0.9871451422687748,0.9604824282407158,0.9477914906477045,0.9756873662569556,0.9870047264501652
normalized,2,2,reverse_light_on_xgboost,0.99,0.99,0.99,0.9762085108778538,0.9540134151580296,0.9878002262994282,0.99
embeddings_only,3,1,reverse_light_on,0.9802783324325772,0.9514450867052024,0.9820852170228254,0.972238629651506,0.955783909087593,0.9854634028039568,0.9676538091430408
normalized,3,1,reverse_light_on,0.99,0.9699009597290222,0.99,0.9862109499109672,0.958440054796638,0.99,0.9892105724635716
embeddings_only,3,2,reverse_light_on,0.9816355600701158,0.9830508474576272,0.9806763285024156,0.9818621523579204,0.9523445459659661,0.9785629810452758,0.978763324675316
normalized,3,2,reverse_light_on,0.99,0.99,0.99,0.99,0.9513382385422506,0.9890026593983952,0.9891410955721937
embeddings_only,3,3,reverse_light_on_xgboost,0.9884332235853298,0.954770453002847,0.978227925780762,0.973345303116302,0.9447511179411373,0.9807502502987104,0.9809820306642028
normalized,3,3,reverse_light_on_xgboost,0.99,0.9704747931851054,0.9892245435574925,0.9899995418042806,0.9529192742220396,0.99,0.99
embeddings_only,4,1,reverse_light_on,0.9879325643300798,0.9367816091954024,0.9842995169082126,0.9599528857479388,0.952647690172271,0.98552001631338,0.9532581935463292
normalized,4,1,reverse_light_on,0.99,0.9617231214815058,0.99,0.9714725424714864,0.9503009014783801,0.99,0.9732308842922732
embeddings_only,4,2,reverse_light_on,0.976359275042146,0.9578454332552692,0.9879227053140096,0.9726516052318668,0.9428783889479689,0.9845744723257948,0.9680455878871058
normalized,4,2,reverse_light_on,0.9883343896040362,0.9736848817273512,0.99,0.98672576639154,0.9578766088932172,0.99,0.9845728629433782
embeddings_only,4,3,reverse_light_on,0.9812405664056992,0.9856115107913668,0.982078853046595,0.9838420107719928,0.950647886888506,0.9772475889673088,0.9810621226078866
normalized,4,3,reverse_light_on,0.99,0.99,0.99,0.99,0.9581659549014656,0.9874867192363366,0.99
